sample_id,sample_replace
PECOe826,PECOe-0826
PECOe827,PECOe-0827
PECOe828,PECOe-0828
PECOe829,PECOe-0829
PECOe830,PECOe-0830
PECOe831,PECOe-0831
PECOe832,PECOe-0832
PECOe833,PECOe-0833
PECOe834,PECOe-0834
PECOe835,PECOe-0835
PECOe836,PECOe-0836
PECOe837,PECOe-0837
PECOe838,PECOe-0838
PECOe839,PECOe-0839
PECOe840,PECOe-0840
PECOe841,PECOe-0841
PECOe842,PECOe-0842
PECOe843,PECOe-0843
PECOe844,PECOe-0844
PECOe845,PECOe-0845
PECOe846,PECOe-0846
PECOe847,PECOe-0847
PECOe848,PECOe-0848
PECOe849,PECOe-0849
PECOe850,PECOe-0850
PECOe851,PECOe-0851
PECOe852,PECOe-0852
PECOe853,PECOe-0853
PECOe854,PECOe-0854
PECOe855,PECOe-0855
PECOe856,PECOe-0856
PECOe857,PECOe-0857
PECOe858,PECOe-0858
PECOe859,PECOe-0859
PECOe860,PECOe-0860
PECOe861,PECOe-0861
PECOe862,PECOe-0862
PECOe863,PECOe-0863
PECOe864,PECOe-0864
PECOe865,PECOe-0865
PECOe866,PECOe-0866
PECOe867,PECOe-0867
PECOe868,PECOe-0868
PECOe869,PECOe-0869
