"","site_code","region_code","region_name","region_name_label","region_code_label","decimal_latitude","decimal_longitude","region_lat_name","avg_region_lat","samples","sites"
"39","PP_M","BC_PP","BC_PP","Pacific Rim Park, British Columbia","Pacific Rim Park, British Columbia",49.1844,-125.884767,7,49.037514662393,135,13
"40","PP_O","BC_PP","BC_PP","Pacific Rim Park, British Columbia","Pacific Rim Park, British Columbia",49.171917,-125.915683,7,49.037514662393,135,13
"41","PP_MI","BC_PP","BC_PP","Pacific Rim Park, British Columbia","Pacific Rim Park, British Columbia",49.1213,-125.825617,7,49.037514662393,135,13
"42","PP_K","BC_PP","BC_PP","Pacific Rim Park, British Columbia","Pacific Rim Park, British Columbia",49.104117,-125.748433,7,49.037514662393,135,13
"43","PP_SI","BC_PP","BC_PP","Pacific Rim Park, British Columbia","Pacific Rim Park, British Columbia",48.992217,-125.346867,7,49.037514662393,135,13
"44","PP_MB","BC_PP","BC_PP","Pacific Rim Park, British Columbia","Pacific Rim Park, British Columbia",48.9742134444333,-125.310962333333,7,49.037514662393,135,13
"45","PP_HI","BC_PP","BC_PP","Pacific Rim Park, British Columbia","Pacific Rim Park, British Columbia",48.95144225,-125.31274625,7,49.037514662393,135,13
"46","PP_JJ","BC_PP","BC_PP","Pacific Rim Park, British Columbia","Pacific Rim Park, British Columbia",48.9222545,-125.279333666675,7,49.037514662393,135,13
"47","PP_G","BC_PP","BC_PP","Pacific Rim Park, British Columbia","Pacific Rim Park, British Columbia",48.9123,-125.260333,7,49.037514662393,135,13
"48","PP_C","BC_PP","BC_PP","Pacific Rim Park, British Columbia","Pacific Rim Park, British Columbia",48.88829575,-125.379820833325,7,49.037514662393,135,13
"49","PP_E","BC_PP","BC_PP","Pacific Rim Park, British Columbia","Pacific Rim Park, British Columbia",48.877066666675,-125.30529575,7,49.037514662393,135,13
"50","PS_BB","WA_PSa","WA_PS","Puget Sound & Padilla Bay, Washington","Padilla Bay, Washington",48.728286665,-122.506188055,8,48.5809995829545,160,11
"51","PS_BP","WA_PSa","WA_PS","Puget Sound & Padilla Bay, Washington","Padilla Bay, Washington",48.728233,-122.506733,8,48.5809995829545,160,11
"52","PS_NC","WA_PSb","WA_PS","Puget Sound & Padilla Bay, Washington","San Juan Islands, Washington",48.70442085,-123.04,8,48.5809995829545,160,11
"53","PS_BH","WA_PSb","WA_PS","Puget Sound & Padilla Bay, Washington","San Juan Islands, Washington",48.6917997,-122.95277645,8,48.5809995829545,160,11
"54","PS_IC","WA_PSb","WA_PS","Puget Sound & Padilla Bay, Washington","San Juan Islands, Washington",48.56302955,-122.935074425,8,48.5809995829545,160,11
"55","PS_YB","WA_PSa","WA_PS","Puget Sound & Padilla Bay, Washington","Padilla Bay, Washington",48.5239166667,-122.6215166667,8,48.5809995829545,160,11
"56","PS_SP","WA_PSa","WA_PS","Puget Sound & Padilla Bay, Washington","Padilla Bay, Washington",48.5092333333,-122.6861,8,48.5809995829545,160,11
"57","PS_SH","WA_PSa","WA_PS","Puget Sound & Padilla Bay, Washington","Padilla Bay, Washington",48.5049834175,-122.6720722775,8,48.5809995829545,160,11
"58","PS_BV","WA_PSa","WA_PS","Puget Sound & Padilla Bay, Washington","Padilla Bay, Washington",48.48575823,-122.482358641675,8,48.5809995829545,160,11
"59","PS_FB","WA_PSb","WA_PS","Puget Sound & Padilla Bay, Washington","San Juan Islands, Washington",48.482629825,-123.0742029,8,48.5809995829545,160,11
"60","PS_FJ","WA_PSb","WA_PS","Puget Sound & Padilla Bay, Washington","San Juan Islands, Washington",48.468704175,-123.002191875,8,48.5809995829545,160,11
"61","WB_DP","WA_WB","WA_WB","Willapa Bay, Washington","Willapa Bay, Washington",46.995355,-124.1272775,9,46.7236092989418,105,9
"62","WB_WP","WA_WB","WA_WB","Willapa Bay, Washington","Willapa Bay, Washington",46.89035,-124.08561,9,46.7236092989418,105,9
"63","WB_SB","WA_WB","WA_WB","Willapa Bay, Washington","Willapa Bay, Washington",46.879095,-124.07972,9,46.7236092989418,105,9
"64","WB_WR","WA_WB","WA_WB","Willapa Bay, Washington","Willapa Bay, Washington",46.6905566666667,-123.90643,9,46.7236092989418,105,9
"65","WB_SP","WA_WB","WA_WB","Willapa Bay, Washington","Willapa Bay, Washington",46.6802,-123.9204,9,46.7236092989418,105,9
"66","WB_CO","WA_WB","WA_WB","Willapa Bay, Washington","Willapa Bay, Washington",46.6722,-123.94543,9,46.7236092989418,105,9
"67","WB_BC","WA_WB","WA_WB","Willapa Bay, Washington","Willapa Bay, Washington",46.6154695238095,-123.944667619048,9,46.7236092989418,105,9
"68","WB_ST","WA_WB","WA_WB","Willapa Bay, Washington","Willapa Bay, Washington",46.59383,-124.02369,9,46.7236092989418,105,9
"69","WB_PA","WA_WB","WA_WB","Willapa Bay, Washington","Willapa Bay, Washington",46.4954275,-124.0263025,9,46.7236092989418,105,9
"70","YB_F","OR_YB","OR_YB","Yaquina Bay, Oregon","Yaquina Bay, Oregon",44.6238,-124.0589,10,44.619256859375,66,4
"71","YB_SBN","OR_YB","OR_YB","Yaquina Bay, Oregon","Yaquina Bay, Oregon",44.6228154375,-124.0238329375,10,44.619256859375,66,4
"72","YB_IF","OR_YB","OR_YB","Yaquina Bay, Oregon","Yaquina Bay, Oregon",44.618267,-124.030144333333,10,44.619256859375,66,4
"73","YB_SBS","OR_YB","OR_YB","Yaquina Bay, Oregon","Yaquina Bay, Oregon",44.612145,-124.013467,10,44.619256859375,66,4
"74","CB_BV","OR_CB","OR_CB","Coos Bay, Oregon","Coos Bay, Oregon",43.35965,-124.316933,11,43.35965,30,2
"75","CB_FP","OR_CB","OR_CB","Coos Bay, Oregon","Coos Bay, Oregon",43.35965,-124.310117,11,43.35965,30,2
"76","HB_EB","CA_HB","CA_HB","Humboldt Bay, California","Humboldt Bay, California",40.803473,-124.176972,12,40.771378,20,4
"77","HB_SB","CA_HB","CA_HB","Humboldt Bay, California","Humboldt Bay, California",40.772876,-124.212334,12,40.771378,20,4
"78","HB_SR","CA_HB","CA_HB","Humboldt Bay, California","Humboldt Bay, California",40.771828,-124.212405,12,40.771378,20,4
"79","HB_KS","CA_HB","CA_HB","Humboldt Bay, California","Humboldt Bay, California",40.737335,-124.22034,12,40.771378,20,4
"80","NC_B","CA_NCa","CA_NC","Bodega Bay, California","Bodega Bay, California",38.3339,-123.0595,13,38.2006899404762,54,6
"81","NC_WP","CA_NCa","CA_SF","San Fransisco Bay, California","Bodega Bay, California",38.31916025,-123.052735,14,38.0275679375,80,4
"82","NC_D","CA_NCa","CA_NC","Bodega Bay, California","Bodega Bay, California",38.30995,-123.059,13,38.2006899404762,54,6
"83","NC_NC","CA_NCa","CA_NC","Bodega Bay, California","Bodega Bay, California",38.2054146428571,-122.926506071429,13,38.2006899404762,54,6
"84","NC_BL","CA_NCa","CA_NC","Bodega Bay, California","Bodega Bay, California",38.184255,-122.9194,13,38.2006899404762,54,6
"85","NC_E","CA_NCa","CA_NC","Bodega Bay, California","Bodega Bay, California",38.10503,-122.8484,13,38.2006899404762,54,6
"86","NC_DE","CA_NCc","CA_NC","Bodega Bay, California","San Francisco Bay 2, California",38.06559,-122.93522,13,38.2006899404762,54,6
"87","NC_PS","CA_NCb","CA_SF","San Fransisco Bay, California","San Francisco Bay 1, California",37.9725825,-122.4214625,14,38.0275679375,80,4
"88","NC_PM","CA_NCb","CA_SF","San Fransisco Bay, California","San Francisco Bay 1, California",37.9461065,-122.41917,14,38.0275679375,80,4
"89","NC_RB","CA_NCb","CA_SF","San Fransisco Bay, California","San Francisco Bay 1, California",37.8724225,-122.489055,14,38.0275679375,80,4
"90","MB_CB","CA_MB","CA_MB","Morro Bay, California","Morro Bay, California",35.372155,-120.86014,15,35.3662978333333,35,2
"91","MB_TP","CA_MB","CA_MB","Morro Bay, California","Morro Bay, California",35.3604406666667,-120.851953,15,35.3662978333333,35,2
"92","LA_MS","CA_LA","CA_LA","Los Angeles, California","Los Angeles, California",33.7680093197464,-118.128454521235,16,33.7038689199577,100,6
"93","LA_JD","CA_LA","CA_LA","Los Angeles, California","Los Angeles, California",33.7618821,-118.119927325,16,33.7038689199577,100,6
"94","LA_AB","CA_LA","CA_LA","Los Angeles, California","Los Angeles, California",33.756244,-118.131132933333,16,33.7038689199577,100,6
"95","LA_SP","CA_LA","CA_LA","Los Angeles, California","Los Angeles, California",33.713624,-118.283817,16,33.7038689199577,100,6
"96","LA_UN","CA_LA","CA_LA","Los Angeles, California","Los Angeles, California",33.6212996,-117.89928125,16,33.7038689199577,100,6
"97","LA_LN","CA_LA","CA_LA","Los Angeles, California","Los Angeles, California",33.6021545,-117.8826474,16,33.7038689199577,100,6
"98","SD_SDL","CA_SD","CA_SD","San Diego region, California","San Diego region, California",32.9708305,-117.2517205,17,32.8198529055556,85,6
"99","SD_CV","CA_SD","CA_SD","San Diego region, California","San Diego region, California",32.9605182666667,-117.107654933333,17,32.8198529055556,85,6
"100","SD_KF","CA_SD","CA_SD","San Diego region, California","San Diego region, California",32.795375,-117.229336,17,32.8198529055556,85,6
"101","SD_FI","CA_SD","CA_SD","San Diego region, California","San Diego region, California",32.7777246666667,-117.223909333333,17,32.8198529055556,85,6
"102","SD_SI","CA_SD","CA_SD","San Diego region, California","San Diego region, California",32.714169,-117.225225666667,17,32.8198529055556,85,6
"103","SD_CI","CA_SD","CA_SD","San Diego region, California","San Diego region, California",32.7005,-117.17312,17,32.8198529055556,85,6
