motu,motu_swarm,asv,curated,lulu_rank,found_taxa,common_name,rank,identity_percentage,evalue,kingdom,phylum,class,order,family,genus,freshwater_only,biogeographical_notes,group,fish_base_url,n_dups,remove
motu584,motu584,ASV1609,parent,613,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu608,motu608,ASV1677,parent,637,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu610,motu610,ASV1682,parent,638,Bos,Cow,offtarget,98.214,2.6300000000000003e-79,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu611,motu611,ASV1683,parent,639,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu617,motu617,ASV1702,parent,645,Bos,Cow,offtarget,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu625,motu625,ASV1723,parent,650,Bos,Cow,offtarget,98.214,2.6300000000000003e-79,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu641,motu641,ASV1762,parent,665,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu651,motu651,ASV1786,parent,674,Bos,Cow,offtarget,99.401,4.3699999999999996e-82,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu665,motu665,ASV1832,parent,689,Bos,Cow,offtarget,98.81,2.02e-80,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu667,motu667,ASV1836,parent,441,Bos,Cow,offtarget,98.81,2.02e-80,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu667,motu667,ASV2270,parent,441,Bos,Cow,offtarget,98.81,2.02e-80,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu682,motu682,ASV1868,parent,706,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu783,motu783,ASV2115,parent,804,Bos,Cow,offtarget,98.214,2.6300000000000003e-79,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
