"","site_code","region_code","region_name","decimal_latitude","decimal_longitude","region_lat_name","avg_region_lat","region_name_label","samples","sites","region_code_label"
"1","JN_EC","AK_JN","AK_JN",58.6628818,-134.91603005,1,58.4775619525,"Juneau Region, Alaska",88,5,"Juneau Region, Alaska"
"2","JN_SB","AK_JN","AK_JN",58.62645875,-134.9406095,1,58.4775619525,"Juneau Region, Alaska",88,5,"Juneau Region, Alaska"
"3","JN_BC","AK_JN","AK_JN",58.385519775,-134.649318925,1,58.4775619525,"Juneau Region, Alaska",88,5,"Juneau Region, Alaska"
"4","JN_AN","AK_JN","AK_JN",58.3810730625,-134.694368,1,58.4775619525,"Juneau Region, Alaska",88,5,"Juneau Region, Alaska"
"5","JN_FC","AK_JN","AK_JN",58.331876375,-134.60853895,1,58.4775619525,"Juneau Region, Alaska",88,5,"Juneau Region, Alaska"
"6","SE_GK","AK_SE","AK_SE",55.7402015,-133.3119625,2,55.5123978333333,"Southeast Alaska",53,6,"Southeast Alaska"
"7","SE_NS","AK_SE","AK_SE",55.708296,-133.341115,2,55.5123978333333,"Southeast Alaska",53,6,"Southeast Alaska"
"8","SE_SH","AK_SE","AK_SE",55.5986045,-133.161292,2,55.5123978333333,"Southeast Alaska",53,6,"Southeast Alaska"
"9","SE_NF","AK_SE","AK_SE",55.496398,-133.167232,2,55.5123978333333,"Southeast Alaska",53,6,"Southeast Alaska"
"10","SE_RF","AK_SE","AK_SE",55.2832375,-133.333312,2,55.5123978333333,"Southeast Alaska",53,6,"Southeast Alaska"
"11","SE_NZ","AK_SE","AK_SE",55.2476495,-132.879147,2,55.5123978333333,"Southeast Alaska",53,6,"Southeast Alaska"
"12","HG_DSD","BC_HGa","BC_HG",54.009672,-132.138685333333,3,52.9281802129648,"Haida Gwaii, British Columbia",112,9,"Haida Gwaii, British Columbia"
"13","HG_MDD","BC_HGa","BC_HG",54.0090613333333,-132.149920666667,3,52.9281802129648,"Haida Gwaii, British Columbia",112,9,"Haida Gwaii, British Columbia"
"14","HG_TK","BC_HGb","BC_HG",53.19458,-132.12775166665,3,52.9281802129648,"Haida Gwaii, British Columbia",112,9,"Haida Nation, British Columbia"
"15","HG_DN","BC_HGb","BC_HG",53.15408083335,-132.26982766665,3,52.9281802129648,"Haida Gwaii, British Columbia",112,9,"Haida Nation, British Columbia"
"16","HG_SB","BC_HGa","BC_HG",52.631124,-131.60783125,3,52.9281802129648,"Haida Gwaii, British Columbia",112,9,"Haida Gwaii, British Columbia"
"17","HG_RI","BC_HGa","BC_HG",52.57346275,-131.39581525,3,52.9281802129648,"Haida Gwaii, British Columbia",112,9,"Haida Gwaii, British Columbia"
"18","HG_BH","BC_HGa","BC_HG",52.34841,-131.362913333333,3,52.9281802129648,"Haida Gwaii, British Columbia",112,9,"Haida Gwaii, British Columbia"
"19","HG_LIE","BC_HGa","BC_HG",52.228491,-131.278427666667,3,52.9281802129648,"Haida Gwaii, British Columbia",112,9,"Haida Gwaii, British Columbia"
"20","HG_ROI","BC_HGa","BC_HG",52.20474,-131.14211,3,52.9281802129648,"Haida Gwaii, British Columbia",112,9,"Haida Gwaii, British Columbia"
"21","CC_FAN3","BC_CC","BC_CC",52.0534175,-128.40325075,4,51.6781844027778,"Central Coast British Columbia",89,6,"Central Coast British Columbia"
