"","site_code","region_code","region_name","decimal_latitude","decimal_longitude","region_lat_name","avg_region_lat","region_name_label","samples","sites","region_code_label"
"1","JN_EC","AK_JN","AK_JN",58.662861,-134.915917,1,58.4778488,"Juneau Region, Alaska",98,5,"Juneau Region, Alaska"
"2","JN_SB","AK_JN","AK_JN",58.6274,-134.943433,1,58.4778488,"Juneau Region, Alaska",98,5,"Juneau Region, Alaska"
"3","JN_BC","AK_JN","AK_JN",58.3856,-134.649383,1,58.4778488,"Juneau Region, Alaska",98,5,"Juneau Region, Alaska"
"4","JN_AN","AK_JN","AK_JN",58.381283,-134.692633,1,58.4778488,"Juneau Region, Alaska",98,5,"Juneau Region, Alaska"
"5","JN_FC","AK_JN","AK_JN",58.3321,-134.607683,1,58.4778488,"Juneau Region, Alaska",98,5,"Juneau Region, Alaska"
"6","SE_GK","AK_SE","AK_SE",55.739816,-133.31202,2,55.512136,"Southeast Alaska",63,6,"Southeast Alaska"
"7","SE_NS","AK_SE","AK_SE",55.70802,-133.34102,2,55.512136,"Southeast Alaska",63,6,"Southeast Alaska"
"8","SE_SH","AK_SE","AK_SE",55.59929,-133.16,2,55.512136,"Southeast Alaska",63,6,"Southeast Alaska"
"9","SE_NF","AK_SE","AK_SE",55.496398,-133.167232,2,55.512136,"Southeast Alaska",63,6,"Southeast Alaska"
"10","SE_RF","AK_SE","AK_SE",55.282137,-133.33403,2,55.512136,"Southeast Alaska",63,6,"Southeast Alaska"
"11","SE_NZ","AK_SE","AK_SE",55.247155,-132.87914,2,55.512136,"Southeast Alaska",63,6,"Southeast Alaska"
"12","HG_DSD","BC_HGa","BC_HG",54.010167,-132.138033,3,52.9241492963,"Haida Gwaii, British Columbia",123,9,"Haida Gwaii, British Columbia"
"13","HG_MDD","BC_HGa","BC_HG",54.0093,-132.149633,3,52.9241492963,"Haida Gwaii, British Columbia",123,9,"Haida Gwaii, British Columbia"
"14","HG_DN","BC_HGb","BC_HG",53.1542666667,-132.4371833333,3,52.9241492963,"Haida Gwaii, British Columbia",123,9,"Haida Nation, British Columbia"
"15","HG_TK","BC_HGb","BC_HG",53.15415,-132.1033333333,3,52.9241492963,"Haida Gwaii, British Columbia",123,9,"Haida Nation, British Columbia"
"16","HG_SB","BC_HGa","BC_HG",52.63123,-131.60669,3,52.9241492963,"Haida Gwaii, British Columbia",123,9,"Haida Gwaii, British Columbia"
"17","HG_RI","BC_HGa","BC_HG",52.57284,-131.39551,3,52.9241492963,"Haida Gwaii, British Columbia",123,9,"Haida Gwaii, British Columbia"
"18","HG_BH","BC_HGa","BC_HG",52.34843,-131.36375,3,52.9241492963,"Haida Gwaii, British Columbia",123,9,"Haida Gwaii, British Columbia"
"19","HG_LIE","BC_HGa","BC_HG",52.23234,-131.28337,3,52.9241492963,"Haida Gwaii, British Columbia",123,9,"Haida Gwaii, British Columbia"
"20","HG_ROI","BC_HGa","BC_HG",52.20462,-131.14229,3,52.9241492963,"Haida Gwaii, British Columbia",123,9,"Haida Gwaii, British Columbia"
"21","CC_FAN3","BC_CC","BC_CC",52.05365,-128.40331,4,51.827388,"Central Coast British Columbia",99,6,"Central Coast British Columbia"
"22","CC_GOG1","BC_CC","BC_CC",51.92397,-128.4673,4,51.827388,"Central Coast British Columbia",99,6,"Central Coast British Columbia"
"23","CC_KIS2","BC_CC","BC_CC",51.8367,-128.2393,4,51.827388,"Central Coast British Columbia",99,6,"Central Coast British Columbia"
"24","CC_KIS1","BC_CC","BC_CC",51.8367,-128.2393,4,51.827388,"Central Coast British Columbia",99,6,"Central Coast British Columbia"
"25","CC_CHP","BC_CC","BC_CC",51.67622,-128.1234,4,51.827388,"Central Coast British Columbia",99,6,"Central Coast British Columbia"
"26","CC_PBA","BC_CC","BC_CC",51.6464,-128.11896,4,51.827388,"Central Coast British Columbia",99,6,"Central Coast British Columbia"
"27","NV_KC","BC_NV","BC_NV",50.521548,-127.576556,5,50.49340324,"North Vancouver Island, British Columbia",94,5,"North Vancouver Island, British Columbia"
"28","NV_PC","BC_NV","BC_NV",50.5176714,-127.6544689,5,50.49340324,"North Vancouver Island, British Columbia",94,5,"North Vancouver Island, British Columbia"
"29","NV_KB","BC_NV","BC_NV",50.4963966,-127.8562984,5,50.49340324,"North Vancouver Island, British Columbia",94,5,"North Vancouver Island, British Columbia"
"30","NV_BI","BC_NV","BC_NV",50.487651,-128.04074893,5,50.49340324,"North Vancouver Island, British Columbia",94,5,"North Vancouver Island, British Columbia"
"31","NV_JL","BC_NV","BC_NV",50.4437492,-127.5012128,5,50.49340324,"North Vancouver Island, British Columbia",94,5,"North Vancouver Island, British Columbia"
"32","IC_OPB","BC_IC","BC_IC",50.137133,-125.2143,6,50.0923832,"Inner Coast, British Columbia",99,5,"Inner Coast, British Columbia"
"33","IC_MAB","BC_IC","BC_IC",50.11775,-125.226367,6,50.0923832,"Inner Coast, British Columbia",99,5,"Inner Coast, British Columbia"
"34","IC_SHS","BC_IC","BC_IC",50.09095,-125.045067,6,50.0923832,"Inner Coast, British Columbia",99,5,"Inner Coast, British Columbia"
"35","IC_GOW","BC_IC","BC_IC",50.0802,-125.216483,6,50.0923832,"Inner Coast, British Columbia",99,5,"Inner Coast, British Columbia"
"36","IC_SMB","BC_IC","BC_IC",50.035883,-124.995,6,50.0923832,"Inner Coast, British Columbia",99,5,"Inner Coast, British Columbia"
"37","PP_EB","BC_PP","BC_PP",49.195217,-125.9433,7,49.0374493846154,"Pacific Rim Park, British Columbia",117,13,"Pacific Rim Park, British Columbia"
"38","PP_S","BC_PP","BC_PP",49.19295,-125.862383,7,49.0374493846154,"Pacific Rim Park, British Columbia",117,13,"Pacific Rim Park, British Columbia"
"39","PP_M","BC_PP","BC_PP",49.1844,-125.884767,7,49.0374493846154,"Pacific Rim Park, British Columbia",117,13,"Pacific Rim Park, British Columbia"
"40","PP_O","BC_PP","BC_PP",49.171917,-125.915683,7,49.0374493846154,"Pacific Rim Park, British Columbia",117,13,"Pacific Rim Park, British Columbia"
"41","PP_MI","BC_PP","BC_PP",49.1213,-125.825617,7,49.0374493846154,"Pacific Rim Park, British Columbia",117,13,"Pacific Rim Park, British Columbia"
"42","PP_K","BC_PP","BC_PP",49.104117,-125.748433,7,49.0374493846154,"Pacific Rim Park, British Columbia",117,13,"Pacific Rim Park, British Columbia"
"43","PP_SI","BC_PP","BC_PP",48.992217,-125.346867,7,49.0374493846154,"Pacific Rim Park, British Columbia",117,13,"Pacific Rim Park, British Columbia"
"44","PP_MB","BC_PP","BC_PP",48.97404,-125.31132,7,49.0374493846154,"Pacific Rim Park, British Columbia",117,13,"Pacific Rim Park, British Columbia"
"45","PP_HI","BC_PP","BC_PP",48.951517,-125.30975,7,49.0374493846154,"Pacific Rim Park, British Columbia",117,13,"Pacific Rim Park, British Columbia"
"46","PP_JJ","BC_PP","BC_PP",48.92145,-125.275733,7,49.0374493846154,"Pacific Rim Park, British Columbia",117,13,"Pacific Rim Park, British Columbia"
"47","PP_G","BC_PP","BC_PP",48.9123,-125.260333,7,49.0374493846154,"Pacific Rim Park, British Columbia",117,13,"Pacific Rim Park, British Columbia"
"48","PP_C","BC_PP","BC_PP",48.8883,-125.379833,7,49.0374493846154,"Pacific Rim Park, British Columbia",117,13,"Pacific Rim Park, British Columbia"
"49","PP_E","BC_PP","BC_PP",48.877117,-125.3054,7,49.0374493846154,"Pacific Rim Park, British Columbia",117,13,"Pacific Rim Park, British Columbia"
"50","PS_BB","WA_PSa","WA_PS",48.728233,-122.506733,8,48.566266362,"Puget Sound & Padilla Bay, Washington",155,10,"Padilla Bay, Washington"
"51","PS_NC","WA_PSb","WA_PS",48.704317,-123.0571814,8,48.566266362,"Puget Sound & Padilla Bay, Washington",155,10,"San Juan Islands, Washington"
"52","PS_BH","WA_PSb","WA_PS",48.6917494,-122.9527529,8,48.566266362,"Puget Sound & Padilla Bay, Washington",155,10,"San Juan Islands, Washington"
"53","PS_IC","WA_PSb","WA_PS",48.5634903,-122.9348941,8,48.566266362,"Puget Sound & Padilla Bay, Washington",155,10,"San Juan Islands, Washington"
"54","PS_YB","WA_PSa","WA_PS",48.5239166667,-122.6215166667,8,48.566266362,"Puget Sound & Padilla Bay, Washington",155,10,"Padilla Bay, Washington"
"55","PS_SP","WA_PSa","WA_PS",48.5092333333,-122.6861,8,48.566266362,"Puget Sound & Padilla Bay, Washington",155,10,"Padilla Bay, Washington"
"56","PS_SH","WA_PSa","WA_PS",48.505383,-122.674583,8,48.566266362,"Puget Sound & Padilla Bay, Washington",155,10,"Padilla Bay, Washington"
"57","PS_BV","WA_PSa","WA_PS",48.48472222,-122.4825,8,48.566266362,"Puget Sound & Padilla Bay, Washington",155,10,"Padilla Bay, Washington"
"58","PS_FB","WA_PSb","WA_PS",48.4829,-123.07476,8,48.566266362,"Puget Sound & Padilla Bay, Washington",155,10,"San Juan Islands, Washington"
"59","PS_FJ","WA_PSb","WA_PS",48.4687187,-123.0033189,8,48.566266362,"Puget Sound & Padilla Bay, Washington",155,10,"San Juan Islands, Washington"
"60","WB_DP","WA_WB","WA_WB",46.9986,-124.12846,9,46.7286288888889,"Willapa Bay, Washington",110,9,"Willapa Bay, Washington"
"61","WB_SB","WA_WB","WA_WB",46.89055,-124.0878,9,46.7286288888889,"Willapa Bay, Washington",110,9,"Willapa Bay, Washington"
"62","WB_WP","WA_WB","WA_WB",46.89035,-124.08561,9,46.7286288888889,"Willapa Bay, Washington",110,9,"Willapa Bay, Washington"
"63","WB_WR","WA_WB","WA_WB",46.69633,-123.89737,9,46.7286288888889,"Willapa Bay, Washington",110,9,"Willapa Bay, Washington"
"64","WB_SP","WA_WB","WA_WB",46.6802,-123.9204,9,46.7286288888889,"Willapa Bay, Washington",110,9,"Willapa Bay, Washington"
"65","WB_CO","WA_WB","WA_WB",46.6722,-123.94543,9,46.7286288888889,"Willapa Bay, Washington",110,9,"Willapa Bay, Washington"
"66","WB_BC","WA_WB","WA_WB",46.64016,-123.94413,9,46.7286288888889,"Willapa Bay, Washington",110,9,"Willapa Bay, Washington"
"67","WB_ST","WA_WB","WA_WB",46.59383,-124.02369,9,46.7286288888889,"Willapa Bay, Washington",110,9,"Willapa Bay, Washington"
"68","WB_PA","WA_WB","WA_WB",46.49544,-124.02619,9,46.7286288888889,"Willapa Bay, Washington",110,9,"Willapa Bay, Washington"
"69","YB_F","OR_YB","OR_YB",44.6238,-124.0589,10,44.6191875,"Yaquina Bay, Oregon",71,4,"Yaquina Bay, Oregon"
"70","YB_SBN","OR_YB","OR_YB",44.622867,-124.023817,10,44.6191875,"Yaquina Bay, Oregon",71,4,"Yaquina Bay, Oregon"
"71","YB_IF","OR_YB","OR_YB",44.617633,-124.029183,10,44.6191875,"Yaquina Bay, Oregon",71,4,"Yaquina Bay, Oregon"
"72","YB_SBS","OR_YB","OR_YB",44.61245,-124.013317,10,44.6191875,"Yaquina Bay, Oregon",71,4,"Yaquina Bay, Oregon"
"73","CB_BV","OR_CB","OR_CB",43.35965,-124.316933,11,43.35965,"Coos Bay, Oregon",25,2,"Coos Bay, Oregon"
"74","CB_FP","OR_CB","OR_CB",43.35965,-124.310117,11,43.35965,"Coos Bay, Oregon",25,2,"Coos Bay, Oregon"
"75","HB_EB","CA_HB","CA_HB",40.803473,-124.176972,12,40.7708786666667,"Humboldt Bay, California",16,3,"Humboldt Bay, California"
"76","HB_SB","CA_HB","CA_HB",40.771828,-124.212405,12,40.7708786666667,"Humboldt Bay, California",16,3,"Humboldt Bay, California"
"77","HB_KS","CA_HB","CA_HB",40.737335,-124.22034,12,40.7708786666667,"Humboldt Bay, California",16,3,"Humboldt Bay, California"
"78","NC_B","CA_NCa","CA_NC",38.3339,-123.0595,13,38.1991466666667,"Bodega Bay, California",42,6,"Bodega Bay, California"
"79","NC_WP","CA_NCa","CA_SF",38.319,-123.054,14,38.0281175,"San Francisco Bay, California",63,4,"Bodega Bay, California"
"80","NC_D","CA_NCa","CA_NC",38.30995,-123.059,13,38.1991466666667,"Bodega Bay, California",42,6,"Bodega Bay, California"
"81","NC_NC","CA_NCa","CA_NC",38.206,-122.926,13,38.1991466666667,"Bodega Bay, California",42,6,"Bodega Bay, California"
"82","NC_BL","CA_NCa","CA_NC",38.19,-122.93,13,38.1991466666667,"Bodega Bay, California",42,6,"Bodega Bay, California"
"83","NC_E","CA_NCa","CA_NC",38.10503,-122.8484,13,38.1991466666667,"Bodega Bay, California",42,6,"Bodega Bay, California"
"84","NC_DE","CA_NCc","CA_NC",38.05,-122.94,13,38.1991466666667,"Bodega Bay, California",42,6,"San Francisco Bay 2, California"
"85","NC_PS","CA_NCb","CA_SF",37.9733,-122.42098,14,38.0281175,"San Francisco Bay, California",63,4,"San Francisco Bay 1, California"
"86","NC_PM","CA_NCb","CA_SF",37.94615,-122.41951,14,38.0281175,"San Francisco Bay, California",63,4,"San Francisco Bay 1, California"
"87","NC_RB","CA_NCb","CA_SF",37.87402,-122.49204,14,38.0281175,"San Francisco Bay, California",63,4,"San Francisco Bay 1, California"
"88","MB_CB","CA_MB","CA_MB",35.37232,-120.85978,15,35.3664355,"Morro Bay, California",36,2,"Morro Bay, California"
"89","MB_TP","CA_MB","CA_MB",35.360551,-120.85194,15,35.3664355,"Morro Bay, California",36,2,"Morro Bay, California"
"90","LA_MS","CA_LA","CA_LA",33.7680452,-118.1285217,16,33.7038516333333,"Los Angeles, California",93,6,"Los Angeles, California"
"91","LA_JD","CA_LA","CA_LA",33.7617344,-118.1203273,16,33.7038516333333,"Los Angeles, California",93,6,"Los Angeles, California"
"92","LA_AB","CA_LA","CA_LA",33.756244,-118.1311329,16,33.7038516333333,"Los Angeles, California",93,6,"Los Angeles, California"
"93","LA_SP","CA_LA","CA_LA",33.713624,-118.283817,16,33.7038516333333,"Los Angeles, California",93,6,"Los Angeles, California"
"94","LA_UN","CA_LA","CA_LA",33.6213162,-117.8994115,16,33.7038516333333,"Los Angeles, California",93,6,"Los Angeles, California"
"95","LA_LN","CA_LA","CA_LA",33.602146,-117.8826433,16,33.7038516333333,"Los Angeles, California",93,6,"Los Angeles, California"
"96","SD_SDL","CA_SD","CA_SD",32.970861,-117.251741,17,32.7631145,"San Diego region, California",82,6,"San Diego region, California"
"97","SD_KF","CA_SD","CA_SD",32.795375,-117.229336,17,32.7631145,"San Diego region, California",82,6,"San Diego region, California"
"98","SD_FI","CA_SD","CA_SD",32.772414,-117.220498,17,32.7631145,"San Diego region, California",82,6,"San Diego region, California"
"99","SD_SI","CA_SD","CA_SD",32.713857,-117.225517,17,32.7631145,"San Diego region, California",82,6,"San Diego region, California"
"100","SD_CI","CA_SD","CA_SD",32.7005,117.17312,17,32.7631145,"San Diego region, California",82,6,"San Diego region, California"
"101","SD_CV","CA_SD","CA_SD",32.62568,-117.1066,17,32.7631145,"San Diego region, California",82,6,"San Diego region, California"
