"","found_taxa","common_name","rank"
"127","Cheilotrema saturnum","Black croaker","species"
"128","Paraclinus integripinnis","Reef finspot","species"
"129","Hypsoblennius gilberti","Rockpool blenny","species"
"130","Strongylura exilis","Californian needlefish","species"
"131","Sphyraena argentea","Pacific barracuda","species"
"132","Genyonemus lineatus","White croaker","species"
"133","Rhinichthys cataractae","Longnose dace","species"
"134","Trachurus symmetricus","Pacific jack mackerel","species"
"135","Agonopsis vulsa","Northern spearnose poacher","species"
"136","Chitonotus pugetensis","Roughback sculpin","species"
"137","Syngnathus auliscus","Barred pipefish","species"
"138","Clinocottus analis","Wooly sculpin","species"
"139","Bodianus pulcher","California sheephead","species"
"140","Gobiesox rhessodon","California clingfish","species"
