seed_asv,motu,asv,asv_reads
ASV2702,motu956,ASV2702,366
ASV2702,motu956,ASV2702,366
ASV2703,motu957,ASV2703,366
ASV2703,motu957,ASV2703,366
ASV2706,motu958,ASV2706,364
ASV2706,motu958,ASV2706,364
ASV2707,motu959,ASV2707,364
ASV2707,motu959,ASV2707,364
ASV2710,motu960,ASV2710,363
ASV2710,motu960,ASV2710,363
ASV2711,motu961,ASV2711,363
ASV2711,motu961,ASV2711,363
ASV2712,motu962,ASV2712,362
ASV2712,motu962,ASV2712,362
ASV2714,motu963,ASV2714,362
ASV2714,motu963,ASV2714,362
ASV2721,motu964,ASV2721,360
ASV2721,motu964,ASV2721,360
ASV2723,motu965,ASV2723,359
ASV2723,motu965,ASV2723,359
ASV2724,motu966,ASV2724,359
ASV2724,motu966,ASV2724,359
ASV2728,motu967,ASV2728,358
ASV2728,motu967,ASV2728,358
ASV2730,motu968,ASV2730,358
ASV2730,motu968,ASV2730,358
ASV2739,motu969,ASV2739,354
ASV2739,motu969,ASV2739,354
ASV2742,motu970,ASV2742,353
ASV2742,motu970,ASV2742,353
ASV2743,motu971,ASV2743,353
ASV2743,motu971,ASV2743,353
ASV2744,motu972,ASV2744,353
ASV2744,motu972,ASV2744,353
ASV2749,motu973,ASV2749,351
ASV2749,motu973,ASV2749,351
ASV2750,motu974,ASV2750,350
ASV2750,motu974,ASV2750,350
ASV2752,motu975,ASV2752,350
ASV2752,motu975,ASV2752,350
ASV2755,motu976,ASV2755,350
ASV2755,motu976,ASV2755,350
ASV2766,motu977,ASV2766,348
ASV2766,motu977,ASV2766,348
ASV2769,motu978,ASV2769,347
ASV2769,motu978,ASV3674,171
ASV2769,motu978,ASV4374,80
ASV2769,motu978,ASV2769,598
ASV2770,motu979,ASV2770,347
ASV2770,motu979,ASV3367,219
ASV2770,motu979,ASV2770,566
ASV2772,motu980,ASV2772,346
ASV2772,motu980,ASV2772,346
ASV2774,motu981,ASV2774,345
ASV2774,motu981,ASV2774,345
ASV2780,motu982,ASV2780,343
ASV2780,motu982,ASV2780,343
ASV2781,motu983,ASV2781,343
ASV2781,motu983,ASV4507,61
ASV2781,motu983,ASV2781,404
ASV2782,motu984,ASV2782,343
ASV2782,motu984,ASV2782,343
ASV2783,motu985,ASV2783,343
ASV2783,motu985,ASV2783,343
ASV2785,motu986,ASV2785,341
ASV2785,motu986,ASV2785,341
ASV2786,motu987,ASV2786,340
ASV2786,motu987,ASV2786,340
ASV2789,motu988,ASV2789,340
ASV2789,motu988,ASV2789,340
ASV2790,motu989,ASV2790,340
ASV2790,motu989,ASV2790,340
ASV2791,motu990,ASV2791,340
ASV2791,motu990,ASV2791,340
ASV2792,motu991,ASV2792,340
ASV2792,motu991,ASV2792,340
ASV2794,motu992,ASV2794,339
ASV2794,motu992,ASV2794,339
ASV2796,motu993,ASV2796,339
ASV2796,motu993,ASV2796,339
ASV2799,motu994,ASV2799,338
ASV2799,motu994,ASV2799,338
ASV2801,motu995,ASV2801,338
ASV2801,motu995,ASV2801,338
ASV2802,motu996,ASV2802,337
ASV2802,motu996,ASV2802,337
