species,common_name,overlap2,edna_max,edna_min,bd_max,bd_min,edna_sub,bd_sub
Cheilotrema saturnum,Black croaker,0.6,33.6021545,32.9605182666667,33.95,32.64096,0.667403766666709,0
Pleuronichthys guttulatus,Diamond turbot,0.7,33.7680093197464,32.9708305,38.117464,32.092222,5.228063180253599,0
Strongylura exilis,Californian needlefish,0.8,33.6212996,32.795375,33.972004,32.61,0.5360793999999984,0
Hypsoblennius gilberti,Rockpool blenny,0.8,33.6021545,32.714169,38.2306,32.6,4.742614500000002,0
Scomber japonicus,Chub mackerel,0.8,33.6021545,32.714169,51.73825,32.579497,18.270767499999998,0
Brachygenys californiensis,Californian salema,0.9,33.7680093197464,32.714169,33.971813,32.624573,0.2933996802536001,0
Anchoa compressa,Deep body anchovy,0.9,33.7680093197464,32.7777246666667,33.980656,32.61,0.38037134692030605,0
Anisotremus davidsonii,Xantic sargo,0.9,33.7680093197464,32.7777246666667,33.99853333,32.6,0.40824867692030153,0
Umbrina roncador,Yellowfin drum,0.9,33.7680093197464,32.7005,33.985297,32.579637,0.3381506802536052,0
Anchoa delicatissima,Slough anchovy,0.9,33.7680093197464,32.7005,33.98,32.450222,0.4622686802536009,0
Paralabrax nebulifer,Barred sand bass,0.9,33.756244,32.7005,33.99853333,32.413826,0.5289633299999963,0
Seriola lalandi,Yellowtail amberjack,0.9,33.713624,32.714169,33.981779,32.304146,0.6781779999999955,0
Typhlogobius californiensis,Blind goby,0.9,35.3604406666667,32.714169,33.95,32.61,0.10416899999999885,1.4104406666666947
Menticirrhus undulatus,California kingcroaker,0.9,33.7680093197464,32.714169,35.345088,32.558636,1.7326116802535978,0
Fundulus parvipinnis,California killifish,0.9,35.372155,32.7777246666667,35.36828,32,0.7777246666666997,0.003875000000000739
Heterostichus rostratus,Giant kelpfish,0.9,35.372155,32.7005,37.5007,32.4,2.429045000000002,0
Hypsoblennius jenkinsi,Mussel blenny,0.9,33.756244,32.7005,37.999902,32.6,4.344157999999993,0
Tridentiger trigonocephalus,Chameleon goby invasive,0.9,37.9461065,33.7618821,38.11559,32.651136,1.2802295999999984,0
Girella nigricans,Rudderfish,0.9,33.756244,32.714169,37.598061,32,4.555985999999997,0
Micrometrus minimus,Dwarf perch,0.9,37.9461065,32.7005,38.564914,32.664784,0.6545235000000034,0
Gillichthys mirabilis,Longjaw mudsucker,0.9,38.10503,35.372155,38.136261,32.092222,3.311163999999998,0
Leuresthes tenuis,California grunion,0.9,33.713624,32.7005,38.08,32,5.0668759999999935,0
Paralabrax clathratus,Kelp bass,0.9,33.713624,32.714169,38.92769,32.442251,5.485983999999995,0
Embiotoca jacksoni,Black perch,0.9,38.3188803333333,32.714169,41.055,32.4,3.0502886666667024,0
Liparis cyclopus,Ribbon snailfish,0.9,58.331876375,50.4971572,58.3458,48.081389,2.429691824999992,0
