"","sample_id","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percent_retained_aftermerge","percent_notsingleton","percent_notchimera"
"39","filtered20250425_PECOe-035_S31_R1_001",201177,201177,201177,201177,201106,201002,198548,197893,197801,98.7280339721341,99.6701049620243,99.953510230276
"40","filtered20250425_PECOe-036_S32_R1_001",219365,219365,219365,219365,219269,218747,215056,214948,213936,98.0786157641983,99.9497805222826,99.5291884548821
"41","filtered20250425_PECOe-037_S33_R1_001",12181,12181,12181,12181,12175,12172,12088,12088,12088,99.2854209445585,100,100
"42","filtered20250425_PECOe-038_S34_R1_001",172954,172954,172954,172954,172875,172611,170110,170087,168293,98.4005784526392,99.9864793368997,98.9452456683932
"43","filtered20250425_PECOe-039_S35_R1_001",246204,246204,246204,246204,246027,245547,240833,240470,238291,97.8888495978084,99.8492731477829,99.0938578616875
"44","filtered20250425_PECOe-040_S36_R1_001",260649,260649,260649,260649,260549,260314,256636,256604,253231,98.4981711693386,99.9875309777272,98.685523218656
"45","filtered20250425_PECOe-042_S38_R1_001",245549,245549,245549,245549,245458,245197,241567,241561,238120,98.4148000879988,99.997516217033,98.5755150872864
"46","filtered20250425_PECOe-043_S39_R1_001",244252,244252,244252,244252,244056,243931,239512,239165,237335,98.1381322319468,99.8551220815659,99.2348378734347
"47","filtered20250425_PECOe-044_S40_R1_001",73251,73251,73251,73251,73177,73063,72194,72192,68189,98.6566817442639,99.9972296866776,94.4550642730496
"48","filtered20250425_PECOe-045_S41_R1_001",293577,293577,293577,293577,293494,292850,288140,288039,280582,98.1757719067511,99.9649475949191,97.4111144671381
"49","filtered20250425_PECOe-046_S42_R1_001",200188,200188,200188,200188,199944,199570,197230,196877,186648,98.6426199335814,99.8210211428282,94.8043702413182
"50","filtered20250425_PECOe-047_S43_R1_001",241479,241479,241479,241479,241393,241216,234660,234599,233538,97.2107724747611,99.9740049433223,99.547738907668
"51","filtered20250425_PECOe-048_S44_R1_001",251885,251885,251885,251885,251758,251572,246597,246597,244503,97.9500154910668,100,99.1508412511101
"52","filtered20250425_PECOe-049_S45_R1_001",900,900,900,900,900,898,898,898,898,99.7777777777778,100,100
"53","filtered20250425_PECOe-050_S46_R1_001",206215,206215,206215,206215,206097,205835,203650,203338,197774,98.8126949931343,99.8467959734839,97.2636693584082
