"","sample_id","raw_f","raw_r","cutadapt_f","cutadapt_r","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percentraw_retainedby_cutadapt","percent_retained_aftermerge","percent_notsingleton","percent_notchimera","percent_retained_of_raw"
"200","PECOe205_S198_L001_R1_001",535,535,535,535,112,112,112,112,64,62,57,57,42,100,89.0625,100,73.6842105263158,7.85046728971963
"201","PECOe206_S199_L001_R1_001",116640,116640,116508,116508,98074,98074,98074,98074,97924,97635,95590,95571,91646,99.8868312757202,97.6165189330501,99.9801234438749,95.8931056492032,78.5716735253772
"202","PECOe207_S200_L001_R1_001",100769,100769,100634,100634,83092,83092,83092,83092,82880,82429,80589,80540,75718,99.8660302275501,97.2357625482626,99.9391976572485,94.0129128383412,75.14017207673
"203","PECOe208_S201_L001_R1_001",22715,22715,22639,22639,18904,18904,18904,18904,18859,18800,17888,17888,17444,99.6654193264363,94.8512646481786,100,97.5178890876565,76.7950693374422
"204","PECOe209_S202_L001_R1_001",55839,55839,55792,55792,44995,44995,44995,44995,44909,44695,43542,43542,42798,99.9158294382063,96.9560667126857,100,98.2913049469478,76.6453553967657
"205","PECOe210_S203_L001_R1_001",63205,63205,63141,63141,50325,50325,50325,50325,50269,50141,49279,49279,47193,99.898742188118,98.0305953967654,100,95.7669595568092,74.6665611897793
"206","PECOXN001_S204_L001_R1_001",350,350,346,346,70,70,70,70,26,28,25,25,25,98.8571428571429,96.1538461538462,100,100,7.14285714285714
"207","PECOXN002_S205_L001_R1_001",320,320,320,320,63,63,63,63,35,34,32,32,32,100,91.4285714285714,100,100,10
"208","PECOXN003_S206_L001_R1_001",394,394,386,386,98,98,98,98,71,89,68,68,68,97.9695431472081,95.7746478873239,100,100,17.258883248731
"209","PECOXN004_S207_L001_R1_001",112,112,110,110,29,29,29,29,16,11,0,0,0,98.2142857142857,0,NA,NA,0
"210","PECOXN005A_S208_L001_R1_001",322,322,320,320,162,162,162,162,139,143,133,133,103,99.3788819875776,95.6834532374101,100,77.4436090225564,31.9875776397516
"211","PECOXN005B_S209_L001_R1_001",254,254,254,254,139,139,139,139,137,125,121,121,121,100,88.3211678832117,100,100,47.6377952755905
"212","PECOXN006_S210_L001_R1_001",205,205,203,203,57,57,57,57,42,42,39,39,20,99.0243902439024,92.8571428571429,100,51.2820512820513,9.75609756097561
"213","PECOXN007_S211_L001_R1_001",258,258,256,256,116,116,116,116,103,99,96,96,96,99.2248062015504,93.2038834951456,100,100,37.2093023255814
"214","PECOXN008_S212_L001_R1_001",217,217,216,216,51,51,51,51,26,26,25,25,25,99.5391705069124,96.1538461538462,100,100,11.5207373271889
"215","PECOXN009_S213_L001_R1_001",2091,2091,2087,2087,1416,1416,1416,1416,1389,1371,1369,1369,1369,99.8087039693926,98.5601151907847,100,100,65.4710664753706
"216","PECOXN010_S214_L001_R1_001",409,409,406,406,89,89,89,89,54,43,42,42,42,99.2665036674817,77.7777777777778,100,100,10.2689486552567
"217","Undetermined_S0_L001_R1_001",4050426,4050426,3994244,3994244,305821,305821,305821,305821,294908,286295,219834,219825,218273,98.6129360220382,74.5432473856253,99.9959060018014,99.2939838507904,5.3888899587352
