found_taxa,common_name,rank,motu,motu_swarm,asv,curated,lulu_rank,found_taxa_asv,common_name_asv,rank_asv,identity_percentage,evalue,kingdom,phylum,class,order,family,genus,freshwater_only
uncultured bacterium,Bacteria,outgroup,motu798,motu798,ASV1403,parent,812,uncultured bacterium,Bacteria,outgroup,98.438,5.53e-127,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu800,motu800,ASV1405,parent,814,uncultured bacterium,Bacteria,outgroup,98.419,2.54e-125,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu803,motu803,ASV1408,parent,652,uncultured bacterium,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu803,motu803,ASV2063,parent,652,uncultured bacterium,Bacteria,outgroup,99.605,2.5199999999999995e-130,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu805,motu805,ASV1410,parent,818,uncultured bacterium,Bacteria,outgroup,98.77,5.57e-122,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu806,motu806,ASV1411,parent,820,uncultured bacterium,Bacteria,outgroup,96.047,2.58e-115,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu815,motu815,ASV1426,parent,827,uncultured bacterium,Bacteria,outgroup,97.61,7.119999999999999e-121,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu826,motu826,ASV1443,parent,838,uncultured bacterium,Bacteria,outgroup,97.119,9.269999999999999e-115,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu829,motu829,ASV1447,parent,843,uncultured bacterium,Bacteria,outgroup,96.443,5.54e-117,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu830,motu830,ASV1448,parent,842,uncultured bacterium,Bacteria,outgroup,99.18,1.2000000000000002e-123,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu832,motu832,ASV1451,parent,845,uncultured bacterium,Bacteria,outgroup,99.163,7.119999999999999e-121,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu840,motu840,ASV1465,parent,853,uncultured bacterium,Bacteria,outgroup,97.222,9.21e-120,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu844,motu844,ASV1471,parent,856,uncultured bacterium,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu845,motu845,ASV1473,parent,857,uncultured bacterium,Bacteria,outgroup,98.776,1.53e-122,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu846,motu846,ASV1475,parent,858,uncultured bacterium,Bacteria,outgroup,96.838,1.19e-118,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu847,motu847,ASV1476,parent,859,uncultured bacterium,Bacteria,outgroup,97.222,9.21e-120,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu848,motu848,ASV1478,parent,860,uncultured bacterium,Bacteria,outgroup,98.419,2.54e-125,Bacteria,NA,NA,NA,NA,NA,NA
