found_taxa,common_name,rank,motu,motu_swarm,asv,curated,lulu_rank,found_taxa_asv,common_name_asv,rank_asv,identity_percentage,evalue,kingdom,phylum,class,order,family,genus,freshwater_only
Acanthogobius flavimanus,Yellowfin goby,species,motu90,motu90,ASV137,parent,80,Acanthogobius flavimanus,Yellowfin goby,species,100,2.2e-84,Eukaryota,Chordata,Teleostei,Gobiiformes,Gobiidae,Acanthogobius,0
Acanthogobius flavimanus,Yellowfin goby,species,motu90,motu90,ASV154,parent,80,Acanthogobius flavimanus,Yellowfin goby,species,100,2.2e-84,Eukaryota,Chordata,Teleostei,Gobiiformes,Gobiidae,Acanthogobius,0
Acipenser,White sturgeon,genus,motu191,motu191,ASV369,parent,207,Acipenser,White sturgeon,genus,100,1.4200000000000001e-91,Eukaryota,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,0
Acipenser transmontanus,White sturgeon,species,motu155,motu155,ASV305,parent,168,Acipenser transmontanus,White sturgeon,species,100,1.4200000000000001e-91,Eukaryota,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,0
Agonopsis vulsa,Northern spearnose poacher,species,motu167,motu167,ASV331,parent,184,Agonopsis vulsa,Northern spearnose poacher,species,100,1.73e-85,Eukaryota,Chordata,Teleostei,Perciformes,Agonidae,Agonopsis,0
Alces alces,Moose,outgroup,motu39,motu39,ASV49,parent,54,Alces alces,Moose,outgroup,100,6.150000000000001e-85,Eukaryota,Chordata,Mammalia,Artiodactyla,Cervidae,Alces,NA
Alosa pseudoharengus,Alewife invasive,species,motu136,motu136,ASV255,parent,147,Alosa pseudoharengus,Alewife invasive,species,100,1.0599999999999998e-87,Eukaryota,Chordata,Teleostei,Clupeiformes,Alosidae,Alosa,0
Alosa sapidissima,American shad,species,motu61,motu61,ASV79,parent,81,Alosa sapidissima,American shad,species,100,1.0599999999999998e-87,Eukaryota,Chordata,Teleostei,Clupeiformes,Alosidae,Alosa,0
Ammodytes personatus,Pacific sandlance,species,motu17,motu17,ASV19,parent,19,Ammodytes personatus,Pacific sandlance,species,100,1.72e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu17,motu17,ASV108,parent,19,Ammodytes personatus,Pacific sandlance,species,100,1.73e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu17,motu17,ASV812,parent,19,Ammodytes personatus,Pacific sandlance,species,99.408,8.02e-84,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu17,motu17,ASV1160,parent,19,Ammodytes personatus,Pacific sandlance,species,99.408,8.02e-84,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu17,motu17,ASV220,parent,19,Ammodytes personatus,Pacific sandlance,species,99.408,8.07e-84,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu17,motu17,ASV364,parent,19,Ammodytes personatus,Pacific sandlance,species,99.408,8.07e-84,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
