decimal_latitude,decimal_longitude
43.788833,-62.225833
43.7752351913901,-68.6448455571447
43.718833,-67.038167
43.8097,-67.0562
42.220667,-66.478333
43.895667,-67.2155
41.68,-68.87
40.777167,-67.5045
43.633333,-67.016667
41.2,-68.083333
43.9412400230189,-68.3202202494588
40.916667,-68.816667
40.05,-71.08
41.769333,-68.5215
40.650422,-70.63366
40.108833,-70.271667
40.142953,-70.514745
40.45,-70.68
43.9767,-63.0802
41.887833,-65.809
41.43,-66.22
42.272833,-66.495333
42.8793,-67.601
43.8640550051662,-69.0833649403049
42.699167,-66.5885
41.060333,-69.482167
43.8554402158693,-69.2775405712001
41.7715,-65.946833
43.516667,-68.966667
40.55,-70.3
42.55,-68.116667
40.35,-70.933333
42.88,-66.57
42.455,-66.427333
37.266667,-74.583333
43.8922200044813,-68.6628900130681
43.110167,-67.494833
42.777713,-68.28776
43.0147,-66.9415
42.9,-66.583333
43.6016952773601,-69.1020602208344
42.148,-67.422
41.716667,-68.55
42.740333,-67.502833
43.8323750203277,-69.4866752200166
42.7972,-67.0598
41.724833,-65.844333
40.3675,-68.025167
43.884333,-67.090167
45.4110984802,-73.9077682495
40.18,-70.97
41.866667,-69.483333
40.55,-70.73
40.48,-70.7
43.834645011946,-69.4867801516044
42.774,-67.3125
41.406333,-68.490833
42.107167,-68.9455
43.871250009153,-69.081085122455
44.411,-57.29917
41.7,-68.7
42.185333,-67.0715
46.98186765,-70.62750331
43.935667,-67.068333
42.606333,-67.3665
43.262,-67.316167
43.8304350360236,-69.4861902751743
43.333333,-67.75
43.1968,-66.874
42.522,-66.581
42.879333,-67.601
41.713667,-65.801
40.265017,-70.144955
41.821833,-65.7455
36.77,-74.65
42.913333,-66.989833
42.266667,-69.1
41.516667,-69.3
43.6043,-67.0228
40.4275,-69.9465
42.477333,-66.139333
43.52,-62.758167
42.483333,-68.433333
39.724333,-72.594018
43.1,-67.383333
40.95,-70.8
43.1485,-67.435167
43.05,-66.916667
41.436333,-68.542167
41.8935,-68.808667
40.42,-70.17
40.309833,-70.445
42.109667,-67.4555
43.7174651457584,-68.8167355450689
43.811833,-67.2235
43.189333,-67.419667
44.253167,-59.192333
42.902667,-66.954667
42.2175,-66.3192
43.9023652733435,-68.4589355101146
41.532666999999996,-69.214167
40.351333,-69.221833
43.1485,-67.4352
43.2485,-61.405667
43.487333,-67.210167
43.8372050342376,-68.4763002799182
42.166667,-68.966667
43.081,-66.919667
36.883333,-74.65
41.07,-69.12
42.65,-67.2833
42.05,-68.483333
19.9135623,-16.3978865
43.75,-67.166667
41.371312,-68.764648
41.785333,-66.742333
43.87,-67.2
43.9634153544462,-68.2641699373478
43.8016650590449,-69.3599153387449
41.95,-67.983333
41.97,-68.68
42.720333,-66.767167
42.9767,-65.5055
43.9348150610904,-69.1251852695456
43.8194152075939,-68.5709905054855
43.9494201579671,-68.4578302263427
41.2385,-68.742167
42.15,-68.9
40.25,-70.93
41.77,-68.35
41.9,-68.15
43.8422650135013,-69.110410153438
44.4109992981,-57.2991714478
40.186667,-70.644833
41.776167,-66.748667
42.416967,-67.676767
43.60849,-67.630898
43.326,-67.220667
43.814347,-67.673958
43.652333,-67.431667
40.616667,-68.933333
43.235667,-63.1555
46.97465698,-70.63931479
42.898,-66.581
38.84,-72.931
41.35,-68.016667
42.612167,-68.286333
40.183333,-70.483333
43.73,-68.03
43.9655,-67.209333
42.835167,-63.637833
40.93,-66.7
40.231167,-68.820667
43.8834950354563,-68.4504347002047
42.437333,-68.0105
42.27,-69.1
43.63,-67.02
43.8576651790685,-68.4650605192276
40.116667,-71.15
41.343667,-66.237167
41.349333,-67.235
42.5,-68.1999969482
42.173167,-66.965333
43.9082750045381,-68.7561900385651
39.315845,-72.543943
41.566333,-69.270167
41.88,-68.08
43.9687,-67.2005
41.241833,-67.2765
41.033333,-68.716667
41.412333,-68.748833
43.9405200054783,-68.6023450686149
39.489167,-72.353167
42.6033,-66.9875
43.2235,-67.4987
42.6505,-66.785833
40.6153,-70.528167
43.7702050684697,-69.178474596965
41.2015,-68.831333
42.718167,-66.902833
43.9128351964201,-68.6288355396008
42.966667,-68.566667
40.416667,-69.533333
41.164167,-68.698833
43.866667,-67.666667
40.62,-69.83
46.9890848,-70.60780081
43.5746643791867,-69.1365694149648
41.456833,-66.054
43.006167,-62.867
43.854444,-62.0928
43.8106650183924,-69.1139251908085
41.396667,-66.125167
42.026633,-67.808583
43.9066252019612,-68.6312155011439
43.385667,-67.382
41.82,-68.67
43.205167,-66.874833
40.45,-70.683333
43.096833,-66.972333
41.603333,-66.961
42.747667,-66.428167
43.7886250408237,-69.0813952427866
43.73,-61.9
43.8767650151282,-69.0369898753498
43.7599750334828,-69.3575252852676
39.666667,-72.483333
41.816667,-68.183333
42.637123,-68.431332
41.033,-69.212333
43.1667,-67.45
41.506667,-68.918833
40.8,-70.233333
40.583333,-71.466667
40.333333,-67.733333
43.8315500105672,-69.4861301396538
40.18,-70.48
40.78,-70.37
42.999167,-62.963
40.566,-70.027
40.2,-70.133333
43.9643835002851,-68.2273920381748
42.7345,-67.389833
42.682833,-64.673667
46.98998685,-70.60517329
40.231167,-69.371667
43.7495,-67.049667
43.897167,-67.917167
38.992893,-72.81917
41.75,-68.28
41.685667,-68.564167
43.969667,-58.9225
47.04439216,-70.84479267
43.9369102375052,-69.1706754997585
37.23,-74.53
42.603333,-66.9875
43.776070214032,-68.6433256084857
43.9202403166812,-68.1516303573397
42.613,-66.2375
40.116667,-69.918
40.783333,-70.366667
40,-70.616667
40.12,-71.15
40.783333,-66.75
43.7892000746901,-68.7028345775289
41.916667,-69.333333
40.98,-66.97
40.433333,-68.05
43.8340750190977,-69.4861452036693
43.7715400106772,-68.7855701411598
43.3755,-67.132167
43.6317452160512,-69.4765744403951
42.919167,-66.919333
41.5,-68.716667
40.35,-71.45
42.984333,-67.452333
42.53,-69.08
43.775,-62.9513
43.262,-67.3162
42.0475,-66.718333
43.88,-67.35
43.774833,-62.335667
43.691333,-62.993333
43.8228100030517,-69.1077099632044
43.6628251942966,-69.4485422354052
43.25,-66.8333
43.976667,-63.080167
41.656167,-68.816333
43.198333,-67.456667
40.8625,-71.045
41.766667,-68.35
39.35,-72.73
43.897667,-67.355667
42.1725,-66.966167
43.1983,-67.4567
42.15,-66.4
41.874667,-65.835333
40.433333,-71.483333
43.089167,-63.23
43.368333,-62.938
38.933333,-72.866667
41.2855,-66.584333
40.358667,-68.816667
39.7,-72.25
40.33,-70.52
43.9648302924245,-69.1455002741066
42.497,-64.822
40.65,-69.83
40.6,-67.2
40.65,-70.333333
40.333333,-70.466667
42.8333,-67.6167
36.766667,-74.65
43.7864813394503,-69.1014959807118
41.93,-65.82
41.066667,-68.666667
43.8540951472541,-68.7356902491366
46.74087,-71.28593
37.483333,-74.483333
44.355667,-59.459
42.166667,-66.75
41.924167,-65.917833
42.33,-67.48
40.504,-67.778
42.31394,-67.775837
43.153167,-67.412667
40.5,-70.03
39.266667,-72.383333
42.65,-69.133333
42.515167,-65.4125
41.4,-66.083333
40.466667,-69.433333
34.6952,-79.8726
42.8667,-65.2
42.010667,-67.847
43.166667,-67.416667
42.685828,-67.759492
43.344675,-68.29841
43.263667,-67.475833
40.516667,-70.133333
43.9512603586629,-68.3255502746553
43.4,-68.866667
43.1333,-67.1
42.164,-66.846
40.82,-70.67
43.746333,-67.100667
39.25,-72.4
42.7715,-66.684667
42.4,-65.933333
41.915333,-68.629333
41.983333,-68.416667
40.17,-69.53
42.242,-67.1535
40.33,-67.73
41.666667,-68.85
43.1102,-67.4948
42.25,-69.383333
43.2052,-66.8748
35.3344421387,-77.4580535889
42.185952,-68.608445
42.8675,-62.594667
43.1053,-66.9195
40.2,-68.85
47.0453643,-70.81979442
42.883333,-68.65
40.645833,-70.6475
43.900115187155,-68.2886755209686
43.416667,-68.633333
47.04626389,-70.81979979
40.22,-70.85
43.566667,-67.866667
43.1222,-65.2992
41.735863,-68.398345
41.983333,-67.766667
42.68,-68.4
41.867667,-68.848833
40.05,-69.92
43.764910023258,-69.4914652490478
43.6660851366322,-69.4446904796047
42.603367,-68.651840000000007
43.1223,-67.3522
42.074667,-67.695333
47.04441952,-70.83558082
40.85,-71.15
43.8183350048076,-69.1151750506115
40.55,-67.65
41.729167,-65.799333
40.055167,-68.962667
43.925833,-68.253333
42.65,-67.28
41.783,-68.991667
42.783333,-67.283333
43.9671302524086,-68.315525
43.8894000284253,-68.4520447405247
43.6332,-67.0157
42.104,-69.007
42.019662,-68.046677
41.379667,-68.845667
40.98,-71.15
43.7672500183503,-69.4646651962595
40.659,-70.903333
41.789333,-65.7535
43.104,-69.279
40.9,-67.5
43.528155,-68.68057
43.65,-68.5
41.57,-68.75
40.05,-70.98
43.8538401446169,-68.73603527408
40.566667,-67.75
40.22,-71
43.7370501201748,-69.0803587741924
43.515833,-67.4845
42.104,-67.590333
43.899333,-67.352167
41.516667,-68.7
40.6715,-71.327833
42.644667,-66.6355
40.816667,-66.916667
40,-70.75
40.68,-67.57
43.428,-69.395167
41.7135,-65.802833
42.166667,-65.933333
43.854667,-62.092833
40.2,-69.95
41.376167,-68.6235
43.8,-67.7
42.583333,-68.25
43.2523,-66.7485
42.848,-66.9038
43.8479809438295,-68.6257393602119
40.43,-71.28
40.895167,-70.344
43.8426000165128,-69.109625189693
40.316667,-69.45
42.166667,-66.828333
41.773573,-68.611003
42.848167,-65.640833
43.736333,-61.9155
40.7,-71.2
43.266667,-68.483333
42.683333,-68.4
40.352333,-70.349667
43.105333,-66.9195
41.528167,-69.0015
40.4,-71.266667
40.33,-69.88
42.025592,-68.475473
41.6225,-69.231333
39.678667,-71.975667
42.253167,-67.105667
43.656425073944,-69.1203354167591
40.390833,-68.433167
42.723862,-68.964248
43,-62.37
43.6561126709,-123.72277832
40.72,-70.18
43.0715,-67.2293
43.269985,-69.333735
41.45,-66.07
41.722,-69.434167
43.5838352979082,-69.086420227371
36.8,-74.716667
43.7263400298479,-69.4514002793905
41.733333,-68.516667
43.8557352010407,-69.2776755370956
41.103,-69.152667
41.8,-69.4
40.643,-69.924167
41.320667,-68.906333
43.938,-67.207167
42.983333,-62.9
41.757117,-68.449467
43.6896669874127,-68.850947543279
42.22,-67.15
43.030905,-68.811522
39.190833,-72.681167
43.13,-67.1
41.477833,-66.035833
40.216667,-69.933333
43.2,-67.02
41.466667,-68.65
40.483333,-70.733333
40.32,-70.18
42.5935,-67.4735
42.988,-63.132333
43.080833,-66.968833
40.18,-71.05
43.0355,-65.060833
41.401833,-66.388333
41.908333,-68.4855
43.733333,-67.916667
43.8103,-67.117
40.316667,-68.366667
43.333333,-68.016667
43.25,-62.18
40.563333,-67.405333
43.6119500676524,-68.9408603817486
40.3,-69
43.269,-67.490667
42.7,-69.066667
43.9339903017944,-68.7847249986083
42.470833,-66.573667
42.932167,-62.334667
41.22,-69.05
43.037167,-62.789333
42.689158,-69.202327
40.9,-71.1
41.916667,-68.15
43.8315500276358,-69.0420502587118
43.9784000127668,-68.5079548610228
43.881740012266,-69.0365298421613
43.1535,-68.542667
40.55,-71.35
41.47,-66.03
43.17,-67.45
40.98,-68.3
43.1145,-66.871833
41.6725,-68.6065
41.079167,-69.121167
42.8825,-65.3245
40.133333,-71.483333
40.78,-70.73
43.261603,-68.597142
40.466667,-69.183333
40.63,-71.15
43.866667,-67.2
41.600333,-69.3705
42.976667,-65.5055
42.6992,-66.5885
42.219333,-66.015167
43.6098750103963,-69.4131248628543
43.133833,-67.070333
43.8171151147573,-69.3521954120384
40.75,-68.93
43.655,-67.3405
42.311333,-67.365333
41.53,-69.18
41.637,-66.772
41.62,-69.18
43.433333,-68.55
41.65,-68.3
41.77,-65.87
41.987648,-67.961615
43.8940801636005,-69.2211655581924
39.662333,-72.09
39.391233,-72.515383
42.416667,-67.75
40.38,-71.02
43.6843550033882,-68.7430165185174
43.62,-67.55
41.95,-67.92
43.9102850106687,-68.6541898766968
39.98,-69.98
42.078667,-68.427333
42.8875,-63.784167
40.033333,-70.383333
42.82,-65.37
43.7855,-67.304167
40.337,-71.121667
40.35,-70.9
40.233333,-70.7
43.9474800521534,-68.2834353522408
43.7576416886056,-69.3590502451024
40.318638,-71.07183
41.425333,-69.2485
40.2,-71
43.90755,-68.5847
40.42,-71.15
43.7494151411025,-69.1477255183562
40.37,-70.38
41.766667,-68.266667
43.8551850045011,-69.0600499587902
43.6964500293224,-69.0927251923231
43.633167,-67.015667
41.665833,-65.8345
43.6864650962852,-68.8536154573112
41.694615,-68.759685
40.416667,-69.316667
43.94405,-67.179682
40.516667,-67.633333
43.2235,-67.498667
43.0025,-61.753
43.6469802586888,-68.9134454392643
43.73,-67.92
37.15,-74.57
40.82,-66.92
42.146717,-66.31925
43.112333,-69.0025
40.55,-69.95
41.688883,-68.551667
41.156667,-67.996
41.0425,-68.754167
43.833333,-69.066667
39.7,-72.466667
40.59,-69.913667
40.317333,-70.1175
42.7203,-66.7672
42.978833,-61.8375
42.65,-66.55
43.7462900182827,-69.3454198109047
40.083333,-70.083333
43.166667,-61.383333
41.9695,-65.930333
41.52,-69.2
41.724167,-68.802833
43.7732400142386,-69.4460651711139
41.616667,-67.45
43.34884,-68.14576
46.98908963,-70.60254224
40.23,-71.28
40.3,-71.316667
43.9,-67.133333
43.662870108238,-69.4468754762832
39.526917,-72.4255
43.45,-68.42
42.875333,-67.148333
40.233333,-70.233333
43.25,-66.833333
43.753,-62.1715
42.6063,-67.3665
37.34879,-74.483292
42.935,-67.090167
41.95,-67.9
40.416667,-70.766667
39.433333,-72.733333
43.947750090008,-68.2852354206929
43.9566252800722,-68.2409854693593
42.2315,-67.0865
43.033333,-69.35
40.233333,-70.166667
40.47,-67.88
40.833333,-70.616667
41.72,-69.43
43.765700051943,-68.7270003848115
40.07,-71.43
43.269,-67.4907
39.989497,-70.019947
41.2445,-69.390333
39.02056,-72.975718
37.233333,-74.533333
43.98015,-67.21965
43.55,-62.333333
40.591333,-69.981667
40.138333,-70.195167
41.734667,-68.677167
40.55,-70.733333
43.669,-67.423833
42.181062,-67.637728
40.061167,-69.154
41.3885,-68.675
42.8482,-65.6408
43.9760953534737,-68.5119647625143
41.234345,-69.120368
39.958333,-71.398167
43.381667,-60.873833
40.23,-70.42
42.187662,-67.0815
43.184833,-66.772167
43.5757352683566,-68.8474854894839
42.057167,-68.781
46.92833333,-70.79472222
40.85,-70.583333
40.783512,-70.427163
43.421,-67.371333
37.416667,-74.666667
46.7408714294,-71.2859268188
39.666667,-72.683333
46.9890908,-70.6012276
43.728833,-62.4395
42.7333,-65.7167
40.333333,-70.483333
42.690667,-66.463
43.8202352459907,-68.5690004637957
43.733333,-68.033333
41.72,-68.8
40.336667,-69.8635
41.867833,-65.846167
43.9089850786896,-69.451690405005
43.040667,-67.330167
43.7855,-67.3042
43.7722850424188,-69.477865331747
43.8945,-67.303
38.866827,-72.906078
42.7402,-68.354267
43.7476000198428,-69.2119347976976
40.616667,-70.916667
41.502833,-68.571167
