scientific_name,sti_value,max_temp,min_temp,temp_95,temp_90,temp_10,temp_05,temp_q_span,temp_q_span95,temp_span
Acanthogobius flavimanus,15.471480299448384,28.385,2.466666666666667,26.14,21.89,5.5325,3.957500000000001,16.3575,22.1825,25.918333333333337
Agonopsis vulsa,13.736750089048448,20.0125,6.84,18.256,17.896800000000002,10.071733333333333,9.526083333333332,7.82506666666667,8.729916666666668,13.1725
Allosmerus elongatus,11.8883897405399,19.2675,6.18,18.792,16.525,9.072533333333334,8.736,7.452466666666664,10.056000000000001,13.087499999999999
Alosa sapidissima,10.570244926141457,25.44,-1.405,18.58,16.663750000000004,4.48925,3.505,12.174500000000004,15.075,26.845000000000002
Ammodytes personatus,10.361521879728333,30.43,-1.39,15.60675,14.57975,4.447583333333333,3.0455,10.132166666666667,12.56125,31.82
Anarrhichthys ocellatus,8.973104040820491,21.75,-1.756,16.234333333333332,15.597000000000001,-0.5707999999999998,-1.25,16.1678,17.484333333333332,23.506
Anchoa compressa,18.6930303030303,21.58,15.426666666666668,21.52,21.295,16.346249999999998,15.490208333333333,4.948750000000004,6.029791666666666,6.153333333333331
Anchoa delicatissima,19.168219696969697,26.42666666666667,14.09875,22.832750000000004,22.541000000000004,15.026499999999999,14.78275,7.514500000000005,8.050000000000004,12.327916666666669
Anisotremus davidsonii,19.521820583887656,25.96,14.5275,23.087791666666668,22.227,17.018666666666668,16.2115,5.208333333333332,6.876291666666667,11.432500000000001
Anoplopoma fimbria,9.925363550274746,20.22,-1.8,15.586599999999997,14.78,2.0720000000000005,0.19350000000000023,12.707999999999998,15.393099999999997,22.02
Apodichthys flavidus,13.204074963924963,19.56,5.73,19.159333333333333,17.89933333333333,6.386666666666667,6.11275,11.512666666666664,13.046583333333333,13.829999999999998
Artedius fenestralis,11.794433497536946,19.103333333333335,5.9,16.822738095238094,16.433500000000002,7.111333333333334,6.5910833333333345,9.322166666666668,10.23165476190476,13.203333333333335
Artedius harringtoni,7.789592599349005,19.56,-1.47,16.35349999999999,13.647416666666668,2.115000000000002,0.5647500000000003,11.532416666666666,15.78874999999999,21.029999999999998
Artedius lateralis,11.925488405257937,19.64666666666667,3.39,16.69349999999999,14.804083333333333,6.985750000000001,6.465,7.818333333333332,10.22849999999999,16.256666666666668
Artedius notospilotus,13.506901556776556,21.13,10.770714285714286,16.081874999999997,15.38,11.931333333333333,11.726666666666668,3.448666666666668,4.355208333333328,10.359285714285713
Ascelichthys rhodorus,10.568128642501776,19.31,5.84,15.689499999999997,14.4845,6.175,5.94125,8.3095,9.748249999999997,13.469999999999999
Atherinops affinis,20.55291232474422,30.673076923076923,12.4,26.799374999999998,25.831666666666667,13.52125,12.85,12.310416666666667,13.949374999999998,18.27307692307692
Atherinopsis californiensis,14.48822204968944,27.863333333333333,10.72,21.82125,15.345357142857143,12.914166666666667,11.978750000000002,2.4311904761904763,9.842499999999998,17.14333333333333
Atractoscion nobilis,17.972772965492613,28.1425,12.883333333333333,21.548333333333332,20.917,14.892,14.31,6.025000000000002,7.2383333333333315,15.259166666666665
Aulorhynchus flavidus,12.509654320987654,19.58,6.34,19.32,17.811666666666667,8.735833333333332,7.845,9.075833333333335,11.475000000000001,13.239999999999998
Auxis rochei,23.28010775862069,30.4,4.655,29.289666666666665,27.9525,18.73266666666667,12.785666666666666,9.21983333333333,16.503999999999998,25.744999999999997
Blepsias cirrhosus,22.17024753867792,28.64666666666667,8.029,27.652833333333334,26.233500000000006,13.76,12.627,12.473500000000007,15.025833333333333,20.61766666666667
Bodianus pulcher,18.92396650838304,27,12.4075,22.563000000000002,21.33366666666667,16.145500000000002,15.478958333333335,5.1881666666666675,7.084041666666668,14.5925
Brachygenys californiensis,24.078798534798537,31.15,14.31,30.552999999999997,29.608400000000003,16.625238095238096,14.967428571428574,12.983161904761907,15.585571428571424,16.839999999999996
Brachyistius frenatus,12.472343380614657,21.886,4.993333333333333,18.682,18.09,6.863333333333334,6.5,11.226666666666667,12.181999999999999,16.892666666666667
Cebidichthys violaceus,12.987799024096818,20.836666666666662,9.356666666666667,15.308125,14.855,11.233333333333334,10.7895,3.621666666666666,4.518625,11.479999999999995
Cheilotrema saturnum,20.46531746031746,31.35,13.97,29.398541666666667,27.110999999999997,15.154,14.826214285714286,11.956999999999997,14.57232738095238,17.380000000000003
Chitonotus pugetensis,12.633318576615997,22.466666666666665,4.993333333333333,17.9363,17.049333333333333,9.572000000000001,8.960138888888888,7.477333333333332,8.97616111111111,17.473333333333333
Citharichthys sordidus,12.446434875366249,22.466666666666665,-1.61,17.4725,17.45,9.62725,9.1,7.822749999999999,8.3725,24.076666666666664
Citharichthys stigmaeus,12.891667937914475,22.046666666666667,5.823333333333333,17.331333333333333,15.556333333333335,10.33825,9.71465,5.218083333333334,7.616683333333333,16.223333333333333
Clevelandia ios,18.924724489795917,23.895000000000003,11.68,23.119999999999997,22.227333333333334,13.014,12.615,9.213333333333335,10.504999999999997,12.215000000000003
Clinocottus acuticeps,12.926695505474918,19.993333333333332,4.2700000000000005,19.185,18.933333333333337,7.317166666666667,6.387499999999999,11.61616666666667,12.7975,15.723333333333333
Clinocottus analis,15.507849395414624,28.675,9.01,21.351,19.965999999999998,11.875,11.45,8.090999999999998,9.901,19.665
Clinocottus embryum,9.782222943722944,18.58,-0.628,17.47925,16.999000000000002,3.6264166666666666,2.52,13.372583333333335,14.95925,19.208
Clinocottus globiceps,12.986172419486302,18.58,4.99,16.315,15.565,10.35888888888889,9.38,5.20611111111111,6.9350000000000005,13.589999999999998
