"","sample_id","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percent_retained_aftermerge","percent_notsingleton","percent_notchimera"
"333","filtered20250425_PECOe-1690_S348_R1_001",272922,272922,272922,272922,272689,272305,268545,267138,249814,98.4803200715834,99.4760654638887,93.5149623041275
"334","filtered20250425_PECOe-1691_S349_R1_001",309240,309240,309240,309240,309174,308939,306735,306735,306735,99.2111238331813,100,100
"335","filtered20250425_PECOe-1692_S350_R1_001",355989,355989,355989,355989,355934,355472,348206,348043,344139,97.8288109593352,99.9531886297192,98.8782995204616
"336","filtered20250425_PECOe-1693_S351_R1_001",241543,241543,241543,241543,241463,241107,239484,239219,232706,99.1804127340421,99.8893454259992,97.2773901738574
"337","filtered20250425_PECOe-1694_S352_R1_001",221615,221615,221615,221615,221457,221093,217862,215759,205872,98.3766600288092,99.0347100458088,95.4175723840025
"338","filtered20250425_PECOe-1695_S353_R1_001",2,2,2,2,2,2,2,2,2,100,100,100
"339","filtered20250425_PECOe-1696_S354_R1_001",282009,282009,282009,282009,281941,281556,278141,277960,269376,98.6522002830379,99.9349250919498,96.9117858684703
"340","filtered20250425_PECOe-1697_S355_R1_001",337539,337539,337539,337539,337478,337155,334720,334386,326888,99.1827615429746,99.9002151051625,97.7576812426358
"341","filtered20250425_PECOe-1698_S356_R1_001",269018,269018,269018,269018,268945,268661,265138,264836,256805,98.5844689434643,99.8860970513469,96.9675572807322
"342","filtered20250425_PECOe-1699_S357_R1_001",287065,287065,287065,287065,286959,286668,282166,281600,274970,98.329726546301,99.7994088586152,97.6455965909091
"343","filtered20250425_PECOe-1700_S358_R1_001",1,1,1,1,1,1,1,1,1,100,100,100
"344","filtered20250425_PECOe-1701_S359_R1_001",461351,461351,461351,461351,461213,460572,454687,454646,446574,98.585035547567,99.9909828079536,98.2245527289364
"345","filtered20250425_PECOe-1702_S360_R1_001",214461,214461,214461,214461,214282,213973,211308,209859,172580,98.6121092765608,99.3142711113635,82.2361680938154
"346","filtered20250425_PECOe-1703_S361_R1_001",269216,269216,269216,269216,269104,268587,265221,263680,250133,98.557063440157,99.4189751188631,94.862333131068
"347","filtered20250425_PECOe-1704_S362_R1_001",280978,280978,280978,280978,280679,280302,277150,276517,247442,98.7426918294564,99.7716038246437,89.4852757696633
"348","filtered20250425_PECOe-1705_S363_R1_001",6,6,6,6,5,5,5,5,5,100,100,100
