"","cutadapt_f","cutadapt_r"
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1353_S13_R1_001.fastq.gz",144667,144667
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1354_S14_R1_001.fastq.gz",65406,65406
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1355_S15_R1_001.fastq.gz",94513,94513
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1356_S16_R1_001.fastq.gz",175,175
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1357_S17_R1_001.fastq.gz",221792,221792
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1358_S18_R1_001.fastq.gz",205187,205187
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1359_S19_R1_001.fastq.gz",220782,220782
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1360_S20_R1_001.fastq.gz",195430,195430
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1361_S21_R1_001.fastq.gz",25,25
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1362_S22_R1_001.fastq.gz",215393,215393
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1363_S23_R1_001.fastq.gz",142662,142662
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1364_S24_R1_001.fastq.gz",180891,180891
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1365_S25_R1_001.fastq.gz",468494,468494
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1366_S26_R1_001.fastq.gz",2,2
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1367_S27_R1_001.fastq.gz",124,124
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1368_S28_R1_001.fastq.gz",215117,215117
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1369_S29_R1_001.fastq.gz",162,162
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1371_S31_R1_001.fastq.gz",4,4
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1372_S32_R1_001.fastq.gz",93353,93353
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1373_S33_R1_001.fastq.gz",177699,177699
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1374_S34_R1_001.fastq.gz",171804,171804
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1375_S35_R1_001.fastq.gz",213481,213481
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1376_S36_R1_001.fastq.gz",2083,2083
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1377_S37_R1_001.fastq.gz",251284,251284
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1378_S38_R1_001.fastq.gz",314106,314106
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1379_S39_R1_001.fastq.gz",164775,164775
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1380_S40_R1_001.fastq.gz",120125,120125
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1381_S41_R1_001.fastq.gz",30,30
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1382_S42_R1_001.fastq.gz",142060,142060
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1383_S43_R1_001.fastq.gz",199533,199533
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1384_S44_R1_001.fastq.gz",236266,236266
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1385_S45_R1_001.fastq.gz",241215,241215
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1386_S46_R1_001.fastq.gz",8,8
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1387_S47_R1_001.fastq.gz",144036,144036
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1388_S48_R1_001.fastq.gz",125273,125273
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1389_S49_R1_001.fastq.gz",298206,298206
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1390_S50_R1_001.fastq.gz",118974,118974
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1391_S51_R1_001.fastq.gz",168,168
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1392_S52_R1_001.fastq.gz",132301,132301
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1393_S53_R1_001.fastq.gz",167974,167974
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1394_S54_R1_001.fastq.gz",186595,186595
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1396_S56_R1_001.fastq.gz",28,28
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1397_S57_R1_001.fastq.gz",262894,262894
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1398_S58_R1_001.fastq.gz",448502,448502
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1399_S59_R1_001.fastq.gz",275488,275488
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1400_S60_R1_001.fastq.gz",248140,248140
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1401_S61_R1_001.fastq.gz",448254,448254
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1402_S62_R1_001.fastq.gz",252419,252419
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1403_S63_R1_001.fastq.gz",318991,318991
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1404_S64_R1_001.fastq.gz",251770,251770
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1405_S65_R1_001.fastq.gz",204729,204729
