SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	195519	155751
1	1101	39	35
2	1101	3645	3528
3	1101	3145	2965
4	1101	3360	3253
5	1101	71	62
6	1101	30	26
7	1101	3105	2998
8	1101	3404	3251
9	1101	3925	3755
10	1101	4353	4213
11	1101	535	418
12	1101	1652	1539
13	1101	1443	1231
14	1101	4720	4525
15	1101	1954	1868
16	1101	63	36
17	1101	4603	4464
18	1101	4164	4050
19	1101	1326	1263
20	1101	3331	3219
21	1101	76	60
22	1101	4522	4374
23	1101	2059	1730
24	1101	2949	2818
25	1101	2852	2745
26	1101	73	44
27	1101	3976	3838
28	1101	3531	3395
29	1101	3238	3096
30	1101	5122	4936
31	1101	2615	2469
32	1101	3197	3088
33	1101	3823	3711
34	1101	3026	2878
35	1101	2064	1991
36	1101	69	48
37	1101	15	15
38	1101	32	32
39	1101	4724	4599
40	1101	4899	4740
41	1101	197	124
42	1101	4010	3834
43	1101	3701	3571
44	1101	3924	3747
45	1101	3504	3371
46	1101	167	93
47	1101	3804	3692
48	1101	3526	3420
49	1101	3864	3703
50	1101	3370	3280
51	1101	1988	1921
52	1101	3571	3453
53	1101	3935	3824
54	1101	4565	4417
55	1101	126	90
56	1101	4157	4006
57	1101	5314	5149
58	1101	3974	3862
59	1101	4359	4234
60	1101	299	233
61	1101	3907	3809
62	1101	21	21
63	1101	4764	4608
64	1101	2704	2583
65	1101	67	49
66	1101	3668	3564
67	1101	2895	2659
68	1101	2059	1994
69	1101	3895	3657
70	1101	130	85
71	1101	3640	3518
72	1101	3070	2946
73	1101	4037	3889
74	1101	3195	3111
75	1101	71	51
76	1101	53	43
77	1101	4671	4464
78	1101	3138	3005
79	1101	2852	2754
80	1101	4180	3973
81	1101	25	18
82	1101	2625	2529
83	1101	3034	2931
84	1101	3416	3303
85	1101	3057	2985
86	1101	118	78
87	1101	2666	2591
88	1101	3237	3103
89	1101	3540	3441
90	1101	4292	4184
91	1101	54	35
92	1101	3714	3597
93	1101	3805	3701
94	1101	4240	4073
95	1101	26	19
96	1101	52	32
97	1101	3044	2926
98	1101	3973	3852
99	1101	3129	3028
100	1101	3214	3103
101	1101	6	5
102	1101	3869	3771
103	1101	3223	3112
104	1101	2789	2680
105	1101	2086	2006
106	1101	10	10
107	1101	3332	3211
108	1101	4344	4201
109	1101	5016	4886
110	1101	4029	3923
111	1101	572	473
112	1101	3313	3196
113	1101	4263	4148
114	1101	2711	2632
115	1101	5064	4932
116	1101	5	4
117	1101	3671	3566
118	1101	7833	7620
120	1101	3344	3245
121	1101	2911	2820
122	1101	2788	2681
123	1101	2619	2551
124	1101	5313	5133
125	1101	2856	2765
126	1101	2637	2547
127	1101	3214	3126
128	1101	4346	4217
129	1101	3879	3783
130	1101	4167	4049
131	1101	17	13
132	1101	4109	3986
133	1101	3011	2922
134	1101	6	6
135	1101	1427	1382
136	1101	287	224
137	1101	2194	2123
138	1101	11	11
139	1101	554	538
140	1101	9	9
141	1101	2	2
142	1101	3027	2908
143	1101	3305	3195
144	1101	3	3
145	1101	1988	1906
146	1101	3483	3370
147	1101	2	2
148	1101	3147	3048
149	1101	3	3
150	1101	17	16
151	1101	2	2
152	1101	3140	3047
153	1101	3412	3295
154	1101	3022	2930
155	1101	2464	2379
156	1101	12	11
157	1101	2743	2640
158	1101	3511	3403
159	1101	3536	3451
160	1101	3033	2900
161	1101	24	18
162	1101	3948	3810
163	1101	3375	3278
164	1101	3503	3397
165	1101	4180	4074
166	1101	21	19
167	1101	3541	3449
168	1101	2582	2493
169	1101	3502	3393
170	1101	3424	3297
171	1101	5	5
172	1101	2962	2862
173	1101	3855	3732
174	1101	2721	2641
175	1101	2642	2564
176	1101	33	29
177	1101	2670	2534
178	1101	2119	1990
179	1101	158	126
180	1101	1	1
181	1101	6	5
182	1101	5	4
183	1101	2	1
184	1101	14	10
185	1101	21	15
186	1101	105	73
187	1101	12	8
188	1101	12	7
189	1101	5	3
190	1101	2838	2742
191	1101	11	8
192	1101	12	10
0	1102	196659	157237
1	1102	39	35
2	1102	3723	3633
3	1102	2868	2731
4	1102	3191	3086
5	1102	77	68
6	1102	18	12
7	1102	3050	2949
8	1102	3499	3381
9	1102	3863	3738
10	1102	4470	4329
11	1102	463	412
12	1102	1561	1468
13	1102	1398	1229
14	1102	4626	4483
15	1102	2084	2020
16	1102	80	51
17	1102	4471	4348
18	1102	4200	4096
19	1102	1313	1227
20	1102	3361	3264
21	1102	83	60
22	1102	4307	4207
23	1102	2094	1836
24	1102	2913	2808
25	1102	2760	2663
26	1102	108	75
27	1102	3979	3857
28	1102	3534	3416
29	1102	3107	2986
30	1102	5021	4849
31	1102	2298	2157
32	1102	3344	3233
33	1102	3688	3575
34	1102	3055	2939
35	1102	2001	1932
36	1102	50	32
37	1102	20	20
38	1102	21	21
39	1102	4758	4642
40	1102	5067	4917
41	1102	196	146
42	1102	4029	3898
43	1102	3839	3724
44	1102	3881	3735
45	1102	3504	3398
46	1102	151	92
47	1102	3733	3628
48	1102	3341	3237
49	1102	3775	3648
50	1102	3325	3216
51	1102	2004	1956
52	1102	3634	3526
53	1102	3879	3772
54	1102	4148	4037
55	1102	135	84
56	1102	4127	3968
57	1102	5303	5169
58	1102	3820	3734
59	1102	4294	4182
60	1102	294	237
61	1102	4006	3904
62	1102	29	28
63	1102	4715	4591
64	1102	2651	2531
65	1102	79	58
66	1102	3687	3587
67	1102	2935	2733
68	1102	2125	2061
69	1102	3861	3637
70	1102	118	78
71	1102	3601	3488
72	1102	2941	2857
73	1102	4033	3909
74	1102	3252	3175
75	1102	83	65
76	1102	60	54
77	1102	4606	4434
78	1102	3177	3035
79	1102	2802	2709
80	1102	4398	4225
81	1102	32	24
82	1102	2776	2690
83	1102	3277	3194
84	1102	3558	3485
85	1102	3117	3038
86	1102	127	91
87	1102	2726	2658
88	1102	3308	3197
89	1102	3454	3368
90	1102	4312	4195
91	1102	53	40
92	1102	3568	3451
93	1102	3752	3655
94	1102	4242	4116
95	1102	36	21
96	1102	56	38
97	1102	3014	2904
98	1102	3732	3616
99	1102	3167	3081
100	1102	3189	3095
101	1102	5	4
102	1102	3783	3699
103	1102	3223	3122
104	1102	2641	2537
105	1102	1959	1893
106	1102	10	10
107	1102	3398	3292
108	1102	4588	4425
109	1102	4859	4742
110	1102	4052	3952
111	1102	673	567
112	1102	3204	3098
113	1102	4258	4128
114	1102	2765	2673
115	1102	5228	5102
116	1102	13	11
117	1102	3758	3655
118	1102	7911	7728
119	1102	4	4
120	1102	3333	3233
121	1102	2680	2605
122	1102	2641	2554
123	1102	2591	2521
124	1102	5044	4894
125	1102	3065	2992
126	1102	2568	2496
127	1102	3291	3216
128	1102	4317	4224
129	1102	3913	3805
130	1102	4019	3900
131	1102	10	8
132	1102	4292	4167
133	1102	2899	2837
134	1102	12	12
135	1102	1396	1344
136	1102	282	248
137	1102	2077	2027
138	1102	8	8
139	1102	656	638
140	1102	15	13
141	1102	9	9
142	1102	2911	2805
143	1102	3280	3183
144	1102	4	3
145	1102	1828	1764
146	1102	3661	3553
148	1102	3305	3204
149	1102	1	1
150	1102	14	14
151	1102	7	4
152	1102	3001	2926
153	1102	3330	3245
154	1102	3040	2979
155	1102	2614	2549
156	1102	13	13
157	1102	2713	2659
158	1102	3600	3508
159	1102	3600	3496
160	1102	3020	2914
161	1102	40	29
162	1102	3782	3655
163	1102	3374	3284
164	1102	3442	3322
165	1102	4247	4141
166	1102	19	18
167	1102	3549	3451
168	1102	2373	2311
169	1102	3357	3274
170	1102	3382	3291
171	1102	6	5
172	1102	2982	2882
173	1102	3638	3532
174	1102	2767	2699
175	1102	2477	2403
176	1102	38	34
177	1102	2696	2596
178	1102	2075	1956
179	1102	156	126
180	1102	9	8
181	1102	4	4
182	1102	2	1
183	1102	1	1
184	1102	15	10
185	1102	11	9
186	1102	89	76
187	1102	17	12
188	1102	14	10
189	1102	7	7
190	1102	2725	2652
191	1102	5	3
192	1102	14	13
0	1103	194140	153015
1	1103	50	44
2	1103	3812	3718
3	1103	3055	2907
4	1103	3367	3255
5	1103	59	53
6	1103	36	30
7	1103	3076	2966
8	1103	3454	3329
9	1103	3690	3553
10	1103	4425	4267
11	1103	499	425
12	1103	1605	1519
13	1103	1358	1229
14	1103	4647	4498
15	1103	2114	2043
16	1103	61	39
17	1103	4637	4483
18	1103	4056	3932
19	1103	1452	1361
20	1103	3303	3192
21	1103	63	40
22	1103	4423	4303
23	1103	2069	1817
24	1103	3012	2912
25	1103	2731	2626
26	1103	83	61
27	1103	4001	3890
28	1103	3686	3556
29	1103	3184	3057
30	1103	5026	4881
31	1103	2300	2187
32	1103	3451	3323
33	1103	3674	3560
34	1103	2983	2860
35	1103	2089	2009
36	1103	60	40
37	1103	18	16
38	1103	21	21
39	1103	4686	4557
40	1103	4847	4679
41	1103	164	106
42	1103	4064	3916
43	1103	3822	3683
44	1103	4041	3899
45	1103	3552	3421
46	1103	182	97
47	1103	3943	3810
48	1103	3353	3241
49	1103	3956	3834
50	1103	3402	3268
51	1103	2152	2086
52	1103	3577	3491
53	1103	3964	3863
54	1103	4468	4343
55	1103	104	68
56	1103	4128	3990
57	1103	5392	5212
58	1103	3902	3795
59	1103	4382	4267
60	1103	289	239
61	1103	4007	3889
62	1103	25	24
63	1103	4665	4537
64	1103	2623	2519
65	1103	76	61
66	1103	3752	3647
67	1103	3106	2884
68	1103	2114	2033
69	1103	3957	3764
70	1103	124	80
71	1103	3690	3594
72	1103	2949	2843
73	1103	4232	4116
74	1103	3178	3087
75	1103	79	57
76	1103	91	82
77	1103	4833	4615
78	1103	3150	3039
79	1103	2833	2761
80	1103	4290	4127
81	1103	35	28
82	1103	2838	2757
83	1103	3154	3059
84	1103	3548	3450
85	1103	3174	3091
86	1103	144	109
87	1103	2731	2643
88	1103	3257	3146
89	1103	3510	3395
90	1103	4384	4268
91	1103	54	29
92	1103	3773	3635
93	1103	3926	3816
94	1103	4064	3921
95	1103	20	15
96	1103	51	29
97	1103	3044	2923
98	1103	3751	3634
99	1103	3097	2994
100	1103	3305	3203
101	1103	16	13
102	1103	3689	3599
103	1103	3376	3255
104	1103	2760	2645
105	1103	1918	1863
106	1103	20	18
107	1103	3405	3300
108	1103	4750	4601
109	1103	4806	4685
110	1103	4015	3904
111	1103	580	492
112	1103	3176	3079
113	1103	4426	4309
114	1103	2870	2797
115	1103	5163	5026
116	1103	12	12
117	1103	3734	3641
118	1103	7808	7605
119	1103	5	5
