Lane,SampleID,Index,# Reads,# Perfect Index Reads,# One Mismatch Index Reads,# Two Mismatch Index Reads,% Reads,% Perfect Index Reads,% One Mismatch Index Reads,% Two Mismatch Index Reads
1,0293,ELIDED,379978,356276,23702,0,0.0027,0.9376,0.0624,0.0000
1,0294,ELIDED,308005,298026,9979,0,0.0022,0.9676,0.0324,0.0000
1,0295,ELIDED,550222,522923,27299,0,0.0039,0.9504,0.0496,0.0000
1,0296,ELIDED,555332,540689,14643,0,0.0039,0.9736,0.0264,0.0000
1,0297,ELIDED,418276,403559,14717,0,0.0029,0.9648,0.0352,0.0000
1,0298,ELIDED,471040,449798,21242,0,0.0033,0.9549,0.0451,0.0000
1,0299,ELIDED,430688,351141,79547,0,0.0030,0.8153,0.1847,0.0000
1,0300,ELIDED,435211,408105,27106,0,0.0030,0.9377,0.0623,0.0000
1,0301,ELIDED,450458,428477,21981,0,0.0032,0.9512,0.0488,0.0000
1,0302,ELIDED,499985,472932,27053,0,0.0035,0.9459,0.0541,0.0000
1,0303,ELIDED,438018,415737,22281,0,0.0031,0.9491,0.0509,0.0000
1,0304,ELIDED,452731,373380,79351,0,0.0032,0.8247,0.1753,0.0000
1,0305,ELIDED,499286,416210,83076,0,0.0035,0.8336,0.1664,0.0000
1,0306,ELIDED,339188,317891,21297,0,0.0024,0.9372,0.0628,0.0000
1,0307,ELIDED,213261,203508,9753,0,0.0015,0.9543,0.0457,0.0000
1,0308,ELIDED,210220,202692,7528,0,0.0015,0.9642,0.0358,0.0000
1,0309,ELIDED,290739,272729,18010,0,0.0020,0.9381,0.0619,0.0000
1,0310,ELIDED,204938,176225,28713,0,0.0014,0.8599,0.1401,0.0000
1,0311,ELIDED,485888,247071,238817,0,0.0034,0.5085,0.4915,0.0000
1,0312,ELIDED,407769,377533,30236,0,0.0029,0.9259,0.0741,0.0000
1,0313,ELIDED,348614,334046,14568,0,0.0024,0.9582,0.0418,0.0000
1,0314,ELIDED,260398,250173,10225,0,0.0018,0.9607,0.0393,0.0000
1,0315,ELIDED,309491,272841,36650,0,0.0022,0.8816,0.1184,0.0000
1,0316,ELIDED,193793,177932,15861,0,0.0014,0.9182,0.0818,0.0000
1,0317,ELIDED,283593,251903,31690,0,0.0020,0.8883,0.1117,0.0000
1,0318,ELIDED,226825,216895,9930,0,0.0016,0.9562,0.0438,0.0000
1,0319,ELIDED,364304,344797,19507,0,0.0025,0.9465,0.0535,0.0000
1,0320,ELIDED,436467,420351,16116,0,0.0031,0.9631,0.0369,0.0000
1,0321,ELIDED,383632,365575,18057,0,0.0027,0.9529,0.0471,0.0000
1,0322,ELIDED,281597,270852,10745,0,0.0020,0.9618,0.0382,0.0000
1,0323,ELIDED,289385,262466,26919,0,0.0020,0.9070,0.0930,0.0000
1,0324,ELIDED,273249,262336,10913,0,0.0019,0.9601,0.0399,0.0000
