"","input_dada2","after_filter_and_trim","raw_f","raw_r","cutadapt_f","cutadapt_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percentraw_retainedby_cutadapt","percenttrimmed_into_dada2","percentinput_retainedby_dada2_filterandtrim","percent_retainedby_dada2_denoising","percent_retained_aftermerge","percent_notsingleton","percent_notchimera","percent_retained_of_raw"
"edna0008-Rep1_S8_L001_R1_001.fastq.gz",6595,3903,7227,7227,6595,6595,3899,3898,3351,3351,3136,91.2550159125502,91.2550159125502,59.1811978771797,99.8975147322572,85.9451141318287,100,93.5840047746941,43.3928324339283
"edna0008-Rep2_S164_L001_R1_001.fastq.gz",1831,1061,1904,1904,1831,1831,1060,1059,1059,1059,1059,96.1659663865546,96.1659663865546,57.9464773347897,99.9057492931197,99.9056603773585,100,100,55.6197478991597
"edna0008-Rep3_S320_L001_R1_001.fastq.gz",17186,10099,17294,17294,17186,17186,10083,10076,9248,9248,9248,99.3755059558228,99.3755059558228,58.7629465844292,99.841568472126,91.71873450362,100,100,53.4751937088007
"edna0009-Rep1_S9_L001_R1_001.fastq.gz",35324,21323,35540,35540,35324,35324,21138,21281,20639,20639,18938,99.3922341024198,99.3922341024198,60.3640584305288,99.1323922524973,97.6393225470716,100,91.7583216241097,53.2864378165447
"edna0009-Rep2_S165_L001_R1_001.fastq.gz",10948,6445,11030,11030,10948,10948,6436,6378,4999,4999,4999,99.2565729827742,99.2565729827742,58.8691998538546,99.8603568657874,77.6724673710379,100,100,45.3218495013599
"edna0009-Rep3_S321_L001_R1_001.fastq.gz",11632,7603,11872,11872,11632,11632,7591,7588,7150,7150,7150,97.9784366576819,97.9784366576819,65.3627922971114,99.8421675654347,94.1904887366618,100,100,60.2257412398922
"edna0010-Rep1_S10_L001_R1_001.fastq.gz",50477,31710,50692,50692,50477,50477,31630,31573,29387,29382,27786,99.575869959757,99.575869959757,62.8206906115657,99.7477136549984,92.9086310464749,99.9829856739374,94.5681029201552,54.8133827822931
"edna0010-Rep2_S166_L001_R1_001.fastq.gz",24938,15691,24958,24958,24938,24938,15681,15666,14316,14316,14053,99.919865373828,99.919865373828,62.9200417034245,99.9362691989038,91.295198010331,100,98.1628946633138,56.306595079734
"edna0010-Rep3_S322_L001_R1_001.fastq.gz",24474,13639,24893,24893,24474,24474,13573,13608,13093,13093,12321,98.3167958863938,98.3167958863938,55.7285282340443,99.516093555246,96.463567376409,100,94.1037195447949,49.4958422046358
"edna0011-Rep1_S11_L001_R1_001.fastq.gz",49865,30366,49871,49871,49865,49865,30298,30307,28100,28100,27742,99.9879689599166,99.9879689599166,60.8964203349042,99.7760653362313,92.7453957356921,100,98.7259786476868,55.6275189990175
"edna0011-Rep2_S167_L001_R1_001.fastq.gz",44,3,44,44,44,44,2,1,0,0,0,100,100,6.81818181818182,66.6666666666667,0,NA,NA,0
"edna0011-Rep3_S323_L001_R1_001.fastq.gz",44636,28188,44654,44654,44636,44636,28050,28131,26246,26246,25966,99.9596900613607,99.9596900613607,63.1508199659468,99.5104299702001,93.5686274509804,100,98.9331707688791,58.1493259282483
"edna0012-Rep1_S12_L001_R1_001.fastq.gz",26670,14294,26773,26773,26670,26670,14272,14258,13515,13515,13223,99.6152840548313,99.6152840548313,53.5958005249344,99.8460892682244,94.6959080717489,100,97.8394376618572,49.3893101258731
"edna0012-Rep2_S168_L001_R1_001.fastq.gz",33857,20421,33860,33860,33857,33857,20363,20384,19106,19106,19106,99.9911399881866,99.9911399881866,60.3154443689636,99.7159786494295,93.8270392378333,100,100,56.4264619019492
"edna0012-Rep3_S324_L001_R1_001.fastq.gz",22872,14729,22938,22938,22872,22872,14713,14690,14173,14173,13548,99.7122678524719,99.7122678524719,64.3975166142008,99.8913707651572,96.3297763882281,100,95.5902067311084,59.0635626471358
"edna0013-Rep1_S13_L001_R1_001.fastq.gz",45219,29078,45299,45299,45219,45219,29017,28945,27307,27304,24655,99.8233956599483,99.8233956599483,64.3048276167098,99.7902194098631,94.1069028500534,99.9890138059838,90.2981248168767,54.42725004967
"edna0013-Rep2_S169_L001_R1_001.fastq.gz",21443,13732,21455,21455,21443,21443,13723,13716,12410,12410,12159,99.9440689815894,99.9440689815894,64.0395467052185,99.9344596562773,90.4321212562851,100,97.9774375503626,56.6721044045677
"edna0013-Rep3_S325_L001_R1_001.fastq.gz",45934,30588,46038,46038,45934,45934,30565,30562,29968,29968,26628,99.7740996568052,99.7740996568052,66.5911960639178,99.9248071139009,98.0467855390152,100,88.8547784303257,57.8391763325948
"edna0014-Rep1_S14_L001_R1_001.fastq.gz",51544,35478,51596,51596,51544,51544,35436,35384,34656,34656,33593,99.8992169935654,99.8992169935654,68.8305137358373,99.881616776594,97.7988486285134,100,96.9327100646353,65.1077602914955
"edna0014-Rep2_S170_L001_R1_001.fastq.gz",45,9,45,45,45,45,4,1,0,0,0,100,100,20,44.4444444444444,0,NA,NA,0
"edna0014-Rep3_S326_L001_R1_001.fastq.gz",67439,45438,67442,67442,67439,67439,45146,45397,44417,44396,43328,99.9955517333412,99.9955517333412,67.3764438974481,99.3573660812536,98.3852390023479,99.9527208050971,97.5943778718803,64.2448325968981
"edna0015-Rep1_S15_L001_R1_001.fastq.gz",22007,13918,22010,22010,22007,22007,13906,13880,12850,12850,12850,99.9863698318946,99.9863698318946,63.2435134275458,99.9137807156201,92.4061556162807,100,100,58.3825533848251
"edna0015-Rep2_S171_L001_R1_001.fastq.gz",43827,28560,43830,43830,43827,43827,28546,28514,27198,27198,26574,99.9931553730322,99.9931553730322,65.1653090560613,99.9509803921569,95.2777972395432,100,97.7057136554158,60.6297056810404
"edna0015-Rep3_S327_L001_R1_001.fastq.gz",27262,18372,27263,27263,27262,27262,18366,18348,17465,17465,17394,99.996332025089,99.996332025089,67.3905069327269,99.9673416067929,95.0941957965806,100,99.5934726596049,63.8007556028317
