"","input_dada2","after_filter_and_trim","raw_f","raw_r","cutadapt_f","cutadapt_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percentraw_retainedby_cutadapt","percenttrimmed_into_dada2","percentinput_retainedby_dada2_filterandtrim","percent_retainedby_dada2_denoising","percent_retained_aftermerge","percent_notsingleton","percent_notchimera","percent_retained_of_raw"
"edna0041-Rep1_S35_L001_R1_001.fastq.gz",33684,20086,33694,33694,33684,33684,20057,20059,19184,19179,17949,99.9703211254229,99.9703211254229,59.6306851917824,99.8556208304292,95.6474048960463,99.9739366138449,93.5867354919443,53.2706119783938
"edna0041-Rep2_S191_L001_R1_001.fastq.gz",34384,19714,34386,34386,34384,34384,19699,19683,19166,19166,17493,99.9941836794044,99.9941836794044,57.3348068869241,99.9239119407528,97.294278897406,100,91.2710007304602,50.8724480893387
"edna0041-Rep3_S347_L001_R1_001.fastq.gz",19547,11502,19551,19551,19547,19547,11490,11487,10494,10494,10459,99.9795406884558,99.9795406884558,58.8427891748094,99.8956703182055,91.331592689295,100,99.6664760815704,53.4959848601095
"edna0042-Rep1_S36_L001_R1_001.fastq.gz",30191,19150,30292,30292,30191,30191,19041,19113,18416,18416,15243,99.666578634623,99.666578634623,63.4294988572753,99.4308093994778,96.7176093692558,100,82.7704170286707,50.3202165588274
"edna0042-Rep2_S192_L001_R1_001.fastq.gz",33255,21435,33267,33267,33255,33255,21307,21346,19717,19717,17349,99.9639282171521,99.9639282171521,64.4564727108705,99.4028458129228,92.5376636786033,100,87.9900593396561,52.1507800523041
"edna0042-Rep3_S348_L001_R1_001.fastq.gz",8464,4962,8479,8479,8464,8464,4955,4954,4677,4677,4677,99.8230923457955,99.8230923457955,58.624763705104,99.8589278516727,94.3895055499495,100,100,55.1598065809647
"edna0043-Rep1_S37_L001_R1_001.fastq.gz",26773,15576,26797,26797,26773,26773,15561,15529,13807,13807,13435,99.9104377355674,99.9104377355674,58.1780151645314,99.9036979969183,88.728230833494,100,97.3057144926486,50.1362092771579
"edna0043-Rep2_S193_L001_R1_001.fastq.gz",43526,26872,43532,43532,43526,43526,26849,26820,24866,24866,22824,99.9862170357438,99.9862170357438,61.737811882553,99.9144090503126,92.6142500651793,100,91.7879835920534,52.4303960305063
"edna0043-Rep3_S349_L001_R1_001.fastq.gz",17543,10481,17551,17551,17543,17543,10409,10459,9449,9449,9449,99.9544185516495,99.9544185516495,59.7446274867469,99.3130426486022,90.7772120280526,100,100,53.8373881830095
"edna0044-Rep1_S38_L001_R1_001.fastq.gz",28699,17443,28734,28734,28699,28699,17433,17340,15954,15954,14754,99.878193081367,99.878193081367,60.779121223736,99.9426704121997,91.5160901738083,100,92.4783753290711,51.3468365003132
"edna0044-Rep2_S194_L001_R1_001.fastq.gz",47301,30068,47314,47314,47301,47301,30003,30034,28691,28691,27139,99.9725239886714,99.9725239886714,63.5673664404558,99.7838233337768,95.627103956271,100,94.59063817922,57.359343957391
"edna0044-Rep3_S350_L001_R1_001.fastq.gz",14811,9166,14822,14822,14811,14811,9098,9123,8740,8740,8740,99.925785993793,99.925785993793,61.8864357572075,99.2581278638446,96.0650692459881,100,100,58.9664012953717
"edna0045-Rep1_S39_L001_R1_001.fastq.gz",15189,8955,15208,15208,15189,15189,8911,8926,7976,7976,7897,99.8750657548659,99.8750657548659,58.957140035552,99.5086543830262,89.5073504657165,100,99.0095285857573,51.9266175697002
"edna0045-Rep2_S195_L001_R1_001.fastq.gz",59374,35966,59377,59377,59374,59374,35880,35906,33091,33088,30288,99.9949475386092,99.9949475386092,60.575336005659,99.7608852805427,92.226867335563,99.9909340908404,91.5377176015474,51.0096502012564
"edna0045-Rep3_S351_L001_R1_001.fastq.gz",32762,19737,32764,32764,32762,32762,19627,19663,17872,17864,17792,99.993895739226,99.993895739226,60.2435748733289,99.4426711252977,91.058236103327,99.9552372426141,99.5969547693686,54.3035038456843
"edna0046-Rep1_S40_L001_R1_001.fastq.gz",29949,18722,29968,29968,29949,29949,18700,18695,17669,17669,16062,99.9365990389749,99.9365990389749,62.5129386623927,99.882491186839,94.4866310160428,100,90.9049748146471,53.5971703150027
"edna0046-Rep2_S196_L001_R1_001.fastq.gz",45594,29298,45596,45596,45594,45594,29157,29194,28128,28128,25335,99.9956136503202,99.9956136503202,64.2584550598763,99.5187384804424,96.4708303323387,100,90.0703924914676,55.5640845688218
"edna0046-Rep3_S352_L001_R1_001.fastq.gz",23107,13766,23116,23116,23107,23107,13760,13665,12943,12943,11992,99.9610659283613,99.9610659283613,59.5750205565413,99.956414354206,94.0625,100,92.6523989801437,51.8774874545769
"edna0047-Rep1_S41_L001_R1_001.fastq.gz",19619,11847,19660,19660,19619,19619,11814,11809,10675,10666,10599,99.7914547304171,99.7914547304171,60.3853407411183,99.7214484679666,90.358896224818,99.9156908665105,99.3718357397337,53.911495422177
"edna0047-Rep2_S197_L001_R1_001.fastq.gz",32522,16946,32525,32525,32522,32522,16931,16913,15479,15479,14748,99.9907763259032,99.9907763259032,52.1062665272738,99.9114835359377,91.4240151201937,100,95.2774727049551,45.3435818601076
"edna0047-Rep3_S353_L001_R1_001.fastq.gz",30186,17136,30194,30194,30186,30186,17125,17100,15655,15655,15175,99.973504669802,99.973504669802,56.768038163387,99.9358076563959,91.4160583941606,100,96.9338869370808,50.258329469431
"edna0048-Rep1_S42_L001_R1_001.fastq.gz",12087,5958,12185,12185,12087,12087,5951,5946,5269,5269,5269,99.1957324579401,99.1957324579401,49.2926284437826,99.8825109097012,88.539741219963,100,100,43.2416906032007
"edna0048-Rep2_S198_L001_R1_001.fastq.gz",44929,26438,44931,44931,44929,44929,26250,26397,25000,25000,21095,99.9955487302753,99.9955487302753,58.8439537937635,99.2889023375444,95.2380952380952,100,84.38,46.9497674211569
"edna0048-Rep3_S354_L001_R1_001.fastq.gz",47100,28656,47102,47102,47100,47100,28621,28593,27336,27336,25650,99.9957538958006,99.9957538958006,60.8407643312102,99.8778615298716,95.5102896474617,100,93.8323090430202,54.4562863572672
"edna0049-Rep1_S43_L001_R1_001.fastq.gz",35406,22544,35461,35461,35406,35406,22531,22499,20555,20555,19330,99.84490003102,99.84490003102,63.6728238151726,99.9423349893542,91.2298610802894,100,94.0403794697154,54.5105890978822
"edna0049-Rep2_S199_L001_R1_001.fastq.gz",39215,22814,39216,39216,39215,39215,22798,22786,22005,22005,19996,99.9974500203998,99.9974500203998,58.1767180925666,99.9298676251424,96.5216247039214,100,90.8702567598273,50.9893920848633
"edna0049-Rep3_S355_L001_R1_001.fastq.gz",18605,11037,18605,18605,18605,18605,10952,11015,10417,10417,9825,100,100,59.3227626981994,99.2298631874604,95.1150474799123,100,94.3169818565806,52.8083848427842
"edna0050-Rep1_S44_L001_R1_001.fastq.gz",22237,11495,22300,22300,22237,22237,11432,11480,9732,9732,8711,99.7174887892377,99.7174887892377,51.6931240724918,99.4519356241844,85.1294611616515,100,89.5088368269626,39.0627802690583
"edna0050-Rep2_S200_L001_R1_001.fastq.gz",37075,20220,37081,37081,37075,37075,20213,20208,18513,18513,15346,99.9838192066018,99.9838192066018,54.5380984490897,99.9653808110781,91.5895710681245,100,82.893102144439,41.385075914889
"edna0050-Rep3_S356_L001_R1_001.fastq.gz",11162,5843,11199,11199,11162,11162,5837,5838,4869,4869,4639,99.6696133583356,99.6696133583356,52.3472495968464,99.8973130241314,83.4161384272743,100,95.2762374204149,41.4233413697652
"edna0051-Rep1_S45_L001_R1_001.fastq.gz",34051,21302,34054,34054,34051,34051,21261,21265,19840,19840,18883,99.9911904622071,99.9911904622071,62.5591025226866,99.8075298094076,93.3164009218757,100,95.1764112903226,55.4501673812181
"edna0051-Rep2_S201_L001_R1_001.fastq.gz",35464,20659,35465,35465,35464,35464,20645,20633,19747,19747,18951,99.997180318624,99.997180318624,58.2534401082788,99.9322329251174,95.6502785178009,100,95.9690079505748,53.4357817566615
"edna0051-Rep3_S357_L001_R1_001.fastq.gz",19567,11260,19567,19567,19567,19567,11253,11249,9902,9902,9902,100,100,57.5458680431339,99.9378330373002,87.9943126277437,100,100,50.605611488731
"edna0052-Rep1_S46_L001_R1_001.fastq.gz",25120,15190,25150,25150,25120,25120,15181,15146,14469,14469,11534,99.8807157057654,99.8807157057654,60.4697452229299,99.9407504937459,95.3099268822871,100,79.715253300159,45.8608349900596
"edna0052-Rep2_S202_L001_R1_001.fastq.gz",35549,20456,35581,35581,35549,35549,20448,20440,18716,18716,17738,99.9100643601922,99.9100643601922,57.5431095108161,99.9608916699257,91.5297339593114,100,94.7745244710408,49.8524493409404
"edna0052-Rep3_S358_L001_R1_001.fastq.gz",16901,9208,16901,16901,16901,16901,9203,9194,8215,8215,8215,100,100,54.4819833145968,99.9456993918332,89.264370314028,100,100,48.606591325957
"edna0053-Rep1_S47_L001_R1_001.fastq.gz",7659,4285,7671,7671,7659,7659,4219,4263,3946,3946,3587,99.8435666797028,99.8435666797028,55.9472515994255,98.4597432905484,93.5292723394169,100,90.9021794221997,46.760526658845
"edna0053-Rep2_S203_L001_R1_001.fastq.gz",61097,35937,61098,61098,61097,61097,35913,35884,32804,32804,30538,99.9983632852139,99.9983632852139,58.8195819762018,99.9332164621421,91.3429677275638,100,93.0923058163639,49.9819961373531
"edna0053-Rep3_S359_L001_R1_001.fastq.gz",8185,4774,8185,8185,8185,8185,4766,4741,4694,4694,4694,100,100,58.3262064752596,99.8324256388773,98.4892992026857,100,100,57.3488087965791
"edna0054-Rep1_S48_L001_R1_001.fastq.gz",29774,18625,29827,29827,29774,29774,18561,18605,17584,17582,15687,99.8223086465283,99.8223086465283,62.5545778195741,99.6563758389262,94.736274985184,99.9886260236579,89.2219315208736,52.5932879605726
"edna0054-Rep2_S204_L001_R1_001.fastq.gz",42397,24114,42580,42580,42397,42397,24101,24091,22321,22315,20903,99.5702207609206,99.5702207609206,56.8766658018256,99.9460894086423,92.614414339654,99.9731194838941,93.672417656285,49.0911225927666
"edna0054-Rep3_S360_L001_R1_001.fastq.gz",43279,24015,43286,43286,43279,43279,23981,23862,21893,21893,21574,99.9838284895809,99.9838284895809,55.488805194205,99.858421819696,91.2931070430758,100,98.5429132599461,49.8405951115834
"edna0055-Rep1_S49_L001_R1_001.fastq.gz",17977,11893,18029,18029,17977,17977,11864,11863,11394,11394,11056,99.7115757945532,99.7115757945532,66.1567558547032,99.7561590851762,96.0384356035064,100,97.0335264174127,61.3234233734539
"edna0055-Rep2_S205_L001_R1_001.fastq.gz",46863,29752,46865,46865,46863,46863,29672,29694,28850,28850,25225,99.9957324229169,99.9957324229169,63.4871860529629,99.7311105135789,97.2297115125371,100,87.4350086655113,53.8248159607383
"edna0055-Rep3_S361_L001_R1_001.fastq.gz",15289,9207,15297,15297,15289,15289,9196,9184,8714,8709,8709,99.947702163823,99.947702163823,60.219765844725,99.8805256869773,94.758590691605,99.9426210695433,100,56.9327319082173
"edna0056-Rep1_S50_L001_R1_001.fastq.gz",11816,7650,11816,11816,11816,11816,7580,7637,7171,7171,7008,100,100,64.7427217332431,99.0849673202614,94.6042216358839,100,97.726955794171,59.3094109681787
"edna0056-Rep2_S206_L001_R1_001.fastq.gz",37937,24552,37946,37946,37937,37937,24521,24445,22791,22791,22036,99.9762820850683,99.9762820850683,64.7178216516857,99.8737373737374,92.9448228049427,100,96.6872888420868,58.0719970484373
"edna0056-Rep3_S362_L001_R1_001.fastq.gz",13136,8238,13165,13165,13136,13136,8236,8220,7747,7747,7747,99.7797189517661,99.7797189517661,62.7131546894032,99.9757222626851,94.0626517727052,100,100,58.8454234713255
"edna0057-Rep1_S51_L001_R1_001.fastq.gz",48984,31967,49297,49297,48984,48984,31850,31843,30650,30650,28911,99.3650729253301,99.3650729253301,65.26008492569,99.6339975599837,96.2323390894819,100,94.326264274062,58.6465707852405
"edna0057-Rep2_S207_L001_R1_001.fastq.gz",81249,52130,81253,81253,81249,81249,51980,52015,50059,50042,47482,99.9950771048454,99.9950771048454,64.1607896712575,99.712257816996,96.304347826087,99.9660400727142,94.8842971903601,58.4372269331594
"edna0057-Rep3_S363_L001_R1_001.fastq.gz",14031,8896,14073,14073,14031,14031,8891,8801,8123,8123,8123,99.701556171392,99.701556171392,63.4024659682132,99.9437949640288,91.3620515127657,100,100,57.7204576138705
"edna0058-Rep1_S52_L001_R1_001.fastq.gz",24156,14832,24218,24218,24156,24156,14825,14811,14481,14481,14012,99.7439920720126,99.7439920720126,61.4008941877794,99.9528047464941,97.6795952782462,100,96.7612733927215,57.8577917251631
"edna0058-Rep2_S208_L001_R1_001.fastq.gz",33439,21299,33453,33453,33439,33439,21247,21254,20091,20091,15559,99.9581502406361,99.9581502406361,63.6950865755555,99.7558570824921,94.5592318915612,100,77.4426360061719,46.5100289959047
"edna0058-Rep3_S364_L001_R1_001.fastq.gz",27173,17050,27198,27198,27173,27173,17031,16999,16653,16653,15881,99.9080814765792,99.9080814765792,62.7461082692378,99.8885630498534,97.7805178791615,100,95.3641986428872,58.3903228178543
"edna0059-Rep1_S53_L001_R1_001.fastq.gz",30226,18542,30288,30288,30226,30226,18485,18527,18145,18145,15119,99.7952984680401,99.7952984680401,61.344537815126,99.6925897961385,98.1606708141737,100,83.3232295398181,49.9174590596936
"edna0059-Rep2_S209_L001_R1_001.fastq.gz",35805,23679,35818,35818,35805,35805,23665,23630,22773,22773,22257,99.9637053995198,99.9637053995198,66.1332216170926,99.9408758815828,96.2307204732728,100,97.7341588723488,62.1391479144564
"edna0059-Rep3_S365_L001_R1_001.fastq.gz",26449,17252,26449,26449,26449,26449,17245,17187,16497,16497,16497,100,100,65.227418806004,99.9594249942036,95.6625108727167,100,100,62.3728685394533
"edna0060-Rep1_S54_L001_R1_001.fastq.gz",44905,28339,45013,45013,44905,44905,28319,28167,25667,25667,24166,99.7600693133095,99.7600693133095,63.1087852132279,99.92942587953,90.6352625445814,100,94.1520239996883,53.6867127274343
"edna0060-Rep2_S210_L001_R1_001.fastq.gz",35730,23216,35730,35730,35730,35730,23201,23168,21885,21885,21509,100,100,64.9762104673944,99.9353893866299,94.3278306969527,100,98.2819282613662,60.1987125664708
"edna0060-Rep3_S366_L001_R1_001.fastq.gz",21822,13783,21823,21823,21822,21822,13767,13760,13376,13376,13114,99.995417678596,99.995417678596,63.1610301530566,99.8839149677138,97.1598750635578,100,98.0412679425837,60.0925628923613
"edna0061-Rep1_S55_L001_R1_001.fastq.gz",30118,19556,30255,30255,30118,30118,19545,19519,19196,19196,19196,99.54718228392,99.54718228392,64.9312703366757,99.94375127838,98.2143770785367,100,100,63.4473640720542
"edna0061-Rep2_S211_L001_R1_001.fastq.gz",33896,22191,33899,33899,33896,33896,22124,22134,21722,21722,21057,99.9911501814213,99.9911501814213,65.4679018173236,99.6980757964941,98.1829687217501,100,96.9385876070343,62.1168766040296
"edna0061-Rep3_S367_L001_R1_001.fastq.gz",39173,25889,39175,39175,39173,39173,25871,25853,24990,24990,24990,99.9948947032546,99.9948947032546,66.0888877543206,99.930472401406,96.5946426500715,100,100,63.7906828334397
"edna0062-Rep1_S56_L001_R1_001.fastq.gz",23516,13858,23820,23820,23516,23516,13838,13832,13441,13441,13295,98.7237615449202,98.7237615449202,58.9300901513863,99.8556790301631,97.1310883075589,100,98.9137712967785,55.8144416456759
"edna0062-Rep2_S212_L001_R1_001.fastq.gz",75276,47416,75277,75277,75276,75276,47308,47286,45703,45703,43158,99.9986715729904,99.9986715729904,62.9895318561029,99.772228783533,96.6073391392576,100,94.4314377611973,57.3322528793655
"edna0062-Rep3_S368_L001_R1_001.fastq.gz",67881,44526,67883,67883,67881,67881,44422,44438,43719,43719,43719,99.9970537542536,99.9970537542536,65.5942016175366,99.7664286035126,98.4174508126604,100,100,64.4034588925062
"edna0063-Rep1_S57_L001_R1_001.fastq.gz",25343,16862,25375,25375,25343,25343,16719,16788,16238,16238,16238,99.8738916256158,99.8738916256158,66.5351379079036,99.1519392717353,97.1230336742628,100,100,63.992118226601
"edna0063-Rep2_S213_L001_R1_001.fastq.gz",40337,24850,40343,40343,40337,40337,24818,24796,24117,24117,23279,99.9851275314181,99.9851275314181,61.6059697052334,99.8712273641851,97.17543718269,100,96.5252726292657,57.7026993530476
"edna0063-Rep3_S369_L001_R1_001.fastq.gz",36433,23219,36434,36434,36433,36433,23182,23142,22186,22186,21544,99.9972553109733,99.9972553109733,63.7306837208026,99.8406477453809,95.703563109309,100,97.1062832416839,59.1315803919416
"edna0064-Rep1_S58_L001_R1_001.fastq.gz",16062,10202,16098,16098,16062,16062,10099,10177,9493,9493,9338,99.7763697353708,99.7763697353708,63.5163740505541,98.9903940403842,93.9994058817705,100,98.3672179500685,58.0072058640825
"edna0064-Rep2_S214_L001_R1_001.fastq.gz",37822,23125,37826,37826,37822,37822,23083,22945,21093,21093,21093,99.9894252630466,99.9894252630466,61.1416635820422,99.8183783783784,91.3789368799549,100,100,55.763231639613
"edna0064-Rep3_S370_L001_R1_001.fastq.gz",42491,25667,42508,42508,42491,42491,25635,25615,24120,24120,22751,99.9600075279947,99.9600075279947,60.4057329787484,99.8753262944637,94.0901111761264,100,94.3242122719735,53.521690034817
"edna0065-Rep1_S59_L001_R1_001.fastq.gz",10390,6461,10435,10435,10390,10390,6458,6421,5840,5840,5278,99.5687589841878,99.5687589841878,62.1847930702599,99.9535675592014,90.4304738309074,100,90.3767123287671,50.5797795879253
"edna0065-Rep2_S215_L001_R1_001.fastq.gz",8115,4603,8117,8117,8115,8115,4599,4597,4144,4144,4144,99.9753603548109,99.9753603548109,56.7221195317314,99.9131001520747,90.1065449010654,100,100,51.0533448318344
"edna0065-Rep3_S371_L001_R1_001.fastq.gz",21666,13609,21683,21683,21666,21666,13601,13569,12870,12868,12868,99.9215975649126,99.9215975649126,62.8127019292901,99.9412153721802,94.62539519153,99.98445998446,100,59.3460314532122
"edna0066-Rep1_S60_L001_R1_001.fastq.gz",20222,12503,20326,20326,20222,20222,12488,12453,11395,11395,11072,99.4883400570698,99.4883400570698,61.8287014143013,99.8800287930897,91.247597693786,100,97.1654234313295,54.472104693496
"edna0066-Rep2_S216_L001_R1_001.fastq.gz",18504,11209,18507,18507,18504,18504,11196,11170,10518,10518,10518,99.9837899173286,99.9837899173286,60.5760916558582,99.884021768222,93.9442658092176,100,100,56.8325498460042
"edna0066-Rep3_S372_L001_R1_001.fastq.gz",34946,20514,34957,34957,34946,34946,20501,20473,19805,19805,19805,99.9685327688303,99.9685327688303,58.7019973673668,99.936628643853,96.605043656407,100,100,56.6553193923964
"edna0067-Rep1_S61_L001_R1_001.fastq.gz",62497,38196,62682,62682,62497,62497,38141,38150,34641,34628,31862,99.7048594492837,99.7048594492837,61.1165335936125,99.8560058644884,90.8235232427047,99.9624722150053,92.0122444264757,50.8311796049903
"edna0067-Rep2_S217_L001_R1_001.fastq.gz",22513,13184,22541,22541,22513,22513,13147,13160,11455,11448,11448,99.8757819085222,99.8757819085222,58.5617198951717,99.7193567961165,87.1301437590325,99.9388913138367,100,50.7874539727607
"edna0067-Rep3_S373_L001_R1_001.fastq.gz",49941,29958,49941,49941,49941,49941,29933,29903,28343,28343,26840,100,100,59.9867844055986,99.9165498364377,94.6881368389403,100,94.697103341213,53.7434172323342
"edna0068-Rep1_S62_L001_R1_001.fastq.gz",17215,9296,17277,17277,17215,17215,9280,9279,8500,8500,8500,99.6411414018637,99.6411414018637,53.9994191112402,99.8278829604131,91.5948275862069,100,100,49.1983561960989
"edna0068-Rep2_S218_L001_R1_001.fastq.gz",18020,9479,18028,18028,18020,18020,9466,9404,8328,8328,8328,99.9556245839805,99.9556245839805,52.6026637069922,99.8628547315118,87.9780266215931,100,100,46.1948080763257
"edna0068-Rep3_S374_L001_R1_001.fastq.gz",60698,33328,60701,60701,60698,60698,33261,33269,30658,30658,28944,99.9950577420471,99.9950577420471,54.9079047085571,99.7989678348536,92.1740176182316,100,94.4092895818383,47.6829047297409
"edna0069-Rep1_S63_L001_R1_001.fastq.gz",23676,14641,23696,23696,23676,23676,14632,14616,13146,13146,11556,99.91559756921,99.91559756921,61.8389930731542,99.9385287890171,89.8441771459814,100,87.9050661798266,48.7677245104659
"edna0069-Rep2_S219_L001_R1_001.fastq.gz",21743,12305,21744,21744,21743,21743,12257,12280,9909,9909,9445,99.9954010301692,99.9954010301692,56.5929264590903,99.6099146688338,80.8435995757526,100,95.3173882329196,43.4372700515085
"edna0069-Rep3_S375_L001_R1_001.fastq.gz",55174,32550,55177,55177,55174,55174,32499,32409,29776,29776,28071,99.9945629519546,99.9945629519546,58.9951788886069,99.8433179723502,91.6212806547894,100,94.2739118753358,50.8744585606321
"edna0070-Rep1_S64_L001_R1_001.fastq.gz",30721,18857,30942,30942,30721,30721,18847,18755,18219,18219,15729,99.2857604550449,99.2857604550449,61.3814654470883,99.9469692952219,96.6679047063193,100,86.3329491190515,50.833818111305
"edna0070-Rep2_S220_L001_R1_001.fastq.gz",38366,23108,38366,38366,38366,38366,23020,22985,21488,21488,19991,100,100,60.2304123442632,99.6191795049334,93.3449174630756,100,93.033320923306,52.1060313819528
"edna0070-Rep3_S376_L001_R1_001.fastq.gz",54374,33446,54375,54375,54374,54374,33424,33393,31856,31856,31856,99.9981609195402,99.9981609195402,61.5110162945525,99.9342223285296,95.3087601723313,100,100,58.5857471264368
"edna0071-Rep1_S65_L001_R1_001.fastq.gz",9890,6122,9900,9900,9890,9890,6090,6109,5339,5339,5339,99.8989898989899,99.8989898989899,61.9009100101112,99.4772950016335,87.6683087027915,100,100,53.9292929292929
"edna0071-Rep2_S221_L001_R1_001.fastq.gz",8708,5289,8709,8709,8708,8708,5240,5270,5063,5063,5063,99.9885176254449,99.9885176254449,60.7372531005972,99.0735488750236,96.6221374045802,100,100,58.1352623722586
"edna0071-Rep3_S377_L001_R1_001.fastq.gz",35821,20855,35825,35825,35821,35821,20847,20818,18976,18976,17720,99.9888346127006,99.9888346127006,58.2200385248876,99.9616398945097,91.0250875425721,100,93.3811129848229,49.4626657362177
"edna0072-Rep1_S66_L001_R1_001.fastq.gz",14801,9452,14801,14801,14801,14801,9443,9438,8807,8807,7741,100,100,63.8605499628404,99.9047820567076,93.2648522715239,100,87.8959918246849,52.3005202351193
"edna0072-Rep2_S222_L001_R1_001.fastq.gz",16304,9950,16304,16304,16304,16304,9938,9931,9471,9471,9209,100,100,61.0279685966634,99.8793969849246,95.3008653652646,100,97.2336606482948,56.4830716388616
"edna0072-Rep3_S378_L001_R1_001.fastq.gz",27284,16191,27284,27284,27284,27284,16175,16161,15504,15504,15151,100,100,59.3424717783316,99.9011796677166,95.8516228748068,100,97.7231682146543,55.5307139715584
"edna0073-Rep1_S67_L001_R1_001.fastq.gz",13622,8695,13651,13651,13622,13622,8655,8638,8122,8122,8031,99.7875613508168,99.7875613508168,63.8305681985024,99.5399654974123,93.841709994223,100,98.8795863087909,58.8308548824262
"edna0073-Rep2_S223_L001_R1_001.fastq.gz",30742,18225,30752,30752,30742,30742,18175,18163,16843,16843,15530,99.9674817898023,99.9674817898023,59.2837160887385,99.7256515775034,92.6712517193948,100,92.2044766371786,50.5007804370447
"edna0073-Rep3_S379_L001_R1_001.fastq.gz",57694,32560,57699,57699,57694,57694,32524,32506,30557,30557,28973,99.9913343385501,99.9913343385501,56.435677886782,99.8894348894349,93.9521584061001,100,94.816245050234,50.2140418378135
"edna0074-Rep1_S68_L001_R1_001.fastq.gz",24976,14037,24995,24995,24976,24976,13970,14004,12813,12813,12813,99.9239847969594,99.9239847969594,56.2019538757207,99.522690033483,91.7179670722978,100,100,51.2622524504901
"edna0074-Rep2_S224_L001_R1_001.fastq.gz",37253,21827,37260,37260,37253,37253,21707,21779,20024,20024,18673,99.9812130971551,99.9812130971551,58.5912543956191,99.4502222018601,92.2467406827291,100,93.2530962844586,50.1154052603328
"edna0074-Rep3_S380_L001_R1_001.fastq.gz",35311,19544,35312,35312,35311,35311,19522,19452,17102,17102,16677,99.9971681014952,99.9971681014952,55.3481917815978,99.887433483422,87.6037291261141,100,97.5149105367793,47.2275713638423
"edna0075-Rep1_S69_L001_R1_001.fastq.gz",12792,8374,12823,12823,12792,12792,8349,8363,7446,7446,7165,99.7582469001014,99.7582469001014,65.4627892432771,99.701456890375,89.1843334531082,100,96.2261616975557,55.8761600249552
"edna0075-Rep2_S225_L001_R1_001.fastq.gz",61867,37921,61896,61896,61867,61867,37878,37819,34883,34865,30040,99.9531472146827,99.9531472146827,61.2943895776424,99.8866063658659,92.0930355351391,99.948398933578,86.1609063530761,48.5330231355823
"edna0075-Rep3_S381_L001_R1_001.fastq.gz",42245,24578,42245,42245,42245,42245,24555,24542,20737,20737,20192,100,100,58.1796662326903,99.906420375946,84.4512319283242,100,97.3718474224816,47.7973724701148
"edna0076-Rep1_S70_L001_R1_001.fastq.gz",26999,15548,27001,27001,26999,26999,15537,15537,13507,13507,13358,99.9925928669308,99.9925928669308,57.5873180488166,99.929251350656,86.9344146231576,100,98.896868290516,49.4722417688234
"edna0076-Rep2_S226_L001_R1_001.fastq.gz",85899,48249,85902,85902,85899,85899,48218,48198,45318,45318,39958,99.9965076482503,99.9965076482503,56.1694548248524,99.9357499637298,93.9856485130034,100,88.172470100181,46.515797071081
"edna0076-Rep3_S382_L001_R1_001.fastq.gz",57170,30648,57173,57173,57170,57170,30637,30466,26402,26402,26258,99.9947527679149,99.9947527679149,53.6085359454259,99.9641085878361,86.1768449913503,100,99.4545867737293,45.9272733633009
"edna0077-Rep1_S71_L001_R1_001.fastq.gz",36874,21526,36893,36893,36874,36874,21342,21485,18920,18920,18835,99.9484997153932,99.9484997153932,58.3771763302056,99.1452197342748,88.651485334083,100,99.5507399577167,51.053045293145
"edna0077-Rep2_S227_L001_R1_001.fastq.gz",34803,19473,34804,34804,34803,34803,19450,19445,17216,17216,17020,99.9971267670383,99.9971267670383,55.9520730971468,99.8818877420018,88.5141388174807,100,98.8615241635688,48.9024250086197
"edna0077-Rep3_S383_L001_R1_001.fastq.gz",59546,32532,59554,59554,59546,59546,32406,32490,30865,30865,29287,99.9865668133123,99.9865668133123,54.6333926712122,99.612689044633,95.244707770166,100,94.8874129272639,49.1772173153776
"edna0078-Rep1_S72_L001_R1_001.fastq.gz",30587,17601,30600,30600,30587,30587,17535,17545,15075,15075,14347,99.9575163398693,99.9575163398693,57.544054663746,99.6250213056076,85.9709153122327,100,95.1708126036484,46.8856209150327
"edna0078-Rep2_S228_L001_R1_001.fastq.gz",39576,22426,39591,39591,39576,39576,22360,22409,19711,19711,17717,99.9621126013488,99.9621126013488,56.6656559531029,99.705698742531,88.1529516994633,100,89.8838212165796,44.7500694602309
"edna0078-Rep3_S384_L001_R1_001.fastq.gz",35556,18992,35556,35556,35556,35556,18982,18800,15530,15530,14682,100,100,53.414332320846,99.9473462510531,81.8143504372564,100,94.539600772698,41.2926088423895
"edna0079-Rep1_S73_L001_R1_001.fastq.gz",30727,17839,30768,30768,30727,30727,17719,17710,16328,16328,15065,99.8667446697868,99.8667446697868,58.0564324535425,99.3273165536185,92.1496698459281,100,92.2648211660951,48.9632085283411
"edna0079-Rep2_S229_L001_R1_001.fastq.gz",33082,18416,33084,33084,33082,33082,18387,18378,16421,16421,15658,99.9939547817676,99.9939547817676,55.6677347197872,99.8425282363162,89.3076630227878,100,95.3535107484319,47.3280135412888
"edna0079-Rep3_S385_L001_R1_001.fastq.gz",20789,11652,20790,20790,20789,20789,11627,11642,10238,10232,10175,99.99518999519,99.99518999519,56.0488719996152,99.785444558874,88.0536681861185,99.9413948036726,99.4429241594996,48.9417989417989
"edna0080-Rep1_S74_L001_R1_001.fastq.gz",28692,16941,28714,28714,28692,28692,16924,16780,15120,15120,14140,99.9233823222122,99.9233823222122,59.0443329150983,99.8996517324833,89.3405814228315,100,93.5185185185185,49.2442710872745
