SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	181650	159637
1	1101	1067	1051
2	1101	1059	1039
3	1101	600	589
4	1101	1642	1622
5	1101	1106	1093
6	1101	608	599
7	1101	763	749
8	1101	1115	1100
9	1101	2174	2139
10	1101	3647	3593
11	1101	1750	1724
12	1101	2258	2219
13	1101	2407	2374
14	1101	2664	2623
15	1101	893	877
16	1101	3916	3851
17	1101	1471	1440
18	1101	736	722
19	1101	4073	4004
20	1101	4096	4015
21	1101	2964	2918
22	1101	5312	5212
23	1101	5421	5331
24	1101	5900	5800
25	1101	9392	9221
26	1101	6443	6345
27	1101	4851	4788
28	1101	5196	5101
29	1101	2139	2101
30	1101	4573	4499
31	1101	2361	2322
32	1101	5168	5090
33	1101	2120	2083
34	1101	2177	2144
35	1101	2937	2886
36	1101	2157	2115
37	1101	1864	1832
38	1101	4363	4287
39	1101	7404	7302
40	1101	5099	5004
41	1101	7732	7609
42	1101	6918	6799
43	1101	11964	11772
44	1101	26	25
45	1101	4393	4329
46	1101	2564	2511
47	1101	75	74
48	1101	740	730
49	1101	7145	7010
50	1101	2717	2666
51	1101	2413	2374
52	1101	49	47
53	1101	2847	2800
54	1101	2972	2935
55	1101	7817	7688
56	1101	8784	8660
57	1101	5393	5302
58	1101	998	977
59	1101	163	160
60	1101	241	238
61	1101	1219	1200
62	1101	344	338
63	1101	966	944
64	1101	6014	5922
65	1101	13294	13070
66	1101	14061	13840
67	1101	8641	8506
68	1101	6409	6316
69	1101	15128	14923
70	1101	8970	8811
71	1101	302	298
72	1101	1013	990
73	1101	1677	1656
74	1101	9619	9470
75	1101	1641	1627
76	1101	6081	5990
77	1101	8022	7904
78	1101	7713	7577
79	1101	5301	5226
80	1101	10127	9978
81	1101	8592	8452
82	1101	3994	3924
83	1101	5606	5507
84	1101	2439	2393
85	1101	1254	1233
86	1101	848	828
87	1101	856	840
88	1101	9897	9701
89	1101	12453	12246
90	1101	13396	13176
91	1101	10583	10410
92	1101	7576	7458
93	1101	13785	13575
94	1101	12041	11826
95	1101	13291	13087
96	1101	18975	18684
97	1101	4912	4819
98	1101	2762	2712
99	1101	988	974
100	1101	369	364
101	1101	2135	2105
102	1101	232	227
103	1101	209	205
104	1101	1038	1016
105	1101	741	727
106	1101	7637	7534
107	1101	7055	6929
108	1101	6154	6059
109	1101	19	18
110	1101	5069	4984
111	1101	7045	6920
112	1101	9562	9396
113	1101	8228	8087
114	1101	10694	10527
115	1101	280	275
116	1101	1493	1473
117	1101	5864	5757
118	1101	1354	1334
119	1101	3180	3141
120	1101	3790	3691
121	1101	6402	6302
122	1101	2445	2400
123	1101	1129	1106
124	1101	442	428
125	1101	1274	1257
126	1101	3652	3584
127	1101	17	17
128	1101	3211	3155
129	1101	34	33
130	1101	500	492
131	1101	169	169
132	1101	62	60
133	1101	92	88
134	1101	34	34
0	1102	180005	158063
1	1102	1042	1019
2	1102	1048	1030
3	1102	705	694
4	1102	1650	1626
5	1102	1077	1066
6	1102	536	521
7	1102	759	754
8	1102	1054	1036
9	1102	2028	1992
10	1102	3697	3645
11	1102	1736	1709
12	1102	2231	2197
13	1102	2581	2542
14	1102	2675	2636
15	1102	855	845
16	1102	3865	3811
17	1102	1392	1372
18	1102	637	626
19	1102	4027	3957
20	1102	4337	4250
21	1102	3084	3037
22	1102	5216	5117
23	1102	5429	5359
24	1102	5898	5808
25	1102	9353	9203
26	1102	6282	6170
27	1102	4963	4892
28	1102	5167	5090
29	1102	2156	2118
30	1102	4693	4634
31	1102	2337	2309
32	1102	5097	5034
33	1102	2026	1985
34	1102	2254	2220
35	1102	2996	2943
36	1102	2097	2057
37	1102	1932	1908
38	1102	4273	4208
39	1102	7435	7318
40	1102	5384	5308
41	1102	7678	7572
42	1102	6730	6624
43	1102	11885	11694
44	1102	26	24
45	1102	4494	4421
46	1102	2644	2602
47	1102	91	90
48	1102	745	729
49	1102	7007	6886
50	1102	2678	2621
51	1102	2354	2314
52	1102	45	44
53	1102	2945	2895
54	1102	2968	2929
55	1102	7651	7535
56	1102	8637	8518
57	1102	5346	5257
58	1102	1036	1023
59	1102	165	164
60	1102	229	226
61	1102	1249	1235
62	1102	327	325
63	1102	1043	1036
64	1102	5997	5903
65	1102	13322	13122
66	1102	14278	14028
67	1102	8740	8600
68	1102	6448	6341
69	1102	15459	15227
70	1102	9070	8941
71	1102	337	333
72	1102	947	933
73	1102	1537	1504
74	1102	9778	9619
75	1102	1699	1676
76	1102	5897	5797
77	1102	7957	7837
78	1102	7633	7503
79	1102	5477	5405
80	1102	9924	9770
81	1102	8530	8391
82	1102	3960	3898
83	1102	5755	5663
84	1102	2485	2455
85	1102	1181	1166
86	1102	791	775
87	1102	779	769
88	1102	9793	9649
89	1102	12293	12109
90	1102	12937	12726
91	1102	10677	10519
92	1102	7499	7391
93	1102	13993	13799
94	1102	12104	11910
95	1102	12990	12831
96	1102	18561	18302
97	1102	5163	5068
98	1102	2861	2814
99	1102	1005	990
100	1102	422	418
101	1102	2044	2016
102	1102	231	223
103	1102	207	203
104	1102	1102	1078
105	1102	789	771
106	1102	7786	7670
107	1102	6868	6761
108	1102	5940	5855
109	1102	23	23
110	1102	5186	5122
111	1102	7013	6907
112	1102	10035	9835
113	1102	8036	7910
114	1102	10515	10365
115	1102	272	268
116	1102	1608	1577
117	1102	5825	5741
118	1102	1294	1273
119	1102	3170	3128
120	1102	3834	3754
121	1102	6316	6203
122	1102	2531	2493
123	1102	1114	1094
124	1102	411	401
125	1102	1234	1212
126	1102	3590	3527
127	1102	27	27
128	1102	3290	3235
129	1102	50	49
130	1102	489	481
131	1102	192	189
132	1102	74	72
133	1102	85	82
134	1102	38	36
0	1103	181954	159058
1	1103	1060	1045
2	1103	977	955
3	1103	642	633
4	1103	1659	1629
5	1103	1150	1128
6	1103	553	544
7	1103	750	730
8	1103	1094	1076
9	1103	2067	2039
10	1103	3627	3567
11	1103	1619	1590
12	1103	2198	2168
13	1103	2425	2390
14	1103	2498	2463
15	1103	951	941
16	1103	3872	3820
17	1103	1469	1444
18	1103	690	673
19	1103	4225	4162
20	1103	4219	4141
21	1103	3025	2981
22	1103	5208	5134
23	1103	5409	5322
24	1103	5795	5696
25	1103	9269	9141
26	1103	6205	6089
27	1103	5012	4932
28	1103	5319	5234
29	1103	2152	2124
30	1103	4562	4478
31	1103	2336	2296
32	1103	5163	5083
33	1103	2037	2002
34	1103	2185	2140
35	1103	2798	2748
36	1103	2181	2146
37	1103	1800	1774
38	1103	4209	4147
39	1103	7343	7244
40	1103	5218	5126
41	1103	7556	7435
42	1103	6653	6547
43	1103	12198	12001
44	1103	22	22
45	1103	4462	4413
46	1103	2762	2721
47	1103	94	91
48	1103	822	810
49	1103	6965	6846
50	1103	2750	2693
51	1103	2306	2284
52	1103	31	30
53	1103	2858	2814
54	1103	2922	2885
55	1103	7635	7525
56	1103	8679	8532
57	1103	5337	5249
58	1103	1062	1038
59	1103	150	148
60	1103	272	269
61	1103	1214	1199
62	1103	381	378
63	1103	987	979
64	1103	5950	5853
65	1103	13419	13235
66	1103	14111	13898
67	1103	8552	8417
68	1103	6537	6426
69	1103	15311	15091
70	1103	8797	8654
71	1103	326	323
72	1103	986	964
73	1103	1665	1637
74	1103	9456	9322
75	1103	1724	1688
76	1103	5904	5802
77	1103	7956	7849
78	1103	7547	7443
79	1103	5285	5214
80	1103	9992	9850
81	1103	8361	8223
82	1103	3985	3926
83	1103	5752	5637
84	1103	2388	2350
85	1103	1277	1261
86	1103	826	809
87	1103	770	757
88	1103	9606	9448
89	1103	12353	12171
90	1103	13108	12898
91	1103	10663	10512
92	1103	7699	7575
93	1103	13970	13761
94	1103	12028	11841
95	1103	13045	12850
96	1103	18506	18207
97	1103	5147	5076
98	1103	2885	2834
99	1103	1002	982
100	1103	454	447
101	1103	2080	2047
102	1103	253	249
103	1103	189	186
104	1103	1071	1051
105	1103	780	771
106	1103	7728	7629
107	1103	6811	6716
108	1103	6063	5975
109	1103	17	17
110	1103	5134	5065
111	1103	6881	6803
112	1103	9651	9469
113	1103	8171	8059
114	1103	10294	10135
115	1103	272	266
116	1103	1457	1439
117	1103	5748	5652
118	1103	1182	1169
119	1103	3184	3133
120	1103	3844	3771
121	1103	6276	6191
122	1103	2386	2340
123	1103	969	951
124	1103	410	405
125	1103	1182	1157
126	1103	3511	3455
127	1103	26	25
128	1103	3303	3239
129	1103	32	31
130	1103	527	518
131	1103	172	170
132	1103	49	48
133	1103	81	79
134	1103	29	29
0	1104	184774	161799
1	1104	1034	1015
2	1104	1073	1052
3	1104	612	603
4	1104	1591	1567
5	1104	1134	1117
6	1104	556	551
7	1104	743	730
8	1104	1110	1090
9	1104	2116	2081
10	1104	3561	3500
11	1104	1691	1659
12	1104	2149	2116
13	1104	2347	2317
14	1104	2524	2477
15	1104	912	901
16	1104	3724	3655
17	1104	1418	1395
18	1104	674	659
19	1104	4147	4083
20	1104	4182	4099
21	1104	3003	2954
22	1104	5164	5077
23	1104	5434	5354
24	1104	5763	5668
25	1104	9232	9096
26	1104	6349	6254
27	1104	5173	5094
28	1104	5126	5035
29	1104	2273	2239
30	1104	4505	4430
31	1104	2251	2208
32	1104	5017	4921
33	1104	2102	2058
34	1104	2260	2219
35	1104	2945	2890
36	1104	2146	2102
37	1104	1950	1921
38	1104	4151	4081
39	1104	7349	7260
40	1104	5245	5155
41	1104	7421	7294
42	1104	6676	6549
43	1104	12205	11971
44	1104	45	44
45	1104	4574	4500
46	1104	2571	2523
47	1104	98	98
48	1104	784	768
49	1104	6907	6780
50	1104	2687	2631
51	1104	2387	2336
52	1104	49	46
53	1104	2818	2781
54	1104	2898	2848
55	1104	7505	7387
56	1104	8664	8493
57	1104	5246	5171
58	1104	1001	977
59	1104	125	123
60	1104	214	207
61	1104	1170	1155
62	1104	348	345
63	1104	946	931
64	1104	5967	5860
65	1104	13091	12868
66	1104	13964	13721
67	1104	8477	8332
68	1104	6523	6388
69	1104	15129	14894
70	1104	8939	8788
71	1104	289	282
72	1104	941	929
73	1104	1550	1532
74	1104	9585	9406
75	1104	1668	1644
76	1104	6053	5910
77	1104	7923	7803
78	1104	7403	7272
79	1104	5348	5258
80	1104	9945	9781
81	1104	8574	8404
82	1104	3969	3911
83	1104	5795	5703
84	1104	2347	2303
85	1104	1300	1284
86	1104	776	768
87	1104	801	783
88	1104	9571	9380
89	1104	12345	12136
90	1104	12503	12272
91	1104	10515	10331
92	1104	7583	7442
93	1104	13887	13643
94	1104	12175	11969
95	1104	13029	12806
96	1104	18052	17745
97	1104	4997	4882
98	1104	2862	2799
99	1104	1006	985
100	1104	393	385
101	1104	2046	2018
102	1104	241	239
103	1104	213	210
104	1104	994	968
105	1104	750	738
106	1104	7777	7667
107	1104	6897	6802
108	1104	5885	5794
109	1104	15	15
110	1104	5198	5107
111	1104	6871	6749
112	1104	9650	9466
113	1104	7982	7876
114	1104	10519	10330
115	1104	284	279
116	1104	1363	1338
117	1104	5635	5539
118	1104	1226	1211
119	1104	3119	3067
120	1104	3627	3549
121	1104	6248	6137
122	1104	2497	2459
123	1104	1024	1003
124	1104	425	416
125	1104	1224	1200
126	1104	3642	3589
127	1104	18	15
128	1104	3094	3029
129	1104	41	40
130	1104	536	526
131	1104	192	188
132	1104	58	57
133	1104	73	73
134	1104	37	35
0	1105	181945	159214
1	1105	1085	1053
2	1105	953	936
3	1105	602	592
4	1105	1575	1556
5	1105	1082	1063
6	1105	587	577
7	1105	794	782
8	1105	1173	1147
9	1105	2120	2085
10	1105	3598	3546
11	1105	1738	1710
12	1105	2105	2075
13	1105	2477	2445
14	1105	2562	2532
15	1105	925	908
16	1105	3805	3758
17	1105	1432	1411
18	1105	688	676
19	1105	4027	3964
20	1105	4207	4122
21	1105	2942	2879
22	1105	5261	5176
23	1105	5191	5115
24	1105	5929	5834
25	1105	9173	9021
26	1105	6351	6236
27	1105	5194	5103
28	1105	5324	5237
29	1105	2301	2271
30	1105	4633	4571
31	1105	2284	2258
32	1105	5189	5092
33	1105	2099	2068
34	1105	2145	2108
35	1105	2804	2757
36	1105	2111	2085
37	1105	1866	1830
38	1105	4296	4227
39	1105	7452	7335
40	1105	5219	5156
41	1105	7640	7498
42	1105	6800	6695
43	1105	11934	11746
44	1105	30	30
45	1105	4517	4429
46	1105	2616	2585
47	1105	105	102
48	1105	772	751
49	1105	7033	6911
50	1105	2749	2690
51	1105	2437	2393
52	1105	39	38
53	1105	3005	2963
54	1105	2993	2940
55	1105	7740	7631
56	1105	8597	8480
57	1105	5362	5243
58	1105	1098	1084
59	1105	146	143
60	1105	234	232
61	1105	1264	1239
62	1105	381	377
63	1105	995	980
64	1105	5875	5784
65	1105	13307	13104
66	1105	14133	13895
67	1105	8944	8785
68	1105	6559	6451
69	1105	15486	15233
70	1105	9087	8929
71	1105	350	346
72	1105	1043	1015
73	1105	1540	1513
74	1105	9740	9606
75	1105	1738	1705
76	1105	5920	5826
77	1105	7954	7838
78	1105	7706	7583
79	1105	5222	5141
80	1105	9813	9675
81	1105	8680	8548
82	1105	3883	3814
83	1105	5867	5776
84	1105	2423	2384
85	1105	1202	1191
86	1105	792	780
87	1105	778	770
88	1105	9408	9258
89	1105	12522	12315
90	1105	12939	12765
91	1105	10842	10668
92	1105	7748	7630
93	1105	13791	13590
94	1105	11882	11730
95	1105	12936	12752
96	1105	18368	18105
97	1105	5102	5010
98	1105	2817	2770
99	1105	973	952
100	1105	399	394
101	1105	2107	2073
102	1105	222	220
103	1105	202	199
104	1105	1047	1031
105	1105	799	786
106	1105	7846	7696
107	1105	6799	6686
108	1105	6116	6021
109	1105	19	17
110	1105	5009	4920
111	1105	6909	6805
112	1105	9933	9762
113	1105	8303	8185
114	1105	10579	10436
115	1105	256	250
116	1105	1461	1435
