SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
118	1102	5729	5400
119	1102	3359	3198
120	1102	4043	3849
121	1102	5196	4966
122	1102	3743	3570
123	1102	4476	4262
124	1102	4347	4177
125	1102	6888	6142
126	1102	5190	4926
127	1102	69	61
128	1102	392	299
129	1102	39	36
130	1102	17	17
131	1102	102	69
132	1102	133	79
133	1102	13	11
134	1102	32	27
0	1103	86383	59939
1	1103	4612	4391
2	1103	2677	2532
3	1103	4295	4112
4	1103	6573	6234
5	1103	4395	4199
6	1103	3711	3508
7	1103	6544	6218
8	1103	2778	2639
9	1103	6504	6227
10	1103	5975	5689
11	1103	3480	3333
12	1103	5395	5121
13	1103	4777	4574
14	1103	6184	5883
15	1103	5773	5527
16	1103	4977	4770
17	1103	7714	7374
18	1103	5696	5458
19	1103	5709	5463
20	1103	5522	5267
21	1103	5031	4829
22	1103	5062	4831
23	1103	4427	4238
24	1103	4832	4626
25	1103	4822	4599
26	1103	5244	5006
27	1103	4941	4710
28	1103	7030	6686
29	1103	6196	5883
30	1103	6183	5879
31	1103	4884	4639
32	1103	5466	5215
33	1103	5425	5199
34	1103	5324	5098
35	1103	5703	5457
36	1103	6309	6038
37	1103	5962	5718
38	1103	4392	4189
39	1103	5703	5438
40	1103	5356	4699
41	1103	5409	5176
42	1103	4082	3885
43	1103	4081	3912
44	1103	59	46
45	1103	6096	5867
46	1103	4963	4714
47	1103	5111	4887
48	1103	4491	4301
49	1103	4814	4582
50	1103	4099	3876
51	1103	5574	5344
52	1103	4736	4493
53	1103	5414	5135
54	1103	3924	3728
55	1103	5579	5326
56	1103	4777	4560
57	1103	4816	4583
58	1103	4158	3960
59	1103	12013	11501
60	1103	5348	5097
61	1103	4390	4187
62	1103	4358	4144
63	1103	4852	4635
64	1103	4085	3917
65	1103	4777	4558
66	1103	4816	4568
67	1103	4377	4205
68	1103	6148	5855
69	1103	5019	4767
70	1103	6496	6179
71	1103	5609	5387
72	1103	5200	4989
73	1103	4328	4149
74	1103	5977	5723
75	1103	5102	4891
76	1103	2115	2012
77	1103	6274	5996
78	1103	8178	7756
79	1103	6024	5719
80	1103	3815	3621
81	1103	5192	4935
82	1103	7081	6736
83	1103	6090	5822
84	1103	4949	4720
85	1103	5999	5747
86	1103	5881	5547
87	1103	5832	5584
88	1103	5025	4734
89	1103	4735	4507
90	1103	5301	5068
91	1103	4403	4193
92	1103	5353	5104
93	1103	5290	5034
94	1103	5081	4821
95	1103	6469	6154
96	1103	4771	4551
97	1103	8513	8126
98	1103	5935	5616
99	1103	6672	6366
100	1103	6233	5953
101	1103	5300	5079
102	1103	4766	4517
103	1103	5215	4987
104	1103	4236	4045
105	1103	4626	4456
106	1103	6242	5919
107	1103	6458	6154
108	1103	9554	9146
109	1103	155	92
110	1103	9546	9081
111	1103	6532	6261
112	1103	4844	4639
113	1103	6288	6004
114	1103	6676	6332
115	1103	5848	5572
116	1103	4996	4747
117	1103	6873	6587
118	1103	5690	5370
119	1103	3374	3241
120	1103	3851	3664
121	1103	5189	4967
122	1103	3765	3580
