SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
94	1102	2	2
95	1102	7	6
96	1102	2390	2368
97	1102	116	106
98	1102	9	9
99	1102	5	5
100	1102	2480	2463
101	1102	2	1
102	1102	2622	2596
103	1102	1172	1157
104	1102	1427	1412
105	1102	2626	2608
107	1102	2404	2392
108	1102	2055	2033
109	1102	1812	1800
110	1102	2268	2251
111	1102	1	1
112	1102	1385	1372
113	1102	2961	2944
114	1102	3239	3215
115	1102	2	2
116	1102	2169	2150
117	1102	1914	1901
118	1102	1386	1377
119	1102	2298	2280
120	1102	137	134
121	1102	3986	3962
122	1102	4410	4381
123	1102	3819	3789
124	1102	3844	3817
125	1102	2	2
126	1102	3096	3079
127	1102	1453	1448
128	1102	3815	3783
129	1102	2810	2783
130	1102	76	73
131	1102	1583	1569
132	1102	3078	3049
133	1102	3	3
134	1102	2670	2650
136	1102	2866	2849
137	1102	2	2
138	1102	2926	2896
139	1102	1116	1109
140	1102	2	2
141	1102	3037	3013
142	1102	2280	2259
143	1102	3	3
144	1102	4	4
145	1102	1821	1802
146	1102	2685	2660
147	1102	2368	2345
148	1102	3	3
149	1102	2971	2945
150	1102	1721	1708
151	1102	1790	1783
152	1102	1710	1697
153	1102	2132	2112
156	1102	1788	1774
158	1102	1	1
159	1102	2767	2746
160	1102	2241	2218
161	1102	2367	2348
162	1102	1	1
163	1102	2256	2238
164	1102	3198	3183
165	1102	9	9
166	1102	1386	1377
167	1102	3344	3314
168	1102	1506	1492
169	1102	4637	4612
170	1102	43	43
171	1102	4588	4551
172	1102	3216	3186
173	1102	3924	3895
174	1102	3711	3674
175	1102	3827	3803
176	1102	4309	4283
177	1102	4	4
180	1102	2	1
182	1102	2102	2082
183	1102	1841	1826
184	1102	1	1
0	1103	90931	80224
1	1103	11892	11770
2	1103	322	295
3	1103	873	836
4	1103	2348	2325
5	1103	2571	2544
6	1103	1964	1934
7	1103	33	28
8	1103	7338	7253
9	1103	6863	6778
10	1103	4125	4070
11	1103	3098	3072
12	1103	546	535
13	1103	4360	4319
14	1103	3378	3347
15	1103	4278	4228
16	1103	6787	6708
17	1103	17	15
18	1103	4576	4545
19	1103	4155	4110
20	1103	4175	4137
21	1103	4347	4304
22	1103	23	22
23	1103	3241	3204
24	1103	5002	4944
25	1103	423	417
26	1103	10	9
27	1103	3	3
28	1103	5	5
29	1103	39	39
30	1103	3504	3473
31	1103	1	1
32	1103	8664	8567
33	1103	2269	2246
34	1103	2940	2904
35	1103	66	62
36	1103	5064	5014
37	1103	3	3
38	1103	21	20
39	1103	4074	4033
40	1103	8426	8331
41	1103	1017	1006
42	1103	8220	8157
43	1103	1526	1515
45	1103	1	1
46	1103	4669	4624
47	1103	3	3
48	1103	43	42
49	1103	2369	2346
50	1103	6685	6611
51	1103	5	5
52	1103	2750	2718
53	1103	4	4
54	1103	3397	3357
55	1103	2733	2705
56	1103	27	24
57	1103	2211	2189
58	1103	14	14
59	1103	1274	1265
60	1103	3643	3597
61	1103	3278	3254
62	1103	1850	1825
63	1103	2233	2216
64	1103	27	23
65	1103	2218	2187
66	1103	3271	3239
67	1103	2801	2774
68	1103	3141	3109
69	1103	20	20
70	1103	5085	5034
71	1103	4184	4143
72	1103	3662	3629
73	1103	17	16
74	1103	9	8
75	1103	8984	8879
76	1103	2	2
77	1103	2	2
78	1103	6442	6390
79	1103	8	7
80	1103	673	660
81	1103	9410	9300
82	1103	6945	6872
83	1103	6921	6851
84	1103	21	19
85	1103	11521	11430
86	1103	8430	8356
87	1103	8	8
88	1103	2857	2807
89	1103	5	4
90	1103	2	1
91	1103	4	4
92	1103	1	1
94	1103	1	1
95	1103	7	5
96	1103	2255	2240
97	1103	118	114
98	1103	12	12
99	1103	1	1
100	1103	2397	2387
102	1103	2736	2711
103	1103	1233	1217
104	1103	1448	1437
105	1103	2597	2575
107	1103	2538	2514
108	1103	2094	2074
109	1103	1955	1939
110	1103	2300	2274
111	1103	1	1
112	1103	1377	1363
113	1103	2903	2881
114	1103	3302	3268
115	1103	4	4
116	1103	2120	2099
117	1103	1699	1693
118	1103	1376	1362
119	1103	2205	2191
120	1103	125	122
121	1103	4157	4131
122	1103	4304	4273
123	1103	3763	3737
124	1103	3636	3605
125	1103	1	1
126	1103	2937	2916
127	1103	1561	1555
128	1103	3679	3659
129	1103	2992	2968
130	1103	87	81
131	1103	1476	1465
132	1103	3111	3077
134	1103	2817	2799
135	1103	1	1
136	1103	2688	2671
137	1103	1	1
138	1103	2952	2934
139	1103	1062	1055
140	1103	2	2
141	1103	2882	2854
142	1103	2276	2256
143	1103	4	3
144	1103	1	1
145	1103	1838	1823
146	1103	2845	2820
147	1103	2389	2367
148	1103	2	1
149	1103	3062	3033
150	1103	1768	1759
151	1103	1802	1787
152	1103	1743	1735
153	1103	2121	2107
154	1103	2	2
155	1103	4	4
156	1103	1824	1807
158	1103	1	1
159	1103	2638	2617
160	1103	2331	2307
161	1103	2429	2409
162	1103	2	2
163	1103	2261	2249
164	1103	3111	3087
165	1103	16	16
166	1103	1340	1333
167	1103	3364	3344
168	1103	1542	1526
169	1103	4743	4712
170	1103	61	60
171	1103	4624	4597
172	1103	2908	2882
173	1103	3906	3878
174	1103	3775	3734
175	1103	3991	3965
176	1103	4281	4252
177	1103	1	1
178	1103	7	7
180	1103	1	1
182	1103	2191	2168
183	1103	1903	1887
0	1104	91040	80912
1	1104	12003	11913
2	1104	326	307
3	1104	792	746
4	1104	2274	2249
5	1104	2601	2563
6	1104	2004	1982
7	1104	39	35
8	1104	7414	7336
9	1104	6503	6431
10	1104	4190	4150
11	1104	3012	2974
12	1104	564	553
13	1104	4476	4449
14	1104	3438	3395
15	1104	4141	4102
16	1104	6743	6658
17	1104	22	20
18	1104	4414	4357
19	1104	4144	4122
20	1104	4256	4219
21	1104	4187	4158
22	1104	15	15
23	1104	3178	3145
24	1104	5105	5058
25	1104	393	390
26	1104	9	9
27	1104	1	1
28	1104	4	4
29	1104	31	31
30	1104	3640	3607
32	1104	8659	8573
33	1104	2330	2305
34	1104	2839	2805
35	1104	75	75
36	1104	5044	5005
37	1104	1	1
38	1104	30	28
39	1104	4156	4123
40	1104	8134	8059
41	1104	985	978
42	1104	8091	8017
43	1104	1668	1655
44	1104	6	6
45	1104	1	1
46	1104	4371	4324
47	1104	2	2
48	1104	70	65
49	1104	2183	2159
50	1104	6694	6629
51	1104	6	6
52	1104	2958	2925
53	1104	2	2
54	1104	3214	3180
55	1104	2640	2616
56	1104	26	22
57	1104	2229	2213
58	1104	14	14
59	1104	1232	1224
60	1104	3622	3583
61	1104	3319	3291
62	1104	1803	1780
63	1104	2298	2277
64	1104	47	45
65	1104	2167	2154
66	1104	3295	3258
67	1104	2901	2868
68	1104	2942	2908
69	1104	20	17
70	1104	5147	5102
71	1104	4137	4109
72	1104	3539	3512
73	1104	19	19
74	1104	5	5
75	1104	9266	9185
76	1104	3	3
77	1104	8	8
78	1104	6341	6295
79	1104	7	6
80	1104	597	589
81	1104	9416	9334
82	1104	6959	6890
83	1104	7009	6946
84	1104	24	23
85	1104	11757	11682
86	1104	8818	8739
87	1104	7	7
88	1104	2795	2759
89	1104	16	14
90	1104	4	4
91	1104	5	5
92	1104	2	2
94	1104	1	1
95	1104	6	6
96	1104	2309	2290
97	1104	118	110
98	1104	11	11
100	1104	2418	2397
101	1104	2	2
102	1104	2676	2661
103	1104	1184	1173
104	1104	1392	1381
105	1104	2538	2529
106	1104	4	4
107	1104	2608	2594
108	1104	2038	2026
109	1104	1943	1935
110	1104	2126	2114
111	1104	1	1
112	1104	1324	1314
113	1104	2768	2748
114	1104	3331	3300
115	1104	3	3
116	1104	2225	2210
117	1104	1798	1787
118	1104	1253	1249
119	1104	2333	2319
120	1104	116	111
121	1104	4104	4070
122	1104	4201	4176
123	1104	3521	3484
124	1104	3788	3766
125	1104	4	3
126	1104	2948	2927
127	1104	1488	1475
128	1104	3781	3763
129	1104	2773	2748
130	1104	66	63
131	1104	1562	1557
132	1104	3169	3139
133	1104	2	2
134	1104	2685	2663
136	1104	2686	2666
137	1104	3	3
138	1104	2843	2817
139	1104	1022	1012
141	1104	2842	2824
142	1104	2410	2394
143	1104	3	3
144	1104	3	3
145	1104	1837	1819
146	1104	2625	2592
147	1104	2334	2318
148	1104	1	1
149	1104	2912	2893
150	1104	1794	1782
151	1104	1792	1780
152	1104	1699	1686
153	1104	2157	2144
154	1104	2	2
155	1104	3	3
156	1104	1780	1772
157	1104	1	1
158	1104	2	2
159	1104	2522	2509
160	1104	2233	2218
161	1104	2329	2317
162	1104	4	4
163	1104	2168	2149
164	1104	3116	3096
165	1104	8	8
166	1104	1324	1311
167	1104	3439	3427
168	1104	1512	1506
169	1104	4651	4610
170	1104	69	67
171	1104	4521	4492
172	1104	3013	2992
173	1104	3945	3921
174	1104	3586	3563
175	1104	3909	3891
176	1104	4162	4133
177	1104	1	1
178	1104	3	3
179	1104	1	1
181	1104	1	1
182	1104	2351	2332
183	1104	1736	1726
0	1105	91473	80298
1	1105	12057	11947
2	1105	304	276
3	1105	880	831
4	1105	2358	2314
5	1105	2659	2629
6	1105	1968	1937
7	1105	31	28
8	1105	7601	7508
9	1105	6603	6508
10	1105	3937	3890
11	1105	3171	3114
12	1105	588	576
13	1105	4540	4508
14	1105	3434	3393
15	1105	4198	4155
16	1105	6833	6749
17	1105	18	15
18	1105	4531	4491
19	1105	3888	3833
20	1105	4128	4089
21	1105	4188	4148
22	1105	13	13
23	1105	3265	3242
24	1105	4989	4918
25	1105	432	429
26	1105	10	10
27	1105	4	4
28	1105	2	1
29	1105	43	43
30	1105	3620	3590
31	1105	3	2
32	1105	8776	8685
33	1105	2177	2154
34	1105	3128	3096
35	1105	62	61
36	1105	5170	5124
37	1105	2	2
38	1105	28	26
39	1105	4239	4204
40	1105	8391	8298
41	1105	1001	988
42	1105	8446	8357
43	1105	1669	1662
44	1105	5	5
45	1105	1	1
46	1105	4391	4345
47	1105	4	4
48	1105	44	41
49	1105	2336	2309
50	1105	6731	6661
51	1105	3	3
52	1105	2786	2758
53	1105	1	1
54	1105	3205	3173
55	1105	2523	2495
56	1105	29	24
57	1105	2286	2260
58	1105	8	7
59	1105	1178	1163
60	1105	3756	3714
61	1105	3332	3301
62	1105	1861	1841
63	1105	2311	2285
64	1105	42	40
65	1105	2191	2153
66	1105	3283	3239
67	1105	2823	2777
68	1105	3146	3102
69	1105	13	13
70	1105	5109	5066
71	1105	4195	4153
72	1105	3762	3733
73	1105	21	20
74	1105	4	4
75	1105	9175	9078
76	1105	2	2
77	1105	2	2
78	1105	6660	6602
79	1105	14	11
80	1105	651	641
81	1105	9616	9509
82	1105	7085	7015
83	1105	7273	7199
84	1105	26	26
85	1105	11396	11317
86	1105	8564	8464
87	1105	10	9
88	1105	3064	3023
89	1105	6	6
90	1105	1	1
91	1105	4	4
92	1105	1	1
93	1105	1	1
94	1105	3	3
95	1105	4	4
96	1105	2429	2403
97	1105	106	102
98	1105	4	4
99	1105	3	3
100	1105	2441	2429
102	1105	2625	2601
103	1105	1187	1159
104	1105	1380	1367
105	1105	2627	2603
106	1105	1	1
107	1105	2541	2524
108	1105	2206	2186
109	1105	1823	1809
110	1105	2159	2151
111	1105	1	1
112	1105	1390	1374
113	1105	2991	2974
114	1105	3542	3522
115	1105	4	3
116	1105	2147	2129
117	1105	1841	1822
118	1105	1357	1350
119	1105	2288	2274
120	1105	116	111
121	1105	4197	4167
122	1105	4334	4290
123	1105	3502	3459
124	1105	3659	3639
125	1105	6	6
126	1105	3027	3008
127	1105	1647	1633
128	1105	3664	3643
129	1105	2845	2817
130	1105	67	64
131	1105	1581	1569
132	1105	3206	3180
133	1105	1	1
134	1105	2841	2820
135	1105	1	1
136	1105	2883	2861
137	1105	7	7
138	1105	2949	2926
139	1105	1007	996
140	1105	1	1
141	1105	2968	2943
142	1105	2442	2423
143	1105	6	6
144	1105	5	5
145	1105	1833	1816
146	1105	2795	2766
147	1105	2393	2373
148	1105	2	2
149	1105	2947	2927
150	1105	1785	1771
151	1105	1902	1894
152	1105	1713	1694
153	1105	2186	2163
154	1105	1	1
156	1105	1898	1881
158	1105	1	1
159	1105	2557	2540
160	1105	2351	2337
161	1105	2393	2366
162	1105	3	3
163	1105	2275	2258
164	1105	3118	3095
165	1105	13	13
166	1105	1390	1377
167	1105	3341	3312
168	1105	1573	1564
169	1105	4791	4760
170	1105	57	55
171	1105	4520	4483
172	1105	3236	3212
173	1105	4041	4006
174	1105	3841	3817
175	1105	3875	3852
176	1105	4219	4188
177	1105	4	4
178	1105	11	9
179	1105	4	4
180	1105	2	2
182	1105	2371	2355
183	1105	1944	1929
184	1105	1	0
0	1106	91517	80677
