found_taxa,max_lat,min_lat,max_long,min_long
Atractoscion nobilis,58.292685,23.74436,-107.0801,-134.410242
Auxis rochei,33.832414,-40.3,-74.5,-118.396967
Bodianus pulcher,36.803439,22.887545,-109.900546,-121.911948
Brachygenys californiensis,37.761543,-8.21,-80.4,-122.44445
Cebidichthys violaceus,45.48,30.43,-115.96,-123.98
Cheilotrema saturnum,34.44,23.38,-110.2,-120.48
Chitonus pugetensis,55.28,28.1,-115.16,-133.18
Clinocottus analis,40.44,26.711589,-113.5715,-124.417
Clinocottus embryum,52.893586,31.75,172.952581,-116.76
Cololabis saira,53.16159,18.81,64.14941,-112
Cosmocampus arctus,40.76,-40.3,-74.5,-124.24
Cryptacanthodes gisantes,40.76,40.76,-124.24,-124.24
Cynoscion parvipinnis,33.65,23.23,-106.45,-118.04
Fundulus parvipinnis,35.364261,22.77,-109.96,-120.883116
Gadus macrocephalus,65.75,34,-118.5,-169
Gasterosteus aculeatus,53.16159,30.041848,64.14941,-115.793158
Genyonemus lineatus,48.9,24.586778,-111.990034,-125.27
Gillichthys mirabilis,38.132169,23.74436,-107.0801,-122.883617
Girella nigricans,37.761543,22.887545,-109.900546,-122.44445
Gobiesox rhessodon,35.65,24.586778,-111.990034,-121.24
Hemilepidotus jordani,56.28,53.16159,-134.65,-164.14941
Hemilepidotus spinosus,59.629512,33.476876,-119.037023,-151.33537
Hexanchus griseus,53,-40.3,-74.5,-165
Hypomesus pretiosus,55.255737,33.753068,-118.178129,-162.674229
Hypsoblennius gilberti,37.761543,23.38,-109.38,-122.44445
Hypsoblennius jenkinsi,36.954174,23.95,-110.88,-122.021277
Kyphosus azureus,41.54,23.74436,-107.0801,-124.08
Leptoclinus maculatus,71.18,47.5671,-122.4411,-148.53
Leuresthes tenuis,38.132169,24.586778,-111.990034,-122.883617
Liparis greeni,54.24606,47.5671,-122.4411,-164.4523
Liparis mucosus,56.97189,22.9293,-109.8151,-135.386754
Lycodes brevipes,62.22,34.56,179.09,-166.821843
Lycodes pacificus,54.24606,31.83,-116.67,-164.4523
Mallotus villosus,83.01771,48.217297,-122.3368,-123.594744
Menticirrhus undulatus,35.364261,23.74436,-107.0801,-120.883116
Micrometrus minimus,38.56,29.95,-115.82,-123.33
Microstomus pacificus,57,25.48,171,-171
Morone saxatilis,48.9,32.5,-117.14,-125.27
Myliobatis californica,44.617522,-4.17,-81.13,-124.02307
Myoxocephalus scorpius,71.18,54.016667,-130.616667,-148.53
Nectoliparis pelagicus,53.16159,32.62,64.14941,-117.2
Notorynchus cepedianus,53.5,-40.3,-74.5,-130.66
Orthonopias triacis,50.1,27.69057,-114.891754,-127.94
Oncorhynchyus clarkii,60.52,40.65,-124.32,-151.54
Osmerus mordax,83.01771,44.139025,-122.3368,-124.131323
Paraclinus integripinnis,36.954174,24.432,-111.75,-122.021277
Phanerodon vacca,48.93,28.87,-115.2,-123.19
Pleuronichthys decurrens,60.1,25.48,-113.28,-145.94
Pleuronichthys guttulatus,40.44,22.887545,-109.900546,-124.417
Pleuronichthys ritteri,35.364261,24.2,-111.35,-120.883116
Quietula y-cauda,35.364261,23.74436,-107.0801,-120.883116
Rhacochilus toxotes,39.98,29.044094,-118.27618,-124.04
Rhinogobiops nicholsii,59.558559,27.719802,-115.018584,-1135.5833
Roncador stearnsii,34.44,22.77,-109.96,-120.48
Scomber japonicus,60.69666,-40.3,-74.5,-146.99816
Sebastes gilli,49,30.88,-116.5,-127
Seriphus politus,49.3,24.5,-109.15,-124.02307
Sphyraena argentea,57.446876,18.816279,-112.769896,-153.429926
Spirinchus starksi,57.14,34.58,-120.65,-135.8
Syngnathus auliscus,33.476876,-3.5,-80.39,-119.037023
Thaleichthys pacificus,54.24606,34,-120.2,-164.4523
Thunnus alalunga,60.69666,-40.3,-74.5,-146.99816
Thunnus obesus,47.16,-40.3,-74.5,-124.19
Thunnus orientalis,57.881302,22.857054,-110.06656,-154.435578
Tridentiger trigonocephalus,37.761543,32.62,-117.2,-122.44445
Typhlogobius californiensis,35.63,24.586778,-111.990034,-121.2
Umbrina roncador,34.44,24.586778,-111.990034,-120.48
