Species,common_name,Mean_prevalence,Northern_offset,Southern_offset,Extends_past_domain
Gadus chalcogrammus,Alaska pollock,0.3281,1.6145,-1.9528,North
Gasterosteus aculeatus,Three-spined stickleback,0.7193,-5.5013,-2.1022,South
Genyonemus lineatus,White croaker,0.25,15.1864,-2.2136,South
Gibbonsia montereyensis,Crevice kelpfish,0.3526,2.3114,-3.8604,South
Gillichthys mirabilis,Longjaw mudsucker,0.25,0.0271,-3.8722,South
Girella nigricans,Rudderfish,0.6167,4.0053,-1.2142,South
Gobiesox maeandricus,Northern clingfish,0.375,2.9278,-11.8597,South
Gobiesox rhessodon,California clingfish,0.25,2.9358,-1.2142,South
Hemilepidotus hemilepidotus,Red Irish lord,0.4524,5.9909,-3.0159,North
Heterostichus rostratus,Giant kelpfish,0.625,18.9927,-1.2005,South
Hexagrammos decagrammus,Kelp greenling,0.6411,-2.8147,0.1613,No
Hippoglossus stenolepis,Pacific halibut,0.25,1.6145,-26.8855,Both
Hydrolagus colliei,Spotted ratfish,0.4,4.8734,-1.2142,South
Hypsoblennius gentilis,Bay blenny,0.6927,-13.7189,-1.2005,South
Hypsoblennius gilberti,Rockpool blenny,0.625,4.1594,-1.2142,South
Hypsoblennius jenkinsi,Mussel blenny,0.35,3.1979,-1.2005,South
Jordania zonope,Longfin sculpin,0.25,7.4265,-15.2163,North
Kyphosus azureus,Zebra-perch sea chub,0.25,7.7781,-2.2619,South
Lepidogobius lepidus,Bay goby,0.3224,-0.5986,-3.8604,South
Leptocottus armatus,Pacific staghorn sculpin,0.7837,-1.267,-1.4605,South
Leuresthes tenuis,California grunion,0.6786,4.3703,-1.2005,South
Leuroglossus schmidti,Northern smoothtongue,0.25,4.2598,-0.0151,North
Liparis cyclopus,Ribbon snailfish,0.25,1.6681,-3.1087,North
Liparis florae,Tidepool snailfish,0.4167,5.3935,-15.0358,No
Liparis greeni,Lobefin snailfish,0.3712,1.6726,9.621,No
Liparis mucosus,Slimy snailfish,0.45,4.9185,-17.3771,South
Lumpenus sagitta,Snake prickleback,0.5957,1.3371,-1.5157,North
Lycodes brevipes,Shortfin eelpout,0.25,9.9199,-15.5201,North
Mallotus villosus,Capelin,0.55,1.3371,-10.1146,North
Menticirrhus undulatus,California kingcroaker,0.6591,1.5963,-1.2142,South
Merluccius productus,North Pacific hake,0.7917,-5.7693,-2.2562,South
Microgadus proximus,Pacific tomcod,0.25,6.3577,-13.5662,No
Micrometrus minimus,Dwarf perch,0.5056,0.6139,-1.2005,South
Morone saxatilis,Striped bass invasive,0.5208,10.6946,-5.3724,No
Mugil cephalus,Flathead grey mullet,0.7515,-11.4651,-1.2142,South
Myliobatis californica,Bat ray,0.625,10.8556,-2.2562,South
Myoxocephalus stelleri,Steller's sculpin,0.25,3.9051,6.2006,No
Nautichthys oculofasciatus,Sailfin sculpin,0.25,-0.1813,-14.6564,No
Notorynchus cepedianus,Broadnose sevengill shark,0.25,6.8845,-15.1155,South
Oligocottus snyderi,Fluffy sculpin,0.4375,4.4581,-6.8339,South
Oncorhynchus gorbuscha,Pink salmon,0.6245,1.3371,20.4474,North
Oncorhynchus keta,Chum salmon,0.3333,1.3735,-16.6622,North
Oncorhynchus kisutch,Coho salmon,0.6625,1.3371,-2.268,Both
Oncorhynchus nerka,Sockeye salmon,0.25,11.0486,-14.9214,North
Oncorhynchus tshawytscha,Chinook salmon,0.6752,1.3371,-1.2142,Both
Ophiodon elongatus,Lingcod,0.5231,1.6189,-3.8722,Both
Orthonopias triacis,Snubnose sculpin,0.25,-1.9534,-20.4239,South
