accepted_name,verbatim_name,taxonomic_status,species,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,taxon_id,ncbi_id
Prionace glauca,Prionace glauca,accepted,Prionace glauca,species,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,TRUE,TRUE,FALSE,105801,7815
Dasycottus setiger,Dasycottus setiger,accepted,Dasycottus setiger,species,Teleostei,Perciformes,Psychrolutidae,Dasycottus,TRUE,FALSE,FALSE,280488,274783
Hemitripterus bolini,Hemitripterus bolini,accepted,Hemitripterus bolini,species,Teleostei,Perciformes,Hemitripteridae,Hemitripterus,TRUE,FALSE,FALSE,254541,470227
Sebastes saxicola,Sebastes saxicola,accepted,Sebastes saxicola,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274848,72101
Icelinus tenuis,Icelinus tenuis,accepted,Icelinus tenuis,species,Teleostei,Perciformes,Cottidae,Icelinus,TRUE,FALSE,FALSE,281142,433394
Microstomus bathybius,Microstomus bathybius,accepted,Microstomus bathybius,species,Teleostei,Pleuronectiformes,Pleuronectidae,Microstomus,TRUE,FALSE,FALSE,305684,320376
Lumpenella longirostris,Lumpenella longirostris,accepted,Lumpenella longirostris,species,Teleostei,Perciformes,Lumpenidae,Lumpenella,TRUE,FALSE,FALSE,254351,557408
Psychrolutes paradoxus,Psychrolutes paradoxus,accepted,Psychrolutes paradoxus,species,Teleostei,Perciformes,Psychrolutidae,Psychrolutes,TRUE,FALSE,FALSE,254566,980342
Sardinops sagax,Sardinops sagax,accepted,Sardinops sagax,species,Teleostei,Clupeiformes,Alosidae,Sardinops,TRUE,FALSE,FALSE,217452,28381
Bathyagonus alascanus,Bathyagonus alascanus,accepted,Bathyagonus alascanus,species,Teleostei,Perciformes,Agonidae,Bathyagonus,TRUE,FALSE,FALSE,254503,433408
Xeneretmus leiops,Xeneretmus leiops,accepted,Xeneretmus leiops,species,Teleostei,Perciformes,Agonidae,Xeneretmus,TRUE,FALSE,FALSE,283172,299564
Zaprora silenus,Zaprora silenus,accepted,Zaprora silenus,species,Teleostei,Perciformes,Zaproridae,Zaprora,TRUE,FALSE,FALSE,254353,320590
Myoxocephalus polyacanthocephalus,Myoxocephalus polyacanthocephalus,accepted,Myoxocephalus polyacanthocephalus,species,Teleostei,Perciformes,Cottidae,Myoxocephalus,TRUE,FALSE,FALSE,254528,238839
Ammodytes hexapterus,Ammodytes hexapterus,accepted,Ammodytes hexapterus,species,Teleostei,Perciformes,Ammodytidae,Ammodytes,TRUE,TRUE,FALSE,254510,476914
Sebastes aleutianus,Sebastes aleutianus,accepted,Sebastes aleutianus,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274771,214485
Salvelinus confluentus,Salvelinus confluentus,accepted,Salvelinus confluentus,species,Teleostei,Salmoniformes,Salmonidae,Salvelinus,FALSE,TRUE,TRUE,274352,8037
Entosphenus tridentatus,Entosphenus tridentatus,accepted,Entosphenus tridentatus,species,Petromyzonti,Petromyzontiformes,Petromyzontidae,Entosphenus,TRUE,TRUE,TRUE,314348,245074
