"","accession","found_taxa","rank","common_name","taxa_verbatim","ncbi_sp","worms_match","worms_aphiaid","status","valid_authority","kingdom","phylum","class","order","family","genus","freshwater_only","terrestrial_only","hybrid","ncbi_taxonomy_2"
"4839","OR859451","Crenimugil","genus",NA,"Crenimugil sp. B JDD-2024","Crenimugil","Crenimugil",151497,"accepted","Schultz, 1946","Eukaryota","Chordata","Teleostei","Mugiliformes","Mugilidae","Crenimugil","0","0",NA,NA
"4840","OR859448","Crenimugil","genus",NA,"Crenimugil sp. A JDD-2024","Crenimugil","Crenimugil",151497,"accepted","Schultz, 1946","Eukaryota","Chordata","Teleostei","Mugiliformes","Mugilidae","Crenimugil","0","0",NA,NA
"4841","KF374966","Crenimugil buchanani","species",NA,"Crenimugil buchanani","Crenimugil buchanani","Crenimugil buchanani",1042834,"accepted","(Bleeker, 1853)","Eukaryota","Chordata","Teleostei","Mugiliformes","Mugilidae","Crenimugil","0","0",NA,NA
"4842","NC_017884","Moolgarda crenilabis","species",NA,"Crenimugil crenilabis","Crenimugil crenilabis","Crenimugil crenilabis",1865528,"superseded combination","(Forsskål, 1775)","Eukaryota","Chordata","Teleostei","Mugiliformes","Mugilidae","Crenimugil","0","0",NA,NA
"4843","OR884420","Crenuchus","genus",NA,"Crenuchus sp. USNM FISH 463404","Crenuchus","Crenuchus",268873,"accepted","Günther, 1863","Eukaryota","Chordata","Teleostei","Characiformes","Crenuchidae","Crenuchus","1","0",NA,NA
"4844","OR884421","Crenuchus","genus",NA,"Crenuchus sp. USNM FISH 463405","Crenuchus","Crenuchus",268873,"accepted","Günther, 1863","Eukaryota","Chordata","Teleostei","Characiformes","Crenuchidae","Crenuchus","1","0",NA,NA
"4845","MW621199","Crenuchus spilurus","species",NA,"Crenuchus spilurus","Crenuchus spilurus","Crenuchus spilurus",1021074,"accepted","Günther, 1863","Eukaryota","Chordata","Teleostei","Characiformes","Crenuchidae","Crenuchus","1","0",NA,NA
"4846","KP872697","Creteuchiloglanis gongshanensis","species",NA,"Creteuchiloglanis gongshanensis","Creteuchiloglanis gongshanensis","Creteuchiloglanis gongshanensis",1524204,"accepted","(Chu, 1981)","Eukaryota","Chordata","Teleostei","Siluriformes","Sisoridae","Creteuchiloglanis","1","0",NA,NA
"4847","KU160626","Creteuchiloglanis gongshanensis","species",NA,"Creteuchiloglanis gongshanensis","Creteuchiloglanis gongshanensis","Creteuchiloglanis gongshanensis",1524204,"accepted","(Chu, 1981)","Eukaryota","Chordata","Teleostei","Siluriformes","Sisoridae","Creteuchiloglanis","1","0",NA,NA
"4848","OK646329","Creteuchiloglanis kamengensis","species",NA,"Creteuchiloglanis kamengensis","Creteuchiloglanis kamengensis","Creteuchiloglanis kamengensis",1013435,"accepted","(Jayaram, 1966)","Eukaryota","Chordata","Teleostei","Siluriformes","Sisoridae","Creteuchiloglanis","1","0",NA,NA
"4849","JQ026253","Creteuchiloglanis kamengensis","species",NA,"Creteuchiloglanis kamengensis","Creteuchiloglanis kamengensis","Creteuchiloglanis kamengensis",1013435,"accepted","(Jayaram, 1966)","Eukaryota","Chordata","Teleostei","Siluriformes","Sisoridae","Creteuchiloglanis","1","0",NA,NA
"4850","MN396886","Creteuchiloglanis kamengensis","species",NA,"Creteuchiloglanis kamengensis","Creteuchiloglanis kamengensis","Creteuchiloglanis kamengensis",1013435,"accepted","(Jayaram, 1966)","Eukaryota","Chordata","Teleostei","Siluriformes","Sisoridae","Creteuchiloglanis","1","0",NA,NA
"4851","KP872682","Creteuchiloglanis macropterus","species",NA,"Creteuchiloglanis macropterus","Creteuchiloglanis macropterus","Creteuchiloglanis macropterus",1009542,"accepted","(Ng, 2004)","Eukaryota","Chordata","Teleostei","Siluriformes","Sisoridae","Creteuchiloglanis","1","0",NA,NA
"4852","KP872683","Creteuchiloglanis macropterus","species",NA,"Creteuchiloglanis macropterus","Creteuchiloglanis macropterus","Creteuchiloglanis macropterus",1009542,"accepted","(Ng, 2004)","Eukaryota","Chordata","Teleostei","Siluriformes","Sisoridae","Creteuchiloglanis","1","0",NA,NA
"4853","ON364117","Cribroheros robertsoni","species",NA,"Cribroheros robertsoni","Cribroheros robertsoni","Cribroheros robertsoni",1526173,"accepted","(Regan, 1905)","Eukaryota","Chordata","Teleostei","Cichliformes","Cichlidae","Cribroheros","1","0",NA,NA
"4854","LC458210","Cristatogobius lophius","species",NA,"Cristatogobius lophius","Cristatogobius lophius","Cristatogobius lophius",280432,"accepted","Herre, 1927","Eukaryota","Chordata","Teleostei","Gobiiformes","Gobiidae","Cristatogobius","0","0",NA,NA
"4855","LC092069","Cristatogobius nonatoae","species",NA,"Cristatogobius nonatoae","Cristatogobius nonatoae","Cristatogobius nonatoae",280433,"accepted","(Ablan, 1940)","Eukaryota","Chordata","Teleostei","Gobiiformes","Gobiidae","Cristatogobius","0","0",NA,NA
"4856","MN154386","Cristiceps argyropleura","species",NA,"Cristiceps argyropleura","Cristiceps argyropleura","Cristiceps argyropleura",276602,"accepted","Kner, 1865","Eukaryota","Chordata","Teleostei","Blenniiformes","Clinidae","Cristiceps","0","0",NA,NA
"4857","AP007275","Cromeria occidentalis","species",NA,"Cromeria occidentalis","Cromeria occidentalis","Cromeria occidentalis",1524917,"accepted","Daget, 1954","Eukaryota","Chordata","Teleostei","Gonorynchiformes","Kneriidae","Cromeria","1","0",NA,NA
"4858","KC593375","Cromileptes altivelis","species",NA,"Cromileptes altivelis","Cromileptes altivelis","Cromileptes altivelis",218193,"accepted","(Valenciennes, 1828)","Eukaryota","Chordata","Teleostei","Perciformes","Epinephelidae","Cromileptes","0","0",NA,NA
"4859","OP980561","Cromileptes altivelis","species",NA,"Cromileptes altivelis","Cromileptes altivelis","Cromileptes altivelis",218193,"accepted","(Valenciennes, 1828)","Eukaryota","Chordata","Teleostei","Perciformes","Epinephelidae","Cromileptes","0","0",NA,NA
"4860","AP013331","Crossocheilus atrilimes","species",NA,"Crossocheilus atrilimes","Crossocheilus atrilimes","Crossocheilus atrilimes",1010212,"accepted","Kottelat, 2000","Eukaryota","Chordata","Teleostei","Cypriniformes","Cyprinidae","Crossocheilus","1","0",NA,NA
"4861","MH688256","Crossocheilus atrilimes","species",NA,"Crossocheilus atrilimes","Crossocheilus atrilimes","Crossocheilus atrilimes",1010212,"accepted","Kottelat, 2000","Eukaryota","Chordata","Teleostei","Cypriniformes","Cyprinidae","Crossocheilus","1","0",NA,NA
"4862","MH688255","Crossocheilus atrilimes","species",NA,"Crossocheilus atrilimes","Crossocheilus atrilimes","Crossocheilus atrilimes",1010212,"accepted","Kottelat, 2000","Eukaryota","Chordata","Teleostei","Cypriniformes","Cyprinidae","Crossocheilus","1","0",NA,NA
"4863","AP013330","Crossocheilus langei","species",NA,"Crossocheilus langei","Crossocheilus langei","Crossocheilus langei",1420018,"accepted","Bleeker, 1860","Eukaryota","Chordata","Teleostei","Cypriniformes","Cyprinidae","Crossocheilus","1","0",NA,NA
"4864","AP013321","Crossocheilus langei","species",NA,"Crossocheilus langei","Crossocheilus langei","Crossocheilus langei",1420018,"accepted","Bleeker, 1860","Eukaryota","Chordata","Teleostei","Cypriniformes","Cyprinidae","Crossocheilus","1","0",NA,NA
"4865","MZ605456","Crossocheilus langei","species",NA,"Crossocheilus langei","Crossocheilus langei","Crossocheilus langei",1420018,"accepted","Bleeker, 1860","Eukaryota","Chordata","Teleostei","Cypriniformes","Cyprinidae","Crossocheilus","1","0",NA,NA
"4866","ON729307","Crossocheilus oblongus","species",NA,"Crossocheilus oblongus","Crossocheilus oblongus","Crossocheilus oblongus",1014423,"accepted","Kuhl & Van Hasselt, 1823","Eukaryota","Chordata","Teleostei","Cypriniformes","Cyprinidae","Crossocheilus","1","0",NA,NA
"4867","AP011388","Crossocheilus reticulatus","species",NA,"Crossocheilus reticulatus","Crossocheilus reticulatus","Crossocheilus reticulatus",1015369,"accepted","(Fowler, 1934)","Eukaryota","Chordata","Teleostei","Cypriniformes","Cyprinidae","Crossocheilus","1","0",NA,NA
"4868","MH688257","Crossocheilus reticulatus","species",NA,"Crossocheilus reticulatus","Crossocheilus reticulatus","Crossocheilus reticulatus",1015369,"accepted","(Fowler, 1934)","Eukaryota","Chordata","Teleostei","Cypriniformes","Cyprinidae","Crossocheilus","1","0",NA,NA
"4869","KX686103","Crossocheilus oblongus","species",NA,"Crossocheilus siamensis","Crossocheilus siamensis","Crossocheilus siamensis",1014423,"unaccepted","Kuhl & Van Hasselt, 1823","Eukaryota","Chordata","Teleostei","Cypriniformes","Cyprinidae","Crossocheilus","1","0",NA,NA
"4870","KR478091","Rhadinoloricaria bahuaja","species",NA,"Crossoloricaria aff. bahuaja MHNG 2710.072","Crossoloricaria bahuaja","Crossoloricaria bahuaja",1525498,"superseded combination","(Chang & Castro, 1999)","Eukaryota","Chordata","Teleostei","Siluriformes","Loricariidae","Crossoloricaria","1","0",NA,NA
"4871","PP118473","Crossoloricaria cephalaspis","species",NA,"Crossoloricaria cephalaspis","Crossoloricaria cephalaspis","Crossoloricaria cephalaspis",1012479,"accepted","Isbrücker, 1979","Eukaryota","Chordata","Teleostei","Siluriformes","Loricariidae","Crossoloricaria","1","0",NA,NA
"4872","KR478077","Crossoloricaria cephalaspis","species",NA,"Crossoloricaria cephalaspis","Crossoloricaria cephalaspis","Crossoloricaria cephalaspis",1012479,"accepted","Isbrücker, 1979","Eukaryota","Chordata","Teleostei","Siluriformes","Loricariidae","Crossoloricaria","1","0",NA,NA
"4873","KR478076","Crossoloricaria cephalaspis","species",NA,"Crossoloricaria cephalaspis","Crossoloricaria cephalaspis","Crossoloricaria cephalaspis",1012479,"accepted","Isbrücker, 1979","Eukaryota","Chordata","Teleostei","Siluriformes","Loricariidae","Crossoloricaria","1","0",NA,NA
"4874","KR478075","Crossoloricaria variegata","species",NA,"Crossoloricaria variegata","Crossoloricaria variegata","Crossoloricaria variegata",1020078,"accepted","(Steindachner, 1879)","Eukaryota","Chordata","Teleostei","Siluriformes","Loricariidae","Crossoloricaria","1","0",NA,NA
"4875","EU310444","Crossoloricaria venezuelae","species",NA,"Crossoloricaria venezuelae","Crossoloricaria venezuelae","Crossoloricaria venezuelae",1525128,"accepted","(Schultz, 1944)","Eukaryota","Chordata","Teleostei","Siluriformes","Loricariidae","Crossoloricaria","1","0",NA,NA
"4876","JQ639068","Crossorhombus azureus","species",NA,"Crossorhombus azureus","Crossorhombus azureus","Crossorhombus azureus",278305,"accepted","(Alcock, 1889)","Eukaryota","Chordata","Teleostei","Pleuronectiformes","Bothidae","Crossorhombus","0","0",NA,NA
"4877","PP492909","Crossorhombus azureus","species",NA,"Crossorhombus azureus","Crossorhombus azureus","Crossorhombus azureus",278305,"accepted","(Alcock, 1889)","Eukaryota","Chordata","Teleostei","Pleuronectiformes","Bothidae","Crossorhombus","0","0",NA,NA
"4878","LC499525","Crossorhombus kanekonis","species",NA,"Crossorhombus kanekonis","Crossorhombus kanekonis","Crossorhombus kanekonis",278307,"accepted","(Tanaka, 1918)","Eukaryota","Chordata","Teleostei","Pleuronectiformes","Bothidae","Crossorhombus","0","0",NA,NA
"4879","AP014589","Crossorhombus kobensis","species",NA,"Crossorhombus kobensis","Crossorhombus kobensis","Crossorhombus kobensis",278308,"accepted","(Jordan & Starks, 1906)","Eukaryota","Chordata","Teleostei","Pleuronectiformes","Bothidae","Crossorhombus","0","0",NA,NA
"4880","AF488506","Crossorhombus kobensis","species",NA,"Crossorhombus kobensis","Crossorhombus kobensis","Crossorhombus kobensis",278308,"accepted","(Jordan & Starks, 1906)","Eukaryota","Chordata","Teleostei","Pleuronectiformes","Bothidae","Crossorhombus","0","0",NA,NA
"4881","KJ433566","Crossorhombus valderostratus","species",NA,"Crossorhombus valderostratus","Crossorhombus valderostratus","Crossorhombus valderostratus",219798,"accepted","(Alcock, 1890)","Eukaryota","Chordata","Teleostei","Pleuronectiformes","Bothidae","Crossorhombus","0","0",NA,NA
"4882","LC499530","Crossorhombus valderostratus","species",NA,"Crossorhombus valderostratus","Crossorhombus valderostratus","Crossorhombus valderostratus",219798,"accepted","(Alcock, 1890)","Eukaryota","Chordata","Teleostei","Pleuronectiformes","Bothidae","Crossorhombus","0","0",NA,NA
"4883","OP056875","Cruriraja rugosa","species",NA,"Cruriraja rugosa","Cruriraja rugosa","Cruriraja rugosa",277291,"accepted","Bigelow & Schroeder, 1958","Eukaryota","Chordata","Elasmobranchii","Rajiformes","Gurgesiellidae","Cruriraja","0","0",NA,NA
"4884","OQ846210","Cryptacanthodes aleutensis","species","Dwarf wrymouth","Cryptacanthodes aleutensis","Cryptacanthodes aleutensis","Cryptacanthodes aleutensis",276390,"accepted","(Gilbert, 1896)","Eukaryota","Chordata","Teleostei","Perciformes","Cryptacanthodidae","Cryptacanthodes","0","0",NA,NA
"4885","LC037125","Cryptacanthodes bergi","species",NA,"Cryptacanthodes bergi","Cryptacanthodes bergi","Cryptacanthodes bergi",276391,"accepted","Lindberg, 1930","Eukaryota","Chordata","Teleostei","Perciformes","Cryptacanthodidae","Cryptacanthodes","0","0",NA,NA
"4886","OQ846491","Cryptacanthodes giganteus","species","Giant wrymouth","Cryptacanthodes giganteus","Cryptacanthodes giganteus","Cryptacanthodes giganteus",276392,"accepted","(Kittlitz, 1858)","Eukaryota","Chordata","Teleostei","Perciformes","Cryptacanthodidae","Cryptacanthodes","0","0",NA,NA
"4887","OP056918","Cryptacanthodes maculatus","species",NA,"Cryptacanthodes maculatus","Cryptacanthodes maculatus","Cryptacanthodes maculatus",159675,"accepted","Storer, 1839","Eukaryota","Chordata","Teleostei","Perciformes","Cryptacanthodidae","Cryptacanthodes","0","0",NA,NA
"4888","LC340265","Cryptocentroides insignis","species",NA,"Cryptocentroides insignis","Cryptocentroides insignis","Cryptocentroides insignis",280446,"accepted","(Seale, 1910)","Eukaryota","Chordata","Teleostei","Gobiiformes","Gobiidae","Cryptocentroides","0","0",NA,NA
"4889","LC499478","Cryptocentrus albidorsus","species",NA,"Cryptocentrus albidorsus","Cryptocentrus albidorsus","Cryptocentrus albidorsus",278321,"accepted","(Yanagisawa, 1978)","Eukaryota","Chordata","Teleostei","Gobiiformes","Gobiidae","Cryptocentrus","0","0",NA,NA
"4890","LC739787","Cryptocentrus caeruleomaculatus","species",NA,"Cryptocentrus caeruleomaculatus","Cryptocentrus caeruleomaculatus","Cryptocentrus caeruleomaculatus",278323,"accepted","(Herre, 1933)","Eukaryota","Chordata","Teleostei","Gobiiformes","Gobiidae","Cryptocentrus","0","0",NA,NA
"4891","LC849720","Cryptocentrus cinctus","species",NA,"Cryptocentrus cinctus","Cryptocentrus cinctus","Cryptocentrus cinctus",278326,"accepted","(Herre, 1936)","Eukaryota","Chordata","Teleostei","Gobiiformes","Gobiidae","Cryptocentrus","0","0",NA,NA
"4892","LC049779","Cryptocentrus cinctus","species",NA,"Cryptocentrus cinctus","Cryptocentrus cinctus","Cryptocentrus cinctus",278326,"accepted","(Herre, 1936)","Eukaryota","Chordata","Teleostei","Gobiiformes","Gobiidae","Cryptocentrus","0","0",NA,NA
"4893","LC458192","Cryptocentrus cyanotaenia","species",NA,"Cryptocentrus cyanotaenia","Cryptocentrus cyanotaenia","Cryptocentrus cyanotaenia",278327,"accepted","(Bleeker, 1853)","Eukaryota","Chordata","Teleostei","Gobiiformes","Gobiidae","Cryptocentrus","0","0",NA,NA
"4894","PQ566945","Cryptocentrus lutheri","species",NA,"Cryptocentrus lutheri","Cryptocentrus lutheri","Cryptocentrus lutheri",219431,"accepted","Klausewitz, 1960","Eukaryota","Chordata","Teleostei","Gobiiformes","Gobiidae","Cryptocentrus","0","0",NA,NA
"4895","LC852809","Cryptocentrus melanopus","species",NA,"Cryptocentrus melanopus","Cryptocentrus melanopus","Cryptocentrus melanopus",278338,"accepted","(Bleeker, 1860)","Eukaryota","Chordata","Teleostei","Gobiiformes","Gobiidae","Cryptocentrus","0","0",NA,NA
"4896","LC499456","Cryptocentrus melanopus","species",NA,"Cryptocentrus melanopus","Cryptocentrus melanopus","Cryptocentrus melanopus",278338,"accepted","(Bleeker, 1860)","Eukaryota","Chordata","Teleostei","Gobiiformes","Gobiidae","Cryptocentrus","0","0",NA,NA
"4897","LC499484","Cryptocentrus nigrocellatus","species",NA,"Cryptocentrus nigrocellatus","Cryptocentrus nigrocellatus","Cryptocentrus nigrocellatus",278339,"accepted","(Yanagisawa, 1978)","Eukaryota","Chordata","Teleostei","Gobiiformes","Gobiidae","Cryptocentrus","0","0",NA,NA
"4898","LC193282","Cryptocentrus pavoninoides","species",NA,"Cryptocentrus pavoninoides","Cryptocentrus pavoninoides","Cryptocentrus pavoninoides",278341,"accepted","(Bleeker, 1849)","Eukaryota","Chordata","Teleostei","Gobiiformes","Gobiidae","Cryptocentrus","0","0",NA,NA
"4899","LC579301","Cryptocentrus sericus","species",NA,"Cryptocentrus sericus","Cryptocentrus sericus","Cryptocentrus sericus",1015682,"accepted","Herre, 1932","Eukaryota","Chordata","Teleostei","Gobiiformes","Gobiidae","Cryptocentrus","0","0",NA,NA
"4900","KR150878","Cryptoheros cutteri","species",NA,"Cryptoheros cutteri","Cryptoheros cutteri","Cryptoheros cutteri",1015710,"accepted","(Fowler, 1932)","Eukaryota","Chordata","Teleostei","Cichliformes","Cichlidae","Cryptoheros","1","0",NA,NA
"4901","MK118169","Cryptopsaras couesii","species",NA,"Cryptopsaras couesii","Cryptopsaras couesii","Cryptopsaras couesii",126538,"accepted","Gill, 1883","Eukaryota","Chordata","Teleostei","Lophiiformes","Ceratiidae","Cryptopsaras","0","0",NA,NA
"4902","AB282850","Cryptopsaras couesii","species",NA,"Cryptopsaras couesii","Cryptopsaras couesii","Cryptopsaras couesii",126538,"accepted","Gill, 1883","Eukaryota","Chordata","Teleostei","Lophiiformes","Ceratiidae","Cryptopsaras","0","0",NA,NA
"4903","LC069507","Cryptopsaras couesii","species",NA,"Cryptopsaras couesii","Cryptopsaras couesii","Cryptopsaras couesii",126538,"accepted","Gill, 1883","Eukaryota","Chordata","Teleostei","Lophiiformes","Ceratiidae","Cryptopsaras","0","0",NA,NA
"4904","PV742851","Cryptotomus roseus","species",NA,"Cryptotomus roseus","Cryptotomus roseus","Cryptotomus roseus",277118,"accepted","Cope, 1871","Eukaryota","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Cryptotomus","0","0",NA,NA
"4905","OP057016","Cryptotomus roseus","species",NA,"Cryptotomus roseus","Cryptotomus roseus","Cryptotomus roseus",277118,"accepted","Cope, 1871","Eukaryota","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Cryptotomus","0","0",NA,NA
"4906","AY372767","Crystallaria asprella","species",NA,"Crystallaria asprella","Crystallaria asprella","Crystallaria asprella",1042350,"accepted","(Jordan, 1878)","Eukaryota","Chordata","Teleostei","Perciformes","Percidae","Crystallaria","1","0",NA,NA
"4907","OR552042","Crystallaria asprella","species",NA,"Crystallaria asprella","Crystallaria asprella","Crystallaria asprella",1042350,"accepted","(Jordan, 1878)","Eukaryota","Chordata","Teleostei","Perciformes","Percidae","Crystallaria","1","0",NA,NA
"4908","LC049932","Crystallias matsushimae","species",NA,"Crystallias matsushimae","Crystallias matsushimae","Crystallias matsushimae",280449,"accepted","Jordan & Snyder, 1902","Eukaryota","Chordata","Teleostei","Perciformes","Liparidae","Crystallias","0","0",NA,NA
"4909","OR582692","Crystallichthys cyclospilus","species",NA,"Crystallichthys cyclospilus","Crystallichthys cyclospilus","Crystallichthys cyclospilus",280451,"accepted","Gilbert & Burke, 1912","Eukaryota","Chordata","Teleostei","Perciformes","Liparidae","Crystallichthys","0","0",NA,NA
"4910","MN122854","Crystallogobius linearis","species",NA,"Crystallogobius linearis","Crystallogobius linearis","Crystallogobius linearis",126878,"accepted","(Düben, 1845)","Eukaryota","Chordata","Teleostei","Gobiiformes","Gobiidae","Crystallogobius","0","0",NA,NA
"4911","EF218635","Crystallogobius linearis","species",NA,"Crystallogobius linearis","Crystallogobius linearis","Crystallogobius linearis",126878,"accepted","(Düben, 1845)","Eukaryota","Chordata","Teleostei","Gobiiformes","Gobiidae","Crystallogobius","0","0",NA,NA
"4912","OR884422","Cteniloricaria","genus",NA,"Cteniloricaria sp. USNM FISH 448402","Cteniloricaria","Cteniloricaria",268895,"accepted","Isbrücker & Nijssen, 1979","Eukaryota","Chordata","Teleostei","Siluriformes","Loricariidae","Cteniloricaria","1","0",NA,NA
"4913","OR884424","Cteniloricaria","genus",NA,"Cteniloricaria sp. USNM FISH 448424","Cteniloricaria","Cteniloricaria",268895,"accepted","Isbrücker & Nijssen, 1979","Eukaryota","Chordata","Teleostei","Siluriformes","Loricariidae","Cteniloricaria","1","0",NA,NA
"4914","OR884426","Cteniloricaria","genus",NA,"Cteniloricaria sp. USNM FISH 449191","Cteniloricaria","Cteniloricaria",268895,"accepted","Isbrücker & Nijssen, 1979","Eukaryota","Chordata","Teleostei","Siluriformes","Loricariidae","Cteniloricaria","1","0",NA,NA
"4915","OR884425","Cteniloricaria","genus",NA,"Cteniloricaria sp. USNM FISH 448966","Cteniloricaria","Cteniloricaria",268895,"accepted","Isbrücker & Nijssen, 1979","Eukaryota","Chordata","Teleostei","Siluriformes","Loricariidae","Cteniloricaria","1","0",NA,NA
"4916","OR884423","Cteniloricaria","genus",NA,"Cteniloricaria sp. USNM FISH 448403","Cteniloricaria","Cteniloricaria",268895,"accepted","Isbrücker & Nijssen, 1979","Eukaryota","Chordata","Teleostei","Siluriformes","Loricariidae","Cteniloricaria","1","0",NA,NA
"4917","PP747114","Harttia fowleri","species",NA,"Cteniloricaria fowleri","Cteniloricaria fowleri","Cteniloricaria fowleri",1526080,"superseded combination","(Pellegrin, 1908)","Eukaryota","Chordata","Teleostei","Siluriformes","Loricariidae","Cteniloricaria","1","0",NA,NA
"4918","KR477880","Harttia fowleri","species",NA,"Cteniloricaria fowleri","Cteniloricaria fowleri","Cteniloricaria fowleri",1526080,"superseded combination","(Pellegrin, 1908)","Eukaryota","Chordata","Teleostei","Siluriformes","Loricariidae","Cteniloricaria","1","0",NA,NA
"4919","KR477882","Cteniloricaria napova","species",NA,"Cteniloricaria napova","Cteniloricaria napova","Cteniloricaria napova",1007653,"accepted","Covain & Fisch-Muller, 2012","Eukaryota","Chordata","Teleostei","Siluriformes","Loricariidae","Cteniloricaria","1","0",NA,NA
"4920","KR477889","Cteniloricaria platystoma","species",NA,"Cteniloricaria platystoma","Cteniloricaria platystoma","Cteniloricaria platystoma",1020733,"accepted","(Günther, 1868)","Eukaryota","Chordata","Teleostei","Siluriformes","Loricariidae","Cteniloricaria","1","0",NA,NA
"4921","PP746984","Cteniloricaria platystoma","species",NA,"Cteniloricaria platystoma","Cteniloricaria platystoma","Cteniloricaria platystoma",1020733,"accepted","(Günther, 1868)","Eukaryota","Chordata","Teleostei","Siluriformes","Loricariidae","Cteniloricaria","1","0",NA,NA
"4922","KR477881","Cteniloricaria platystoma","species",NA,"Cteniloricaria platystoma","Cteniloricaria platystoma","Cteniloricaria platystoma",1020733,"accepted","(Günther, 1868)","Eukaryota","Chordata","Teleostei","Siluriformes","Loricariidae","Cteniloricaria","1","0",NA,NA
"4923","KR477902","Cteniloricaria platystoma","species",NA,"Cteniloricaria platystoma","Cteniloricaria platystoma","Cteniloricaria platystoma",1020733,"accepted","(Günther, 1868)","Eukaryota","Chordata","Teleostei","Siluriformes","Loricariidae","Cteniloricaria","1","0",NA,NA
"4924","LC049908","Ctenobrycon hauxwellianus","species",NA,"Ctenobrycon hauxwellianus","Ctenobrycon hauxwellianus","Ctenobrycon hauxwellianus",1017405,"accepted","(Cope, 1870)","Eukaryota","Chordata","Teleostei","Characiformes","Acestrorhamphidae","Ctenobrycon","1","0",NA,NA
"4925","AF055608","Ctenochaetus binotatus","species",NA,"Ctenochaetus binotatus","Ctenochaetus binotatus","Ctenochaetus binotatus",219655,"accepted","Randall, 1955","Eukaryota","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","0","0",NA,NA
"4926","LC146321","Ctenochaetus binotatus","species",NA,"Ctenochaetus binotatus","Ctenochaetus binotatus","Ctenochaetus binotatus",219655,"accepted","Randall, 1955","Eukaryota","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","0","0",NA,NA
"4927","MZ605572","Ctenochaetus binotatus","species",NA,"Ctenochaetus binotatus","Ctenochaetus binotatus","Ctenochaetus binotatus",219655,"accepted","Randall, 1955","Eukaryota","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","0","0",NA,NA
"4928","MZ598354","Ctenochaetus flavicauda","species",NA,"Ctenochaetus flavicauda","Ctenochaetus flavicauda","Ctenochaetus flavicauda",277560,"accepted","Fowler, 1938","Eukaryota","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","0","0",NA,NA
"4929","LC579326","Ctenochaetus hawaiiensis","species",NA,"Ctenochaetus hawaiiensis","Ctenochaetus hawaiiensis","Ctenochaetus hawaiiensis",277561,"accepted","Randall, 1955","Eukaryota","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","0","0",NA,NA
"4930","OP035212","Ctenochaetus marginatus","species",NA,"Ctenochaetus marginatus","Ctenochaetus marginatus","Ctenochaetus marginatus",219657,"accepted","(Valenciennes, 1835)","Eukaryota","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","0","0",NA,NA
"4931","KU244260","Ctenochaetus striatus","species",NA,"Ctenochaetus striatus","Ctenochaetus striatus","Ctenochaetus striatus",219659,"accepted","(Quoy & Gaimard, 1825)","Eukaryota","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","0","0",NA,NA
"4932","MZ605573","Ctenochaetus striatus","species",NA,"Ctenochaetus striatus","Ctenochaetus striatus","Ctenochaetus striatus",219659,"accepted","(Quoy & Gaimard, 1825)","Eukaryota","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","0","0",NA,NA
"4933","MT032026","Ctenochaetus striatus","species",NA,"Ctenochaetus striatus","Ctenochaetus striatus","Ctenochaetus striatus",219659,"accepted","(Quoy & Gaimard, 1825)","Eukaryota","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","0","0",NA,NA
"4934","AY141394","Ctenochaetus striatus","species",NA,"Ctenochaetus striatus","Ctenochaetus striatus","Ctenochaetus striatus",219659,"accepted","(Quoy & Gaimard, 1825)","Eukaryota","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","0","0",NA,NA
"4935","MT032023","Ctenochaetus striatus","species",NA,"Ctenochaetus striatus","Ctenochaetus striatus","Ctenochaetus striatus",219659,"accepted","(Quoy & Gaimard, 1825)","Eukaryota","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","0","0",NA,NA
"4936","MZ597927","Ctenochaetus striatus","species",NA,"Ctenochaetus striatus","Ctenochaetus striatus","Ctenochaetus striatus",219659,"accepted","(Quoy & Gaimard, 1825)","Eukaryota","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","0","0",NA,NA
"4937","OP035160","Ctenochaetus strigosus","species",NA,"Ctenochaetus strigosus","Ctenochaetus strigosus","Ctenochaetus strigosus",219658,"accepted","(Bennett, 1828)","Eukaryota","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","0","0",NA,NA
"4938","MT025471","Ctenochaetus strigosus","species",NA,"Ctenochaetus strigosus","Ctenochaetus strigosus","Ctenochaetus strigosus",219658,"accepted","(Bennett, 1828)","Eukaryota","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","0","0",NA,NA
