"","accession","found_taxa","rank","common_name","taxa_verbatim","ncbi_sp","worms_match","worms_aphiaid","status","valid_authority","kingdom","phylum","class","order","family","genus","freshwater_only","terrestrial_only","hybrid","ncbi_taxonomy_2"
"22","KJ183133","Abbottina rivularis","species",NA,"Abbottina rivularis","Abbottina rivularis","Abbottina rivularis",1018726,"accepted","(Basilewsky, 1855)","Eukaryota","Chordata","Teleostei","Cypriniformes","Gobionidae","Abbottina","0","0",NA,NA
"23","KM081703","Abbottina rivularis","species",NA,"Abbottina rivularis","Abbottina rivularis","Abbottina rivularis",1018726,"accepted","(Basilewsky, 1855)","Eukaryota","Chordata","Teleostei","Cypriniformes","Gobionidae","Abbottina","0","0",NA,NA
"24","AB016683","Abbottina rivularis","species",NA,"Abbottina rivularis","Abbottina rivularis","Abbottina rivularis",1018726,"accepted","(Basilewsky, 1855)","Eukaryota","Chordata","Teleostei","Cypriniformes","Gobionidae","Abbottina","0","0",NA,NA
"25","LC146047","Abbottina rivularis","species",NA,"Abbottina rivularis","Abbottina rivularis","Abbottina rivularis",1018726,"accepted","(Basilewsky, 1855)","Eukaryota","Chordata","Teleostei","Cypriniformes","Gobionidae","Abbottina","0","0",NA,NA
"26","LC458041","Abbottina rivularis","species",NA,"Abbottina rivularis","Abbottina rivularis","Abbottina rivularis",1018726,"accepted","(Basilewsky, 1855)","Eukaryota","Chordata","Teleostei","Cypriniformes","Gobionidae","Abbottina","0","0",NA,NA
"27","LC654231","Ablabys taenianotus","species",NA,"Ablabys taenianotus","Ablabys taenianotus","Ablabys taenianotus",221449,"accepted","(Cuvier, 1829)","Eukaryota","Chordata","Teleostei","Perciformes","Tetrarogidae","Ablabys","0","0",NA,NA
"28","LC278192","Ablabys taenianotus","species",NA,"Ablabys taenianotus","Ablabys taenianotus","Ablabys taenianotus",221449,"accepted","(Cuvier, 1829)","Eukaryota","Chordata","Teleostei","Perciformes","Tetrarogidae","Ablabys","0","0",NA,NA
"29","AB373007","Ablennes hians","species",NA,"Ablennes hians","Ablennes hians","Ablennes hians",159246,"accepted","(Valenciennes, 1846)","Eukaryota","Chordata","Teleostei","Beloniformes","Belonidae","Ablennes","0","0",NA,NA
"30","PP032948","Ablennes hians","species",NA,"Ablennes hians","Ablennes hians","Ablennes hians",159246,"accepted","(Valenciennes, 1846)","Eukaryota","Chordata","Teleostei","Beloniformes","Belonidae","Ablennes","0","0",NA,NA
"31","AP011304","Aborichthys elongatus","species",NA,"Aborichthys elongatus","Aborichthys elongatus","Aborichthys elongatus",1016819,"accepted","Hora, 1921","Eukaryota","Chordata","Teleostei","Cypriniformes","Nemacheilidae","Aborichthys","1","0",NA,NA
"32","MH918129","Abramis brama","species",NA,"Abramis brama","Abramis brama","Abramis brama",154281,"accepted","(Linnaeus, 1758)","Eukaryota","Chordata","Teleostei","Cypriniformes","Cyprinidae","Abramis","0","0",NA,NA
"33","KC894466","Abramis brama","species",NA,"Abramis brama","Abramis brama","Abramis brama",154281,"accepted","(Linnaeus, 1758)","Eukaryota","Chordata","Teleostei","Cypriniformes","Cyprinidae","Abramis","0","0",NA,NA
"34","ON123737","Abramis brama","species",NA,"Abramis brama","Abramis brama","Abramis brama",154281,"accepted","(Linnaeus, 1758)","Eukaryota","Chordata","Teleostei","Cypriniformes","Cyprinidae","Abramis","0","0",NA,NA
"35","LC036704","Abramites hypselonotus","species",NA,"Abramites hypselonotus","Abramites hypselonotus","Abramites hypselonotus",1015381,"accepted","(Günther, 1868)","Eukaryota","Chordata","Teleostei","Characiformes","Anostomidae","Abramites","1","0",NA,NA
"36","MW541938","Abramites hypselonotus","species",NA,"Abramites hypselonotus","Abramites hypselonotus","Abramites hypselonotus",1015381,"accepted","(Günther, 1868)","Eukaryota","Chordata","Teleostei","Characiformes","Anostomidae","Abramites","1","0",NA,NA
"37","MW630230","Abudefduf abdominalis","species",NA,"Abudefduf abdominalis","Abudefduf abdominalis","Abudefduf abdominalis",254879,"accepted","(Quoy & Gaimard, 1825)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"38","MW630231","Abudefduf bengalensis","species",NA,"Abudefduf bengalensis","Abudefduf bengalensis","Abudefduf bengalensis",212885,"accepted","(Bloch, 1787)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"39","LC589597","Abudefduf bengalensis","species",NA,"Abudefduf bengalensis","Abudefduf bengalensis","Abudefduf bengalensis",212885,"accepted","(Bloch, 1787)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
