accepted_name,verbatim_name,taxonomic_status,species,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,taxon_id,ncbi_id,region
Bathyraja interrupta,Bathyraja interrupta,accepted,Bathyraja interrupta,species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,FALSE,FALSE,271515,341244,Gulf of Alaska
Sebastolobus altivelis,Sebastolobus altivelis,accepted,Sebastolobus altivelis,species,Teleostei,Perciformes,Sebastidae,Sebastolobus,TRUE,FALSE,FALSE,282741,8110,Gulf of Alaska
Triglops pingelii,Triglops pingelii,accepted,Triglops pingelii,species,Teleostei,Perciformes,Cottidae,Triglops,TRUE,FALSE,FALSE,127207,433391,Gulf of Alaska
Aptocyclus ventricosus,Aptocyclus ventricosus,accepted,Aptocyclus ventricosus,species,Teleostei,Perciformes,Cyclopteridae,Aptocyclus,TRUE,FALSE,FALSE,254299,181459,Gulf of Alaska
Stichaeus punctatus,Stichaeus punctatus,accepted,Stichaeus punctatus,species,Teleostei,Perciformes,Stichaeidae,Stichaeus,TRUE,FALSE,FALSE,159819,980344,Gulf of Alaska
Sebastes crameri,Sebastes crameri,accepted,Sebastes crameri,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274785,72067,Gulf of Alaska
Hemilepidotus spinosus,Hemilepidotus spinosus,accepted,Hemilepidotus spinosus,species,Teleostei,Perciformes,Cottidae,Hemilepidotus,TRUE,FALSE,FALSE,279413,271501,Gulf of Alaska
Lycodes brevipes,Lycodes brevipes,accepted,Lycodes brevipes,species,Teleostei,Perciformes,Zoarcidae,Lycodes,TRUE,FALSE,FALSE,254595,433387,Gulf of Alaska
Cryptacanthodes giganteus,Cryptacanthodes giganteus,accepted,Cryptacanthodes giganteus,species,Teleostei,Perciformes,Cryptacanthodidae,Cryptacanthodes,TRUE,FALSE,FALSE,276392,433379,Gulf of Alaska
Pungitius pungitius,Pungitius pungitius,accepted,Pungitius pungitius,species,Teleostei,Perciformes,Gasterosteidae,Pungitius,TRUE,TRUE,TRUE,126507,134920,Gulf of Alaska
Tarletonbeania crenularis,Tarletonbeania crenularis,accepted,Tarletonbeania crenularis,species,Teleostei,Myctophiformes,Myctophidae,Tarletonbeania,TRUE,FALSE,FALSE,282927,91660,Gulf of Alaska
Psychrolutes paradoxus,Psychrolutes paradoxus,accepted,Psychrolutes paradoxus,species,Teleostei,Perciformes,Psychrolutidae,Psychrolutes,TRUE,FALSE,FALSE,254566,980342,Gulf of Alaska
Lyopsetta exilis,Lyopsetta exilis,accepted,Lyopsetta exilis,species,Teleostei,Pleuronectiformes,Pleuronectidae,Lyopsetta,TRUE,FALSE,FALSE,281452,195626,Gulf of Alaska
Triglops macellus,Triglops macellus,accepted,Triglops macellus,species,Teleostei,Perciformes,Cottidae,Triglops,TRUE,FALSE,FALSE,274399,433386,Gulf of Alaska
Arctoraja parmifera,Arctoraja parmifera,accepted,Arctoraja parmifera,species,Elasmobranchii,Rajiformes,Rajidae,Arctoraja,TRUE,NA,NA,1577324,NA,Gulf of Alaska
Albatrossia pectoralis,Albatrossia pectoralis,accepted,Albatrossia pectoralis,species,Teleostei,Gadiformes,Macrouridae,Albatrossia,TRUE,FALSE,FALSE,236135,83392,Gulf of Alaska
Sebastes entomelas,Sebastes entomelas,accepted,Sebastes entomelas,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274791,72073,Gulf of Alaska
Microgadus proximus,Microgadus proximus,accepted,Microgadus proximus,species,Teleostei,Gadiformes,Gadidae,Microgadus,TRUE,TRUE,FALSE,275873,80721,Gulf of Alaska
