accepted_name,verbatim_name,taxonomic_status,species,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,taxon_id,ncbi_id,region
Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,accepted,Oncorhynchus gorbuscha,species,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,127182,8017,"Oregon, Washington, Vancouver Coast and Shelf"
Sebastes paucispinis,Sebastes paucispinis,accepted,Sebastes paucispinis,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274833,72093,"Oregon, Washington, Vancouver Coast and Shelf"
Microgadus proximus,Microgadus proximus,accepted,Microgadus proximus,species,Teleostei,Gadiformes,Gadidae,Microgadus,TRUE,TRUE,FALSE,275873,80721,"Oregon, Washington, Vancouver Coast and Shelf"
Sebastes wilsoni,Sebastes wilsoni,accepted,Sebastes wilsoni,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274868,72107,"Oregon, Washington, Vancouver Coast and Shelf"
Cololabis saira,Cololabis saira,accepted,Cololabis saira,species,Teleostei,Beloniformes,Scomberesocidae,Cololabis,TRUE,FALSE,FALSE,280366,129043,"Oregon, Washington, Vancouver Coast and Shelf"
Icelinus filamentosus,Icelinus filamentosus,accepted,Icelinus filamentosus,species,Teleostei,Perciformes,Cottidae,Icelinus,TRUE,FALSE,FALSE,281136,274762,"Oregon, Washington, Vancouver Coast and Shelf"
Bathyraja interrupta,Bathyraja interrupta,accepted,Bathyraja interrupta,species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,FALSE,FALSE,271515,341244,"Oregon, Washington, Vancouver Coast and Shelf"
Alosa sapidissima,Alosa sapidissima,accepted,Alosa sapidissima,species,Teleostei,Clupeiformes,Alosidae,Alosa,TRUE,TRUE,TRUE,158670,34773,"Oregon, Washington, Vancouver Coast and Shelf"
Tarletonbeania crenularis,Tarletonbeania crenularis,accepted,Tarletonbeania crenularis,species,Teleostei,Myctophiformes,Myctophidae,Tarletonbeania,TRUE,FALSE,FALSE,282927,91660,"Oregon, Washington, Vancouver Coast and Shelf"
Oncorhynchus nerka,Oncorhynchus nerka,accepted,Oncorhynchus nerka,species,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,254569,8023,"Oregon, Washington, Vancouver Coast and Shelf"
Sebastes nebulosus,Sebastes nebulosus,accepted,Sebastes nebulosus,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274824,394698,"Oregon, Washington, Vancouver Coast and Shelf"
Sebastes melanops,Sebastes melanops,accepted,Sebastes melanops,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274817,72085,"Oregon, Washington, Vancouver Coast and Shelf"
Poroclinus rothrocki,Poroclinus rothrocki,accepted,Poroclinus rothrocki,species,Teleostei,Perciformes,Lumpenidae,Poroclinus,TRUE,FALSE,FALSE,254385,557414,"Oregon, Washington, Vancouver Coast and Shelf"
Sebastolobus altivelis,Sebastolobus altivelis,accepted,Sebastolobus altivelis,species,Teleostei,Perciformes,Sebastidae,Sebastolobus,TRUE,FALSE,FALSE,282741,8110,"Oregon, Washington, Vancouver Coast and Shelf"
Stenobrachius leucopsarus,Stenobrachius leucopsarus,accepted,Stenobrachius leucopsarus,species,Teleostei,Myctophiformes,Myctophidae,Stenobrachius,TRUE,FALSE,FALSE,254363,91658,"Oregon, Washington, Vancouver Coast and Shelf"
Sebastes jordani,Sebastes jordani,accepted,Sebastes jordani,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274806,72081,"Oregon, Washington, Vancouver Coast and Shelf"
Hexagrammos decagrammus,Hexagrammos decagrammus,accepted,Hexagrammos decagrammus,species,Teleostei,Perciformes,Hexagrammidae,Hexagrammos,TRUE,FALSE,FALSE,240732,274741,"Oregon, Washington, Vancouver Coast and Shelf"
Sebastes caurinus,Sebastes caurinus,accepted,Sebastes caurinus,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274780,72063,"Oregon, Washington, Vancouver Coast and Shelf"
Pleuronichthys decurrens,Pleuronichthys decurrens,accepted,Pleuronichthys decurrens,species,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronichthys,TRUE,FALSE,FALSE,282292,320379,"Oregon, Washington, Vancouver Coast and Shelf"
Beringraja binoculata,Beringraja binoculata,accepted,Beringraja binoculata,species,Elasmobranchii,Rajiformes,Rajidae,Beringraja,TRUE,FALSE,FALSE,1021330,2838337,"Oregon, Washington, Vancouver Coast and Shelf"
Cymatogaster aggregata,Cymatogaster aggregata,accepted,Cymatogaster aggregata,species,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,TRUE,TRUE,FALSE,280461,50794,"Oregon, Washington, Vancouver Coast and Shelf"
Radulinus asprellus,Radulinus asprellus,accepted,Radulinus asprellus,species,Teleostei,Perciformes,Cottidae,Radulinus,TRUE,FALSE,FALSE,282541,274768,"Oregon, Washington, Vancouver Coast and Shelf"
Squalus acanthias,Squalus acanthias,accepted,Squalus acanthias,species,Elasmobranchii,Squaliformes,Squalidae,Squalus,TRUE,TRUE,FALSE,105923,7797,"Oregon, Washington, Vancouver Coast and Shelf"
Sebastes entomelas,Sebastes entomelas,accepted,Sebastes entomelas,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274791,72073,"Oregon, Washington, Vancouver Coast and Shelf"
Trachipterus altivelis,Trachipterus altivelis,accepted,Trachipterus altivelis,species,Teleostei,Lampriformes,Trachipteridae,Trachipterus,TRUE,FALSE,FALSE,272531,320416,"Oregon, Washington, Vancouver Coast and Shelf"
Sebastes reedi,Sebastes reedi,accepted,Sebastes reedi,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274840,394704,"Oregon, Washington, Vancouver Coast and Shelf"
Sebastes saxicola,Sebastes saxicola,accepted,Sebastes saxicola,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274848,72101,"Oregon, Washington, Vancouver Coast and Shelf"
Lycenchelys crotalinus,Lycenchelys crotalinus,accepted,Lycenchelys crotalinus,species,Teleostei,Perciformes,Zoarcidae,Lycenchelys,TRUE,FALSE,FALSE,254592,320591,"Oregon, Washington, Vancouver Coast and Shelf"
Microstomus bathybius,Microstomus bathybius,accepted,Microstomus bathybius,species,Teleostei,Pleuronectiformes,Pleuronectidae,Microstomus,TRUE,FALSE,FALSE,305684,320376,"Oregon, Washington, Vancouver Coast and Shelf"
Oncorhynchus clarkii,Oncorhynchus clarkii,accepted,Oncorhynchus clarkii,species,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,274347,30962,"Oregon, Washington, Vancouver Coast and Shelf"
Xeneretmus latifrons,Xeneretmus latifrons,accepted,Xeneretmus latifrons,species,Teleostei,Perciformes,Agonidae,Xeneretmus,TRUE,FALSE,FALSE,283171,274780,"Oregon, Washington, Vancouver Coast and Shelf"
Icichthys lockingtoni,Icichthys lockingtoni,accepted,Icichthys lockingtoni,species,Teleostei,Scombriformes,Centrolophidae,Icichthys,TRUE,FALSE,FALSE,279354,302051,"Oregon, Washington, Vancouver Coast and Shelf"
Chauliodus macouni,Chauliodus macouni,accepted,Chauliodus macouni,species,Teleostei,Stomiiformes,Stomiidae,Chauliodus,TRUE,FALSE,FALSE,275055,302055,"Oregon, Washington, Vancouver Coast and Shelf"
Porichthys notatus,Porichthys notatus,accepted,Porichthys notatus,species,Teleostei,Batrachoidiformes,Batrachoididae,Porichthys,TRUE,FALSE,FALSE,275658,45384,"Oregon, Washington, Vancouver Coast and Shelf"
Allosmerus elongatus,Allosmerus elongatus,accepted,Allosmerus elongatus,species,Teleostei,Osmeriformes,Osmeridae,Allosmerus,TRUE,FALSE,FALSE,279564,433393,"Oregon, Washington, Vancouver Coast and Shelf"
Diaphus theta,Diaphus theta,accepted,Diaphus theta,species,Teleostei,Myctophiformes,Myctophidae,Diaphus,TRUE,FALSE,FALSE,272694,91653,"Oregon, Washington, Vancouver Coast and Shelf"
Ammodytes hexapterus,Ammodytes hexapterus,accepted,Ammodytes hexapterus,species,Teleostei,Perciformes,Ammodytidae,Ammodytes,TRUE,TRUE,FALSE,254510,476914,"Oregon, Washington, Vancouver Coast and Shelf"
Lipolagus ochotensis,Lipolagus ochotensis,accepted,Lipolagus ochotensis,species,Teleostei,Argentiniformes,Bathylagidae,Lipolagus,TRUE,FALSE,FALSE,281374,170193,"Oregon, Washington, Vancouver Coast and Shelf"
Salmo salar,Salmo salar,accepted,Salmo salar,species,Teleostei,Salmoniformes,Salmonidae,Salmo,TRUE,TRUE,TRUE,127186,8030,"Oregon, Washington, Vancouver Coast and Shelf"
Lycodes cortezianus,Lycodes cortezianus,accepted,Lycodes cortezianus,species,Teleostei,Perciformes,Zoarcidae,Lycodes,TRUE,FALSE,FALSE,274097,57818,"Oregon, Washington, Vancouver Coast and Shelf"
Scorpaenichthys marmoratus,Scorpaenichthys marmoratus,accepted,Scorpaenichthys marmoratus,species,Teleostei,Perciformes,Jordaniidae,Scorpaenichthys,TRUE,FALSE,FALSE,282726,NA,"Oregon, Washington, Vancouver Coast and Shelf"
Engraulis mordax,Engraulis mordax,accepted,Engraulis mordax,species,Teleostei,Clupeiformes,Engraulidae,Engraulis,TRUE,FALSE,FALSE,272286,239368,"Oregon, Washington, Vancouver Coast and Shelf"
Sebastes aurora,Sebastes aurora,accepted,Sebastes aurora,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274774,72058,"Oregon, Washington, Vancouver Coast and Shelf"
Tactostoma macropus,Tactostoma macropus,accepted,Tactostoma macropus,species,Teleostei,Stomiiformes,Stomiidae,Tactostoma,TRUE,FALSE,FALSE,282922,319451,"Oregon, Washington, Vancouver Coast and Shelf"
Lycodes diapterus,Lycodes diapterus,accepted,Lycodes diapterus,species,Teleostei,Perciformes,Zoarcidae,Lycodes,TRUE,FALSE,FALSE,254597,215426,"Oregon, Washington, Vancouver Coast and Shelf"
Paricelinus hopliticus,Paricelinus hopliticus,accepted,Paricelinus hopliticus,species,Teleostei,Perciformes,Jordaniidae,Paricelinus,TRUE,FALSE,FALSE,282147,NA,"Oregon, Washington, Vancouver Coast and Shelf"
Sebastes borealis,Sebastes borealis,accepted,Sebastes borealis,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274777,394687,"Oregon, Washington, Vancouver Coast and Shelf"
Bathyagonus pentacanthus,Bathyagonus pentacanthus,accepted,Bathyagonus pentacanthus,species,Teleostei,Perciformes,Agonidae,Bathyagonus,TRUE,FALSE,FALSE,254506,433407,"Oregon, Washington, Vancouver Coast and Shelf"
Xeneretmus leiops,Xeneretmus leiops,accepted,Xeneretmus leiops,species,Teleostei,Perciformes,Agonidae,Xeneretmus,TRUE,FALSE,FALSE,283172,299564,"Oregon, Washington, Vancouver Coast and Shelf"
Anarrhichthys ocellatus,Anarrhichthys ocellatus,accepted,Anarrhichthys ocellatus,species,Teleostei,Perciformes,Anarhichadidae,Anarrhichthys,TRUE,FALSE,FALSE,279605,433405,"Oregon, Washington, Vancouver Coast and Shelf"
Apristurus brunneus,Apristurus brunneus,accepted,Apristurus brunneus,species,Elasmobranchii,Carcharhiniformes,Pentanchidae,Apristurus,TRUE,FALSE,FALSE,158512,428037,"Oregon, Washington, Vancouver Coast and Shelf"
Ronquilus jordani,Ronquilus jordani,accepted,Ronquilus jordani,species,Teleostei,Perciformes,Bathymasteridae,Ronquilus,TRUE,FALSE,FALSE,282629,428030,"Oregon, Washington, Vancouver Coast and Shelf"
Citharichthys stigmaeus,Citharichthys stigmaeus,accepted,Citharichthys stigmaeus,species,Teleostei,Pleuronectiformes,Paralichthyidae,Citharichthys,TRUE,FALSE,FALSE,275696,319775,"Oregon, Washington, Vancouver Coast and Shelf"
Mola mola,Mola mola,accepted,Mola mola,species,Teleostei,Tetraodontiformes,Molidae,Mola,TRUE,FALSE,FALSE,127405,94237,"Oregon, Washington, Vancouver Coast and Shelf"
Bathylagus pacificus,Bathylagus pacificus,accepted,Bathylagus pacificus,species,Teleostei,Argentiniformes,Bathylagidae,Bathylagus,TRUE,FALSE,FALSE,272919,557336,"Oregon, Washington, Vancouver Coast and Shelf"
Psettichthys melanostictus,Psettichthys melanostictus,accepted,Psettichthys melanostictus,species,Teleostei,Pleuronectiformes,Pleuronectidae,Psettichthys,TRUE,FALSE,FALSE,282396,195639,"Oregon, Washington, Vancouver Coast and Shelf"
Eptatretus stoutii,Eptatretus stoutii,accepted,Eptatretus stoutii,species,Myxini,Myxiniformes,Myxinidae,Eptatretus,TRUE,FALSE,FALSE,279298,7765,"Oregon, Washington, Vancouver Coast and Shelf"
Icosteus aenigmaticus,Icosteus aenigmaticus,accepted,Icosteus aenigmaticus,species,Teleostei,Scombriformes,Icosteidae,Icosteus,TRUE,FALSE,FALSE,281153,215386,"Oregon, Washington, Vancouver Coast and Shelf"
Sebastes mystinus,Sebastes mystinus,accepted,Sebastes mystinus,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274823,72088,"Oregon, Washington, Vancouver Coast and Shelf"
Hemilepidotus spinosus,Hemilepidotus spinosus,accepted,Hemilepidotus spinosus,species,Teleostei,Perciformes,Cottidae,Hemilepidotus,TRUE,FALSE,FALSE,279413,271501,"Oregon, Washington, Vancouver Coast and Shelf"
Protomyctophum crockeri,Protomyctophum crockeri,accepted,Protomyctophum crockeri,species,Teleostei,Myctophiformes,Myctophidae,Protomyctophum,TRUE,FALSE,FALSE,272731,91656,"Oregon, Washington, Vancouver Coast and Shelf"
Isopsetta isolepis,Isopsetta isolepis,accepted,Isopsetta isolepis,species,Teleostei,Pleuronectiformes,Pleuronectidae,Isopsetta,TRUE,FALSE,FALSE,281189,195617,"Oregon, Washington, Vancouver Coast and Shelf"
Entosphenus tridentatus,Entosphenus tridentatus,accepted,Entosphenus tridentatus,species,Petromyzonti,Petromyzontiformes,Petromyzontidae,Entosphenus,TRUE,TRUE,TRUE,314348,245074,"Oregon, Washington, Vancouver Coast and Shelf"
Lampanyctus ritteri,Lampanyctus ritteri,accepted,Lampanyctus ritteri,species,Teleostei,Myctophiformes,Myctophidae,Lampanyctus,TRUE,FALSE,FALSE,301548,319541,"Oregon, Washington, Vancouver Coast and Shelf"
Prionace glauca,Prionace glauca,accepted,Prionace glauca,species,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,TRUE,TRUE,FALSE,105801,7815,"Oregon, Washington, Vancouver Coast and Shelf"
Bathyagonus nigripinnis,Bathyagonus nigripinnis,accepted,Bathyagonus nigripinnis,species,Teleostei,Perciformes,Agonidae,Bathyagonus,TRUE,FALSE,FALSE,254505,433409,"Oregon, Washington, Vancouver Coast and Shelf"
Sebastes emphaeus,Sebastes emphaeus,accepted,Sebastes emphaeus,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274789,72071,"Oregon, Washington, Vancouver Coast and Shelf"
Scomber colias,Scomber colias,accepted,Scomber colias,species,Teleostei,Scombriformes,Scombridae,Scomber,TRUE,TRUE,FALSE,151174,338315,"Oregon, Washington, Vancouver Coast and Shelf"
Embiotoca lateralis,Embiotoca lateralis,accepted,Embiotoca lateralis,species,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Embiotoca,TRUE,FALSE,FALSE,240740,229144,"Oregon, Washington, Vancouver Coast and Shelf"
Carcharodon carcharias,Carcharodon carcharias,accepted,Carcharodon carcharias,species,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,TRUE,TRUE,FALSE,105838,13397,"Oregon, Washington, Vancouver Coast and Shelf"
Ammodytes personatus,Ammodytes personatus,accepted,Ammodytes personatus,species,Teleostei,Perciformes,Ammodytidae,Ammodytes,TRUE,FALSE,FALSE,272967,215382,"Oregon, Washington, Vancouver Coast and Shelf"
Lestidiops ringens,Lestidiops ringens,accepted,Lestidiops ringens,species,Teleostei,Aulopiformes,Paralepididae,Lestidiops,TRUE,FALSE,FALSE,272096,319759,"Oregon, Washington, Vancouver Coast and Shelf"
Sebastes miniatus,Sebastes miniatus,accepted,Sebastes miniatus,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274820,72087,"Oregon, Washington, Vancouver Coast and Shelf"
Gadus morhua,Gadus morhua,accepted,Gadus morhua,species,Teleostei,Gadiformes,Gadidae,Gadus,TRUE,TRUE,FALSE,126436,8049,"Oregon, Washington, Vancouver Coast and Shelf"
Coryphaenoides acrolepis,Coryphaenoides acrolepis,accepted,Coryphaenoides acrolepis,species,Teleostei,Gadiformes,Macrouridae,Coryphaenoides,TRUE,FALSE,FALSE,272313,83390,"Oregon, Washington, Vancouver Coast and Shelf"
Cryptacanthodes aleutensis,Cryptacanthodes aleutensis,accepted,Cryptacanthodes aleutensis,species,Teleostei,Perciformes,Cryptacanthodidae,Cryptacanthodes,TRUE,FALSE,FALSE,276390,557343,"Oregon, Washington, Vancouver Coast and Shelf"
Spirinchus starksi,Spirinchus starksi,accepted,Spirinchus starksi,species,Teleostei,Osmeriformes,Osmeridae,Spirinchus,TRUE,FALSE,FALSE,282843,443727,"Oregon, Washington, Vancouver Coast and Shelf"
Symbolophorus californiensis,Symbolophorus californiensis,accepted,Symbolophorus californiensis,species,Teleostei,Myctophiformes,Myctophidae,Symbolophorus,TRUE,FALSE,FALSE,272733,123339,"Oregon, Washington, Vancouver Coast and Shelf"
Platichthys stellatus,Platichthys stellatus,accepted,Platichthys stellatus,species,Teleostei,Pleuronectiformes,Pleuronectidae,Platichthys,TRUE,TRUE,TRUE,154781,195632,"Oregon, Washington, Vancouver Coast and Shelf"
Bathyagonus alascanus,Bathyagonus alascanus,accepted,Bathyagonus alascanus,species,Teleostei,Perciformes,Agonidae,Bathyagonus,TRUE,FALSE,FALSE,254503,433408,"Oregon, Washington, Vancouver Coast and Shelf"
Trachurus symmetricus,Trachurus symmetricus,accepted,Trachurus symmetricus,species,Teleostei,Carangiformes,Carangidae,Trachurus,TRUE,FALSE,FALSE,273305,271940,"Oregon, Washington, Vancouver Coast and Shelf"
Protomyctophum thompsoni,Protomyctophum thompsoni,accepted,Protomyctophum thompsoni,species,Teleostei,Myctophiformes,Myctophidae,Protomyctophum,TRUE,FALSE,FALSE,272732,123331,"Oregon, Washington, Vancouver Coast and Shelf"
Sebastes nigrocinctus,Sebastes nigrocinctus,accepted,Sebastes nigrocinctus,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274825,72089,"Oregon, Washington, Vancouver Coast and Shelf"
Gasterosteus aculeatus,Gasterosteus aculeatus,accepted,Gasterosteus aculeatus,species,Teleostei,Perciformes,Gasterosteidae,Gasterosteus,TRUE,TRUE,TRUE,126505,69293,"Oregon, Washington, Vancouver Coast and Shelf"
Scomber japonicus,Scomber japonicus,accepted,Scomber japonicus,species,Teleostei,Scombriformes,Scombridae,Scomber,TRUE,FALSE,FALSE,127022,13676,"Oregon, Washington, Vancouver Coast and Shelf"
Protomyctophum arcticum,Protomyctophum arcticum,accepted,Protomyctophum arcticum,species,Teleostei,Myctophiformes,Myctophidae,Protomyctophum,TRUE,FALSE,FALSE,158917,473330,"Oregon, Washington, Vancouver Coast and Shelf"
Sardinops sagax,Sardinops sagax,accepted,Sardinops sagax,species,Teleostei,Clupeiformes,Alosidae,Sardinops,TRUE,FALSE,FALSE,217452,28381,"Oregon, Washington, Vancouver Coast and Shelf"
Zaprora silenus,Zaprora silenus,accepted,Zaprora silenus,species,Teleostei,Perciformes,Zaproridae,Zaprora,TRUE,FALSE,FALSE,254353,320590,"Oregon, Washington, Vancouver Coast and Shelf"
Cottus asper,Cottus asper,accepted,Cottus asper,species,Teleostei,Perciformes,Cottidae,Cottus,TRUE,TRUE,TRUE,274368,214916,"Oregon, Washington, Vancouver Coast and Shelf"
Antimora microlepis,Antimora microlepis,accepted,Antimora microlepis,species,Teleostei,Gadiformes,Moridae,Antimora,TRUE,FALSE,FALSE,272460,497157,"Oregon, Washington, Vancouver Coast and Shelf"
Coryphaenoides cinereus,Coryphaenoides cinereus,accepted,Coryphaenoides cinereus,species,Teleostei,Gadiformes,Macrouridae,Coryphaenoides,TRUE,FALSE,FALSE,272326,83391,"Oregon, Washington, Vancouver Coast and Shelf"
Icelinus tenuis,Icelinus tenuis,accepted,Icelinus tenuis,species,Teleostei,Perciformes,Cottidae,Icelinus,TRUE,FALSE,FALSE,281142,433394,"Oregon, Washington, Vancouver Coast and Shelf"
Leptocottus armatus,Leptocottus armatus,accepted,Leptocottus armatus,species,Teleostei,Perciformes,Cottidae,Leptocottus,TRUE,TRUE,FALSE,254345,214925,"Oregon, Washington, Vancouver Coast and Shelf"
Lampanyctus regalis,Lampanyctus regalis,accepted,Lampanyctus regalis,species,Teleostei,Myctophiformes,Myctophidae,Lampanyctus,TRUE,FALSE,FALSE,301545,91654,"Oregon, Washington, Vancouver Coast and Shelf"
Nansenia candida,Nansenia candida,accepted,Nansenia candida,species,Teleostei,Argentiniformes,Microstomatidae,Nansenia,TRUE,FALSE,FALSE,272926,557352,"Oregon, Washington, Vancouver Coast and Shelf"
Lumpenus sagitta,Lumpenus sagitta,accepted,Lumpenus sagitta,species,Teleostei,Perciformes,Lumpenidae,Lumpenus,TRUE,FALSE,FALSE,254579,428036,"Oregon, Washington, Vancouver Coast and Shelf"
Mallotus villosus,Mallotus villosus,accepted,Mallotus villosus,species,Teleostei,Osmeriformes,Osmeridae,Mallotus,TRUE,TRUE,TRUE,126735,30960,"Oregon, Washington, Vancouver Coast and Shelf"
Hexagrammos lagocephalus,Hexagrammos lagocephalus,accepted,Hexagrammos lagocephalus,species,Teleostei,Perciformes,Hexagrammidae,Hexagrammos,TRUE,FALSE,FALSE,240735,192377,"Oregon, Washington, Vancouver Coast and Shelf"
Malacocottus kincaidi,Malacocottus kincaidi,accepted,Malacocottus kincaidi,species,Teleostei,Perciformes,Psychrolutidae,Malacocottus,TRUE,FALSE,FALSE,279442,433396,"Oregon, Washington, Vancouver Coast and Shelf"
Careproctus melanurus,Careproctus melanurus,accepted,Careproctus melanurus,species,Teleostei,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,254549,274785,"Oregon, Washington, Vancouver Coast and Shelf"
Cataetyx rubrirostris,Cataetyx rubrirostris,accepted,Cataetyx rubrirostris,species,Teleostei,Ophidiiformes,Bythitidae,Cataetyx,TRUE,FALSE,FALSE,272767,181404,"Oregon, Washington, Vancouver Coast and Shelf"
Hemilepidotus hemilepidotus,Hemilepidotus hemilepidotus,accepted,Hemilepidotus hemilepidotus,species,Teleostei,Perciformes,Cottidae,Hemilepidotus,TRUE,FALSE,FALSE,254521,433390,"Oregon, Washington, Vancouver Coast and Shelf"
Phanerodon vacca,Phanerodon vacca,accepted,Phanerodon vacca,species,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Phanerodon,TRUE,FALSE,FALSE,1577347,2838341,"Oregon, Washington, Vancouver Coast and Shelf"
Coryphaena hippurus,Coryphaena hippurus,accepted,Coryphaena hippurus,species,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,TRUE,TRUE,FALSE,126846,34814,"Oregon, Washington, Vancouver Coast and Shelf"
Cottus aleuticus,Cottus aleuticus,accepted,Cottus aleuticus,species,Teleostei,Perciformes,Cottidae,Cottus,TRUE,TRUE,TRUE,274366,214914,"Oregon, Washington, Vancouver Coast and Shelf"
Eptatretus deani,Eptatretus deani,accepted,Eptatretus deani,species,Myxini,Myxiniformes,Myxinidae,Eptatretus,TRUE,FALSE,FALSE,279277,418109,"Oregon, Washington, Vancouver Coast and Shelf"
Pseudobathylagus milleri,Pseudobathylagus milleri,accepted,Pseudobathylagus milleri,species,Teleostei,Argentiniformes,Bathylagidae,Pseudobathylagus,TRUE,FALSE,FALSE,282406,301820,"Oregon, Washington, Vancouver Coast and Shelf"
Sagamichthys abei,Sagamichthys abei,accepted,Sagamichthys abei,species,Teleostei,Alepocephaliformes,Platytroctidae,Sagamichthys,TRUE,FALSE,FALSE,234630,319782,"Oregon, Washington, Vancouver Coast and Shelf"
Podothecus accipenserinus,Podothecus accipenserinus,accepted,Podothecus accipenserinus,species,Teleostei,Perciformes,Agonidae,Podothecus,TRUE,FALSE,FALSE,254501,320612,"Oregon, Washington, Vancouver Coast and Shelf"
Lycodapus fierasfer,Lycodapus fierasfer,accepted,Lycodapus fierasfer,species,Teleostei,Perciformes,Zoarcidae,Lycodapus,TRUE,FALSE,FALSE,279389,433411,"Oregon, Washington, Vancouver Coast and Shelf"
Sebastes chlorostictus,Sebastes chlorostictus,accepted,Sebastes chlorostictus,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274781,72064,"Oregon, Washington, Vancouver Coast and Shelf"
Morone saxatilis,Morone saxatilis,accepted,Morone saxatilis,species,Teleostei,Eupercaria incertae sedis,Moronidae,Morone,TRUE,TRUE,TRUE,151179,34816,"Oregon, Washington, Vancouver Coast and Shelf"
Albatrossia pectoralis,Albatrossia pectoralis,accepted,Albatrossia pectoralis,species,Teleostei,Gadiformes,Macrouridae,Albatrossia,TRUE,FALSE,FALSE,236135,83392,"Oregon, Washington, Vancouver Coast and Shelf"
Enophrys bison,Enophrys bison,accepted,Enophrys bison,species,Teleostei,Perciformes,Cottidae,Enophrys,TRUE,FALSE,FALSE,275355,320617,"Oregon, Washington, Vancouver Coast and Shelf"
Sebastes variegatus,Sebastes variegatus,accepted,Sebastes variegatus,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274863,72106,"Oregon, Washington, Vancouver Coast and Shelf"
Alepocephalus tenebrosus,Alepocephalus tenebrosus,accepted,Alepocephalus tenebrosus,species,Teleostei,Alepocephaliformes,Alepocephalidae,Alepocephalus,TRUE,FALSE,FALSE,272849,170189,"Oregon, Washington, Vancouver Coast and Shelf"
Artedius fenestralis,Artedius fenestralis,accepted,Artedius fenestralis,species,Teleostei,Perciformes,Cottidae,Artedius,TRUE,FALSE,FALSE,279700,274758,"Oregon, Washington, Vancouver Coast and Shelf"
Artedius harringtoni,Artedius harringtoni,accepted,Artedius harringtoni,species,Teleostei,Perciformes,Cottidae,Artedius,TRUE,FALSE,FALSE,279701,433399,"Oregon, Washington, Vancouver Coast and Shelf"
Coryphaenoides filifer,Coryphaenoides filifer,accepted,Coryphaenoides filifer,species,Teleostei,Gadiformes,Macrouridae,Coryphaenoides,TRUE,FALSE,FALSE,272331,216980,"Oregon, Washington, Vancouver Coast and Shelf"
Paraliparis pectoralis,Paraliparis pectoralis,accepted,Paraliparis pectoralis,species,Teleostei,Perciformes,Liparidae,Paraliparis,TRUE,FALSE,FALSE,274604,557360,"Oregon, Washington, Vancouver Coast and Shelf"
Icelus spiniger,Icelus spiniger,accepted,Icelus spiniger,species,Teleostei,Perciformes,Cottidae,Icelus,TRUE,FALSE,FALSE,254525,557345,"Oregon, Washington, Vancouver Coast and Shelf"
Triglops macellus,Triglops macellus,accepted,Triglops macellus,species,Teleostei,Perciformes,Cottidae,Triglops,TRUE,FALSE,FALSE,274399,433386,"Oregon, Washington, Vancouver Coast and Shelf"
Lycodapus mandibularis,Lycodapus mandibularis,accepted,Lycodapus mandibularis,species,Teleostei,Perciformes,Zoarcidae,Lycodapus,TRUE,FALSE,FALSE,279391,557350,"Oregon, Washington, Vancouver Coast and Shelf"
