timestamps,latitude,beuti,year,month
2021-06-10,31,5.519,2021,6
2021-06-10,32,1.909,2021,6
2021-06-10,33,2.126,2021,6
2021-06-10,34,9.808,2021,6
2021-06-10,35,14.357,2021,6
2021-06-10,36,8.513,2021,6
2021-06-10,37,3.385,2021,6
2021-06-10,38,0.724,2021,6
2021-06-10,39,4.058,2021,6
2021-06-10,40,-1.834,2021,6
2021-06-10,41,2.526,2021,6
2021-06-10,42,-6.757,2021,6
2021-06-10,43,-2.673,2021,6
2021-06-10,44,0.057,2021,6
2021-06-10,45,-2.104,2021,6
2021-06-10,46,0.826,2021,6
2021-06-10,47,-3.687,2021,6
2021-06-11,31,5.113,2021,6
2021-06-11,32,1.695,2021,6
2021-06-11,33,1.485,2021,6
2021-06-11,34,10.745,2021,6
2021-06-11,35,15.638,2021,6
2021-06-11,36,13.94,2021,6
2021-06-11,37,4.011,2021,6
2021-06-11,38,-22.678,2021,6
2021-06-11,39,7.159,2021,6
2021-06-11,40,-2.046,2021,6
2021-06-11,41,-10.79,2021,6
2021-06-11,42,-18.875,2021,6
2021-06-11,43,-14.465,2021,6
2021-06-11,44,-12.559,2021,6
2021-06-11,45,-8.896,2021,6
2021-06-11,46,-5.904,2021,6
2021-06-11,47,-7.07,2021,6
2021-06-12,31,4.494,2021,6
2021-06-12,32,1.441,2021,6
2021-06-12,33,0.71,2021,6
2021-06-12,34,7.849,2021,6
2021-06-12,35,14.265,2021,6
2021-06-12,36,18.024,2021,6
2021-06-12,37,0.123,2021,6
2021-06-12,38,-0.123,2021,6
2021-06-12,39,-0.02,2021,6
2021-06-12,40,-19.216,2021,6
2021-06-12,41,-23.31,2021,6
2021-06-12,42,-17.493,2021,6
2021-06-12,43,-4.606,2021,6
2021-06-12,44,-8.158,2021,6
2021-06-12,45,-8.636,2021,6
2021-06-12,46,-5.703,2021,6
2021-06-12,47,-10.337,2021,6
2021-06-13,31,2.14,2021,6
2021-06-13,32,0.929,2021,6
2021-06-13,33,0.68,2021,6
2021-06-13,34,6.297,2021,6
2021-06-13,35,10.074,2021,6
2021-06-13,36,11.096,2021,6
2021-06-13,37,1.295,2021,6
2021-06-13,38,6.731,2021,6
2021-06-13,39,-5.188,2021,6
2021-06-13,40,-4.926,2021,6
2021-06-13,41,-9.796,2021,6
2021-06-13,42,-7.518,2021,6
2021-06-13,43,-1.075,2021,6
2021-06-13,44,-2.454,2021,6
2021-06-13,45,-2.969,2021,6
2021-06-13,46,-1.474,2021,6
2021-06-13,47,-3.654,2021,6
2021-06-14,31,5.594,2021,6
2021-06-14,32,1.733,2021,6
2021-06-14,33,1.817,2021,6
2021-06-14,34,8.593,2021,6
2021-06-14,35,8.341,2021,6
2021-06-14,36,6.743,2021,6
2021-06-14,37,1.945,2021,6
2021-06-14,38,-0.891,2021,6
2021-06-14,39,-2.831,2021,6
2021-06-14,40,3.563,2021,6
2021-06-14,41,-9.645,2021,6
2021-06-14,42,-4.258,2021,6
2021-06-14,43,-2.78,2021,6
2021-06-14,44,-6.789,2021,6
2021-06-14,45,-6.618,2021,6
2021-06-14,46,-3.948,2021,6
2021-06-14,47,-1.686,2021,6
2021-06-15,31,4.221,2021,6
2021-06-15,32,1.491,2021,6
2021-06-15,33,1.76,2021,6
2021-06-15,34,8.153,2021,6
2021-06-15,35,15.353,2021,6
2021-06-15,36,12.611,2021,6
2021-06-15,37,5.059,2021,6
2021-06-15,38,-3.316,2021,6
2021-06-15,39,13.405,2021,6
2021-06-15,40,-0.025,2021,6
2021-06-15,41,-3.872,2021,6
2021-06-15,42,1.215,2021,6
2021-06-15,43,-1.495,2021,6
2021-06-15,44,-4.612,2021,6
2021-06-15,45,-3.807,2021,6
2021-06-15,46,-2.637,2021,6
2021-06-15,47,-1.754,2021,6
2021-06-16,31,0.223,2021,6
2021-06-16,32,0.253,2021,6
2021-06-16,33,0.457,2021,6
2021-06-16,34,7.179,2021,6
2021-06-16,35,29.973,2021,6
2021-06-16,36,31.168,2021,6
2021-06-16,37,16.015,2021,6
2021-06-16,38,25.4,2021,6
2021-06-16,39,27.482,2021,6
2021-06-16,40,11.688,2021,6
2021-06-16,41,3.808,2021,6
2021-06-16,42,3.258,2021,6
2021-06-16,43,0.239,2021,6
2021-06-16,44,-0.037,2021,6
2021-06-16,45,0.027,2021,6
2021-06-16,46,-1.034,2021,6
2021-06-16,47,-0.054,2021,6
2021-06-17,31,-0.532,2021,6
2021-06-17,32,-0.014,2021,6
2021-06-17,33,0.004,2021,6
2021-06-17,34,3.015,2021,6
2021-06-17,35,16.412,2021,6
2021-06-17,36,22.729,2021,6
2021-06-17,37,17.865,2021,6
2021-06-17,38,36.341,2021,6
2021-06-17,39,54.896,2021,6
2021-06-17,40,47.105,2021,6
2021-06-17,41,22.097,2021,6
2021-06-17,42,24.834,2021,6
2021-06-17,43,7.278,2021,6
2021-06-17,44,3.951,2021,6
2021-06-17,45,3.275,2021,6
2021-06-17,46,1.161,2021,6
2021-06-17,47,1.512,2021,6
2021-06-18,31,2.911,2021,6
2021-06-18,32,0.165,2021,6
2021-06-18,33,-0.018,2021,6
2021-06-18,34,0.189,2021,6
2021-06-18,35,4.258,2021,6
2021-06-18,36,4.205,2021,6
2021-06-18,37,9.94,2021,6
2021-06-18,38,40.523,2021,6
2021-06-18,39,65.304,2021,6
2021-06-18,40,56.981,2021,6
2021-06-18,41,31.479,2021,6
2021-06-18,42,20.372,2021,6
2021-06-18,43,12.545,2021,6
2021-06-18,44,5.201,2021,6
2021-06-18,45,7.022,2021,6
2021-06-18,46,3.56,2021,6
2021-06-18,47,1.982,2021,6
2021-06-19,31,2.636,2021,6
2021-06-19,32,0.356,2021,6
2021-06-19,33,0.427,2021,6
2021-06-19,34,0.108,2021,6
2021-06-19,35,1.189,2021,6
2021-06-19,36,1.412,2021,6
2021-06-19,37,3.067,2021,6
2021-06-19,38,19.47,2021,6
2021-06-19,39,60.557,2021,6
2021-06-19,40,71.895,2021,6
2021-06-19,41,57.928,2021,6
2021-06-19,42,68.75,2021,6
2021-06-19,43,24.195,2021,6
2021-06-19,44,9.206,2021,6
2021-06-19,45,11.737,2021,6
2021-06-19,46,4.461,2021,6
2021-06-19,47,2.772,2021,6
2021-06-20,31,2.494,2021,6
2021-06-20,32,0.787,2021,6
2021-06-20,33,0.861,2021,6
2021-06-20,34,2.284,2021,6
2021-06-20,35,2.485,2021,6
2021-06-20,36,2.28,2021,6
2021-06-20,37,0.142,2021,6
2021-06-20,38,0.598,2021,6
2021-06-20,39,7.562,2021,6
2021-06-20,40,27.181,2021,6
2021-06-20,41,54.48,2021,6
2021-06-20,42,76.693,2021,6
2021-06-20,43,32.134,2021,6
2021-06-20,44,14.273,2021,6
2021-06-20,45,11.101,2021,6
2021-06-20,46,3.487,2021,6
2021-06-20,47,2.858,2021,6
2021-06-21,31,4.783,2021,6
2021-06-21,32,1.52,2021,6
2021-06-21,33,1.435,2021,6
2021-06-21,34,3.285,2021,6
2021-06-21,35,0.916,2021,6
2021-06-21,36,2.146,2021,6
2021-06-21,37,-0.484,2021,6
2021-06-21,38,-0.47,2021,6
2021-06-21,39,0.693,2021,6
2021-06-21,40,5.424,2021,6
2021-06-21,41,23.649,2021,6
2021-06-21,42,20.062,2021,6
2021-06-21,43,22.183,2021,6
2021-06-21,44,11.224,2021,6
2021-06-21,45,8.286,2021,6
2021-06-21,46,4.411,2021,6
2021-06-21,47,2.848,2021,6
2021-06-22,31,6.544,2021,6
2021-06-22,32,1.071,2021,6
2021-06-22,33,1.551,2021,6
2021-06-22,34,1.678,2021,6
2021-06-22,35,-3.059,2021,6
2021-06-22,36,0.271,2021,6
2021-06-22,37,-6.058,2021,6
2021-06-22,38,-16.64,2021,6
2021-06-22,39,26.859,2021,6
2021-06-22,40,19.005,2021,6
2021-06-22,41,12.054,2021,6
2021-06-22,42,1.78,2021,6
2021-06-22,43,13.07,2021,6
2021-06-22,44,2.858,2021,6
2021-06-22,45,3.138,2021,6
2021-06-22,46,1.537,2021,6
2021-06-22,47,1.277,2021,6
2021-06-23,31,6.854,2021,6
2021-06-23,32,0.981,2021,6
2021-06-23,33,1.804,2021,6
2021-06-23,34,1.71,2021,6
2021-06-23,35,1.216,2021,6
2021-06-23,36,-8.11,2021,6
2021-06-23,37,-5.149,2021,6
2021-06-23,38,-12.196,2021,6
2021-06-23,39,5.09,2021,6
2021-06-23,40,-8.431,2021,6
2021-06-23,41,8.917,2021,6
2021-06-23,42,14.42,2021,6
2021-06-23,43,8.318,2021,6
2021-06-23,44,1.232,2021,6
2021-06-23,45,3.33,2021,6
2021-06-23,46,1.141,2021,6
2021-06-23,47,1.105,2021,6
2021-06-24,31,8.132,2021,6
2021-06-24,32,1.134,2021,6
2021-06-24,33,1.819,2021,6
2021-06-24,34,2.183,2021,6
2021-06-24,35,1.689,2021,6
2021-06-24,36,-1.796,2021,6
2021-06-24,37,-1.358,2021,6
2021-06-24,38,-12.056,2021,6
2021-06-24,39,-1.356,2021,6
2021-06-24,40,15.502,2021,6
2021-06-24,41,10.211,2021,6
2021-06-24,42,5.096,2021,6
2021-06-24,43,9.711,2021,6
2021-06-24,44,4.093,2021,6
2021-06-24,45,5.345,2021,6
2021-06-24,46,1.138,2021,6
2021-06-24,47,0.759,2021,6
2021-06-25,31,7.459,2021,6
2021-06-25,32,1.052,2021,6
2021-06-25,33,2.039,2021,6
2021-06-25,34,2.796,2021,6
2021-06-25,35,3.64,2021,6
2021-06-25,36,6.068,2021,6
2021-06-25,37,1.98,2021,6
2021-06-25,38,-1.573,2021,6
2021-06-25,39,23.703,2021,6
2021-06-25,40,5.58,2021,6
2021-06-25,41,11.638,2021,6
2021-06-25,42,10.321,2021,6
2021-06-25,43,8.793,2021,6
2021-06-25,44,1.619,2021,6
2021-06-25,45,3.842,2021,6
2021-06-25,46,1.201,2021,6
2021-06-25,47,1.441,2021,6
2021-06-26,31,6.959,2021,6
2021-06-26,32,0.78,2021,6
2021-06-26,33,2.093,2021,6
2021-06-26,34,4.257,2021,6
2021-06-26,35,5.942,2021,6
2021-06-26,36,13.966,2021,6
2021-06-26,37,6.053,2021,6
2021-06-26,38,-5.086,2021,6
2021-06-26,39,18.04,2021,6
2021-06-26,40,-0.907,2021,6
2021-06-26,41,2.524,2021,6
2021-06-26,42,0.904,2021,6
2021-06-26,43,2.89,2021,6
2021-06-26,44,2.03,2021,6
2021-06-26,45,13.654,2021,6
2021-06-26,46,2.737,2021,6
2021-06-26,47,1.456,2021,6
2021-06-27,31,5.978,2021,6
2021-06-27,32,0.677,2021,6
2021-06-27,33,1.86,2021,6
2021-06-27,34,5.213,2021,6
2021-06-27,35,7.508,2021,6
2021-06-27,36,19.649,2021,6
2021-06-27,37,9.306,2021,6
2021-06-27,38,8.094,2021,6
2021-06-27,39,33.502,2021,6
2021-06-27,40,17.242,2021,6
2021-06-27,41,13.304,2021,6
2021-06-27,42,9.363,2021,6
2021-06-27,43,7.054,2021,6
2021-06-27,44,-4.63,2021,6
2021-06-27,45,3.251,2021,6
2021-06-27,46,1.616,2021,6
2021-06-27,47,3.178,2021,6
2021-06-28,31,3.035,2021,6
2021-06-28,32,0.47,2021,6
2021-06-28,33,1.81,2021,6
2021-06-28,34,6.41,2021,6
2021-06-28,35,9.459,2021,6
2021-06-28,36,24.907,2021,6
2021-06-28,37,11.454,2021,6
2021-06-28,38,15.261,2021,6
2021-06-28,39,21.671,2021,6
2021-06-28,40,6.999,2021,6
2021-06-28,41,0.209,2021,6
2021-06-28,42,10.307,2021,6
2021-06-28,43,1.422,2021,6
2021-06-28,44,-0.28,2021,6
2021-06-28,45,0.585,2021,6
2021-06-28,46,-0.388,2021,6
2021-06-28,47,-1.049,2021,6
2021-06-29,31,1.489,2021,6
2021-06-29,32,0.237,2021,6
2021-06-29,33,0.975,2021,6
2021-06-29,34,5.399,2021,6
2021-06-29,35,9.459,2021,6
2021-06-29,36,24.449,2021,6
2021-06-29,37,9.663,2021,6
2021-06-29,38,1.73,2021,6
2021-06-29,39,14.527,2021,6
2021-06-29,40,0.523,2021,6
2021-06-29,41,-1.848,2021,6
2021-06-29,42,1.677,2021,6
2021-06-29,43,-2.572,2021,6
2021-06-29,44,-2.831,2021,6
2021-06-29,45,-2.144,2021,6
2021-06-29,46,-0.008,2021,6
2021-06-29,47,0.731,2021,6
2021-06-30,31,1.653,2021,6
2021-06-30,32,0.475,2021,6
2021-06-30,33,1.126,2021,6
2021-06-30,34,2.622,2021,6
2021-06-30,35,10.268,2021,6
2021-06-30,36,7.519,2021,6
2021-06-30,37,10.487,2021,6
2021-06-30,38,-6.009,2021,6
2021-06-30,39,23.898,2021,6
2021-06-30,40,1.742,2021,6
2021-06-30,41,7.871,2021,6
2021-06-30,42,8.811,2021,6
2021-06-30,43,-2.994,2021,6
2021-06-30,44,-1.839,2021,6
2021-06-30,45,-3.64,2021,6
2021-06-30,46,-2.424,2021,6
2021-06-30,47,0.906,2021,6
2021-07-01,31,0.509,2021,7
2021-07-01,32,0.404,2021,7
2021-07-01,33,1.119,2021,7
2021-07-01,34,1.902,2021,7
2021-07-01,35,3.851,2021,7
2021-07-01,36,2.524,2021,7
2021-07-01,37,6.977,2021,7
2021-07-01,38,-4.356,2021,7
2021-07-01,39,32.764,2021,7
2021-07-01,40,29.686,2021,7
2021-07-01,41,14.795,2021,7
2021-07-01,42,15.113,2021,7
2021-07-01,43,6.112,2021,7
2021-07-01,44,1.852,2021,7
2021-07-01,45,-0.665,2021,7
2021-07-01,46,0.55,2021,7
2021-07-01,47,-1.276,2021,7
2021-07-02,31,5.794,2021,7
2021-07-02,32,0.88,2021,7
2021-07-02,33,1.692,2021,7
2021-07-02,34,5.025,2021,7
2021-07-02,35,3.504,2021,7
