bc_vancouverisland,2010-04-16,2010-05-17,0142774a5e28beda68f4e32307d01ac9.nc
st_lawrence_qc,2002-07-17,2002-08-17,0142cb7fe6cd6d4a0c36535bd0f5beb6.nc
or_wa,2003-04-16,2003-05-17,01518b6afaa56b1bf59aef55124c2a23.nc
bc_vi2hg,2001-06-16,2001-07-17,015358971d0a98c9476aa4396808b263.nc
bc_vancouverisland,1994-06-16,1994-07-17,0157ab92e296a3f3578fb1ce2529efca.nc
baltic_1,2012-02-16,2012-03-17,0157fd016e465669f7f0529b49a24d93.nc
florida_e,2007-06-16,2007-07-17,0159f8322c99ebe9e977cefb444a5cfe.nc
saf_5,1989-11-16,NA,015b3915c8182b35dc5bd647da15f5d4.nc
new_england,1999-09-16,1999-10-17,015e4dd4a136e686fe5042d66bcf6a86.nc
tx_2,2002-02-15,2002-03-17,015f19f6c919783c4d0225712d029fb6.nc
japan1,1990-07-17,1990-08-17,016434ffa9caf22de74f68f23fdbf85f.nc
tx_1,1989-02-15,NA,016e648c9ec2e621fe73cf763b16d944.nc
japan1,1999-09-16,1999-10-17,0182021ca90eaaf1f30dd7ebfe54e364.nc
aus_1,1998-04-16,NA,01909da60ef148479b2b252d0fc008f1.nc
fundy_bay,2004-06-16,NA,0190d3cb31b1284f7b7f66dbb48c6480.nc
Delaware,2003-07-17,2003-08-17,019151d3178bf938464a6d1e38667f3e.nc
wa_seattle,1994-04-16,1994-05-17,01922a5239a2568e59965a8caed7af37.nc
nor_5,2008-02-16,NA,019471e87a86ebcf2cc0b5db9aa374fe.nc
nor_1,2017-06-16,2017-07-17,01a4717e12a07d395cd2cb250d765d74.nc
saf_2,1991-12-17,1992-01-17,01a9002db499ff12b156c6c6b20ddc8e.nc
saf_3,2014-04-16,NA,01ad93982e69c2433f05b88a51b3300d.nc
nyc,2013-09-16,2013-10-17,01b06208cd947a3f1f76be5a4598331d.nc
newfoundland_2,1995-09-16,1995-10-17,01b3e63d5495fb8859380121eece89d5.nc
guyana_guiana,1993-02-15,1993-03-17,01b56a2031f53a0934fc71094c6af0ce.nc
aus_11,1995-06-16,NA,01b916cc447dd148707c283b7d4d2748.nc
Delaware,2012-09-16,NA,01bd75b5f54c0cd2d5a00485735eaac1.nc
maine,2014-09-16,2014-10-17,01bf082f4bd297e81082ee7a812923c8.nc
Delaware,2002-04-16,NA,01c771ca20454426f156610426616732.nc
tx_2,1986-11-16,1986-12-17,01cefd470f57fa7947cc6558a0e8dacd.nc
spain_e,2020-09-16,NA,01d1dd65bb993e5c3e5ff0d32ddda0a2.nc
nor_2,2017-09-16,2017-10-17,01da6370a3da25540ba6c24179028442.nc
tasmania,2012-06-16,NA,01db0f8a8afb9ad78432725a7bc492ed.nc
aus_12,1991-02-15,1991-03-17,01db26eadc74f86ff17346cb29a95500.nc
bc_vancouverisland,2022-04-16,2022-05-17,01dd1fa2ffee3e573d6f7ec7bdaa8039.nc
fundy_bay,1996-09-16,1996-10-17,01dd3042555578031c9028b04015c09a.nc
tx_1,1999-09-16,1999-10-17,01dfd93a89108391aa52dc03041ca685.nc
nz_1,2008-04-16,NA,01e219dfd8e4f14f89d424051e71e9f6.nc
svalbard,2009-11-16,NA,01ee734fd953b7d8027a8e1a11abce31.nc
saf_4,1998-06-16,1998-07-17,01f4169a2e48f3d5dc6ec7f3c14fb722.nc
japan2,2019-07-17,2019-08-17,01f7e6e4b2947fd1b6f489ee2265674a.nc
taiwan_yellowsea,1990-04-16,1990-05-17,02144b51ada16709c2b67227313c60b3.nc
tx_1,2003-02-15,NA,022542c517b7922c5718d755e8066ff9.nc
tx_2,1985-06-16,NA,022a4a0861eb7590624efed8b8dd73be.nc
bc_vancouverisland,2007-09-16,2007-10-17,02304845c2aea1cb7ee6ee4cfd78dbde.nc
florida_e,2003-12-17,2004-01-17,02314829a678773c93a591ea981b58ae.nc
nor_1,2019-06-16,NA,0245c9c5a9d38cb6a599c49a79205c26.nc
tx_1,1986-11-16,NA,0249c518e64571084d388b7a79b6ed6c.nc
ca4,2010-06-16,2010-07-17,024d6e08a19dccc807a1343ba670b6b1.nc
or_wa,1993-11-16,NA,025a00b0b2125ed96b90e56c0988a5f3.nc
newfoundland_2,1995-12-17,1996-01-17,02693dd813e47929154112d9ae555d5b.nc
florida_pan,1987-06-16,1987-07-17,026a6686e312888dba7fe0b7c3cbefc6.nc
aus_12,1982-11-16,1982-12-17,026efc60e9e0fb45dda158771afec52f.nc
saf_4,1986-11-16,1986-12-17,0272e41095a0f797ffdbe8bb4ab2101f.nc
ca4,2015-07-17,2015-08-17,0273c5d9f7495ce76665c215b930e46a.nc
ak1,1983-12-17,1984-01-17,0278b1652139d1df722af0d545f04551.nc
ca2,2019-11-16,2019-12-17,0278e3718a82b2e538cad18304e08c47.nc
puget_sound,2021-06-16,2021-07-17,028f28a43c3dc0b8468058206760b90e.nc
bc_haidagwaii,2007-12-17,2008-01-17,028ff29d7f7af339b90333662c7b4b39.nc
bc_vancouverisland,2006-06-16,NA,029407f3567d166dafa906b9211e3d38.nc
new_cal,2023-04-16,NA,029848209a05f558766a6225507d12e9.nc
saf_4,2017-09-16,NA,029aeb0f31910231a2f7f4d4e3088895.nc
new_england,2002-02-15,2002-03-17,029ea4a304a25ea42f991a147cd8a257.nc
bc_vancouverisland,1996-02-16,1996-03-17,02a66a39c598c4c2ed424688cab51fb7.nc
tx_2,2005-06-16,NA,02ad1decd8fcc869a4b3d1ef256b6905.nc
puget_sound,1981-12-17,1982-01-17,02b0edc45fdf7c0ba40f6814b093b872.nc
puget_sound,1990-09-16,1990-10-17,02c3a70b5f9c2f244604a291688610d3.nc
nor_5,2015-02-15,2015-03-17,02c760caabe4bfcba0ecf420214746a3.nc
aus_11,2013-06-16,NA,02c811572b9bd419439c75972b67d463.nc
svalbard,2019-09-16,NA,02dafcc5fef53a4d6aedd71d941c2758.nc
bc_haidagwaii,2017-02-15,NA,02de71c75b67c5f28756a140c7f029e8.nc
