nz_1,2010-07-17,2010-08-17,0001ef176d9a542beb3b8ac142aacc10.nc
new_orleans,1997-04-16,1997-05-17,0005fd88a2b05aa26fff4dbd13d6cbee.nc
florida_e,2015-02-15,NA,00061b99e571be0462261c56de138ad6.nc
or_wa,2012-07-17,2012-08-17,00061e7a8a2d6def9896f35eb09aa67f.nc
kittyhawk_nc,2005-02-15,NA,0006fa968c1c8fa6883728ea298ccc42.nc
new_orleans,1984-09-16,1984-10-17,000ef2b6801e17c49d51167dfb690f0d.nc
ca2,2007-09-16,NA,0017d6e1b9262d154d8e80b631180eaa.nc
Delaware,2019-06-16,NA,00189b95a27f4b7cba640b126dbd30a9.nc
ca2,2008-11-16,NA,001c7ecf89ad32c7de09f6d8965bb6e6.nc
wa_seattle,1995-04-16,1995-05-17,002941485964ebbd2b9baa27b9515b7f.nc
nova_scotia,2008-06-16,NA,002a5028edabfa4435df6f7681d2539c.nc
wa_seattle,1993-06-16,NA,002ac2648fd6cbd24ade3c4b8e7938a9.nc
nor_4,2002-06-16,NA,0030b2b26b7cb2788f19a2df9cf1d9ca.nc
bc_vancouverisland,1998-09-16,NA,0034d67ac1acc1deabebe9e874db6f0d.nc
aleut1,1999-09-16,NA,003bb77873838d15c1eeeaa1177310b1.nc
fundy_bay,2012-09-16,2012-10-17,0044a86fe4f0c8751233e73279cbcf08.nc
new_orleans,1985-04-16,1985-05-17,0046cb27e4d9ca33a38a7dbefaae12a8.nc
carolinas,2009-04-16,NA,004f642d2bad4b61726ad317b121dda6.nc
florida_e,2002-09-16,2002-10-17,00538331634210ff8d28474a6fa1d627.nc
nova_scotia,1998-06-16,1998-07-17,00584aae36d8896e45b8f6219ece8054.nc
netherlands,1994-06-16,NA,005a5a59d888cc66e3ac6a50eba0a05e.nc
haiti,2002-04-16,2002-05-17,006609f91930d8eabc06085262c857f1.nc
saf_3,2003-02-15,2003-03-17,006f61723a670400fef690fa25a24b33.nc
ca5,2002-06-16,2002-07-17,00701bc71e9b221efd3970a25e7c12f8.nc
nz_1,2012-09-16,2012-10-17,00736714f04da6a5976411c967970051.nc
dom_rep,1997-02-15,1997-03-17,0074410a58e80ca3c3a72d3518ff5fe0.nc
saf_2,1988-02-16,NA,007568f29cf4609852782e55ae196267.nc
florida_e,2014-02-15,2014-03-17,007e79ca92425466e76b5dd56b2b5cd0.nc
nova_scotia,2010-11-16,NA,0088413a3131ef6de600cf32a1bb1908.nc
tx_1,1990-09-16,NA,009076d8fec1ddb359645b7fb85993cd.nc
bear_isl,2010-02-15,NA,0090c999de80c9bf17e3745819ef0318.nc
new_england,2007-04-16,2007-05-17,009600eb16b6ce9ba01f9c22de0eb6a0.nc
arctic_ak1,2007-09-16,NA,009732c502bc8fcf5b2b9d135efb6a56.nc
ca2,2016-06-16,2016-07-17,00a3016667f983c9e0a9f350e686d4c1.nc
saf_5,1996-06-16,1996-07-17,00a6d69b33b5bbfb82dce1ed6e203bdc.nc
nova_scotia,2014-09-16,NA,00af0acc7ae04d341b3a66ceeeccff6d.nc
central_af,2010-11-16,NA,00b7c61bcc2c043031c1cd013820cf05.nc
bc_vancouverisland,1982-06-16,1982-07-17,00bc782ea98a4af03dbdc0fe4c48cd96.nc
Delaware,1999-02-15,1999-03-17,00c8f7d450f82ee313a594e38f1ab0c2.nc
bc_vi2hg,2021-11-16,NA,00d7d12a147583319c278f31f061499e.nc
st_lawrence_qc,2002-06-16,2002-07-17,00d96daa74536fd4972415041d2196bd.nc
aus_10,2009-11-16,NA,00df94ca7814eb3b4689881fe5c4efba.nc
florida_pan,1982-06-16,1982-07-17,00e326995fd6d5bbb2f92c6168cd945a.nc
florida_pan,1984-09-16,1984-10-17,00eb1dba1c5fc0828bd080eb8c55cbf0.nc
aleut1,2000-07-17,2000-08-17,00eef6eded94afef3ce0b3794b3705ae.nc
wa,2009-04-16,2009-05-17,00f30d0f7c17f6318a04c3fb53f8ccb0.nc
tx_1,1985-09-16,NA,00f4f717db1da5376c4e579b877dc4ef.nc
tx_1,1982-02-15,NA,00f67c271c6cd5b517b70a1ab501cbc6.nc
saf_3,1988-09-16,NA,01027e737ec1568ef391bb0d2bdc9f6d.nc
aus_1,2016-02-16,NA,0103ab241b2a531c1a64cb243c996c96.nc
netherlands,2012-04-16,2012-05-17,0108372f75ffc6c8b45770b559f03ff2.nc
ca4,2015-04-16,2015-05-17,01099f56f75cafb0d7f2a9edc02f7fe3.nc
tasmania,1991-12-17,1992-01-17,010b984ee405a13f6e6d65534af15237.nc
bc_haidagwaii,2000-12-17,2001-01-17,01114c2c63a384ebc1f6b8401195f2ee.nc
new_bruns,2006-12-17,2007-01-17,011895370f957c0248460a8f7598a905.nc
namibia,1990-04-16,1990-05-17,011cf944da574449bcd1bbcc5c544206.nc
puget_sound,1991-02-15,NA,0123f633da835663e00cf1e197974cc3.nc
