site_code,year,sst_max,sst_min,sst_median,sst_mean,sst_sd,site_temp95,site_temp90,site_temp75,site_temp25,site_temp10,site_temp05,region_name,decimal_latitude,decimal_longitude,region_lat_name,avg_region_lat,region_label
JN_AN,2019,15.731222222222222,9.374222222222222,13.21488888888889,12.844719806763285,1.6009569225396116,15.489761111111111,14.401255555555556,13.971944444444444,11.564027777777778,10.312544444444445,9.781616666666666,AK_JN,58.3810730625,-134.694368,1,58.4775619525,"Juneau Region, Alaska"
JN_AN,2020,12.787666666666668,10.108666666666666,11.775333333333332,11.595954822954823,0.7208990483098536,12.532333333333334,12.444777777777777,12.078555555555557,11.07638888888889,10.38711111111111,10.318944444444444,AK_JN,58.3810730625,-134.694368,1,58.4775619525,"Juneau Region, Alaska"
JN_AN,2021,16.093444444444444,7.387222222222222,11.937555555555555,12.094304347826087,2.186579115954151,15.523844444444446,14.858944444444445,13.659111111111109,10.720083333333335,9.347922222222222,8.291083333333333,AK_JN,58.3810730625,-134.694368,1,58.4775619525,"Juneau Region, Alaska"
JN_AN,2022,15.803555555555556,10.639,13.495055555555552,13.302160628019324,1.4265695334132042,15.541533333333334,15.037311111111112,14.213277777777778,11.875833333333333,11.058066666666667,10.851105555555556,AK_JN,58.3810730625,-134.694368,1,58.4775619525,"Juneau Region, Alaska"
JN_AN,2023,15.950111111111111,7.983222222222222,13.83688888888889,12.962935990338163,2.246355977983437,15.569455555555557,15.339588888888889,14.673277777777779,11.568805555555556,9.3536,8.844366666666666,AK_JN,58.3810730625,-134.694368,1,58.4775619525,"Juneau Region, Alaska"
JN_AN,2024,14.999888888888888,8.032777777777778,12.697,12.197047101449275,1.7381661634564807,14.53615,14.324622222222224,13.235499999999998,11.392861111111111,9.212533333333333,8.6893,AK_JN,58.3810730625,-134.694368,1,58.4775619525,"Juneau Region, Alaska"
JN_BC,2019,15.7025,9.368833333333331,13.186333333333334,12.832472826086956,1.5997917664933494,15.472699999999998,14.403866666666667,13.954999999999998,11.537416666666665,10.315216666666666,9.770083333333332,AK_JN,58.385519775,-134.649318925,1,58.4775619525,"Juneau Region, Alaska"
JN_BC,2020,12.784,10.095833333333331,11.780250000000002,11.608201086956521,0.7199011101443614,12.546991666666667,12.458216666666665,12.094249999999999,11.10675,10.411800000000001,10.326099999999999,AK_JN,58.385519775,-134.649318925,1,58.4775619525,"Juneau Region, Alaska"
JN_BC,2021,16.0995,7.3865,11.9195,12.088079710144928,2.186255658220301,15.527433333333333,14.82385,13.650708333333332,10.722791666666666,9.350449999999997,8.264683333333332,AK_JN,58.385519775,-134.649318925,1,58.4775619525,"Juneau Region, Alaska"
JN_BC,2022,15.798166666666669,10.607166666666666,13.48625,13.300949275362319,1.4309564286929009,15.568674999999999,15.043466666666669,14.186041666666666,11.89516666666667,11.058783333333334,10.857925,AK_JN,58.385519775,-134.649318925,1,58.4775619525,"Juneau Region, Alaska"
JN_BC,2023,15.938333333333333,7.949166666666667,13.86133333333333,12.947460144927536,2.2505577371911056,15.612433333333332,15.320566666666664,14.674375000000001,11.545375,9.337016666666663,8.819633333333332,AK_JN,58.385519775,-134.649318925,1,58.4775619525,"Juneau Region, Alaska"
JN_BC,2024,14.929333333333334,8.039333333333332,12.660333333333334,12.166083333333333,1.7347852594831863,14.509191666666666,14.340533333333331,13.215,11.297791666666665,9.194233333333333,8.678783333333334,AK_JN,58.385519775,-134.649318925,1,58.4775619525,"Juneau Region, Alaska"
JN_EC,2019,15.6295,9.1015,13.292,12.845516304347825,1.6420256293108415,15.1664,14.916700000000002,13.892374999999998,11.644125,10.427750000000001,9.60765,AK_JN,58.6628818,-134.91603005,1,58.4775619525,"Juneau Region, Alaska"
JN_EC,2020,12.814,9.9295,11.600249999999999,11.526103260869565,0.6276279368639569,12.298525,12.2437,12.011625,11.250749999999998,10.442799999999998,10.358325,AK_JN,58.6628818,-134.91603005,1,58.4775619525,"Juneau Region, Alaska"
JN_EC,2021,15.9345,7.551,12.091750000000001,12.025961956521739,2.2694096526660217,15.588000000000001,15.1803,13.9985,10.243875,9.2502,8.375024999999999,AK_JN,58.6628818,-134.91603005,1,58.4775619525,"Juneau Region, Alaska"
JN_EC,2022,16.331,10.0155,13.82675,13.620744565217391,1.5003841019108553,16.16635,15.483350000000002,14.434125,12.768249999999998,11.253800000000002,10.985700000000001,AK_JN,58.6628818,-134.91603005,1,58.4775619525,"Juneau Region, Alaska"
JN_EC,2023,16.353,8.525,13.98125,13.169146739130435,2.1423364460353165,15.934175,15.37945,14.64725,11.5615,9.79485,9.1837,AK_JN,58.6628818,-134.91603005,1,58.4775619525,"Juneau Region, Alaska"
JN_EC,2024,14.973,8.772499999999999,12.9435,12.407353260869565,1.5885102989874662,14.387025000000001,14.1318,13.457375,11.656375,9.6365,9.177,AK_JN,58.6628818,-134.91603005,1,58.4775619525,"Juneau Region, Alaska"
JN_FC,2019,15.675277777777778,9.402166666666666,13.102472222222222,12.801422101449274,1.5864045268754892,15.474036111111113,14.32911111111111,13.932041666666667,11.491166666666667,10.368255555555555,9.794177777777778,AK_JN,58.331876375,-134.60853895,1,58.4775619525,"Juneau Region, Alaska"
JN_FC,2020,12.778,10.145444444444443,11.764611111111112,11.619718559218558,0.7397377112652258,12.594083333333334,12.530833333333334,12.1665,11.034944444444443,10.40161111111111,10.337305555555556,AK_JN,58.331876375,-134.60853895,1,58.4775619525,"Juneau Region, Alaska"
