year,region_name,region_label,region_lat_name,sst_max,sst_min,sst_median,sst_mean,sst_sd,region_temp95,region_temp90,region_temp75,region_temp25,region_temp10,region_temp05,avg_region_lat
2019,AK_JN,"Juneau Region, Alaska",1,15.731222222222222,9.1015,13.208222222222222,12.835065609903381,1.6084275413032878,15.390919444444444,14.636199999999999,13.934718749999998,11.598749999999999,10.269155555555555,9.687665972222222,58.477487718044465
2022,AK_JN,"Juneau Region, Alaska",1,16.331,10.0155,13.637,13.400155646135266,1.4578146851173615,15.648277777777777,15.19485,14.289791666666668,12.103125,11.061824999999999,10.844708333333335,58.477487718044465
2021,AK_JN,"Juneau Region, Alaska",1,16.1045,7.3865,12.035625,12.067275513285024,2.2063028167227645,15.583356249999998,14.911925000000002,13.689041666666668,10.563583333333334,9.249325,8.013983333333332,58.477487718044465
2020,AK_JN,"Juneau Region, Alaska",1,12.818875,9.9295,11.7039375,11.57531256091618,0.6884972580799141,12.553902777777777,12.427333333333333,12.063875,11.165072916666666,10.399999999999999,10.325760416666666,58.477487718044465
2024,AK_JN,"Juneau Region, Alaska",1,14.999888888888888,7.968277777777777,12.74111111111111,12.256513013285023,1.6804478536514116,14.481819444444445,14.295608333333332,13.28740625,11.407083333333334,9.2436375,8.746141666666666,58.477487718044465
2023,AK_JN,"Juneau Region, Alaska",1,16.353,7.860055555555555,13.850666666666664,13.012337327523602,2.1984571533084836,15.719094444444444,15.345111111111112,14.645194444444444,11.559437500000001,9.469133333333334,8.9421625,58.477487718044465
2019,AK_SE,Southeast Alaska,2,15.529235294117647,9.875875,13.1865625,12.943224919786095,1.385464124867532,14.895441176470587,14.632776470588233,14.002676470588236,11.873529411764707,10.782176470588235,10.570352205882353,55.68241794531722
2022,AK_SE,Southeast Alaska,2,15.824529411764706,10.065117647058823,13.171117647058825,12.981302482949701,1.3298295066648618,15.175617647058823,14.61590625,13.890289522058822,12.125578124999999,11.024264705882352,10.8450625,55.68241794531722
2021,AK_SE,Southeast Alaska,2,15.267764705882351,9.104235294117649,13.392231617647058,12.877240222719523,1.469191486839571,14.673454044117646,14.289823529411763,13.9364375,11.903941176470589,10.571470588235293,9.495720588235294,55.68241794531722
2020,AK_SE,Southeast Alaska,2,15.022764705882352,9.578117647058823,13.109235294117648,12.59662797048167,1.369567120257842,14.521060661764706,14.125911764705883,13.59169669117647,11.419466911764705,10.4624375,10.202109375,55.68241794531722
2024,AK_SE,Southeast Alaska,2,15.229470588235294,8.80235294117647,12.38120036764706,12.197353061061381,1.5565400533827636,14.337645220588236,14.1694375,13.271779411764706,11.078854779411763,9.808452205882354,9.339233455882352,55.68241794531722
2023,AK_SE,Southeast Alaska,2,15.823764705882352,8.95470588235294,13.523235294117647,12.817903439364876,1.9087007855447833,15.141207720588234,14.96964705882353,14.180908088235295,11.503014705882354,9.684113970588236,9.315625,55.68241794531722
2022,BC_HG,"Haida Gwaii, British Columbia",3,17.7034375,9.28075,13.186375,13.267619905828678,1.983871122664607,16.487325,15.92029791666667,14.922145833333333,11.551710477941175,10.49546,10.020066666666667,52.92834357114743
2024,BC_HG,"Haida Gwaii, British Columbia",3,17.1045,9.59075,14.26529411764706,13.514357207818636,1.9785626156216405,15.969737499999997,15.597266666666666,15.08909375,11.900465073529412,10.358080000000001,9.944162132352941,52.92834357114743
2021,BC_HG,"Haida Gwaii, British Columbia",3,16.814055555555555,9.209411764705882,14.079777777777778,13.405082107744349,1.8036714679706456,15.493947083333332,15.205200000000001,14.4806875,12.660107638888888,10.109080833333332,9.9344325,52.92834357114743
2023,BC_HG,"Haida Gwaii, British Columbia",3,17.99677777777778,9.409411764705885,14.3328,13.911999462681083,1.7715706273776797,16.067335416666666,15.790226666666666,15.25059019607843,12.674687500000001,11.078782352941175,10.41230625,52.92834357114743
2020,BC_HG,"Haida Gwaii, British Columbia",3,15.285277777777775,9.952625,12.895589583333333,12.728723916595623,1.2923426414146697,14.613878125,14.428862500000001,13.7214375,11.614694444444446,10.86438,10.550042708333333,52.92834357114743
2019,BC_HG,"Haida Gwaii, British Columbia",3,16.4279375,10.069823529411764,14.181555555555557,13.790745655116137,1.5070828058231802,15.923995833333333,15.6452625,14.936975694444445,12.566333333333334,11.512044444444445,11.077197916666666,52.92834357114743
2020,BC_CC,Central Coast British Columbia,4,16.897944444444445,11.064466666666666,14.612694444444447,14.27197953904992,1.4024200375127085,16.430291666666665,15.972422222222223,15.259309027777778,13.119663194444444,12.17459111111111,12.00291,51.678228045582756
2024,BC_CC,Central Coast British Columbia,4,16.891833333333334,10.057333333333332,14.827466666666666,14.30922600070579,1.6552015934018072,16.41397222222222,16.205,15.573159722222222,13.130972222222223,11.762222222222222,11.1218,51.678228045582756
2019,BC_CC,Central Coast British Columbia,4,17.030333333333335,11.559388888888888,14.863824999999999,14.445950191223833,1.4276654689114359,16.418093333333335,16.111786666666667,15.452513888888888,13.061082291666667,12.20805625,11.87517,51.678228045582756
2023,BC_CC,Central Coast British Columbia,4,16.97988888888889,10.579555555555554,14.453333333333331,14.362070412381527,1.5826110134078444,16.486416666666667,16.3369375,15.772333333333334,13.059750000000001,12.0694,11.596966666666667,51.678228045582756
2022,BC_CC,Central Coast British Columbia,4,17.16572222222222,10.102266666666669,14.657644444444443,14.161327017914653,1.959055655795337,16.537728125,16.403393333333334,15.773887499999999,12.700328125,11.020026249999999,10.782936666666666,51.678228045582756
