scientific_name,JN_EC,JN_SB,JN_BC,JN_AN,JN_FC,SE_GK,SE_NS,SE_SH,SE_NF,SE_RF,SE_NZ,HG_DSD,HG_MDD,HG_TK,HG_DN,HG_SB,HG_RI,HG_BH,HG_LIE,HG_ROI,CC_FAN3,CC_GOG1,CC_KIS2,CC_PBA,CC_CHP,CC_KIS1,NV_KC,NV_PC,NV_KB,NV_BI,NV_JL,IC_OPB,IC_MAB,IC_SHS,IC_GOW,IC_SMB,PP_EB,PP_S,PP_M,PP_O,PP_MI,PP_K,PP_SI,PP_MB,PP_HI,PP_JJ,PP_G,PP_C,PP_E,PS_BB,PS_BP,PS_NC,PS_BH,PS_IC,PS_YB,PS_SP,PS_SH,PS_BV,PS_FB,PS_FJ,WB_DP,WB_WP,WB_SB,WB_WR,WB_SP,WB_CO,WB_BC,WB_ST,WB_PA,YB_F,YB_SBN,YB_IF,YB_SBS,CB_BV,CB_FP,HB_EB,HB_SR,HB_KS,NC_B,NC_WP,NC_D,NC_NC,NC_BL,NC_E,NC_DE,NC_PS,NC_PM,NC_RB,MB_CB,MB_TP,LA_MS,LA_JD,LA_AB,LA_SP,LA_UN,LA_LN,SD_SDL,SD_CV,SD_KF,SD_FI,SD_SI,SD_CI
Tarletonbeania crenularis,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range
Chauliodus macouni,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range
Prosopium cylindraceum,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Radulinus asprellus,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Sebastolobus altivelis,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range
Lethotremus muticus,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Sebastes elongatus,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range
Elassodiscus caudatus,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Lipariscus nanus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Myoxocephalus stelleri,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Lycodapus mandibularis,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range
Lycodapus parviceps,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Liparis catharus,North of range,North of range,North of range,North of range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Liparis ochotensis,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Pleuronectes quadrituberculatus,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Bathyraja abyssicola,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range
Triglops forficatus,North of range,North of range,North of range,North of range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Bothrocara brunneum,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range
Coregonus sardinella,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Leuroglossus stilbius,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range
Pseudobathylagus milleri,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range
Nautichthys pribilovius,North of range,North of range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Liparis rutteri,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Gymnocanthus herzensteini,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Lycodes diapterus,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range
Bathymaster leurolepis,North of range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Bathymaster,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Lycodes cortezianus,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range
Xeneretmus latifrons,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range
Sebastes diploproa,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range
Paricelinus hopliticus,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Lycenchelys jordani,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range
Sebastes helvomaculatus,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range
Nansenia candida,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range
Cololabis saira,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range
Bathyraja maculata,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Coryphaenoides acrolepis,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range
