region_label,model,type,aic,random_variance,residual_variance,term,intercept,std_error,df,t_value,pr_t
"Willapa Bay, Washington",75th percentile SST,LME,40.291,0.167,0.284,Intercept,11.379,2.257,17.758,5.04,0
"Willapa Bay, Washington",75th percentile SST,LME,40.291,0.167,0.284,75th percentile SST,0.052,0.136,17.757,0.38,0.708
"Willapa Bay, Washington",Mean SST,LME,40.122,0.145,0.296,Intercept,12.613,2.427,17.649,5.196,0
"Willapa Bay, Washington",Mean SST,LME,40.122,0.145,0.296,Mean SST,-0.025,0.155,17.671,-0.16,0.875
"Willapa Bay, Washington",Upwelling,LME,35.106,0.106,0.296,Intercept,9.609,2.424,17.939,3.964,0.001
"Willapa Bay, Washington",Upwelling,LME,35.106,0.106,0.296,BEUTI index,1.185,1.101,17.843,1.076,0.296
"Yaquina Bay, Oregon",95th percentile SST,LME,11.726,0.04,0.109,Intercept,16.523,4.727,9.926,3.496,0.006
"Yaquina Bay, Oregon",95th percentile SST,LME,11.726,0.04,0.109,95th percentile SST,-0.329,0.31,9.861,-1.059,0.315
"Yaquina Bay, Oregon",75th percentile SST,LME,10.219,0.044,0.095,Intercept,18.973,4.626,9.625,4.102,0.002
"Yaquina Bay, Oregon",75th percentile SST,LME,10.219,0.044,0.095,75th percentile SST,-0.542,0.336,9.564,-1.612,0.139
"Yaquina Bay, Oregon",Mean SST,LME,12.355,0.039,0.116,Intercept,14.423,3.839,10.055,3.757,0.004
"Yaquina Bay, Oregon",Mean SST,LME,12.355,0.039,0.116,Mean SST,-0.226,0.299,9.97,-0.757,0.467
"Yaquina Bay, Oregon",Upwelling,LME,14.83,0.037,0.12,Intercept,11.841,0.634,9.348,18.679,0
"Yaquina Bay, Oregon",Upwelling,LME,14.83,0.037,0.12,BEUTI index,-0.053,0.102,8.762,-0.518,0.617
"Coos Bay, Oregon",95th percentile SST,LME,8.21,0.542,0.274,Intercept,-0.484,7.065,2.079,-0.069,0.951
"Coos Bay, Oregon",95th percentile SST,LME,8.21,0.542,0.274,95th percentile SST,0.817,0.467,2.055,1.749,0.219
"Coos Bay, Oregon",75th percentile SST,LME,10.932,0.727,0.614,Intercept,10.98,6.847,2.108,1.604,0.244
"Coos Bay, Oregon",75th percentile SST,LME,10.932,0.727,0.614,75th percentile SST,0.063,0.494,2.06,0.127,0.91
"Coos Bay, Oregon",Mean SST,LME,8.512,0.755,0.474,Intercept,0.589,13.919,2.01,0.042,0.97
"Coos Bay, Oregon",Mean SST,LME,8.512,0.755,0.474,Mean SST,0.895,1.106,2,0.809,0.503
"Coos Bay, Oregon",Upwelling,LME,10.199,0.499,0.266,Intercept,15.062,1.86,2.452,8.1,0.008
"Coos Bay, Oregon",Upwelling,LME,10.199,0.499,0.266,BEUTI index,-0.29,0.159,2.078,-1.819,0.206
"Humboldt Bay, California",95th percentile SST,LME,2.017,0.148,0.114,Intercept,49.068,18.336,0.026,2.676,0.913
"Humboldt Bay, California",95th percentile SST,LME,2.017,0.148,0.114,95th percentile SST,-2.482,1.247,0.026,-1.991,0.92
"Humboldt Bay, California",75th percentile SST,LME,0.153,0.088,0,Intercept,44.504,0.198,2,224.956,0
"Humboldt Bay, California",75th percentile SST,LME,0.153,0.088,0,75th percentile SST,-2.36,0.007,2,-321.58,0
"Humboldt Bay, California",Mean SST,LME,-0.024,0.224,0,Intercept,96.576,0.534,2,180.94,0
"Humboldt Bay, California",Mean SST,LME,-0.024,0.224,0,Mean SST,-6.569,0.036,2,-183.148,0
"Humboldt Bay, California",Upwelling,LME,4.294,0.075,0.072,Intercept,1.087,4.11,2.057,0.264,0.816
"Humboldt Bay, California",Upwelling,LME,4.294,0.075,0.072,BEUTI index,0.492,0.176,2.058,2.796,0.104
"Bodega Bay, California",95th percentile SST,BLME,48.019,1.315,1.45,Intercept,36.569,11.229,NA,3.257,NA
"Bodega Bay, California",95th percentile SST,BLME,48.019,1.315,1.45,95th percentile SST,-1.45,0.689,NA,-2.103,NA
"Bodega Bay, California",75th percentile SST,BLME,49.809,0.914,2,Intercept,21.715,11.476,NA,1.892,NA
"Bodega Bay, California",75th percentile SST,BLME,49.809,0.914,2,75th percentile SST,-0.595,0.783,NA,-0.76,NA
"Bodega Bay, California",Mean SST,BLME,48.473,0.849,1.729,Intercept,27.13,8.997,NA,3.015,NA
"Bodega Bay, California",Mean SST,BLME,48.473,0.849,1.729,Mean SST,-1.026,0.652,NA,-1.573,NA
"Bodega Bay, California",Upwelling,BLME,48.477,1.301,1.057,Intercept,8.94,1.381,NA,6.474,NA
"Bodega Bay, California",Upwelling,BLME,48.477,1.301,1.057,BEUTI index,0.397,0.126,NA,3.157,NA
"San Francisco Bay, California",95th percentile SST,BLME,39.205,4.062,1.905,Intercept,28.951,14.884,NA,1.945,NA
"San Francisco Bay, California",95th percentile SST,BLME,39.205,4.062,1.905,95th percentile SST,-0.776,0.782,NA,-0.992,NA
"San Francisco Bay, California",75th percentile SST,LME,34.894,0.068,1.605,Intercept,27.107,6.671,8.076,4.064,0.004
"San Francisco Bay, California",75th percentile SST,LME,34.894,0.068,1.605,75th percentile SST,-0.731,0.379,8.083,-1.929,0.09
"San Francisco Bay, California",Mean SST,BLME,37.718,2.931,1.322,Intercept,24.711,4.633,NA,5.334,NA
"San Francisco Bay, California",Mean SST,BLME,37.718,2.931,1.322,Mean SST,-0.636,0.274,NA,-2.32,NA
"San Francisco Bay, California",Upwelling,BLME,41.777,2.658,2.126,Intercept,14.133,2.476,NA,5.707,NA
"San Francisco Bay, California",Upwelling,BLME,41.777,2.658,2.126,BEUTI index,0.012,0.237,NA,0.049,NA
"Morro Bay, California",95th percentile SST,LME,2.339,0.066,0.035,Intercept,14.866,1.86,4.141,7.994,0.001
"Morro Bay, California",95th percentile SST,LME,2.339,0.066,0.035,95th percentile SST,-0.025,0.115,4.056,-0.214,0.841
"Morro Bay, California",75th percentile SST,LME,2.38,0.068,0.033,Intercept,15.258,1.51,4.137,10.102,0
"Morro Bay, California",75th percentile SST,LME,2.38,0.068,0.033,75th percentile SST,-0.052,0.098,4.004,-0.527,0.626
"Morro Bay, California",Mean SST,LME,1.663,0.067,0.032,Intercept,15.702,1.893,4.089,8.296,0.001
"Morro Bay, California",Mean SST,LME,1.663,0.067,0.032,Mean SST,-0.084,0.129,4.004,-0.655,0.548
"Morro Bay, California",Upwelling,LME,4.843,0.067,0.035,Intercept,14.416,0.307,3.897,46.899,0
"Morro Bay, California",Upwelling,LME,4.843,0.067,0.035,BEUTI index,0.007,0.033,4.016,0.226,0.832
"Los Angeles, California",95th percentile SST,LME,56.232,0.385,0.786,Intercept,2.505,8.18,15.073,0.306,0.764
"Los Angeles, California",95th percentile SST,LME,56.232,0.385,0.786,95th percentile SST,0.751,0.374,15.072,2.006,0.063
"Los Angeles, California",75th percentile SST,LME,56.417,0.466,0.802,Intercept,-1.177,11.3,16.255,-0.104,0.918
"Los Angeles, California",75th percentile SST,LME,56.417,0.466,0.802,75th percentile SST,0.964,0.543,16.252,1.777,0.094
"Los Angeles, California",Mean SST,LME,58.769,0.165,1.09,Intercept,20.028,11.84,16.367,1.691,0.11
"Los Angeles, California",Mean SST,LME,58.769,0.165,1.09,Mean SST,-0.056,0.595,16.4,-0.093,0.927
"Los Angeles, California",Upwelling,LME,58.201,0.183,1.075,Intercept,18.694,0.941,15.767,19.864,0
"Los Angeles, California",Upwelling,LME,58.201,0.183,1.075,BEUTI index,0.193,0.767,12.759,0.252,0.805
"San Diego region, California",95th percentile SST,LME,64.949,0.451,2.943,Intercept,38.727,17.626,12.167,2.197,0.048
"San Diego region, California",95th percentile SST,LME,64.949,0.451,2.943,95th percentile SST,-0.859,0.772,12.114,-1.113,0.287
"San Diego region, California",75th percentile SST,LME,64.744,0.537,2.939,Intercept,40.778,21.328,12.352,1.912,0.079
"San Diego region, California",75th percentile SST,LME,64.744,0.537,2.939,75th percentile SST,-0.983,0.968,12.309,-1.016,0.329
"San Diego region, California",Mean SST,LME,65.693,0.552,2.966,Intercept,31.836,13.721,12.475,2.32,0.038
"San Diego region, California",Mean SST,LME,65.693,0.552,2.966,Mean SST,-0.61,0.658,12.403,-0.927,0.372
"San Diego region, California",Upwelling,LME,61.995,0.29,3.279,Intercept,17.73,3.683,12.883,4.814,0
"San Diego region, California",Upwelling,LME,61.995,0.29,3.279,BEUTI index,2.157,5.75,12.663,0.375,0.714
