site_code,grpvar,term,grp,condval,condsd,region_name,model
1,site_code,(Intercept),MB_CB,-0.172,0.086,CA_MB,75th
2,site_code,(Intercept),MB_TP,0.172,0.097,CA_MB,75th
1,site_code,(Intercept),LA_AB,-0.616,0.412,CA_LA,75th
2,site_code,(Intercept),LA_JD,0.401,0.374,CA_LA,75th
3,site_code,(Intercept),LA_LN,-0.257,0.374,CA_LA,75th
4,site_code,(Intercept),LA_MS,0.847,0.412,CA_LA,75th
5,site_code,(Intercept),LA_SP,-0.389,0.464,CA_LA,75th
6,site_code,(Intercept),LA_UN,0.013,0.374,CA_LA,75th
1,site_code,(Intercept),SD_CI,-0.242,0.627,CA_SD,75th
2,site_code,(Intercept),SD_CV,0.047,0.557,CA_SD,75th
3,site_code,(Intercept),SD_FI,0.126,0.589,CA_SD,75th
4,site_code,(Intercept),SD_KF,0.301,0.627,CA_SD,75th
5,site_code,(Intercept),SD_SDL,0.464,0.627,CA_SD,75th
6,site_code,(Intercept),SD_SI,-0.697,0.557,CA_SD,75th
