term,intercept,std_error,df,t_value,pr_t,region_name,aic,random_variance,residual_variance,singular,model
(Intercept),11.423,3.53,14.754,3.236,0.006,AK_JN,37.366,0.04,0.327,FALSE,95th percentile SST
site_temp95,-0.044,0.229,14.702,-0.19,0.852,AK_JN,37.366,0.04,0.327,FALSE,95th percentile SST
(Intercept),21.324,8.546,NA,2.495,NA,AK_SE,16.558,0.099,0.212,TRUE,95th percentile SST
site_temp95,-0.691,0.579,NA,-1.193,NA,AK_SE,16.558,0.099,0.212,TRUE,95th percentile SST
(Intercept),1.182,3.702,NA,0.319,NA,BC_HG,58.267,0.097,0.411,TRUE,95th percentile SST
site_temp95,0.645,0.233,NA,2.772,NA,BC_HG,58.267,0.097,0.411,TRUE,95th percentile SST
(Intercept),26.261,32.257,16.949,0.814,0.427,BC_CC,53.195,0.582,0.894,FALSE,95th percentile SST
site_temp95,-0.931,1.957,16.941,-0.476,0.64,BC_CC,53.195,0.582,0.894,FALSE,95th percentile SST
(Intercept),22.029,4.064,13.06,5.42,0,BC_NV,31.782,0.133,0.253,FALSE,95th percentile SST
site_temp95,-0.721,0.266,13.016,-2.71,0.018,BC_NV,31.782,0.133,0.253,FALSE,95th percentile SST
(Intercept),12.095,5.052,16.487,2.394,0.029,BC_IC,31.125,0.084,0.213,FALSE,95th percentile SST
site_temp95,-0.013,0.264,16.503,-0.047,0.963,BC_IC,31.125,0.084,0.213,FALSE,95th percentile SST
(Intercept),18.058,5.579,18.385,3.237,0.004,BC_PP,46.024,0.12,0.247,FALSE,95th percentile SST
site_temp95,-0.413,0.336,18.245,-1.227,0.235,BC_PP,46.024,0.12,0.247,FALSE,95th percentile SST
(Intercept),11.419,0.997,29.624,11.456,0,WA_PS,42.083,0.044,0.155,FALSE,95th percentile SST
site_temp95,0.017,0.061,29.946,0.273,0.787,WA_PS,42.083,0.044,0.155,FALSE,95th percentile SST
(Intercept),10.986,2.27,17.874,4.84,0,WA_WB,40.289,0.18,0.275,FALSE,95th percentile SST
site_temp95,0.07,0.127,17.9,0.554,0.587,WA_WB,40.289,0.18,0.275,FALSE,95th percentile SST
(Intercept),16.523,4.727,9.926,3.496,0.006,OR_YB,11.726,0.04,0.109,FALSE,95th percentile SST
site_temp95,-0.329,0.31,9.861,-1.059,0.315,OR_YB,11.726,0.04,0.109,FALSE,95th percentile SST
(Intercept),-0.484,7.065,2.079,-0.069,0.951,OR_CB,8.21,0.542,0.274,FALSE,95th percentile SST
site_temp95,0.817,0.467,2.055,1.749,0.219,OR_CB,8.21,0.542,0.274,FALSE,95th percentile SST
(Intercept),49.068,18.336,0.026,2.676,0.913,CA_HB,2.017,0.148,0.114,FALSE,95th percentile SST
site_temp95,-2.482,1.247,0.026,-1.991,0.92,CA_HB,2.017,0.148,0.114,FALSE,95th percentile SST
(Intercept),36.569,11.229,NA,3.257,NA,CA_NC,48.019,1.315,1.45,TRUE,95th percentile SST
site_temp95,-1.45,0.689,NA,-2.103,NA,CA_NC,48.019,1.315,1.45,TRUE,95th percentile SST
(Intercept),28.951,14.884,NA,1.945,NA,CA_SF,39.205,4.062,1.905,TRUE,95th percentile SST
site_temp95,-0.776,0.782,NA,-0.992,NA,CA_SF,39.205,4.062,1.905,TRUE,95th percentile SST
(Intercept),14.866,1.86,4.141,7.994,0.001,CA_MB,2.339,0.066,0.035,FALSE,95th percentile SST
site_temp95,-0.025,0.115,4.056,-0.214,0.841,CA_MB,2.339,0.066,0.035,FALSE,95th percentile SST
(Intercept),2.505,8.18,15.073,0.306,0.764,CA_LA,56.232,0.385,0.786,FALSE,95th percentile SST
site_temp95,0.751,0.374,15.072,2.006,0.063,CA_LA,56.232,0.385,0.786,FALSE,95th percentile SST
(Intercept),38.727,17.626,12.167,2.197,0.048,CA_SD,64.949,0.451,2.943,FALSE,95th percentile SST
site_temp95,-0.859,0.772,12.114,-1.113,0.287,CA_SD,64.949,0.451,2.943,FALSE,95th percentile SST
