Box name,min_long,min_lat,max_long,max_lat
ca_sd,-117.4,32.4,-117,33
ca_la,-119,33.4,-117.5,34.1
ca_mb,-121,35.2,-120.7,35.5
ca_nc,-123.5,37,-121.75,38.5
ca_humboldt,-124.5,40.5,-124,41
or_yb,-125,43,-123.6,45
wa_wb,-124.6,46,-123.5,47.3
bc_puget,-127,48,-122,50.5
bc_ccnv,-129.5,52.2,-126,49.5
bc_hg,-136,51.2,-129,54.5
ak,-139,55.5,-131,59.5
