term,intercept,std_error,df,t_value,pr_t,region_name,aic,random_variance,residual_variance,singular,model
(Intercept),7.233,4.146,14.751,1.745,0.102,AK_JN,43.835,0.075,0.462,FALSE,75th percentile SST
site_temp75,0.238,0.296,14.692,0.803,0.435,AK_JN,43.835,0.075,0.462,FALSE,75th percentile SST
(Intercept),5.509,37.895,NA,0.145,NA,AK_SE,18.329,0.239,0.3,TRUE,75th percentile SST
site_temp75,0.402,2.726,NA,0.148,NA,AK_SE,18.329,0.239,0.3,TRUE,75th percentile SST
(Intercept),-8.442,5.292,NA,-1.595,NA,BC_HG,60.345,0.137,0.443,TRUE,75th percentile SST
site_temp75,1.323,0.353,NA,3.749,NA,BC_HG,60.345,0.137,0.443,TRUE,75th percentile SST
(Intercept),16.201,12.551,13.877,1.291,0.218,BC_CC,56.376,0.431,1.042,FALSE,75th percentile SST
site_temp75,-0.344,0.803,13.948,-0.428,0.675,BC_CC,56.376,0.431,1.042,FALSE,75th percentile SST
(Intercept),14.885,2.585,13.8,5.759,0,BC_NV,33.76,0.069,0.303,FALSE,75th percentile SST
site_temp75,-0.293,0.184,13.745,-1.593,0.134,BC_NV,33.76,0.069,0.303,FALSE,75th percentile SST
(Intercept),12.449,5.457,NA,2.281,NA,BC_IC,43.023,0.133,0.415,TRUE,75th percentile SST
site_temp75,-0.04,0.305,NA,-0.129,NA,BC_IC,43.023,0.133,0.415,TRUE,75th percentile SST
(Intercept),10.789,4.225,NA,2.554,NA,BC_PP,55.505,0.084,0.411,TRUE,75th percentile SST
site_temp75,0.018,0.276,NA,0.063,NA,BC_PP,55.505,0.084,0.411,TRUE,75th percentile SST
(Intercept),11.318,0.935,29.91,12.104,0,WA_PS,50.605,0.122,0.175,FALSE,75th percentile SST
site_temp75,0.026,0.061,29.331,0.421,0.677,WA_PS,50.605,0.122,0.175,FALSE,75th percentile SST
(Intercept),11.785,2.302,17.647,5.119,0,WA_WB,41.055,0.279,0.253,FALSE,75th percentile SST
site_temp75,0.031,0.138,17.619,0.224,0.825,WA_WB,41.055,0.279,0.253,FALSE,75th percentile SST
(Intercept),16.717,4.358,9.274,3.835,0.004,OR_YB,10.501,0.108,0.08,FALSE,75th percentile SST
site_temp75,-0.378,0.316,9.21,-1.196,0.261,OR_YB,10.501,0.108,0.08,FALSE,75th percentile SST
(Intercept),11.616,6.714,2.119,1.73,0.219,OR_CB,10.567,0.476,0.595,FALSE,75th percentile SST
site_temp75,0.037,0.485,2.079,0.076,0.946,OR_CB,10.567,0.476,0.595,FALSE,75th percentile SST
(Intercept),22.523,0.167,NA,134.689,NA,CA_HB,-0.009,0.084,0,TRUE,75th percentile SST
site_temp75,-0.734,0,NA,-3606239.409,NA,CA_HB,-0.009,0.084,0,TRUE,75th percentile SST
(Intercept),27.546,12.29,NA,2.241,NA,CA_NC,49.175,0.698,2.037,TRUE,75th percentile SST
site_temp75,-1.011,0.851,NA,-1.188,NA,CA_NC,49.175,0.698,2.037,TRUE,75th percentile SST
(Intercept),28.719,6.329,NA,4.537,NA,CA_SF,36.479,1.978,1.318,TRUE,75th percentile SST
site_temp75,-0.819,0.358,NA,-2.289,NA,CA_SF,36.479,1.978,1.318,TRUE,75th percentile SST
(Intercept),10.965,1.457,4.298,7.524,0.001,CA_MB,2.748,0.153,0.03,FALSE,75th percentile SST
site_temp75,0.211,0.094,4.002,2.258,0.087,CA_MB,2.748,0.153,0.03,FALSE,75th percentile SST
(Intercept),-4.97,15.615,15.622,-0.318,0.754,CA_LA,58.204,0.371,0.975,FALSE,75th percentile SST
site_temp75,1.141,0.748,15.632,1.525,0.147,CA_LA,58.204,0.371,0.975,FALSE,75th percentile SST
(Intercept),48.255,22.407,12.024,2.154,0.052,CA_SD,68.715,0.708,3.782,FALSE,75th percentile SST
site_temp75,-1.329,1.02,11.987,-1.303,0.217,CA_SD,68.715,0.708,3.782,FALSE,75th percentile SST
