term,intercept,std_error,df,t_value,pr_t,region_name,aic,sd,singular,model
(Intercept),11.661,1.365,3,8.544,0.003,OR_CB,8.994,0.321,FALSE,upwelling
beuti_year,0.013,0.1,2.015,0.135,0.905,OR_CB,8.994,0.321,FALSE,upwelling
(Intercept),3.724,4.501,2.054,0.827,0.493,CA_HB,5.766,0.28,FALSE,upwelling
beuti_year,0.391,0.192,2.054,2.035,0.175,CA_HB,5.766,0.28,FALSE,upwelling
(Intercept),20.105,0.876,15.987,22.953,0,CA_LA,55.015,0.979,FALSE,upwelling
beuti_year,-0.197,0.721,13.813,-0.273,0.789,CA_LA,55.015,0.979,FALSE,upwelling
(Intercept),16.319,0.342,3.374,47.684,0,CA_MB,5.591,0.196,FALSE,upwelling
beuti_year,-0.191,0.034,4.013,-5.56,0.005,CA_MB,5.591,0.196,FALSE,upwelling
(Intercept),5.836,2.305,4.422,2.532,0.059,CA_NC,39.134,1.322,FALSE,upwelling
beuti_year,0.743,0.213,3.562,3.482,0.031,CA_NC,39.134,1.322,FALSE,upwelling
(Intercept),15.2,1.919,11.835,7.92,0,CA_SF,61.628,1.844,FALSE,upwelling
beuti_year,-0.075,0.175,9.891,-0.429,0.677,CA_SF,61.628,1.844,FALSE,upwelling
(Intercept),17.566,3.958,12.287,4.438,0.001,CA_SD,65.254,1.907,FALSE,upwelling
beuti_year,3.708,6.163,11.873,0.602,0.559,CA_SD,65.254,1.907,FALSE,upwelling
(Intercept),8.761,2.82,17.87,3.107,0.006,WA_WB,40.635,0.619,FALSE,upwelling
beuti_year,1.498,1.279,17.721,1.171,0.257,WA_WB,40.635,0.619,FALSE,upwelling
(Intercept),11.832,1.095,9.959,10.811,0,OR_YB,28.627,0.579,FALSE,upwelling
beuti_year,-0.094,0.171,8.513,-0.551,0.596,OR_YB,28.627,0.579,FALSE,upwelling
