site_code,grpvar,term,grp,condval,condsd,region_name,model
1,site_code,(Intercept),CB_BV,0.757,0.183,OR_CB,upwelling
2,site_code,(Intercept),CB_FP,-0.757,0.222,OR_CB,upwelling
1,site_code,(Intercept),HB_EB,0.065,0.242,CA_HB,upwelling
2,site_code,(Intercept),HB_KS,0.376,0.242,CA_HB,upwelling
3,site_code,(Intercept),HB_SR,-0.441,0.183,CA_HB,upwelling
1,site_code,(Intercept),LA_AB,-0.148,0.24,CA_LA,upwelling
2,site_code,(Intercept),LA_JD,0.138,0.233,CA_LA,upwelling
3,site_code,(Intercept),LA_LN,-0.078,0.233,CA_LA,upwelling
4,site_code,(Intercept),LA_MS,0.101,0.24,CA_LA,upwelling
5,site_code,(Intercept),LA_SP,-0.077,0.248,CA_LA,upwelling
6,site_code,(Intercept),LA_UN,0.064,0.233,CA_LA,upwelling
1,site_code,(Intercept),MB_CB,-0.212,0.093,CA_MB,upwelling
2,site_code,(Intercept),MB_TP,0.212,0.106,CA_MB,upwelling
1,site_code,(Intercept),NC_B,-1.039,1.029,CA_NC,upwelling
2,site_code,(Intercept),NC_BL,-1.478,0.812,CA_NC,upwelling
3,site_code,(Intercept),NC_D,-0.449,1.029,CA_NC,upwelling
4,site_code,(Intercept),NC_DE,-0.32,0.692,CA_NC,upwelling
5,site_code,(Intercept),NC_E,1.456,1.029,CA_NC,upwelling
6,site_code,(Intercept),NC_NC,1.831,0.812,CA_NC,upwelling
1,site_code,(Intercept),NC_PM,0.237,0.577,CA_SF,upwelling
2,site_code,(Intercept),NC_PS,-0.133,0.577,CA_SF,upwelling
3,site_code,(Intercept),NC_RB,0.464,0.607,CA_SF,upwelling
4,site_code,(Intercept),NC_WP,-0.568,0.577,CA_SF,upwelling
1,site_code,(Intercept),SD_CI,-0.275,0.807,CA_SD,upwelling
2,site_code,(Intercept),SD_CV,-0.08,0.692,CA_SD,upwelling
3,site_code,(Intercept),SD_FI,0.15,0.743,CA_SD,upwelling
4,site_code,(Intercept),SD_KF,0.34,0.807,CA_SD,upwelling
5,site_code,(Intercept),SD_SDL,0.908,0.807,CA_SD,upwelling
6,site_code,(Intercept),SD_SI,-1.042,0.692,CA_SD,upwelling
1,site_code,(Intercept),WB_BC,0.212,0.273,WA_WB,upwelling
2,site_code,(Intercept),WB_CO,0.189,0.35,WA_WB,upwelling
3,site_code,(Intercept),WB_DP,-0.214,0.25,WA_WB,upwelling
4,site_code,(Intercept),WB_PA,-0.507,0.25,WA_WB,upwelling
5,site_code,(Intercept),WB_SB,0.176,0.305,WA_WB,upwelling
6,site_code,(Intercept),WB_SP,0.222,0.35,WA_WB,upwelling
7,site_code,(Intercept),WB_ST,-0.212,0.35,WA_WB,upwelling
8,site_code,(Intercept),WB_WP,0.316,0.35,WA_WB,upwelling
9,site_code,(Intercept),WB_WR,-0.182,0.273,WA_WB,upwelling
1,site_code,(Intercept),YB_F,0.083,0.428,OR_YB,upwelling
2,site_code,(Intercept),YB_IF,-0.717,0.263,OR_YB,upwelling
3,site_code,(Intercept),YB_SBN,0.618,0.263,OR_YB,upwelling
4,site_code,(Intercept),YB_SBS,0.016,0.263,OR_YB,upwelling
