region_label,grp,condval,condsd,model
"North Vancouver Island, British Columbia",NV_JL,-0.206,0.238,mean
"North Vancouver Island, British Columbia",NV_KB,0.106,0.214,mean
"North Vancouver Island, British Columbia",NV_KC,-0.545,0.214,mean
"North Vancouver Island, British Columbia",NV_PC,0.41,0.238,mean
"Inner Coast, British Columbia",IC_GOW,-0.11,0.249,95th
"Inner Coast, British Columbia",IC_MAB,0.327,0.249,95th
"Inner Coast, British Columbia",IC_OPB,0.082,0.249,95th
"Inner Coast, British Columbia",IC_SHS,-0.118,0.249,95th
"Inner Coast, British Columbia",IC_SMB,-0.18,0.249,95th
"Inner Coast, British Columbia",IC_GOW,-0.16,0.239,75th
"Inner Coast, British Columbia",IC_MAB,0.213,0.239,75th
"Inner Coast, British Columbia",IC_OPB,0.009,0.239,75th
"Inner Coast, British Columbia",IC_SHS,-0.035,0.239,75th
"Inner Coast, British Columbia",IC_SMB,-0.028,0.239,75th
"Inner Coast, British Columbia",IC_GOW,-0.168,0.232,mean
"Inner Coast, British Columbia",IC_MAB,0.184,0.232,mean
"Inner Coast, British Columbia",IC_OPB,-0.009,0.232,mean
"Inner Coast, British Columbia",IC_SHS,-0.015,0.232,mean
"Inner Coast, British Columbia",IC_SMB,0.008,0.232,mean
"Pacific Rim Park, British Columbia",PP_C,-0.069,0.214,95th
"Pacific Rim Park, British Columbia",PP_E,-0.12,0.229,95th
"Pacific Rim Park, British Columbia",PP_EB,0.152,0.27,95th
"Pacific Rim Park, British Columbia",PP_G,0.074,0.27,95th
"Pacific Rim Park, British Columbia",PP_HI,0.045,0.214,95th
"Pacific Rim Park, British Columbia",PP_JJ,0.202,0.214,95th
"Pacific Rim Park, British Columbia",PP_K,-0.168,0.27,95th
"Pacific Rim Park, British Columbia",PP_M,0.14,0.27,95th
"Pacific Rim Park, British Columbia",PP_MB,0.079,0.229,95th
"Pacific Rim Park, British Columbia",PP_MI,-0.08,0.27,95th
"Pacific Rim Park, British Columbia",PP_O,-0.032,0.27,95th
"Pacific Rim Park, British Columbia",PP_S,-0.083,0.27,95th
"Pacific Rim Park, British Columbia",PP_SI,-0.142,0.27,95th
"Pacific Rim Park, British Columbia",PP_C,-0.095,0.218,75th
