term,intercept,std_error,df,t_value,pr_t,region_name,aic,sd,singular,model
(Intercept),6.835,3.323,14.57,2.057,0.058,AK_JN,36.413,0.536,FALSE,95th
site_temp95,0.212,0.216,14.496,0.984,0.341,AK_JN,36.413,0.536,FALSE,95th
(Intercept),25.491,9.036,NA,2.821,NA,AK_SE,17.989,0.481,TRUE,95th
site_temp95,-0.983,0.612,NA,-1.606,NA,AK_SE,17.989,0.481,TRUE,95th
(Intercept),-2.269,4.318,NA,-0.526,NA,BC_HG,66.085,0.753,TRUE,95th
site_temp95,0.856,0.272,NA,3.151,NA,BC_HG,66.085,0.753,TRUE,95th
(Intercept),22.908,34.804,16.875,0.658,0.519,BC_CC,55.848,1.041,FALSE,95th
site_temp95,-0.732,2.111,16.863,-0.347,0.733,BC_CC,55.848,1.041,FALSE,95th
(Intercept),18.253,3.899,12.791,4.682,0,BC_NV,31.711,0.479,FALSE,95th
site_temp95,-0.478,0.255,12.718,-1.873,0.084,BC_NV,31.711,0.479,FALSE,95th
(Intercept),5.414,6.856,NA,0.79,NA,BC_IC,41.857,0.613,TRUE,95th
site_temp95,0.332,0.358,NA,0.929,NA,BC_IC,41.857,0.613,TRUE,95th
(Intercept),7.57,6.669,NA,1.135,NA,BC_PP,52.801,0.609,TRUE,95th
site_temp95,0.226,0.402,NA,0.563,NA,BC_PP,52.801,0.609,TRUE,95th
(Intercept),11.139,1.171,29.938,9.509,0,WA_PS,51.528,0.427,FALSE,95th
site_temp95,0.034,0.072,29.568,0.475,0.638,WA_PS,51.528,0.427,FALSE,95th
(Intercept),11.698,2.613,17.437,4.477,0,WA_WB,45.502,0.589,FALSE,95th
site_temp95,0.035,0.146,17.477,0.242,0.812,WA_WB,45.502,0.589,FALSE,95th
(Intercept),16.872,4.937,9.712,3.418,0.007,OR_YB,13.682,0.337,FALSE,95th
site_temp95,-0.35,0.324,9.643,-1.081,0.306,OR_YB,13.682,0.337,FALSE,95th
(Intercept),4.599,5.899,2.099,0.78,0.514,OR_CB,6.73,0.439,FALSE,95th
site_temp95,0.505,0.391,2.085,1.292,0.321,OR_CB,6.73,0.439,FALSE,95th
(Intercept),23.044,0.156,2,147.449,0,CA_HB,-0.848,0.001,FALSE,95th
site_temp95,-0.719,0.003,2,-279.033,0,CA_HB,-0.848,0.001,FALSE,95th
(Intercept),39.441,19.926,NA,1.979,NA,CA_NC,36.343,1.475,TRUE,95th
site_temp95,-1.621,1.222,NA,-1.327,NA,CA_NC,36.343,1.475,TRUE,95th
(Intercept),24.976,10.942,NA,2.283,NA,CA_SF,59.651,1.501,TRUE,95th
site_temp95,-0.598,0.595,NA,-1.006,NA,CA_SF,59.651,1.501,TRUE,95th
(Intercept),11.364,2.573,4.16,4.416,0.011,CA_MB,5.899,0.258,FALSE,95th
site_temp95,0.176,0.159,4.04,1.108,0.329,CA_MB,5.899,0.258,FALSE,95th
(Intercept),11.233,10.086,16.481,1.114,0.281,CA_LA,62.254,1.125,FALSE,95th
site_temp95,0.39,0.462,16.508,0.845,0.41,CA_LA,62.254,1.125,FALSE,95th
(Intercept),48.141,22.456,11.626,2.144,0.054,CA_SD,72.971,2.168,FALSE,95th
site_temp95,-1.242,0.983,11.571,-1.264,0.231,CA_SD,72.971,2.168,FALSE,95th
