term,intercept,std_error,df,t_value,pr_t,region_name,aic,sd,singular,model
(Intercept),8.053,3.619,14.547,2.225,0.042,AK_JN,39.721,0.583,FALSE,95th
site_temp95,0.116,0.235,14.468,0.492,0.63,AK_JN,39.721,0.583,FALSE,95th
(Intercept),25.014,9.014,NA,2.775,NA,AK_SE,18.079,0.478,TRUE,95th
site_temp95,-0.95,0.61,NA,-1.556,NA,AK_SE,18.079,0.478,TRUE,95th
(Intercept),-4.03,4.905,NA,-0.822,NA,BC_HG,72.327,0.849,TRUE,95th
site_temp95,0.965,0.309,NA,3.128,NA,BC_HG,72.327,0.849,TRUE,95th
(Intercept),35.803,39.312,16.899,0.911,0.375,BC_CC,59.942,1.161,FALSE,95th
site_temp95,-1.517,2.385,16.887,-0.636,0.533,BC_CC,59.942,1.161,FALSE,95th
(Intercept),14.77,4.065,12.798,3.634,0.003,BC_NV,32.541,0.501,FALSE,95th
site_temp95,-0.256,0.266,12.735,-0.962,0.354,BC_NV,32.541,0.501,FALSE,95th
(Intercept),13.258,6.688,11.901,1.982,0.071,BC_IC,42.855,0.672,FALSE,95th
site_temp95,-0.092,0.349,11.915,-0.265,0.796,BC_IC,42.855,0.672,FALSE,95th
(Intercept),4.072,7.133,NA,0.571,NA,BC_PP,55.328,0.66,TRUE,95th
site_temp95,0.435,0.43,NA,1.01,NA,BC_PP,55.328,0.66,TRUE,95th
(Intercept),10.426,1.338,29.241,7.791,0,WA_PS,60.109,0.547,FALSE,95th
site_temp95,0.064,0.083,29.739,0.773,0.446,WA_PS,60.109,0.547,FALSE,95th
(Intercept),12.571,2.683,18,4.686,0,WA_WB,46.259,0.635,FALSE,95th
site_temp95,-0.029,0.15,17.998,-0.191,0.851,WA_WB,46.259,0.635,FALSE,95th
(Intercept),21.135,7.968,9.327,2.653,0.026,OR_YB,25.176,0.535,FALSE,95th
site_temp95,-0.647,0.522,9.252,-1.24,0.246,OR_YB,25.176,0.535,FALSE,95th
(Intercept),13.578,4.231,2.153,3.209,0.077,OR_CB,6.727,0.307,FALSE,95th
site_temp95,-0.117,0.276,2.01,-0.425,0.712,OR_CB,6.727,0.307,FALSE,95th
(Intercept),41.288,0.323,2,127.938,0,CA_HB,2.027,0.001,FALSE,95th
site_temp95,-1.932,0.006,2,-331.425,0,CA_HB,2.027,0.001,FALSE,95th
(Intercept),57.206,24.1,NA,2.374,NA,CA_NC,40.185,1.77,TRUE,95th
site_temp95,-2.691,1.478,NA,-1.821,NA,CA_NC,40.185,1.77,TRUE,95th
(Intercept),12.951,7.979,1.657,1.623,0.271,CA_SF,59.978,1.819,FALSE,95th
site_temp95,0.081,0.436,1.668,0.186,0.873,CA_SF,59.978,1.819,FALSE,95th
(Intercept),8.065,4.329,4.208,1.863,0.132,CA_MB,9.682,0.44,FALSE,95th
site_temp95,0.428,0.269,4.192,1.589,0.184,CA_MB,9.682,0.44,FALSE,95th
(Intercept),14.374,8.454,16.503,1.7,0.108,CA_LA,55.894,0.943,FALSE,95th
site_temp95,0.251,0.387,16.53,0.65,0.525,CA_LA,55.894,0.943,FALSE,95th
(Intercept),42.679,18.884,11.526,2.26,0.044,CA_SD,68.237,1.815,FALSE,95th
site_temp95,-0.996,0.826,11.472,-1.205,0.252,CA_SD,68.237,1.815,FALSE,95th
