term,intercept,std_error,df,t_value,pr_t,region_name,aic,sd,singular,model
(Intercept),14.448,2.734,14.414,5.285,0,AK_JN,37.403,0.53,FALSE,mean
sst_mean,-0.364,0.215,14.26,-1.694,0.112,AK_JN,37.403,0.53,FALSE,mean
(Intercept),38.88,23.791,NA,1.634,NA,AK_SE,17.048,0.497,TRUE,mean
sst_mean,-2.158,1.841,NA,-1.172,NA,AK_SE,17.048,0.497,TRUE,mean
(Intercept),-2.284,6.672,NA,-0.342,NA,BC_HG,75.941,0.923,TRUE,mean
sst_mean,1.002,0.492,NA,2.037,NA,BC_HG,75.941,0.923,TRUE,mean
(Intercept),21.975,33.43,15.661,0.657,0.52,BC_CC,60.3,1.178,FALSE,mean
sst_mean,-0.782,2.336,15.706,-0.335,0.742,BC_CC,60.3,1.178,FALSE,mean
(Intercept),14.837,3.692,13.251,4.019,0.001,BC_NV,32.168,0.497,FALSE,mean
sst_mean,-0.307,0.285,13.186,-1.078,0.3,BC_NV,32.168,0.497,FALSE,mean
(Intercept),13.088,4.699,13.562,2.785,0.015,BC_IC,43.2,0.674,FALSE,mean
sst_mean,-0.098,0.288,13.594,-0.341,0.738,BC_IC,43.2,0.674,FALSE,mean
(Intercept),10.227,8.674,NA,1.179,NA,BC_PP,55.71,0.674,TRUE,mean
sst_mean,0.073,0.606,NA,0.121,NA,BC_PP,55.71,0.674,TRUE,mean
(Intercept),10.605,1.571,24.761,6.749,0,WA_PS,59.765,0.549,FALSE,mean
sst_mean,0.062,0.114,25.779,0.543,0.592,WA_PS,59.765,0.549,FALSE,mean
(Intercept),12.759,2.851,17.772,4.476,0,WA_WB,45.843,0.631,FALSE,mean
sst_mean,-0.045,0.182,17.793,-0.245,0.809,WA_WB,45.843,0.631,FALSE,mean
(Intercept),15.316,6.729,9.598,2.276,0.047,OR_YB,26.322,0.572,FALSE,mean
sst_mean,-0.315,0.522,9.498,-0.603,0.561,OR_YB,26.322,0.572,FALSE,mean
(Intercept),19.737,3.456,2.205,5.71,0.023,OR_CB,3.072,0.167,FALSE,mean
sst_mean,-0.631,0.268,2,-2.354,0.143,OR_CB,3.072,0.167,FALSE,mean
(Intercept),66.788,0.366,2,182.685,0,CA_HB,0.282,0.002,FALSE,mean
sst_mean,-4.215,0.017,2,-252.951,0,CA_HB,0.282,0.002,FALSE,mean
(Intercept),34.037,20.561,NA,1.655,NA,CA_NC,40.692,2.053,TRUE,mean
sst_mean,-1.488,1.48,NA,-1.005,NA,CA_NC,40.692,2.053,TRUE,mean
(Intercept),23.624,4.963,12.995,4.76,0,CA_SF,58.979,1.494,FALSE,mean
sst_mean,-0.584,0.31,12.819,-1.886,0.082,CA_SF,58.979,1.494,FALSE,mean
(Intercept),4.23,2.906,4.049,1.456,0.218,CA_MB,5.255,0.275,FALSE,mean
sst_mean,0.732,0.198,4.009,3.694,0.021,CA_MB,5.255,0.275,FALSE,mean
(Intercept),27.844,10.76,16.907,2.588,0.019,CA_LA,55.079,0.957,FALSE,mean
sst_mean,-0.401,0.541,16.937,-0.741,0.469,CA_LA,55.079,0.957,FALSE,mean
(Intercept),36.435,14.627,11.733,2.491,0.029,CA_SD,68.84,1.801,FALSE,mean
sst_mean,-0.791,0.701,11.657,-1.128,0.282,CA_SD,68.84,1.801,FALSE,mean
