site_code,grpvar,term,grp,condval,condsd,region_name,model
1,site_code,(Intercept),JN_AN,0.177,0.201,AK_JN,mean
2,site_code,(Intercept),JN_BC,-0.181,0.201,AK_JN,mean
3,site_code,(Intercept),JN_EC,0.288,0.201,AK_JN,mean
4,site_code,(Intercept),JN_FC,-0.168,0.201,AK_JN,mean
5,site_code,(Intercept),JN_SB,-0.116,0.201,AK_JN,mean
1,site_code,(Intercept),SE_GK,0.251,0.273,AK_SE,mean
2,site_code,(Intercept),SE_NF,0.108,0.325,AK_SE,mean
3,site_code,(Intercept),SE_NS,-0.258,0.273,AK_SE,mean
4,site_code,(Intercept),SE_NZ,0.018,0.273,AK_SE,mean
5,site_code,(Intercept),SE_RF,-0.18,0.273,AK_SE,mean
6,site_code,(Intercept),SE_SH,0.061,0.273,AK_SE,mean
1,site_code,(Intercept),HG_BH,-0.152,0.304,BC_HG,mean
2,site_code,(Intercept),HG_DN,0.06,0.327,BC_HG,mean
3,site_code,(Intercept),HG_DSD,-0.052,0.304,BC_HG,mean
4,site_code,(Intercept),HG_LIE,-0.048,0.304,BC_HG,mean
5,site_code,(Intercept),HG_MDD,-0.199,0.304,BC_HG,mean
6,site_code,(Intercept),HG_RI,-0.045,0.285,BC_HG,mean
7,site_code,(Intercept),HG_ROI,-0.069,0.304,BC_HG,mean
8,site_code,(Intercept),HG_SB,0.116,0.285,BC_HG,mean
9,site_code,(Intercept),HG_TK,0.391,0.327,BC_HG,mean
1,site_code,(Intercept),CC_CHP,-0.96,0.468,BC_CC,mean
2,site_code,(Intercept),CC_FAN3,0.282,0.428,BC_CC,mean
3,site_code,(Intercept),CC_GOG1,-0.261,0.428,BC_CC,mean
4,site_code,(Intercept),CC_KIS1,0.526,0.604,BC_CC,mean
5,site_code,(Intercept),CC_KIS2,-0.005,0.468,BC_CC,mean
6,site_code,(Intercept),CC_PBA,0.419,0.428,BC_CC,mean
1,site_code,(Intercept),NV_BI,0.236,0.214,BC_NV,mean
2,site_code,(Intercept),NV_JL,-0.206,0.238,BC_NV,mean
3,site_code,(Intercept),NV_KB,0.106,0.214,BC_NV,mean
4,site_code,(Intercept),NV_KC,-0.545,0.214,BC_NV,mean
5,site_code,(Intercept),NV_PC,0.41,0.238,BC_NV,mean
1,site_code,(Intercept),IC_GOW,-0.168,0.232,BC_IC,mean
2,site_code,(Intercept),IC_MAB,0.184,0.232,BC_IC,mean
3,site_code,(Intercept),IC_OPB,-0.009,0.232,BC_IC,mean
4,site_code,(Intercept),IC_SHS,-0.015,0.232,BC_IC,mean
5,site_code,(Intercept),IC_SMB,0.008,0.232,BC_IC,mean
1,site_code,(Intercept),PP_C,-0.097,0.219,BC_PP,mean
2,site_code,(Intercept),PP_E,-0.158,0.234,BC_PP,mean
3,site_code,(Intercept),PP_EB,0.164,0.279,BC_PP,mean
4,site_code,(Intercept),PP_G,0.075,0.279,BC_PP,mean
5,site_code,(Intercept),PP_HI,0.055,0.219,BC_PP,mean
6,site_code,(Intercept),PP_JJ,0.206,0.219,BC_PP,mean
7,site_code,(Intercept),PP_K,-0.173,0.279,BC_PP,mean
8,site_code,(Intercept),PP_M,0.155,0.279,BC_PP,mean
9,site_code,(Intercept),PP_MB,0.096,0.234,BC_PP,mean
10,site_code,(Intercept),PP_MI,-0.081,0.279,BC_PP,mean
11,site_code,(Intercept),PP_O,-0.03,0.279,BC_PP,mean
12,site_code,(Intercept),PP_S,-0.079,0.279,BC_PP,mean
13,site_code,(Intercept),PP_SI,-0.135,0.279,BC_PP,mean
1,site_code,(Intercept),PS_BB,0.111,0.231,WA_PS,mean
2,site_code,(Intercept),PS_BH,0.481,0.203,WA_PS,mean
3,site_code,(Intercept),PS_BP,-0.201,0.274,WA_PS,mean
4,site_code,(Intercept),PS_BV,-0.213,0.183,WA_PS,mean
5,site_code,(Intercept),PS_FB,-0.125,0.183,WA_PS,mean
6,site_code,(Intercept),PS_FJ,0.475,0.183,WA_PS,mean
7,site_code,(Intercept),PS_IC,0.154,0.183,WA_PS,mean
8,site_code,(Intercept),PS_NC,-0.15,0.183,WA_PS,mean
9,site_code,(Intercept),PS_SH,0.003,0.183,WA_PS,mean
10,site_code,(Intercept),PS_SP,-0.341,0.274,WA_PS,mean
11,site_code,(Intercept),PS_YB,-0.194,0.274,WA_PS,mean
1,site_code,(Intercept),WB_BC,0.233,0.283,WA_WB,mean
2,site_code,(Intercept),WB_CO,0.119,0.379,WA_WB,mean
3,site_code,(Intercept),WB_DP,-0.295,0.256,WA_WB,mean
4,site_code,(Intercept),WB_PA,-0.533,0.256,WA_WB,mean
5,site_code,(Intercept),WB_SB,0.076,0.321,WA_WB,mean
6,site_code,(Intercept),WB_SP,0.278,0.379,WA_WB,mean
7,site_code,(Intercept),WB_ST,0.182,0.379,WA_WB,mean
8,site_code,(Intercept),WB_WP,0.43,0.379,WA_WB,mean
9,site_code,(Intercept),WB_WR,-0.49,0.283,WA_WB,mean
1,site_code,(Intercept),YB_F,0.02,0.231,OR_YB,mean
2,site_code,(Intercept),YB_IF,-0.277,0.15,OR_YB,mean
3,site_code,(Intercept),YB_SBN,0.337,0.15,OR_YB,mean
4,site_code,(Intercept),YB_SBS,-0.081,0.15,OR_YB,mean
1,site_code,(Intercept),CB_BV,0.332,0.265,OR_CB,mean
2,site_code,(Intercept),CB_FP,-0.332,0.308,OR_CB,mean
1,site_code,(Intercept),HB_EB,-0.136,0.001,CA_HB,mean
2,site_code,(Intercept),HB_KS,0.287,0.001,CA_HB,mean
3,site_code,(Intercept),HB_SR,-0.151,0,CA_HB,mean
1,site_code,(Intercept),NC_B,-0.694,0.983,CA_NC,mean
2,site_code,(Intercept),NC_BL,-0.043,0.839,CA_NC,mean
3,site_code,(Intercept),NC_D,-0.315,0.983,CA_NC,mean
4,site_code,(Intercept),NC_DE,0.063,0.744,CA_NC,mean
5,site_code,(Intercept),NC_E,0.662,0.983,CA_NC,mean
6,site_code,(Intercept),NC_NC,0.327,0.839,CA_NC,mean
1,site_code,(Intercept),NC_PM,1.034,0.644,CA_SF,mean
2,site_code,(Intercept),NC_PS,0.435,0.644,CA_SF,mean
3,site_code,(Intercept),NC_RB,0.322,0.72,CA_SF,mean
4,site_code,(Intercept),NC_WP,-1.792,0.644,CA_SF,mean
1,site_code,(Intercept),MB_CB,-0.279,0.112,CA_MB,mean
2,site_code,(Intercept),MB_TP,0.279,0.127,CA_MB,mean
1,site_code,(Intercept),LA_AB,-0.237,0.312,CA_LA,mean
2,site_code,(Intercept),LA_JD,0.203,0.301,CA_LA,mean
3,site_code,(Intercept),LA_LN,-0.032,0.301,CA_LA,mean
4,site_code,(Intercept),LA_MS,0.116,0.312,CA_LA,mean
5,site_code,(Intercept),LA_SP,-0.147,0.324,CA_LA,mean
6,site_code,(Intercept),LA_UN,0.096,0.301,CA_LA,mean
1,site_code,(Intercept),SD_CI,-0.448,0.979,CA_SD,mean
2,site_code,(Intercept),SD_CV,-0.234,0.823,CA_SD,mean
3,site_code,(Intercept),SD_FI,0.172,0.891,CA_SD,mean
4,site_code,(Intercept),SD_KF,0.618,0.979,CA_SD,mean
5,site_code,(Intercept),SD_SDL,1.222,0.979,CA_SD,mean
6,site_code,(Intercept),SD_SI,-1.33,0.823,CA_SD,mean
