site_code,grpvar,term,grp,condval,condsd,region_name,model
1,site_code,(Intercept),JN_AN,0.182,0.194,AK_JN,95th
2,site_code,(Intercept),JN_BC,-0.165,0.194,AK_JN,95th
3,site_code,(Intercept),JN_EC,0.257,0.194,AK_JN,95th
4,site_code,(Intercept),JN_FC,-0.146,0.194,AK_JN,95th
5,site_code,(Intercept),JN_SB,-0.128,0.194,AK_JN,95th
1,site_code,(Intercept),SE_GK,0.279,0.252,AK_SE,95th
2,site_code,(Intercept),SE_NF,0.062,0.296,AK_SE,95th
3,site_code,(Intercept),SE_NS,-0.188,0.252,AK_SE,95th
4,site_code,(Intercept),SE_NZ,0.024,0.252,AK_SE,95th
5,site_code,(Intercept),SE_RF,-0.161,0.252,AK_SE,95th
6,site_code,(Intercept),SE_SH,-0.017,0.252,AK_SE,95th
1,site_code,(Intercept),HG_BH,-0.17,0.273,BC_HG,95th
2,site_code,(Intercept),HG_DN,0.035,0.293,BC_HG,95th
3,site_code,(Intercept),HG_DSD,0.028,0.273,BC_HG,95th
4,site_code,(Intercept),HG_LIE,-0.04,0.273,BC_HG,95th
5,site_code,(Intercept),HG_MDD,-0.112,0.273,BC_HG,95th
6,site_code,(Intercept),HG_RI,-0.07,0.257,BC_HG,95th
7,site_code,(Intercept),HG_ROI,-0.058,0.273,BC_HG,95th
8,site_code,(Intercept),HG_SB,0.038,0.257,BC_HG,95th
9,site_code,(Intercept),HG_TK,0.349,0.293,BC_HG,95th
1,site_code,(Intercept),CC_CHP,-1.02,0.47,BC_CC,95th
2,site_code,(Intercept),CC_FAN3,0.334,0.429,BC_CC,95th
3,site_code,(Intercept),CC_GOG1,-0.241,0.429,BC_CC,95th
4,site_code,(Intercept),CC_KIS1,0.461,0.612,BC_CC,95th
5,site_code,(Intercept),CC_KIS2,0.052,0.47,BC_CC,95th
6,site_code,(Intercept),CC_PBA,0.413,0.429,BC_CC,95th
1,site_code,(Intercept),NV_BI,0.223,0.212,BC_NV,95th
2,site_code,(Intercept),NV_JL,-0.184,0.236,BC_NV,95th
3,site_code,(Intercept),NV_KB,0.098,0.212,BC_NV,95th
4,site_code,(Intercept),NV_KC,-0.573,0.212,BC_NV,95th
5,site_code,(Intercept),NV_PC,0.437,0.236,BC_NV,95th
1,site_code,(Intercept),IC_GOW,-0.11,0.249,BC_IC,95th
2,site_code,(Intercept),IC_MAB,0.327,0.249,BC_IC,95th
3,site_code,(Intercept),IC_OPB,0.082,0.249,BC_IC,95th
4,site_code,(Intercept),IC_SHS,-0.118,0.249,BC_IC,95th
5,site_code,(Intercept),IC_SMB,-0.18,0.249,BC_IC,95th
1,site_code,(Intercept),PP_C,-0.069,0.214,BC_PP,95th
2,site_code,(Intercept),PP_E,-0.12,0.229,BC_PP,95th
3,site_code,(Intercept),PP_EB,0.152,0.27,BC_PP,95th
4,site_code,(Intercept),PP_G,0.074,0.27,BC_PP,95th
5,site_code,(Intercept),PP_HI,0.045,0.214,BC_PP,95th
6,site_code,(Intercept),PP_JJ,0.202,0.214,BC_PP,95th
7,site_code,(Intercept),PP_K,-0.168,0.27,BC_PP,95th
8,site_code,(Intercept),PP_M,0.14,0.27,BC_PP,95th
9,site_code,(Intercept),PP_MB,0.079,0.229,BC_PP,95th
10,site_code,(Intercept),PP_MI,-0.08,0.27,BC_PP,95th
11,site_code,(Intercept),PP_O,-0.032,0.27,BC_PP,95th
12,site_code,(Intercept),PP_S,-0.083,0.27,BC_PP,95th
13,site_code,(Intercept),PP_SI,-0.142,0.27,BC_PP,95th
1,site_code,(Intercept),PS_BB,0.122,0.23,WA_PS,95th
2,site_code,(Intercept),PS_BH,0.479,0.203,WA_PS,95th
3,site_code,(Intercept),PS_BP,-0.205,0.274,WA_PS,95th
4,site_code,(Intercept),PS_BV,-0.209,0.183,WA_PS,95th
5,site_code,(Intercept),PS_FB,-0.128,0.183,WA_PS,95th
6,site_code,(Intercept),PS_FJ,0.472,0.183,WA_PS,95th
7,site_code,(Intercept),PS_IC,0.154,0.183,WA_PS,95th
8,site_code,(Intercept),PS_NC,-0.144,0.183,WA_PS,95th
9,site_code,(Intercept),PS_SH,0.003,0.183,WA_PS,95th
10,site_code,(Intercept),PS_SP,-0.346,0.274,WA_PS,95th
11,site_code,(Intercept),PS_YB,-0.199,0.274,WA_PS,95th
1,site_code,(Intercept),WB_BC,0.166,0.287,WA_WB,95th
2,site_code,(Intercept),WB_CO,0.058,0.396,WA_WB,95th
3,site_code,(Intercept),WB_DP,-0.208,0.258,WA_WB,95th
4,site_code,(Intercept),WB_PA,-0.647,0.258,WA_WB,95th
5,site_code,(Intercept),WB_SB,0.112,0.329,WA_WB,95th
6,site_code,(Intercept),WB_SP,0.335,0.396,WA_WB,95th
7,site_code,(Intercept),WB_ST,0.218,0.396,WA_WB,95th
8,site_code,(Intercept),WB_WP,0.551,0.396,WA_WB,95th
9,site_code,(Intercept),WB_WR,-0.586,0.287,WA_WB,95th
1,site_code,(Intercept),YB_F,0.024,0.23,OR_YB,95th
2,site_code,(Intercept),YB_IF,-0.279,0.149,OR_YB,95th
3,site_code,(Intercept),YB_SBN,0.338,0.149,OR_YB,95th
4,site_code,(Intercept),YB_SBS,-0.082,0.149,OR_YB,95th
1,site_code,(Intercept),CB_BV,0.28,0.223,OR_CB,95th
2,site_code,(Intercept),CB_FP,-0.28,0.259,OR_CB,95th
1,site_code,(Intercept),HB_EB,-0.15,0.001,CA_HB,95th
2,site_code,(Intercept),HB_KS,0.303,0.001,CA_HB,95th
3,site_code,(Intercept),HB_SR,-0.152,0,CA_HB,95th
1,site_code,(Intercept),NC_B,-1.078,1.052,CA_NC,95th
2,site_code,(Intercept),NC_BL,-0.263,0.857,CA_NC,95th
3,site_code,(Intercept),NC_D,-0.548,1.052,CA_NC,95th
4,site_code,(Intercept),NC_DE,0.063,0.741,CA_NC,95th
5,site_code,(Intercept),NC_E,0.695,1.052,CA_NC,95th
6,site_code,(Intercept),NC_NC,1.13,0.857,CA_NC,95th
1,site_code,(Intercept),NC_PM,1.254,0.723,CA_SF,95th
2,site_code,(Intercept),NC_PS,0.61,0.723,CA_SF,95th
3,site_code,(Intercept),NC_RB,0.373,0.825,CA_SF,95th
4,site_code,(Intercept),NC_WP,-2.237,0.723,CA_SF,95th
1,site_code,(Intercept),MB_CB,-0.29,0.124,CA_MB,95th
2,site_code,(Intercept),MB_TP,0.29,0.141,CA_MB,95th
1,site_code,(Intercept),LA_AB,-0.349,0.374,CA_LA,95th
2,site_code,(Intercept),LA_JD,0.346,0.355,CA_LA,95th
3,site_code,(Intercept),LA_LN,-0.14,0.355,CA_LA,95th
4,site_code,(Intercept),LA_MS,0.25,0.374,CA_LA,95th
5,site_code,(Intercept),LA_SP,-0.168,0.397,CA_LA,95th
6,site_code,(Intercept),LA_UN,0.061,0.355,CA_LA,95th
1,site_code,(Intercept),SD_CI,-0.252,0.909,CA_SD,95th
2,site_code,(Intercept),SD_CV,-0.194,0.782,CA_SD,95th
3,site_code,(Intercept),SD_FI,0.112,0.839,CA_SD,95th
4,site_code,(Intercept),SD_KF,0.554,0.909,CA_SD,95th
5,site_code,(Intercept),SD_SDL,0.94,0.909,CA_SD,95th
6,site_code,(Intercept),SD_SI,-1.16,0.782,CA_SD,95th
