scientific_name,CHP_CC,FAN3_CC,GOG1_CC,KIS2_CC,PBA_CC,DSD_HG,LIE_HG,MD_HG,GOW_IC,MAB_IC,OPB_IC,SHS_IC,SMB_IC,AN_JN,BC_JN,EC_JN,FC_JN,SB_JN,JD_LA,LN_LA,MS_LA,UN_LA,CB_MB,TD_MB,A_NC,B_NC,D_NC,DE_NC,E_NC,F_NC,PM_NC,PS_NC,RB_NC,BI_NV,JL_NV,KC_NV,KH_NV,C_PP,E_PP,EB_PP,G_PP,HI_PP,JJ_PP,K_PP,M_PP,O_PP,S_PP,SI_PP,BH_PS,PB_PS,FB_PS,FJ_PS,IC_PS,NC_PS,SH_PS,CV_SD,FI_SD,SDL_SD,SI_SD,GK_SE,NF_SE,NS_SE,NZ_SE,RF_SE,SH_SE,BC_WB,CO_WB,DP_WB,PA_WB,SB_WB,WR_WB,BV_YB,FP_YB,IF_YB,SN_YB,SS_YB,RI_HG,SB_HG,MI_PP,MB_PP,J_PP,PC_NV,KI_NV,ROI_HG,BH_HG,F_YB,NC_NC,WP_NC,AB_LA,TP_MB,NA_WB,CV_CA,KF_CA,SD_CA,FI_CA,SI_CA,BV_PS,SP_PS,YB_PS,BP_PS
Ammodytes personatus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Hexagrammos decagrammus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,In range,North of range,In range,South of range,In range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Sebastes caurinus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Leptocottus armatus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,In range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range
Citharichthys stigmaeus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,In range,In range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range
Ronquilus jordani,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,In range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Sardinops sagax,In range,In range,In range,In range,In range,North of range,In range,North of range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range
Lumpenus sagitta,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,In range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,In range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Isopsetta isolepis,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Pholis laeta,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Nautichthys oculofasciatus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,North of range,North of range,North of range,In range,In range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,In range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Salmo salar,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,North of range,North of range,North of range,In range,In range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Scorpaenichthys marmoratus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range
Apodichthys flavidus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,In range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Oligocottus maculosus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,In range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Hemilepidotus hemilepidotus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,In range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Anoplarchus purpurescens,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,In range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Aulorhynchus flavidus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,In range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Artedius lateralis,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,North of range,In range,North of range,In range,In range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,In range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Embiotoca lateralis,In range,North of range,North of range,North of range,In range,North of range,North of range,North of range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,In range,In range,In range,In range,In range,North of range,North of range,In range,In range,In range,In range,In range,In range,South of range,In range,In range,In range,In range,In range,In range,In range,In range
Artedius fenestralis,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,In range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Gasterosteus aculeatus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Gobiesox maeandricus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,North of range,North of range,North of range,In range,In range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,In range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Engraulis mordax,In range,North of range,North of range,In range,In range,North of range,North of range,North of range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,In range,In range,In range,In range,In range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range
Cymatogaster aggregata,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,In range,In range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range
Syngnathus leptorhynchus,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,In range,In range,South of range,South of range,South of range,South of range,South of range,North of range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,North of range,North of range,In range,In range,In range,In range,In range,North of range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,In range,In range
Platichthys stellatus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,In range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
