"","sample_id","raw_f","raw_r","cutadapt_f","cutadapt_r","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percentraw_retainedby_cutadapt","percent_retained_aftermerge","percent_notsingleton","percent_notchimera","percent_retained_of_raw"
"135","PECOe635_S135_L001_R1_001",53217,53217,52482,52482,46396,46396,46396,46396,45888,45003,43379,43107,41098,98.618862393596,94.532339609484,99.3729684870559,95.3395040248683,77.2272018340004
"136","PECOe636_S136_L001_R1_001",8847,8847,8769,8769,6668,6668,6668,6668,6605,6571,6518,6518,6518,99.1183452017633,98.6828160484481,100,100,73.674691985984
"137","PECOe637_S137_L001_R1_001",80342,80342,80045,80045,61780,61780,61780,61780,61638,61022,57579,57579,57579,99.6303303378059,93.4147765988514,100,100,71.6673719847651
"138","PECOe638_S138_L001_R1_001",424,424,424,424,324,324,324,324,290,268,240,240,240,100,82.7586206896552,100,100,56.6037735849057
"139","PECOe639_S139_L001_R1_001",21758,21758,21755,21755,19735,19735,19735,19735,19636,19219,19164,19164,19164,99.9862119680118,97.5962517824404,100,100,88.0779483408402
"140","PECOe640_S140_L001_R1_001",491,491,411,411,225,225,225,225,172,166,163,163,163,83.7067209775967,94.7674418604651,100,100,33.1975560081466
"141","PECOe641_S141_L001_R1_001",142,142,142,142,82,82,82,82,40,34,34,34,34,100,85,100,100,23.943661971831
"142","PECOe642_S142_L001_R1_001",111380,111380,111344,111344,98015,98015,98015,98015,97272,96329,91710,91559,90320,99.9676782187107,94.2820133234641,99.8353505615527,98.6467742111644,81.0917579457712
"143","PECOe643_S143_L001_R1_001",124455,124455,124424,124424,111579,111579,111579,111579,111165,110236,105124,104468,101601,99.9750913984975,94.5657356182252,99.3759750390016,97.2556189455144,81.6367361696999
"144","PECOe644_S144_L001_R1_001",117,117,111,111,48,48,48,48,16,1,0,0,0,94.8717948717949,0,NA,NA,0
"145","PECOe645_S145_L001_R1_001",70798,70798,70778,70778,60697,60697,60697,60697,60504,60438,58864,58828,58828,99.9717506144241,97.2894354092291,99.9388420766513,100,83.0927427328456
"146","PECOe646_S146_L001_R1_001",128418,128418,128384,128384,116984,116984,116984,116984,116742,116744,112906,112749,112749,99.9735239608155,96.7141217385345,99.8609462738916,100,87.7984394711022
"147","PECOe647_S147_L001_R1_001",78,78,78,78,45,45,45,45,1,6,0,0,0,100,0,NA,NA,0
"148","PECOe648_S148_L001_R1_001",115800,115800,115767,115767,105010,105010,105010,105010,104719,104762,97929,97929,97929,99.9715025906736,93.5159808630716,100,100,84.5673575129534
"149","PECOe649_S149_L001_R1_001",79,79,79,79,34,34,34,34,14,3,0,0,0,100,0,NA,NA,0
"150","PECOe650_S150_L001_R1_001",630,630,630,630,454,454,454,454,398,397,397,397,397,100,99.748743718593,100,100,63.015873015873
"151","PECOe661_S151_L001_R1_001",143,143,107,107,62,62,62,62,14,1,0,0,0,74.8251748251748,0,NA,NA,0
"152","PECOe662_S152_L001_R1_001",111595,111595,111567,111567,102768,102768,102768,102768,102596,102277,99116,99116,99093,99.9749092701286,96.6080548949277,100,99.9767948666209,88.7969891124154
"153","PECOe663_S153_L001_R1_001",126147,126147,126063,126063,113297,113297,113297,113297,112886,109872,105815,105734,103467,99.9334110204761,93.7361586024839,99.9234513065255,97.8559403786861,82.02097552855
"154","PECOe664_S154_L001_R1_001",112449,112449,112310,112310,102976,102976,102976,102976,102831,102538,98373,98373,96106,99.876388407189,95.6647314525775,100,97.6955058806787,85.4663002783484
"155","PECOe665_S155_L001_R1_001",96478,96478,96163,96163,87732,87732,87732,87732,87507,85374,82517,82253,80386,99.6735006944588,94.2975990492189,99.6800659258092,97.7301739754173,83.3205497626402
"156","PECOe681_S156_L001_R1_001",528,528,489,489,255,255,255,255,183,180,163,163,163,92.6136363636364,89.0710382513661,100,100,30.8712121212121
"157","PECOe682_S157_L001_R1_001",103178,103178,102822,102822,93727,93727,93727,93727,93551,93394,89533,89142,89142,99.6549652057609,95.705016515056,99.5632895133638,100,86.396324797922
"158","PECOe683_S158_L001_R1_001",135855,135855,135817,135817,122749,122749,122749,122749,122344,121506,115520,114973,109407,99.972029001509,94.4222847054208,99.5264889196676,95.1588633853166,80.5321850502374
"159","PECOe684_S159_L001_R1_001",136483,136483,136437,136437,122634,122634,122634,122634,122227,121366,117015,116583,112161,99.9662961687536,95.7358030549715,99.6308165619792,96.2069941586681,82.1794655744671
"160","PECOe685_S160_L001_R1_001",112052,112052,112015,112015,101029,101029,101029,101029,100677,99758,95681,95346,91019,99.9669796166066,95.0375954786098,99.6498782412391,95.461791789902,81.2292507050298
"161","PECOe686_S161_L001_R1_001",569,569,349,349,139,139,139,139,78,69,67,67,67,61.335676625659,85.8974358974359,100,100,11.7750439367311
"162","PECOe687_S162_L001_R1_001",136493,136493,136461,136461,120244,120244,120244,120244,119678,119020,109599,109308,103882,99.9765555742785,91.5782349303966,99.7344866285276,95.0360449372416,76.1079322749152
"163","PECOe688_S163_L001_R1_001",122497,122497,122450,122450,107031,107031,107031,107031,106619,105732,99614,99472,95273,99.9616317134297,93.4298764760502,99.8574497560584,95.7787115972334,77.7757822640555
