"","sample_id","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percent_retained_aftermerge","percent_notsingleton","percent_notchimera"
"1","filtered20250430_EXBLANK-2022-21_S4_R1_001",3,3,3,3,3,3,3,3,3,100,100,100
"2","filtered20250430_EXBLANK-2022-23_S6_R1_001",160961,160961,160961,160961,160932,160849,157449,157363,157363,97.8357318619044,99.9453791386417,100
"3","filtered20250430_EXBLANK-2022-24_S7_R1_001",8380,8380,8380,8380,8380,8366,8366,8366,8366,99.8329355608592,100,100
"4","filtered20250430_EXBLANK-2022-25_S8_R1_001",85066,85066,85066,85066,85051,84986,83105,83105,83105,97.7119610586589,100,100
"5","filtered20250430_EXBLANK-2022-26_S368_R1_001",60738,60738,60738,60738,60728,60674,59982,59982,59982,98.7715715979449,100,100
"6","filtered20250430_EXBLANK-2022-27_S369_R1_001",5,5,5,5,5,5,5,5,5,100,100,100
"7","filtered20250430_EXBLANK-2022-28_S370_R1_001",99,99,99,99,99,99,99,99,99,100,100,100
"8","filtered20250430_EXBLANK-2022-29_S371_R1_001",11562,11562,11562,11562,11561,11541,11526,11519,11519,99.6972580226624,99.9392677424952,100
"9","filtered20250430_EXBLANK-2022-31_S373_R1_001",3481,3481,3481,3481,3480,3469,3372,3372,3372,96.8965517241379,100,100
"10","filtered20250430_EXBLANK-2022-33_S375_R1_001",431,431,431,431,431,429,429,429,429,99.5359628770302,100,100
"11","filtered20250430_EXBLANK-2022-34_S376_R1_001",3094,3094,3094,3094,3093,3088,3083,3083,3083,99.6766892984158,100,100
"12","filtered20250430_EXBLANK-2022-35_S377_R1_001",94698,94698,94698,94698,94675,94590,91675,91675,91675,96.831264853446,100,100
"13","filtered20250430_EXBLANK-2022-37_S379_R1_001",209901,209901,209901,209901,209863,209695,206849,206849,206849,98.563824971529,100,100
"14","filtered20250430_EXBLANK-2022-40_S382_R1_001",3,3,3,3,3,3,3,3,3,100,100,100
"15","filtered20250430_PECOe-456_S9_R1_001",47,47,47,47,47,47,47,47,47,100,100,100
"16","filtered20250430_PECOe-457_S10_R1_001",260383,260383,260383,260383,260195,259860,256381,256081,173502,98.5341762908588,99.8829866487766,67.7527813465271
"17","filtered20250430_PECOe-458_S11_R1_001",304953,304953,304953,304953,304846,304461,298484,298052,294353,97.9130446192504,99.8552686241139,98.7589413927771
"18","filtered20250430_PECOe-459_S12_R1_001",216293,216293,216293,216293,216240,215943,211624,211376,207058,97.8653348131705,99.8828110233244,97.9571947619408
"19","filtered20250430_PECOe-462_S15_R1_001",205524,205524,205524,205524,205442,205132,202351,201770,196477,98.4954391020337,99.7128751525814,97.3767160628438
"20","filtered20250430_PECOe-463_S16_R1_001",253322,253322,253322,253322,253246,252980,250244,249627,221334,98.814591345964,99.7534406419335,88.6658895071447
"21","filtered20250430_PECOe-464_S17_R1_001",436452,436452,436452,436452,436276,435816,429150,429055,421510,98.3666302982516,99.977863217989,98.2414841920034
"22","filtered20250430_PECOe-465_S18_R1_001",499356,499356,499356,499356,499258,498839,489278,489278,489278,98.0010335337641,100,100
"23","filtered20250430_PECOe-466_S19_R1_001",2156,2156,2156,2156,2156,2152,2152,2152,2152,99.8144712430427,100,100
"24","filtered20250430_PECOe-467_S20_R1_001",1,1,1,1,1,1,1,1,1,100,100,100
"25","filtered20250430_PECOe-468_S21_R1_001",456602,456602,456602,456602,456474,456202,449994,449994,449994,98.5804229813746,100,100
"26","filtered20250430_PECOe-469_S22_R1_001",1,1,1,1,1,1,1,1,1,100,100,100
"27","filtered20250430_PECOe-470_S23_R1_001",366520,366520,366520,366520,366425,365936,359493,358840,352817,98.1082076823361,99.818355294818,98.3215360606398
"28","filtered20250430_PECOe-472_S25_R1_001",10,10,10,10,10,10,10,10,10,100,100,100
"29","filtered20250430_PECOe-473_S26_R1_001",434096,434096,434096,434096,434021,433598,427878,427736,427736,98.584630697593,99.9668129700522,100
"30","filtered20250430_PECOe-474_S27_R1_001",15,15,15,15,7,11,7,7,7,100,100,100
"31","filtered20250430_PECOe-475_S28_R1_001",5,5,5,5,3,3,3,3,3,100,100,100
"32","filtered20250430_PECOe-476_S29_R1_001",4998,4998,4998,4998,4998,4989,4989,4985,4985,99.8199279711885,99.9198236119463,100
"33","filtered20250430_PECOe-478_S31_R1_001",372369,372369,372369,372369,372311,372092,366966,366966,366966,98.5643722586762,100,100
"34","filtered20250430_PECOe-479_S32_R1_001",319758,319758,319758,319758,319661,319181,312852,312416,305620,97.8699309581087,99.8606369785074,97.8246952780907
"35","filtered20250430_PECOe-480_S33_R1_001",263400,263400,263400,263400,263144,262828,258918,257444,242176,98.3940352050588,99.430707791656,94.0693898478893
"36","filtered20250430_PECOe-482_S35_R1_001",498646,498646,498646,498646,497438,497247,486505,472112,376381,97.8021381559109,97.0415514742911,79.7228200088115
"37","filtered20250430_PECOe-483_S36_R1_001",507817,507817,507817,507817,507502,506566,497894,495526,449448,98.1068054904217,99.5243967591495,90.7011942864754
"38","filtered20250430_PECOe-484_S37_R1_001",345504,345504,345504,345504,345041,344671,338302,333743,301449,98.0468987743486,98.6523875117499,90.323692182308
"39","filtered20250430_PECOe-485_S38_R1_001",350621,350621,350621,350621,350454,350013,343693,343542,326843,98.070788177621,99.9560654421242,95.1391678455618
"40","filtered20250430_PECOe-486_S39_R1_001",354107,354107,354107,354107,354021,353674,348801,348794,347244,98.5255111984882,99.9979931250197,99.5556116217595
"41","filtered20250430_PECOe-488_S41_R1_001",370751,370751,370751,370751,370325,369822,363616,361140,324022,98.1883480726389,99.3190618674646,89.7219914714515
"42","filtered20250430_PECOe-489_S42_R1_001",290745,290745,290745,290745,290589,290175,285089,282825,206291,98.1072924302021,99.2058620290506,72.9394501900469
"43","filtered20250430_PECOe-490_S43_R1_001",310061,310061,310061,310061,309648,309276,304478,297834,276525,98.330362217744,97.8179047418861,92.8453433791978
"44","filtered20250430_PECOe-491_S44_R1_001",1051,1051,1051,1051,1051,1047,1047,1047,1047,99.6194100856327,100,100
"45","filtered20250430_PECOe-493_S46_R1_001",2,2,2,2,2,2,0,0,0,0,NA,NA
"46","filtered20250430_PECOe-495_S48_R1_001",10,10,10,10,2,7,0,0,0,0,NA,NA
"47","filtered20250430_PECOe-496_S49_R1_001",1,1,1,1,1,1,0,0,0,0,NA,NA
"48","filtered20250430_PECOe-498_S51_R1_001",340933,340933,340933,340933,340716,340345,332794,327726,317065,97.6748963946513,98.4771360060578,96.7469776581657
"49","filtered20250430_PECOe-499_S52_R1_001",927833,927833,927833,927833,927565,926483,914247,910641,886794,98.564197657307,99.6055770486531,97.3812951536335
"50","filtered20250430_PECOe-500_S53_R1_001",435591,435591,435591,435591,435405,434971,428890,428582,419450,98.5036919649522,99.9281867145422,97.8692525584369
"51","filtered20250430_PECOe-501_S54_R1_001",158,158,158,158,158,158,158,158,158,100,100,100
"52","filtered20250430_PECOe-502_S55_R1_001",336318,336318,336318,336318,336199,335682,328041,327003,284678,97.5734609561599,99.6835761383486,87.056693669477
"53","filtered20250430_PECOe-503_S56_R1_001",118458,118458,118458,118458,118441,118332,116458,116458,116458,98.3257486849993,100,100
"54","filtered20250430_PECOe-504_S57_R1_001",19,19,19,19,9,5,5,5,5,55.5555555555556,100,100
"55","filtered20250430_PECOe-505_S58_R1_001",1,1,1,1,1,1,1,1,1,100,100,100
"56","filtered20250430_PECOe-506_S59_R1_001",477637,477637,477637,477637,477523,477158,470890,470093,469620,98.6109569591412,99.8307460341056,99.8993816117236
"57","filtered20250430_PECOe-507_S60_R1_001",428706,428706,428706,428706,428454,428019,419473,416898,390080,97.9038589906968,99.3861345068693,93.5672514619883
"58","filtered20250430_PECOe-508_S61_R1_001",453867,453867,453867,453867,453699,453179,440481,439516,402166,97.086614693883,99.7809213110214,91.5020158538028
"59","filtered20250430_PECOe-510_S63_R1_001",199,199,199,199,199,199,199,199,199,100,100,100
"60","filtered20250430_PECOe-511_S64_R1_001",88,88,88,88,67,67,67,67,67,100,100,100
"61","filtered20250430_PECOe-512_S65_R1_001",503623,503623,503623,503623,503425,503083,494218,494218,494218,98.171127774743,100,100
"62","filtered20250430_PECOe-514_S67_R1_001",3,3,3,3,1,1,0,0,0,0,NA,NA
"63","filtered20250430_PECOe-517_S70_R1_001",1,1,1,1,1,1,1,1,1,100,100,100
"64","filtered20250430_PECOe-519_S72_R1_001",295986,295986,295986,295986,295915,295549,286745,286663,281739,96.901137150871,99.9714031630891,98.2823036108601
"65","filtered20250430_PECOe-521_S74_R1_001",400,400,400,400,400,399,399,399,399,99.75,100,100
"66","filtered20250430_PECOe-522_S75_R1_001",470051,470051,470051,470051,469923,469525,464067,464053,457288,98.7538383948009,99.996983194237,98.5421923788878
"67","filtered20250430_PECOe-523_S76_R1_001",42,42,42,42,42,42,42,42,42,100,100,100
"68","filtered20250430_PECOe-524_S77_R1_001",351539,351539,351539,351539,351463,351211,346202,346202,346202,98.5031141258113,100,100
"69","filtered20250430_PECOe-526_S79_R1_001",1,1,1,1,1,1,0,0,0,0,NA,NA
"70","filtered20250430_PECOe-528_S81_R1_001",679,679,679,679,679,677,676,676,676,99.5581737849779,100,100
"71","filtered20250430_PECOe-529_S82_R1_001",459004,459004,459004,459004,458663,458346,451924,447215,405239,98.5307295334483,98.958010638957,90.6139105352012
"72","filtered20250430_PECOe-532_S85_R1_001",405050,405050,405050,405050,404710,404236,397023,395979,360965,98.100615255368,99.7370429420966,91.15761189356
"73","filtered20250430_PECOe-533_S86_R1_001",446320,446320,446320,446320,446112,445641,437892,437752,417756,98.1574133849795,99.9680286463329,95.4321168150003
"74","filtered20250430_PECOe-534_S87_R1_001",351420,351420,351420,351420,351246,350765,344404,343527,307711,98.0520774613803,99.7453571967805,89.5740363930637
"75","filtered20250430_PECOe-535_S88_R1_001",337669,337669,337669,337669,337504,337134,330900,330762,294085,98.0432824499858,99.9582955575703,88.911362248384
