motu_lulu,motu_swarm,asv,curated,lulu_rank
motu1,motu1,ASV1,parent,1
motu1,motu1,ASV98,parent,1
motu1,motu1,ASV117,parent,1
motu1,motu1,ASV129,parent,1
motu1,motu1,ASV165,parent,1
motu1,motu1,ASV170,parent,1
motu1,motu1,ASV189,parent,1
motu1,motu1,ASV198,parent,1
motu1,motu1,ASV209,parent,1
motu1,motu1,ASV218,parent,1
motu1,motu1,ASV222,parent,1
motu1,motu1,ASV224,parent,1
motu1,motu1,ASV237,parent,1
motu1,motu1,ASV250,parent,1
motu1,motu1,ASV264,parent,1
motu1,motu1,ASV266,parent,1
motu1,motu1,ASV282,parent,1
motu1,motu1,ASV285,parent,1
motu1,motu1,ASV289,parent,1
motu1,motu1,ASV304,parent,1
motu1,motu1,ASV331,parent,1
motu1,motu1,ASV337,parent,1
motu1,motu1,ASV343,parent,1
motu1,motu1,ASV355,parent,1
motu1,motu1,ASV361,parent,1
motu1,motu1,ASV364,parent,1
motu1,motu1,ASV369,parent,1
motu1,motu1,ASV370,parent,1
motu1,motu1,ASV374,parent,1
motu1,motu1,ASV398,parent,1
motu1,motu1,ASV407,parent,1
motu1,motu1,ASV412,parent,1
motu1,motu1,ASV440,parent,1
motu1,motu1,ASV445,parent,1
motu1,motu1,ASV448,parent,1
motu1,motu1,ASV449,parent,1
motu1,motu1,ASV453,parent,1
motu1,motu1,ASV455,parent,1
motu1,motu1,ASV456,parent,1
motu1,motu1,ASV475,parent,1
motu1,motu1,ASV486,parent,1
motu1,motu1,ASV513,parent,1
motu1,motu1,ASV520,parent,1
motu1,motu1,ASV534,parent,1
motu1,motu1,ASV553,parent,1
motu1,motu1,ASV559,parent,1
motu1,motu1,ASV561,parent,1
motu1,motu1,ASV567,parent,1
motu1,motu1,ASV608,parent,1
motu1,motu1,ASV639,parent,1
motu1,motu1,ASV642,parent,1
motu1,motu1,ASV663,parent,1
motu1,motu1,ASV668,parent,1
motu1,motu1,ASV674,parent,1
motu1,motu1,ASV683,parent,1
motu1,motu1,ASV690,parent,1
motu1,motu1,ASV719,parent,1
motu1,motu1,ASV723,parent,1
motu1,motu1,ASV739,parent,1
motu1,motu1,ASV761,parent,1
motu1,motu1,ASV766,parent,1
motu1,motu1,ASV774,parent,1
motu1,motu1,ASV782,parent,1
motu1,motu1,ASV788,parent,1
motu1,motu1,ASV799,parent,1
motu1,motu1,ASV803,parent,1
motu1,motu1,ASV805,parent,1
motu1,motu1,ASV817,parent,1
motu1,motu1,ASV820,parent,1
motu1,motu1,ASV822,parent,1
motu1,motu1,ASV835,parent,1
motu1,motu1,ASV845,parent,1
motu1,motu1,ASV848,parent,1
motu1,motu1,ASV852,parent,1
motu1,motu1,ASV861,parent,1
motu1,motu1,ASV869,parent,1
motu1,motu1,ASV881,parent,1
motu1,motu1,ASV889,parent,1
motu1,motu1,ASV905,parent,1
