motu_lulu,motu_swarm,asv,curated,lulu_rank
motu93,motu93,ASV129,parent,91
motu93,motu93,ASV1413,parent,91
motu93,motu93,ASV2803,parent,91
motu93,motu93,ASV129,parent,91
motu94,motu94,ASV130,parent,115
motu95,motu95,ASV131,parent,116
motu96,motu96,ASV133,parent,95
motu96,motu96,ASV1805,parent,95
motu96,motu96,ASV133,parent,95
motu97,motu97,ASV136,parent,83
motu97,motu97,ASV199,parent,83
motu97,motu97,ASV234,parent,83
motu97,motu97,ASV136,parent,83
motu98,motu98,ASV137,parent,96
motu98,motu98,ASV1099,parent,96
motu98,motu98,ASV137,parent,96
motu99,motu99,ASV138,parent,93
motu99,motu99,ASV325,parent,93
motu99,motu99,ASV2722,parent,93
motu99,motu99,ASV138,parent,93
motu100,motu100,ASV140,parent,97
motu100,motu100,ASV1804,parent,97
motu100,motu100,ASV2494,parent,97
motu100,motu100,ASV2765,parent,97
motu100,motu100,ASV3127,parent,97
motu100,motu100,ASV3207,parent,97
motu100,motu100,ASV3544,parent,97
motu100,motu100,ASV3614,parent,97
motu100,motu100,ASV3720,parent,97
motu100,motu100,ASV140,parent,97
motu101,motu101,ASV142,parent,98
motu101,motu101,ASV1114,parent,98
motu101,motu101,ASV1880,parent,98
motu101,motu101,ASV142,parent,98
motu102,motu102,ASV143,parent,99
motu102,motu102,ASV2311,parent,99
motu102,motu102,ASV143,parent,99
motu103,motu103,ASV145,parent,92
motu103,motu103,ASV232,parent,92
motu103,motu103,ASV1571,parent,92
motu103,motu103,ASV3088,parent,92
motu103,motu103,ASV3316,parent,92
motu103,motu103,ASV145,parent,92
motu104,motu104,ASV146,parent,88
motu104,motu104,ASV226,parent,88
motu104,motu104,ASV324,parent,88
motu104,motu104,ASV146,parent,88
motu105,motu105,ASV149,parent,102
motu105,motu105,ASV2113,parent,102
motu105,motu105,ASV2419,parent,102
motu105,motu105,ASV2943,parent,102
motu105,motu105,ASV149,parent,102
motu106,motu106,ASV150,parent,120
motu107,motu107,ASV151,parent,101
motu107,motu107,ASV613,parent,101
motu107,motu107,ASV2360,parent,101
motu107,motu107,ASV2735,parent,101
motu107,motu107,ASV3509,parent,101
motu107,motu107,ASV3514,parent,101
motu107,motu107,ASV151,parent,101
motu108,motu108,ASV152,parent,103
motu108,motu108,ASV2273,parent,103
motu108,motu108,ASV152,parent,103
motu109,motu109,ASV154,parent,121
motu110,motu110,ASV155,parent,100
motu110,motu110,ASV317,parent,100
motu110,motu110,ASV155,parent,100
motu111,motu111,ASV156,parent,94
motu111,motu111,ASV212,parent,94
motu111,motu111,ASV2921,parent,94
motu111,motu111,ASV3503,parent,94
motu111,motu111,ASV1129,parent,94
motu111,motu111,ASV156,parent,94
motu112,motu112,ASV159,parent,104
motu112,motu112,ASV4135,parent,104
motu112,motu112,ASV159,parent,104
motu113,motu113,ASV165,parent,105
motu113,motu113,ASV968,parent,105
motu113,motu113,ASV2898,parent,105
motu113,motu113,ASV3055,parent,105
motu113,motu113,ASV165,parent,105
motu114,motu114,ASV166,parent,123
motu115,motu115,ASV168,parent,86
motu115,motu115,ASV178,parent,86
motu115,motu115,ASV230,parent,86
motu115,motu115,ASV418,parent,86
motu115,motu115,ASV790,parent,86
motu115,motu115,ASV904,parent,86
motu115,motu115,ASV1376,parent,86
motu115,motu115,ASV2023,parent,86
motu115,motu115,ASV3346,parent,86
motu115,motu115,ASV3954,parent,86
motu115,motu115,ASV4264,parent,86
motu115,motu115,ASV2131,parent,86
motu115,motu115,ASV4195,parent,86
motu115,motu115,ASV168,parent,86
motu116,motu116,ASV175,parent,107
motu116,motu116,ASV994,parent,107
motu116,motu116,ASV2975,parent,107
motu116,motu116,ASV175,parent,107
motu117,motu117,ASV176,parent,126
motu118,motu118,ASV180,parent,108
motu118,motu118,ASV616,parent,108
motu118,motu118,ASV180,parent,108
motu119,motu119,ASV182,parent,127
motu120,motu120,ASV184,parent,128
motu121,motu121,ASV195,parent,132
motu122,motu122,ASV196,parent,106
motu122,motu122,ASV259,parent,106
motu122,motu122,ASV2004,parent,106
motu122,motu122,ASV196,parent,106
motu123,motu123,ASV197,parent,134
motu124,motu124,ASV202,parent,138
motu125,motu125,ASV204,parent,139
motu126,motu126,ASV210,parent,114
motu126,motu126,ASV297,parent,114
motu126,motu126,ASV210,parent,114
motu127,motu127,ASV211,parent,117
motu127,motu127,ASV561,parent,117
motu127,motu127,ASV955,parent,117
motu127,motu127,ASV2305,parent,117
motu127,motu127,ASV2883,parent,117
motu127,motu127,ASV3554,parent,117
motu127,motu127,ASV211,parent,117
motu128,motu128,ASV221,parent,143
motu129,motu129,ASV223,parent,119
motu129,motu129,ASV822,parent,119
motu129,motu129,ASV2334,parent,119
motu129,motu129,ASV2545,parent,119
motu129,motu129,ASV223,parent,119
motu130,motu130,ASV233,parent,122
motu130,motu130,ASV792,parent,122
motu130,motu130,ASV3666,parent,122
motu130,motu130,ASV3106,parent,122
motu130,motu130,ASV233,parent,122
motu131,motu131,ASV235,parent,150
motu132,motu132,ASV239,parent,151
motu133,motu133,ASV240,parent,152
motu134,motu134,ASV241,parent,125
motu134,motu134,ASV3846,parent,125
motu134,motu134,ASV3955,parent,125
motu134,motu134,ASV241,parent,125
motu135,motu135,ASV243,parent,153
motu136,motu136,ASV245,parent,124
motu136,motu136,ASV869,parent,124
motu136,motu136,ASV2471,parent,124
motu136,motu136,ASV3235,parent,124
motu136,motu136,ASV245,parent,124
motu137,motu137,ASV252,parent,118
motu137,motu137,ASV323,parent,118
motu137,motu137,ASV640,parent,118
motu137,motu137,ASV761,parent,118
motu137,motu137,ASV847,parent,118
motu137,motu137,ASV252,parent,118
motu138,motu138,ASV254,parent,129
motu138,motu138,ASV1238,parent,129
motu138,motu138,ASV1511,parent,129
motu138,motu138,ASV254,parent,129
motu139,motu139,ASV255,parent,130
motu139,motu139,ASV1425,parent,130
motu139,motu139,ASV255,parent,130
motu140,motu140,ASV256,parent,131
motu140,motu140,ASV1686,parent,131
motu140,motu140,ASV256,parent,131
motu141,motu141,ASV261,parent,133
motu141,motu141,ASV3584,parent,133
motu141,motu141,ASV261,parent,133
motu142,motu142,ASV262,parent,161
motu143,motu143,ASV266,parent,162
motu144,motu144,ASV270,parent,164
motu145,motu145,ASV274,parent,135
motu145,motu145,ASV935,parent,135
motu145,motu145,ASV274,parent,135
motu146,motu146,ASV279,parent,136
motu146,motu146,ASV1556,parent,136
motu146,motu146,ASV2451,parent,136
motu146,motu146,ASV2698,parent,136
motu146,motu146,ASV279,parent,136
motu147,motu147,ASV280,parent,165
motu148,motu148,ASV281,parent,167
motu149,motu149,ASV283,parent,168
motu150,motu150,ASV286,parent,140
motu150,motu150,ASV1535,parent,140
motu150,motu150,ASV3545,parent,140
motu150,motu150,ASV286,parent,140
motu151,motu151,ASV288,parent,174
motu152,motu152,ASV290,parent,176
motu153,motu153,ASV296,parent,178
motu154,motu154,ASV301,parent,137
motu154,motu154,ASV716,parent,137
motu154,motu154,ASV958,parent,137
motu154,motu154,ASV1536,parent,137
motu154,motu154,ASV301,parent,137
motu155,motu155,ASV302,parent,142
motu155,motu155,ASV776,parent,142
motu155,motu155,ASV2592,parent,142
motu155,motu155,ASV302,parent,142
motu156,motu156,ASV304,parent,180
motu157,motu157,ASV306,parent,183
motu158,motu158,ASV310,parent,146
motu158,motu158,ASV2049,parent,146
motu158,motu158,ASV3376,parent,146
motu158,motu158,ASV310,parent,146
motu159,motu159,ASV312,parent,145
motu159,motu159,ASV1054,parent,145
motu159,motu159,ASV312,parent,145
motu160,motu160,ASV327,parent,188
motu161,motu161,ASV329,parent,148
motu161,motu161,ASV1659,parent,148
motu161,motu161,ASV1909,parent,148
motu161,motu161,ASV2114,parent,148
motu161,motu161,ASV2611,parent,148
motu161,motu161,ASV4786,parent,148
motu161,motu161,ASV4592,parent,148
motu161,motu161,ASV329,parent,148
motu162,motu162,ASV333,parent,190
motu163,motu163,ASV334,parent,191
motu164,motu164,ASV336,parent,141
motu164,motu164,ASV356,parent,141
motu164,motu164,ASV336,parent,141
motu165,motu165,ASV343,parent,193
motu166,motu166,ASV344,parent,194
motu167,motu167,ASV346,parent,155
motu167,motu167,ASV3778,parent,155
motu167,motu167,ASV346,parent,155
motu168,motu168,ASV347,parent,144
motu168,motu168,ASV422,parent,144
motu168,motu168,ASV347,parent,144
motu169,motu169,ASV348,parent,196
motu170,motu170,ASV349,parent,147
motu170,motu170,ASV482,parent,147
motu170,motu170,ASV349,parent,147
motu171,motu171,ASV351,parent,154
motu171,motu171,ASV1411,parent,154
motu171,motu171,ASV351,parent,154
motu172,motu172,ASV359,parent,158
motu172,motu172,ASV3257,parent,158
motu172,motu172,ASV359,parent,158
motu173,motu173,ASV361,parent,157
motu173,motu173,ASV2340,parent,157
motu173,motu173,ASV2355,parent,157
motu173,motu173,ASV361,parent,157
motu174,motu174,ASV363,parent,156
motu174,motu174,ASV1631,parent,156
motu174,motu174,ASV2546,parent,156
motu174,motu174,ASV363,parent,156
motu175,motu175,ASV365,parent,159
motu175,motu175,ASV2581,parent,159
motu175,motu175,ASV2753,parent,159
motu175,motu175,ASV4178,parent,159
motu175,motu175,ASV365,parent,159
motu176,motu176,ASV368,parent,149
motu176,motu176,ASV457,parent,149
motu176,motu176,ASV368,parent,149
motu177,motu177,ASV369,parent,200
motu178,motu178,ASV370,parent,201
motu179,motu179,ASV372,parent,204
motu180,motu180,ASV376,parent,163
motu180,motu180,ASV3638,parent,163
motu180,motu180,ASV376,parent,163
motu181,motu181,ASV378,parent,205
motu182,motu182,ASV380,parent,160
motu182,motu182,ASV1071,parent,160
motu182,motu182,ASV4097,parent,160
motu182,motu182,ASV380,parent,160
motu183,motu183,ASV385,parent,206
motu184,motu184,ASV386,parent,207
motu185,motu185,ASV388,parent,208
motu186,motu186,ASV389,parent,209
motu187,motu187,ASV391,parent,210
motu188,motu188,ASV393,parent,212
motu189,motu189,ASV398,parent,215
motu190,motu190,ASV400,parent,172
motu190,motu190,ASV4684,parent,172
motu190,motu190,ASV400,parent,172
motu191,motu191,ASV401,parent,216
motu192,motu192,ASV402,parent,175
motu192,motu192,ASV3752,parent,175
motu192,motu192,ASV402,parent,175
motu193,motu193,ASV404,parent,217
motu194,motu194,ASV405,parent,171
motu194,motu194,ASV3199,parent,171
motu194,motu194,ASV3906,parent,171
motu194,motu194,ASV3978,parent,171
motu194,motu194,ASV4334,parent,171
motu194,motu194,ASV4384,parent,171
motu194,motu194,ASV405,parent,171
motu195,motu195,ASV406,parent,218
motu196,motu196,ASV415,parent,169
motu196,motu196,ASV1031,parent,169
