"","cutadapt_f","cutadapt_r"
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1017_S100_R1_001.fastq.gz",178535,222058
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1018_S101_R1_001.fastq.gz",222058,188212
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1019_S102_R1_001.fastq.gz",188212,177979
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1020_S103_R1_001.fastq.gz",177979,74029
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1021_S104_R1_001.fastq.gz",74029,206074
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1024_S107_R1_001.fastq.gz",206074,226720
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1025_S108_R1_001.fastq.gz",226720,142419
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1026_S109_R1_001.fastq.gz",142419,112958
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1027_S110_R1_001.fastq.gz",112958,143690
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1028_S111_R1_001.fastq.gz",143690,194399
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1029_S112_R1_001.fastq.gz",194399,25
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1030_S113_R1_001.fastq.gz",25,50582
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1031_S114_R1_001.fastq.gz",50582,168417
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1032_S115_R1_001.fastq.gz",168417,155384
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1033_S116_R1_001.fastq.gz",155384,156067
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_PECOe-1034_S117_R1_001.fastq.gz",156067,89234
