"","raw_f","raw_r"
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1009_S92_R1_001.fastq.gz",289760,289760
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1010_S93_R1_001.fastq.gz",237245,237245
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1011_S94_R1_001.fastq.gz",2361,2361
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1012_S95_R1_001.fastq.gz",12,12
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1013_S324_R1_001.fastq.gz",274370,274370
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1014_S97_R1_001.fastq.gz",4338792,4338792
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1015_S98_R1_001.fastq.gz",233412,233412
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1016_S99_R1_001.fastq.gz",208317,208317
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1017_S100_R1_001.fastq.gz",197034,197034
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1018_S101_R1_001.fastq.gz",245317,245317
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1019_S102_R1_001.fastq.gz",207673,207673
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1020_S103_R1_001.fastq.gz",196835,196835
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1021_S104_R1_001.fastq.gz",81903,81903
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1024_S107_R1_001.fastq.gz",227645,227645
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1025_S108_R1_001.fastq.gz",250282,250282
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1026_S109_R1_001.fastq.gz",157640,157640
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1027_S110_R1_001.fastq.gz",126024,126024
