"","sample_id","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percent_retained_aftermerge","percent_notsingleton","percent_notchimera"
"134","filtered20240923_PECOe-1135_S213_R1_001",293873,293873,293873,293873,293541,293259,291871,290961,260328,99.4310845844362,99.6882184252632,89.4717848783858
"135","filtered20240923_PECOe-1136_S214_R1_001",175826,175826,175826,175826,175811,175693,174385,174385,174385,99.1889017183225,100,100
"136","filtered20240923_PECOe-1137_S215_R1_001",619669,619669,619669,619669,618782,618048,612466,600834,451903,98.9792851117195,98.1007925337896,75.2126211233053
"137","filtered20240923_PECOe-1138_S216_R1_001",279955,279955,279955,279955,279489,279123,276231,273952,222085,98.8343011710658,99.1749658800062,81.0671212475178
"138","filtered20240923_PECOe-1139_S217_R1_001",152189,152189,152189,152189,152077,151926,150995,150528,134142,99.2885183163792,99.6907182357032,89.1143176020408
"139","filtered20240923_PECOe-1140_S218_R1_001",267958,267958,267958,267958,267741,267437,266118,264850,217106,99.3938171591202,99.5235196416627,81.9731923730413
"140","filtered20240923_PECOe-1141_S219_R1_001",5,5,5,5,5,5,5,5,5,100,100,100
"141","filtered20240923_PECOe-1142_S220_R1_001",282594,282594,282594,282594,282477,282150,280188,278691,237440,99.1896685393855,99.4657158764829,85.1983020621405
"142","filtered20240923_PECOe-1143_S221_R1_001",251397,251397,251397,251397,251208,250997,250258,249962,228747,99.6218273303398,99.8817220628312,91.5127099319097
"143","filtered20240923_PECOe-1144_S222_R1_001",376099,376099,376099,376099,375852,375571,372790,371989,343919,99.1853176250226,99.7851337213981,92.454077943165
"144","filtered20240923_PECOe-1145_S223_R1_001",287868,287868,287868,287868,287523,287239,284530,282683,248489,98.9590397985553,99.3508593118476,87.9037649947114
"145","filtered20240923_PECOe-1147_S225_R1_001",260614,260614,260614,260614,260368,260155,258705,257017,233612,99.3612886376206,99.3475193753503,90.8935984779217
"146","filtered20240923_PECOe-1148_S226_R1_001",407096,407096,407096,407096,407069,406795,404232,404220,404215,99.3030665562841,99.9970314077065,99.9987630498244
"147","filtered20240923_PECOe-1149_S227_R1_001",305609,305609,305609,305609,305516,305275,302645,302507,286686,99.0602783487608,99.9544020221712,94.7700383792772
"148","filtered20240923_PECOe-1150_S228_R1_001",311846,311846,311846,311846,311706,311457,310765,310718,295588,99.6981129654226,99.9848760317281,95.1306329211697
"149","filtered20240923_PECOe-1151_S229_R1_001",1,1,1,1,1,1,1,1,1,100,100,100
"150","filtered20240923_PECOe-1152_S230_R1_001",502182,502182,502182,502182,502102,501623,499566,498802,472686,99.4949233422691,99.8470672543768,94.7642551553522
"151","filtered20240923_PECOe-1153_S231_R1_001",301887,301887,301887,301887,301723,301421,300200,298482,269861,99.4952323820193,99.4277148567622,90.4111470708451
"152","filtered20240923_PECOe-1154_S232_R1_001",299851,299851,299851,299851,299714,299074,298457,296639,278736,99.5806001721641,99.3908670260708,93.9647180579762
"153","filtered20240923_PECOe-1155_S233_R1_001",260271,260271,260271,260271,260156,259878,258540,258449,239363,99.3788342379188,99.964802351667,92.6151774624781
"154","filtered20240923_PECOe-1157_S235_R1_001",191847,191847,191847,191847,191819,191681,189646,189274,189274,98.867161230118,99.8038450586883,100
"155","filtered20240923_PECOe-1158_S236_R1_001",28412,28412,28412,28412,28412,28378,24840,24830,24690,87.4278473884274,99.9597423510467,99.4361659283125
"156","filtered20240923_PECOe-1159_S237_R1_001",30379,30379,30379,30379,30364,30340,30292,30250,30102,99.7628770912923,99.8613495312294,99.5107438016529
"157","filtered20240923_PECOe-1160_S238_R1_001",136896,136896,136896,136896,136849,136738,136568,135566,134425,99.7946641919196,99.2662995723742,99.1583435374651
"158","filtered20240923_PECOe-1162_S240_R1_001",287853,287853,287853,287853,287834,287600,287419,287411,287357,99.8558196738398,99.9972166071137,99.9812115750615
"159","filtered20240923_PECOe-1163_S241_R1_001",289275,289275,289275,289275,289033,288682,269336,263396,247083,93.1852072254725,97.7945762913238,93.8066637306565
"160","filtered20240923_PECOe-1164_S242_R1_001",266807,266807,266807,266807,266574,266505,264614,264455,260315,99.2647444987133,99.9399124762862,98.4345162693086
"161","filtered20240923_PECOe-1165_S243_R1_001",302142,302142,302142,302142,302047,301702,299078,292357,283970,99.0170403943757,97.7527601495262,97.1312470712177
"162","filtered20240923_PECOe-1176_S244_R1_001",1,1,1,1,1,1,1,1,1,100,100,100
"163","filtered20240923_PECOe-1177_S245_R1_001",419457,419457,419457,419457,419280,418973,417452,416875,323064,99.5640145010494,99.8617805160833,77.4966116941529
"164","filtered20240923_PECOe-1178_S246_R1_001",193795,193795,193795,193795,193732,193578,192871,192241,191661,99.5555716143951,99.6733568032519,99.6982953688339
"165","filtered20240923_PECOe-1179_S247_R1_001",198565,198565,198565,198565,198492,198375,197909,197720,197389,99.7062853918546,99.9045015638501,99.832591543597
"166","filtered20240923_PECOe-1180_S248_R1_001",2177,2177,2177,2177,2166,2171,2162,2162,2162,99.8153277931671,100,100
"167","filtered20240923_PECOe-1201_S249_R1_001",1350,1350,1350,1350,1350,1348,1348,1348,1348,99.8518518518518,100,100
"168","filtered20240923_PECOe-1202_S250_R1_001",267099,267099,267099,267099,266952,266661,264419,262578,232814,99.0511402799005,99.303756537919,88.6647015363054
"169","filtered20240923_PECOe-1203_S251_R1_001",287200,287200,287200,287200,286939,286513,284412,279316,246342,99.1193250133304,98.208233126591,88.1947328473843
"170","filtered20240923_PECOe-1204_S252_R1_001",286033,286033,286033,286033,285795,285435,283518,281859,251599,99.2032750747914,99.4148519670709,89.2641356139062
"171","filtered20240923_PECOe-1205_S253_R1_001",319191,319191,319191,319191,318761,318500,315753,309779,267489,99.0563462907947,98.1080148090438,86.3483321981154
"172","filtered20240923_PECOe-1216_S254_R1_001",62,62,62,62,62,61,61,61,61,98.3870967741936,100,100
"173","filtered20240923_PECOe-1217_S255_R1_001",340950,340950,340950,340950,340821,340408,338305,337840,315227,99.2617825779515,99.8625500657691,93.306594837793
"174","filtered20240923_PECOe-1218_S256_R1_001",391040,391040,391040,391040,390461,389796,387025,375110,289695,99.1200145469074,96.921387507267,77.2293460584895
"175","filtered20240923_PECOe-1219_S257_R1_001",293633,293633,293633,293633,293136,293028,288105,282962,260812,98.2837317831996,98.2148869335832,92.1720937793767
"176","filtered20240923_PECOe-1220_S258_R1_001",254011,254011,254011,254011,253736,253416,251763,248247,196231,99.2224201532301,98.6034484813098,79.0466752871132
"177","filtered20240923_PECOe-1222_S260_R1_001",83928,83928,83928,83928,83906,83847,83290,83262,83111,99.2658451123877,99.9663825189098,99.8186447599145
"178","filtered20240923_PECOe-1223_S261_R1_001",298196,298196,298196,298196,298089,297579,296777,294254,285011,99.559862993938,99.1498667349559,96.8588362435175
"179","filtered20240923_PECOe-1224_S262_R1_001",238226,238226,238226,238226,238137,237917,237408,236891,233913,99.693873694554,99.7822314328076,98.7428817473015
"180","filtered20240923_PECOe-1225_S263_R1_001",8903,8903,8903,8903,8895,8890,8873,8871,8871,99.752670039348,99.9774597092303,100
"181","filtered20240923_PECOe-1227_S265_R1_001",264738,264738,264738,264738,264677,264422,263358,262958,249170,99.5016567363239,99.8481154929791,94.7565770959621
"182","filtered20240923_PECOe-1228_S266_R1_001",184263,184263,184263,184263,184097,183725,182712,181372,157682,99.247679212589,99.2666053680109,86.9384469488124
"183","filtered20240923_PECOe-1229_S267_R1_001",253320,253320,253320,253320,253254,252896,250731,249520,235496,99.0037669691298,99.517012256163,94.3796088489901
"184","filtered20240923_PECOe-1230_S268_R1_001",234593,234593,234593,234593,234410,234262,232363,229267,206882,99.1267437396016,98.6676019848255,90.2362747364427
"185","filtered20240923_PECOe-1246_S269_R1_001",8,8,8,8,8,8,8,8,8,100,100,100
"186","filtered20240923_PECOe-1247_S270_R1_001",323687,323687,323687,323687,323384,323133,320900,320051,268932,99.2318729436212,99.7354315986288,84.0278580601217
"187","filtered20240923_PECOe-1248_S271_R1_001",298935,298935,298935,298935,298732,298389,295927,293086,205543,99.061031292262,99.0399659375454,70.1306101280853
"188","filtered20240923_PECOe-1249_S272_R1_001",263167,263167,263167,263167,262876,262591,260567,257361,211175,99.1216390998037,98.7696062816857,82.0540019661099
"189","filtered20240923_PECOe-1250_S273_R1_001",242537,242537,242537,242537,242363,242101,240827,237814,182028,99.3662398963538,98.7488944345941,76.5421716131094
"190","filtered20240923_PECOe-1251_S274_R1_001",225406,225406,225406,225406,225058,224845,222980,222347,184165,99.0766824551893,99.7161180374922,82.8277422227419
"191","filtered20240923_PECOe-1252_S275_R1_001",220011,220011,220011,220011,219583,219489,218102,217293,184288,99.3255397731154,99.6290726357392,84.8108314579853
"192","filtered20240923_PECOe-1254_S277_R1_001",234674,234674,234674,234674,234420,233968,232436,231161,199797,99.1536558314137,99.451461907794,86.4319673301292
"193","filtered20240923_PECOe-1255_S278_R1_001",258214,258214,258214,258214,257631,257294,255767,251849,218305,99.2764845845415,98.4681370153304,86.6809080043995
"194","filtered20240923_PECOe-1256_S279_R1_001",2,2,2,2,2,2,0,0,0,0,NA,NA
"195","filtered20240923_PECOe-1258_S281_R1_001",273226,273226,273226,273226,273218,273019,270658,270658,270658,99.0630192739863,100,100
"196","filtered20240923_PECOe-1259_S282_R1_001",145187,145187,145187,145187,145184,145055,144936,144931,144928,99.829182279039,99.9965502014682,99.9979300494718
"197","filtered20240923_PECOe-1260_S283_R1_001",335581,335581,335581,335581,335460,335146,324903,320671,301645,96.8529780003577,98.6974573949764,94.0668161448962
"198","filtered20240923_PECOe-1262_S285_R1_001",276243,276243,276243,276243,276158,275881,274066,273690,236036,99.2424626481941,99.8628067691724,86.2420987248347
"199","filtered20240923_PECOe-1263_S286_R1_001",306549,306549,306549,306549,306242,305930,304783,304466,281309,99.5235793914617,99.8959915743332,92.3942246424888
"200","filtered20240923_PECOe-1264_S287_R1_001",138948,138948,138948,138948,138837,138611,138193,137450,129620,99.5361467044088,99.4623461390953,94.3033830483812
"201","filtered20240923_PECOe-1265_S326_R1_001",308322,308322,308322,308322,308107,307809,306527,304404,289531,99.4871911381436,99.3074019580657,95.114058947977
"202","filtered20240923_PECOe-1267_S290_R1_001",237733,237733,237733,237733,237546,237295,236036,234161,215463,99.3643336448519,99.2056296497145,92.0148957341316
"203","filtered20240923_PECOe-1268_S291_R1_001",518695,518695,518695,518695,518599,518198,515089,513979,433149,99.3231764812504,99.7845032606016,84.2736765509875
"204","filtered20240923_PECOe-1269_S292_R1_001",271104,271104,271104,271104,271017,270753,269818,268952,250699,99.5575923281565,99.6790429104063,93.2132871293019
"205","filtered20240923_PECOe-1270_S293_R1_001",232091,232091,232091,232091,231873,231680,230495,230416,191655,99.4057091597555,99.9657259376559,83.1778175126727
"206","filtered20240923_PECOe-1271_S294_R1_001",255079,255079,255079,255079,255028,254794,252788,252582,244929,99.1216650720705,99.9185087899742,96.9700928807278
"207","filtered20240923_PECOe-1272_S295_R1_001",311763,311763,311763,311763,311708,311402,307832,306880,303068,98.7565285459468,99.6907404038567,98.7578206465068
"208","filtered20240923_PECOe-1273_S296_R1_001",879171,879171,879171,879171,879024,878167,870842,868668,823740,99.0691949252808,99.7503565514755,94.8279434720745
"209","filtered20240923_PECOe-1276_S299_R1_001",243931,243931,243931,243931,243867,243574,241341,241284,214031,98.9641894967339,99.9763819657663,88.7050115216923
"210","filtered20240923_PECOe-1277_S300_R1_001",229698,229698,229698,229698,229650,229381,228135,228074,218902,99.3403004572175,99.9732614460736,95.9784982067224
"211","filtered20240923_PECOe-1278_S301_R1_001",186855,186855,186855,186855,186801,186596,183863,183309,176188,98.4272032804964,99.6986886975629,96.1153025765238
"212","filtered20240923_PECOe-1279_S302_R1_001",272362,272362,272362,272362,272254,271969,269437,269184,253760,98.9653044583367,99.9061004984468,94.2700903471232
"213","filtered20240923_PECOe-1281_S304_R1_001",215644,215644,215644,215644,215566,215269,212134,211420,196299,98.4079121939453,99.6634202909482,92.847885725097
