motu_lulu,motu_swarm,asv,curated,lulu_rank
motu1,motu1,ASV1,parent,1
motu1,motu1,ASV104,parent,1
motu1,motu1,ASV148,parent,1
motu1,motu1,ASV171,parent,1
motu1,motu1,ASV189,parent,1
motu1,motu1,ASV219,parent,1
motu1,motu1,ASV220,parent,1
motu1,motu1,ASV234,parent,1
motu1,motu1,ASV252,parent,1
motu1,motu1,ASV259,parent,1
motu1,motu1,ASV261,parent,1
motu1,motu1,ASV266,parent,1
motu1,motu1,ASV277,parent,1
motu1,motu1,ASV289,parent,1
motu1,motu1,ASV301,parent,1
motu1,motu1,ASV326,parent,1
motu1,motu1,ASV327,parent,1
motu1,motu1,ASV329,parent,1
motu1,motu1,ASV341,parent,1
motu1,motu1,ASV388,parent,1
motu1,motu1,ASV400,parent,1
motu1,motu1,ASV423,parent,1
motu1,motu1,ASV426,parent,1
motu1,motu1,ASV442,parent,1
motu1,motu1,ASV454,parent,1
motu1,motu1,ASV457,parent,1
motu1,motu1,ASV459,parent,1
motu1,motu1,ASV467,parent,1
motu1,motu1,ASV468,parent,1
motu1,motu1,ASV511,parent,1
motu1,motu1,ASV520,parent,1
motu1,motu1,ASV523,parent,1
motu1,motu1,ASV528,parent,1
motu1,motu1,ASV548,parent,1
motu1,motu1,ASV554,parent,1
motu1,motu1,ASV558,parent,1
motu1,motu1,ASV591,parent,1
motu1,motu1,ASV594,parent,1
motu1,motu1,ASV603,parent,1
motu1,motu1,ASV612,parent,1
motu1,motu1,ASV656,parent,1
motu1,motu1,ASV694,parent,1
motu1,motu1,ASV710,parent,1
motu1,motu1,ASV714,parent,1
motu1,motu1,ASV718,parent,1
motu1,motu1,ASV733,parent,1
motu1,motu1,ASV756,parent,1
motu1,motu1,ASV780,parent,1
motu1,motu1,ASV786,parent,1
motu1,motu1,ASV805,parent,1
motu1,motu1,ASV806,parent,1
motu1,motu1,ASV836,parent,1
motu1,motu1,ASV855,parent,1
motu1,motu1,ASV900,parent,1
motu1,motu1,ASV981,parent,1
motu1,motu1,ASV989,parent,1
motu1,motu1,ASV1007,parent,1
motu1,motu1,ASV1156,parent,1
motu1,motu1,ASV1212,parent,1
motu1,motu1,ASV1229,parent,1
motu1,motu1,ASV1254,parent,1
motu1,motu1,ASV1272,parent,1
motu1,motu1,ASV1276,parent,1
motu1,motu1,ASV1305,parent,1
motu1,motu1,ASV590,parent,1
motu1,motu1,ASV1,parent,1
motu2,motu2,ASV2,parent,2
motu2,motu2,ASV7,parent,2
motu2,motu2,ASV74,parent,2
motu2,motu2,ASV140,parent,2
motu2,motu2,ASV276,parent,2
motu2,motu2,ASV295,parent,2
motu2,motu2,ASV296,parent,2
motu2,motu2,ASV303,parent,2
motu2,motu2,ASV319,parent,2
motu2,motu2,ASV370,parent,2
motu2,motu2,ASV376,parent,2
motu2,motu2,ASV562,parent,2
motu2,motu2,ASV587,parent,2
motu2,motu2,ASV604,parent,2
motu2,motu2,ASV611,parent,2
motu2,motu2,ASV625,parent,2
motu2,motu2,ASV663,parent,2
motu2,motu2,ASV700,parent,2
motu2,motu2,ASV713,parent,2
motu2,motu2,ASV726,parent,2
motu2,motu2,ASV744,parent,2
motu2,motu2,ASV872,parent,2
motu2,motu2,ASV875,parent,2
motu2,motu2,ASV897,parent,2
motu2,motu2,ASV985,parent,2
motu2,motu2,ASV1019,parent,2
motu2,motu2,ASV1191,parent,2
motu2,motu2,ASV67,parent,2
motu2,motu2,ASV174,parent,2
motu2,motu2,ASV352,parent,2
motu2,motu2,ASV406,parent,2
motu2,motu2,ASV545,parent,2
motu2,motu2,ASV681,parent,2
motu2,motu2,ASV707,parent,2
motu2,motu2,ASV757,parent,2
motu2,motu2,ASV850,parent,2
motu2,motu2,ASV882,parent,2
motu2,motu2,ASV955,parent,2
motu2,motu2,ASV960,parent,2
motu2,motu2,ASV987,parent,2
motu2,motu2,ASV1234,parent,2
motu2,motu2,ASV1463,parent,2
motu2,motu2,ASV2,parent,2
motu3,motu3,ASV3,parent,4
motu3,motu3,ASV190,parent,4
motu3,motu3,ASV209,parent,4
motu3,motu3,ASV223,parent,4
motu3,motu3,ASV243,parent,4
motu3,motu3,ASV247,parent,4
motu3,motu3,ASV265,parent,4
