seed_asv,motu,asv,asv_reads
ASV1,motu1,ASV1,54846504
ASV1,motu1,ASV104,264760
ASV1,motu1,ASV148,149571
ASV1,motu1,ASV171,96056
ASV1,motu1,ASV189,82299
ASV1,motu1,ASV219,67399
ASV1,motu1,ASV220,66677
ASV1,motu1,ASV234,57195
ASV1,motu1,ASV252,49916
ASV1,motu1,ASV259,47180
ASV1,motu1,ASV261,46803
ASV1,motu1,ASV266,43915
ASV1,motu1,ASV277,40229
ASV1,motu1,ASV289,36772
ASV1,motu1,ASV301,32137
ASV1,motu1,ASV326,25384
ASV1,motu1,ASV327,25296
ASV1,motu1,ASV329,24437
ASV1,motu1,ASV341,22784
ASV1,motu1,ASV388,14641
ASV1,motu1,ASV400,13850
ASV1,motu1,ASV423,12086
ASV1,motu1,ASV426,12047
ASV1,motu1,ASV442,10849
ASV1,motu1,ASV454,10200
ASV1,motu1,ASV457,9873
ASV1,motu1,ASV459,9592
ASV1,motu1,ASV467,9365
ASV1,motu1,ASV468,9240
ASV1,motu1,ASV511,7735
ASV1,motu1,ASV520,7538
ASV1,motu1,ASV523,7363
ASV1,motu1,ASV528,7026
ASV1,motu1,ASV548,6229
ASV1,motu1,ASV554,5902
ASV1,motu1,ASV558,5812
ASV1,motu1,ASV591,4969
ASV1,motu1,ASV594,4924
ASV1,motu1,ASV603,4718
ASV1,motu1,ASV612,4522
ASV1,motu1,ASV656,3710
ASV1,motu1,ASV694,3179
ASV1,motu1,ASV710,2964
ASV1,motu1,ASV714,2942
ASV1,motu1,ASV718,2874
ASV1,motu1,ASV733,2709
ASV1,motu1,ASV756,2512
ASV1,motu1,ASV780,2240
ASV1,motu1,ASV786,2185
ASV1,motu1,ASV805,2033
ASV1,motu1,ASV806,2033
ASV1,motu1,ASV836,1844
ASV1,motu1,ASV855,1728
ASV1,motu1,ASV900,1462
ASV1,motu1,ASV981,1073
ASV1,motu1,ASV989,1017
ASV1,motu1,ASV1007,970
ASV1,motu1,ASV1156,631
ASV1,motu1,ASV1212,536
ASV1,motu1,ASV1229,512
ASV1,motu1,ASV1254,472
ASV1,motu1,ASV1272,441
ASV1,motu1,ASV1276,437
ASV1,motu1,ASV1305,404
ASV1,motu1,ASV590,4993
ASV1,motu1,ASV1,56249696
ASV2,motu2,ASV2,21665186
ASV2,motu2,ASV7,7810370
ASV2,motu2,ASV74,445381
ASV2,motu2,ASV140,158919
ASV2,motu2,ASV276,40265
ASV2,motu2,ASV295,34722
ASV2,motu2,ASV296,34318
ASV2,motu2,ASV303,31604
ASV2,motu2,ASV319,27497
ASV2,motu2,ASV370,17079
ASV2,motu2,ASV376,16270
ASV2,motu2,ASV562,5688
ASV2,motu2,ASV587,5048
ASV2,motu2,ASV604,4692
ASV2,motu2,ASV611,4553
ASV2,motu2,ASV625,4155
ASV2,motu2,ASV663,3580
ASV2,motu2,ASV700,3112
ASV2,motu2,ASV713,2942
ASV2,motu2,ASV726,2774
ASV2,motu2,ASV744,2601
ASV2,motu2,ASV872,1611
ASV2,motu2,ASV875,1600
ASV2,motu2,ASV897,1472
ASV2,motu2,ASV985,1052
ASV2,motu2,ASV1019,924
ASV2,motu2,ASV1191,560
ASV2,motu2,ASV67,533116
ASV2,motu2,ASV174,95342
ASV2,motu2,ASV352,19833
ASV2,motu2,ASV406,13132
ASV2,motu2,ASV545,6298
ASV2,motu2,ASV681,3355
ASV2,motu2,ASV707,2972
ASV2,motu2,ASV757,2503
ASV2,motu2,ASV850,1746
ASV2,motu2,ASV882,1580
ASV2,motu2,ASV955,1200
ASV2,motu2,ASV960,1174
ASV2,motu2,ASV987,1037
ASV2,motu2,ASV1234,507
ASV2,motu2,ASV1463,238
ASV2,motu2,ASV2,31012008
ASV3,motu3,ASV3,13607794
ASV3,motu3,ASV190,81361
ASV3,motu3,ASV209,72409
ASV3,motu3,ASV223,64208
ASV3,motu3,ASV243,52577
ASV3,motu3,ASV247,51235
ASV3,motu3,ASV265,44346
ASV3,motu3,ASV321,27208
ASV3,motu3,ASV441,10888
ASV3,motu3,ASV581,5163
ASV3,motu3,ASV709,2968
ASV3,motu3,ASV935,1270
ASV3,motu3,ASV1058,820
ASV3,motu3,ASV1088,774
ASV3,motu3,ASV1111,721
ASV3,motu3,ASV3,14023742
ASV4,motu4,ASV4,13223320
ASV4,motu4,ASV32,1379153
ASV4,motu4,ASV99,285275
ASV4,motu4,ASV158,117681
ASV4,motu4,ASV185,85193
ASV4,motu4,ASV192,80879
ASV4,motu4,ASV200,77059
ASV4,motu4,ASV242,53082
ASV4,motu4,ASV286,37168
ASV4,motu4,ASV305,30858
ASV4,motu4,ASV372,16887
ASV4,motu4,ASV386,14803
ASV4,motu4,ASV411,12820
ASV4,motu4,ASV415,12383
ASV4,motu4,ASV417,12271
ASV4,motu4,ASV466,9372
ASV4,motu4,ASV488,8578
ASV4,motu4,ASV540,6438
ASV4,motu4,ASV552,5986
ASV4,motu4,ASV618,4337
ASV4,motu4,ASV644,3870
ASV4,motu4,ASV665,3570
ASV4,motu4,ASV666,3569
ASV4,motu4,ASV724,2818
ASV4,motu4,ASV912,1410
ASV4,motu4,ASV990,1014
ASV4,motu4,ASV991,1013
ASV4,motu4,ASV996,996
ASV4,motu4,ASV1047,848
ASV4,motu4,ASV1064,812
ASV4,motu4,ASV1070,801
ASV4,motu4,ASV1083,782
ASV4,motu4,ASV1146,648
ASV4,motu4,ASV1179,580
ASV4,motu4,ASV1237,504
ASV4,motu4,ASV1246,486
ASV4,motu4,ASV1293,417
ASV4,motu4,ASV1321,376
ASV4,motu4,ASV1458,242
ASV4,motu4,ASV203,75191
ASV4,motu4,ASV238,55047
ASV4,motu4,ASV311,29576
ASV4,motu4,ASV509,7848
ASV4,motu4,ASV589,5014
ASV4,motu4,ASV597,4831
ASV4,motu4,ASV606,4648
ASV4,motu4,ASV620,4311
ASV4,motu4,ASV632,4025
ASV4,motu4,ASV658,3672
ASV4,motu4,ASV683,3319
ASV4,motu4,ASV959,1181
ASV4,motu4,ASV1286,426
ASV4,motu4,ASV1315,388
ASV4,motu4,ASV4,15697776
ASV5,motu5,ASV5,9687843
ASV5,motu5,ASV300,32726
ASV5,motu5,ASV337,23441
ASV5,motu5,ASV357,19144
ASV5,motu5,ASV364,18247
ASV5,motu5,ASV431,11811
ASV5,motu5,ASV433,11631
ASV5,motu5,ASV493,8463
ASV5,motu5,ASV505,7983
ASV5,motu5,ASV508,7859
ASV5,motu5,ASV647,3830
ASV5,motu5,ASV655,3715
ASV5,motu5,ASV684,3315
ASV5,motu5,ASV688,3273
ASV5,motu5,ASV781,2238
ASV5,motu5,ASV1151,636
ASV5,motu5,ASV1288,425
ASV5,motu5,ASV5,9846580
ASV6,motu6,ASV6,9372345
ASV6,motu6,ASV139,160593
ASV6,motu6,ASV272,41198
ASV6,motu6,ASV281,37972
ASV6,motu6,ASV291,35859
ASV6,motu6,ASV323,25757
ASV6,motu6,ASV382,15395
ASV6,motu6,ASV401,13820
ASV6,motu6,ASV410,12961
ASV6,motu6,ASV447,10631
ASV6,motu6,ASV487,8609
ASV6,motu6,ASV499,8144
ASV6,motu6,ASV502,8047
ASV6,motu6,ASV519,7542
ASV6,motu6,ASV588,5027
ASV6,motu6,ASV643,3877
ASV6,motu6,ASV699,3126
ASV6,motu6,ASV730,2750
ASV6,motu6,ASV760,2468
ASV6,motu6,ASV787,2183
ASV6,motu6,ASV819,1976
ASV6,motu6,ASV1031,898
ASV6,motu6,ASV1161,615
ASV6,motu6,ASV1167,607
ASV6,motu6,ASV1343,356
ASV6,motu6,ASV586,5050
ASV6,motu6,ASV1484,224
ASV6,motu6,ASV6,9788030
ASV8,motu7,ASV8,7014409
ASV8,motu7,ASV50,762335
ASV8,motu7,ASV950,1218
ASV8,motu7,ASV8,7777962
ASV9,motu8,ASV9,6980331
ASV9,motu8,ASV23,1820514
ASV9,motu8,ASV168,99210
ASV9,motu8,ASV217,69717
ASV9,motu8,ASV270,43288
ASV9,motu8,ASV304,31380
ASV9,motu8,ASV336,23447
ASV9,motu8,ASV338,23190
ASV9,motu8,ASV354,19379
ASV9,motu8,ASV379,16014
ASV9,motu8,ASV399,13883
ASV9,motu8,ASV496,8301
ASV9,motu8,ASV542,6393
ASV9,motu8,ASV565,5667
ASV9,motu8,ASV640,3929
ASV9,motu8,ASV765,2417
ASV9,motu8,ASV807,2014
ASV9,motu8,ASV830,1867
ASV9,motu8,ASV951,1215
ASV9,motu8,ASV1092,763
ASV9,motu8,ASV1118,694
ASV9,motu8,ASV1132,670
ASV9,motu8,ASV1281,433
ASV9,motu8,ASV1285,429
ASV9,motu8,ASV1323,374
ASV9,motu8,ASV79,399401
ASV9,motu8,ASV333,23804
ASV9,motu8,ASV358,19082
ASV9,motu8,ASV395,14340
ASV9,motu8,ASV546,6281
ASV9,motu8,ASV708,2970
ASV9,motu8,ASV813,1993
ASV9,motu8,ASV828,1879
ASV9,motu8,ASV844,1785
ASV9,motu8,ASV890,1512
ASV9,motu8,ASV901,1459
ASV9,motu8,ASV245,51726
ASV9,motu8,ASV9,9701751
ASV10,motu9,ASV10,6130399
ASV10,motu9,ASV38,1142436
ASV10,motu9,ASV173,95508
ASV10,motu9,ASV199,77273
ASV10,motu9,ASV202,75322
ASV10,motu9,ASV258,47181
ASV10,motu9,ASV324,25672
ASV10,motu9,ASV375,16331
ASV10,motu9,ASV563,5685
ASV10,motu9,ASV696,3169
ASV10,motu9,ASV910,1412
ASV10,motu9,ASV178,93519
ASV10,motu9,ASV320,27326
ASV10,motu9,ASV485,8649
ASV10,motu9,ASV10,7749882
ASV11,motu10,ASV11,4745951
ASV11,motu10,ASV127,180997
ASV11,motu10,ASV212,70478
ASV11,motu10,ASV436,11249
ASV11,motu10,ASV451,10435
ASV11,motu10,ASV605,4668
ASV11,motu10,ASV659,3644
ASV11,motu10,ASV11,5027422
ASV12,motu11,ASV12,4180650
ASV12,motu11,ASV43,1025585
ASV12,motu11,ASV226,61859
ASV12,motu11,ASV384,15051
ASV12,motu11,ASV751,2549
ASV12,motu11,ASV753,2538
ASV12,motu11,ASV1106,738
ASV12,motu11,ASV1160,616
ASV12,motu11,ASV1183,576
ASV12,motu11,ASV1227,517
ASV12,motu11,ASV1602,144
ASV12,motu11,ASV12,5290823
ASV13,motu12,ASV13,4072000
ASV13,motu12,ASV110,242799
ASV13,motu12,ASV216,69735
ASV13,motu12,ASV316,28119
ASV13,motu12,ASV322,26648
ASV13,motu12,ASV818,1977
ASV13,motu12,ASV13,4441278
ASV14,motu13,ASV14,3064217
ASV14,motu13,ASV863,1678
ASV14,motu13,ASV879,1588
ASV14,motu13,ASV1034,891
ASV14,motu13,ASV1398,298
ASV14,motu13,ASV1453,247
ASV14,motu13,ASV14,3068919
ASV15,motu14,ASV15,2964121
ASV15,motu14,ASV978,1086
ASV15,motu14,ASV15,2965207
ASV16,motu15,ASV16,2882498
ASV16,motu15,ASV48,800230
ASV16,motu15,ASV166,101937
ASV16,motu15,ASV263,45660
ASV16,motu15,ASV345,21431
ASV16,motu15,ASV464,9394
ASV16,motu15,ASV500,8133
ASV16,motu15,ASV522,7382
ASV16,motu15,ASV610,4592
ASV16,motu15,ASV790,2143
ASV16,motu15,ASV832,1862
ASV16,motu15,ASV874,1605
ASV16,motu15,ASV921,1372
ASV16,motu15,ASV928,1306
ASV16,motu15,ASV1056,832
ASV16,motu15,ASV1196,551
ASV16,motu15,ASV1348,349
ASV16,motu15,ASV1393,302
ASV16,motu15,ASV318,27721
ASV16,motu15,ASV356,19274
ASV16,motu15,ASV470,9143
ASV16,motu15,ASV515,7574
ASV16,motu15,ASV547,6264
ASV16,motu15,ASV704,3042
ASV16,motu15,ASV782,2236
ASV16,motu15,ASV825,1913
ASV16,motu15,ASV843,1803
ASV16,motu15,ASV1020,921
ASV16,motu15,ASV16,3971470
ASV17,motu16,ASV17,2630476
ASV17,motu16,ASV822,1953
ASV17,motu16,ASV17,2632429
ASV18,motu17,ASV18,2597666
ASV18,motu17,ASV123,210411
ASV18,motu17,ASV932,1273
ASV18,motu17,ASV1141,655
ASV18,motu17,ASV1318,384
ASV18,motu17,ASV1370,326
ASV18,motu17,ASV257,47704
ASV18,motu17,ASV432,11771
ASV18,motu17,ASV477,8865
ASV18,motu17,ASV838,1839
ASV18,motu17,ASV964,1161
ASV18,motu17,ASV1102,751
ASV18,motu17,ASV18,2882806
ASV19,motu18,ASV19,2424830
ASV19,motu18,ASV144,153821
ASV19,motu18,ASV183,88388
ASV19,motu18,ASV229,59526
ASV19,motu18,ASV231,58358
ASV19,motu18,ASV583,5117
ASV19,motu18,ASV19,2790040
ASV20,motu19,ASV20,2338412
ASV20,motu19,ASV47,854649
ASV20,motu19,ASV430,11835
ASV20,motu19,ASV453,10205
ASV20,motu19,ASV566,5666
ASV20,motu19,ASV20,3220767
ASV21,motu20,ASV21,2261890
ASV21,motu20,ASV84,338708
ASV21,motu20,ASV598,4807
ASV21,motu20,ASV1003,983
ASV21,motu20,ASV888,1534
ASV21,motu20,ASV21,2607922
ASV22,motu21,ASV22,2141063
ASV22,motu21,ASV75,444781
ASV22,motu21,ASV573,5437
ASV22,motu21,ASV949,1221
ASV22,motu21,ASV983,1061
ASV22,motu21,ASV1303,406
ASV22,motu21,ASV2245,9
ASV22,motu21,ASV469,9162
ASV22,motu21,ASV873,1607
ASV22,motu21,ASV22,2604747
ASV24,motu22,ASV24,1759392
ASV24,motu22,ASV28,1560208
ASV24,motu22,ASV65,550705
ASV24,motu22,ASV290,36736
ASV24,motu22,ASV349,21014
ASV24,motu22,ASV880,1584
ASV24,motu22,ASV962,1165
ASV24,motu22,ASV1278,436
ASV24,motu22,ASV1336,363
ASV24,motu22,ASV1414,281
ASV24,motu22,ASV60,635123
ASV24,motu22,ASV163,108712
ASV24,motu22,ASV228,59694
ASV24,motu22,ASV236,56389
ASV24,motu22,ASV373,16792
ASV24,motu22,ASV580,5193
ASV24,motu22,ASV600,4783
ASV24,motu22,ASV24,4818570
ASV25,motu23,ASV25,1744051
ASV25,motu23,ASV862,1682
ASV25,motu23,ASV1022,916
ASV25,motu23,ASV1090,768
ASV25,motu23,ASV1477,228
ASV25,motu23,ASV25,1747645
ASV26,motu24,ASV26,1587492
ASV27,motu25,ASV27,1579598
ASV27,motu25,ASV56,667220
ASV27,motu25,ASV92,301453
ASV27,motu25,ASV109,248105
ASV27,motu25,ASV122,213860
ASV27,motu25,ASV343,22683
ASV27,motu25,ASV362,18403
ASV27,motu25,ASV927,1308
ASV27,motu25,ASV378,16015
ASV27,motu25,ASV27,3068645
ASV29,motu26,ASV29,1513279
ASV29,motu26,ASV124,186088
ASV29,motu26,ASV194,80571
ASV29,motu26,ASV214,69887
ASV29,motu26,ASV660,3631
ASV29,motu26,ASV256,47756
ASV29,motu26,ASV476,9022
ASV29,motu26,ASV29,1910234
ASV30,motu27,ASV30,1460766
ASV30,motu27,ASV445,10784
ASV30,motu27,ASV30,1471550
ASV31,motu28,ASV31,1452590
ASV31,motu28,ASV113,230616
ASV31,motu28,ASV677,3409
ASV31,motu28,ASV837,1840
ASV31,motu28,ASV848,1761
ASV31,motu28,ASV1255,468
ASV31,motu28,ASV31,1690684
ASV33,motu29,ASV33,1351604
ASV33,motu29,ASV120,214359
ASV33,motu29,ASV416,12379
ASV33,motu29,ASV420,12142
