motu_lulu,motu_swarm,asv,curated,lulu_rank
motu8,motu8,ASV284,parent,7
motu8,motu8,ASV299,parent,7
motu8,motu8,ASV337,parent,7
motu8,motu8,ASV420,parent,7
motu8,motu8,ASV480,parent,7
motu8,motu8,ASV546,parent,7
motu8,motu8,ASV660,parent,7
motu8,motu8,ASV696,parent,7
motu8,motu8,ASV718,parent,7
motu8,motu8,ASV802,parent,7
motu8,motu8,ASV952,parent,7
motu8,motu8,ASV975,parent,7
motu8,motu8,ASV989,parent,7
motu8,motu8,ASV1129,parent,7
motu8,motu8,ASV1166,parent,7
motu8,motu8,ASV73,parent,7
motu8,motu8,ASV281,parent,7
motu8,motu8,ASV302,parent,7
motu8,motu8,ASV463,parent,7
motu8,motu8,ASV603,parent,7
motu8,motu8,ASV702,parent,7
motu8,motu8,ASV716,parent,7
motu8,motu8,ASV730,parent,7
motu8,motu8,ASV783,parent,7
motu8,motu8,ASV213,parent,7
motu8,motu8,ASV9,parent,7
motu9,motu9,ASV10,parent,9
motu9,motu9,ASV34,parent,9
motu9,motu9,ASV151,parent,9
motu9,motu9,ASV174,parent,9
motu9,motu9,ASV311,parent,9
motu9,motu9,ASV478,parent,9
motu9,motu9,ASV594,parent,9
motu9,motu9,ASV155,parent,9
motu9,motu9,ASV410,parent,9
motu9,motu9,ASV10,parent,9
motu10,motu10,ASV11,parent,10
motu10,motu10,ASV120,parent,10
motu10,motu10,ASV200,parent,10
motu10,motu10,ASV380,parent,10
motu10,motu10,ASV443,parent,10
motu10,motu10,ASV511,parent,10
motu10,motu10,ASV563,parent,10
motu10,motu10,ASV11,parent,10
motu11,motu11,ASV12,parent,12
motu11,motu11,ASV96,parent,12
motu11,motu11,ASV185,parent,12
motu11,motu11,ASV269,parent,12
motu11,motu11,ASV707,parent,12
motu11,motu11,ASV12,parent,12
motu12,motu12,ASV13,parent,11
motu12,motu12,ASV31,parent,11
motu12,motu12,ASV646,parent,11
motu12,motu12,ASV648,parent,11
motu12,motu12,ASV1433,parent,11
motu12,motu12,ASV13,parent,11
motu13,motu13,ASV14,parent,13
motu13,motu13,ASV710,parent,13
motu13,motu13,ASV14,parent,13
motu14,motu14,ASV15,parent,14
motu14,motu14,ASV746,parent,14
motu14,motu14,ASV762,parent,14
motu14,motu14,ASV902,parent,14
motu14,motu14,ASV1236,parent,14
motu14,motu14,ASV1290,parent,14
motu14,motu14,ASV15,parent,14
motu15,motu15,ASV16,parent,17
motu15,motu15,ASV854,parent,17
motu15,motu15,ASV16,parent,17
motu16,motu16,ASV17,parent,18
motu16,motu16,ASV159,parent,18
motu16,motu16,ASV199,parent,18
motu16,motu16,ASV206,parent,18
motu16,motu16,ASV495,parent,18
motu16,motu16,ASV17,parent,18
motu17,motu17,ASV19,parent,19
motu17,motu17,ASV108,parent,19
motu17,motu17,ASV812,parent,19
motu17,motu17,ASV1160,parent,19
motu17,motu17,ASV220,parent,19
motu17,motu17,ASV364,parent,19
motu17,motu17,ASV402,parent,19
motu17,motu17,ASV724,parent,19
motu17,motu17,ASV840,parent,19
motu17,motu17,ASV962,parent,19
motu17,motu17,ASV19,parent,19
motu18,motu18,ASV20,parent,15
motu18,motu18,ASV40,parent,15
motu18,motu18,ASV163,parent,15
motu18,motu18,ASV225,parent,15
motu18,motu18,ASV424,parent,15
motu18,motu18,ASV458,parent,15
motu18,motu18,ASV515,parent,15
motu18,motu18,ASV757,parent,15
motu18,motu18,ASV801,parent,15
motu18,motu18,ASV808,parent,15
motu18,motu18,ASV923,parent,15
motu18,motu18,ASV1046,parent,15
motu18,motu18,ASV1189,parent,15
motu18,motu18,ASV1232,parent,15
motu18,motu18,ASV270,parent,15
motu18,motu18,ASV301,parent,15
motu18,motu18,ASV396,parent,15
motu18,motu18,ASV437,parent,15
motu18,motu18,ASV464,parent,15
motu18,motu18,ASV599,parent,15
motu18,motu18,ASV676,parent,15
motu18,motu18,ASV713,parent,15
motu18,motu18,ASV729,parent,15
motu18,motu18,ASV889,parent,15
motu18,motu18,ASV20,parent,15
motu19,motu19,ASV21,parent,20
motu19,motu19,ASV68,parent,20
motu19,motu19,ASV827,parent,20
motu19,motu19,ASV859,parent,20
motu19,motu19,ASV1145,parent,20
motu19,motu19,ASV2010,parent,20
motu19,motu19,ASV394,parent,20
motu19,motu19,ASV756,parent,20
motu19,motu19,ASV21,parent,20
