n_in_cluster,motu_reads,seed_asv,seed_reads,n_1readamplicon,max_iterations_to_limit,cumulative_steps,motu,seed_asv_reads,swarm_reads
52,40984605,ASV1,39878181,0,1,1,motu1,ASV1_39878181,ASV1_40984605
40,25492010,ASV2,16489113,0,2,2,motu2,ASV2_16489113,ASV2_25492010
8,10766911,ASV3,10599320,0,1,1,motu3,ASV3_10599320,ASV3_10766911
32,10088138,ASV4,8177421,0,2,2,motu4,ASV4_8177421,ASV4_10088138
13,8257793,ASV5,8142635,0,1,1,motu5,ASV5_8142635,ASV5_8257793
16,6806016,ASV7,6628415,0,2,2,motu6,ASV7_6628415,ASV7_6806016
2,6222866,ASV8,5460531,0,1,1,motu7,ASV8_5460531,ASV8_6222866
30,7600716,ASV9,5021428,0,3,3,motu8,ASV9_5021428,ASV9_7600716
9,5823407,ASV10,4635097,0,2,2,motu9,ASV10_4635097,ASV10_5823407
7,4290378,ASV11,4036102,0,1,1,motu10,ASV11_4036102,ASV11_4290378
5,3508132,ASV12,3165502,0,2,2,motu11,ASV12_3165502,ASV12_3508132
5,4010673,ASV13,2979857,0,1,1,motu12,ASV13_2979857,ASV13_4010673
2,2632429,ASV14,2630476,0,1,1,motu13,ASV14_2630476,ASV14_2632429
6,2613890,ASV15,2609188,0,1,1,motu14,ASV15_2609188,ASV15_2613890
2,2106896,ASV16,2105810,0,1,1,motu15,ASV16_2105810,ASV16_2106896
5,2184106,ASV17,1974942,0,1,1,motu16,ASV17_1974942,ASV17_2184106
10,1963126,ASV19,1678967,0,2,2,motu17,ASV19_1678967,ASV19_1963126
24,2673473,ASV20,1637511,0,2,2,motu18,ASV20_1637511,ASV20_2673473
8,1935177,ASV21,1476930,0,2,2,motu19,ASV21_1476930,ASV21_1935177
2,1352237,ASV23,1341453,0,1,1,motu20,ASV23_1341453,ASV23_1352237
2,1341081,ASV24,1340853,0,1,1,motu21,ASV24_1340853,ASV24_1341081
4,1455776,ASV25,1256142,0,2,2,motu22,ASV25_1256142,ASV25_1455776
1,1222759,ASV26,1222759,0,0,0,motu23,ASV26_1222759,ASV26_1222759
3,1549190,ASV27,1208948,0,2,2,motu24,ASV27_1208948,ASV27_1549190
4,2057487,ASV28,1185337,0,1,1,motu25,ASV28_1185337,ASV28_2057487
12,3113368,ASV29,1121529,0,3,3,motu26,ASV29_1121529,ASV29_3113368
5,1424638,ASV30,1031781,0,1,1,motu27,ASV30_1031781,ASV30_1424638
2,1082700,ASV32,1002003,0,1,1,motu28,ASV32_1002003,ASV32_1082700
5,1293402,ASV33,964003,0,2,2,motu29,ASV33_964003,ASV33_1293402
4,1213575,ASV35,877846,0,1,1,motu30,ASV35_877846,ASV35_1213575
9,1179363,ASV36,873718,0,2,2,motu31,ASV36_873718,ASV36_1179363
3,1165414,ASV37,861192,0,2,2,motu32,ASV37_861192,ASV37_1165414
9,1079401,ASV39,814599,0,2,2,motu33,ASV39_814599,ASV39_1079401
3,846108,ASV41,788930,0,1,1,motu34,ASV41_788930,ASV41_846108
1,755535,ASV43,755535,0,0,0,motu35,ASV43_755535,ASV43_755535
6,2157574,ASV44,741671,0,2,2,motu36,ASV44_741671,ASV44_2157574
3,749078,ASV46,681237,0,1,1,motu37,ASV46_681237,ASV46_749078
4,890879,ASV48,656386,0,1,1,motu38,ASV48_656386,ASV48_890879
1,652895,ASV49,652895,0,0,0,motu39,ASV49_652895,ASV49_652895
4,958146,ASV50,643252,0,2,2,motu40,ASV50_643252,ASV50_958146
2,574302,ASV52,550840,0,1,1,motu41,ASV52_550840,ASV52_574302
5,799341,ASV54,547125,0,2,2,motu42,ASV54_547125,ASV54_799341
3,992371,ASV56,525891,0,2,2,motu43,ASV56_525891,ASV56_992371
3,628184,ASV57,524231,0,1,1,motu44,ASV57_524231,ASV57_628184
2,565792,ASV58,514332,0,1,1,motu45,ASV58_514332,ASV58_565792
5,1258377,ASV59,509930,0,2,2,motu46,ASV59_509930,ASV59_1258377
3,790410,ASV60,503517,0,1,1,motu47,ASV60_503517,ASV60_790410
6,1060882,ASV61,495702,0,3,3,motu48,ASV61_495702,ASV61_1060882
