52	40984605	ASV1	39878181	0	1	1
40	25492010	ASV2	16489113	0	2	2
8	10766911	ASV3	10599320	0	1	1
32	10088138	ASV4	8177421	0	2	2
13	8257793	ASV5	8142635	0	1	1
16	6806016	ASV7	6628415	0	2	2
2	6222866	ASV8	5460531	0	1	1
30	7600716	ASV9	5021428	0	3	3
9	5823407	ASV10	4635097	0	2	2
7	4290378	ASV11	4036102	0	1	1
5	3508132	ASV12	3165502	0	2	2
5	4010673	ASV13	2979857	0	1	1
2	2632429	ASV14	2630476	0	1	1
6	2613890	ASV15	2609188	0	1	1
2	2106896	ASV16	2105810	0	1	1
5	2184106	ASV17	1974942	0	1	1
10	1963126	ASV19	1678967	0	2	2
24	2673473	ASV20	1637511	0	2	2
8	1935177	ASV21	1476930	0	2	2
2	1352237	ASV23	1341453	0	1	1
2	1341081	ASV24	1340853	0	1	1
4	1455776	ASV25	1256142	0	2	2
1	1222759	ASV26	1222759	0	0	0
3	1549190	ASV27	1208948	0	2	2
4	2057487	ASV28	1185337	0	1	1
12	3113368	ASV29	1121529	0	3	3
5	1424638	ASV30	1031781	0	1	1
2	1082700	ASV32	1002003	0	1	1
5	1293402	ASV33	964003	0	2	2
4	1213575	ASV35	877846	0	1	1
9	1179363	ASV36	873718	0	2	2
3	1165414	ASV37	861192	0	2	2
9	1079401	ASV39	814599	0	2	2
3	846108	ASV41	788930	0	1	1
1	755535	ASV43	755535	0	0	0
6	2157574	ASV44	741671	0	2	2
3	749078	ASV46	681237	0	1	1
4	890879	ASV48	656386	0	1	1
1	652895	ASV49	652895	0	0	0
4	958146	ASV50	643252	0	2	2
2	574302	ASV52	550840	0	1	1
5	799341	ASV54	547125	0	2	2
3	992371	ASV56	525891	0	2	2
3	628184	ASV57	524231	0	1	1
2	565792	ASV58	514332	0	1	1
5	1258377	ASV59	509930	0	2	2
3	790410	ASV60	503517	0	1	1
6	1060882	ASV61	495702	0	3	3
1	484871	ASV62	484871	0	0	0
1	483350	ASV63	483350	0	0	0
1	448486	ASV65	448486	0	0	0
2	615658	ASV66	446164	0	1	1
2	447798	ASV67	445112	0	1	1
2	452207	ASV70	430852	0	1	1
1	430623	ASV71	430623	0	0	0
3	415304	ASV72	413491	0	2	2
1	384576	ASV74	384576	0	0	0
1	350507	ASV75	350507	0	0	0
5	560001	ASV77	303693	0	2	2
2	303298	ASV78	300668	0	1	1
1	300077	ASV79	300077	0	0	0
2	286675	ASV82	286673	0	0	0
2	304489	ASV84	280602	0	1	1
10	485610	ASV87	268403	0	3	3
2	374852	ASV88	266964	0	1	1
3	266738	ASV90	263907	0	1	1
3	324878	ASV94	247675	0	1	1
2	261980	ASV95	246949	0	1	1
2	284913	ASV97	239586	0	1	1
1	235016	ASV98	235016	0	0	0
2	253541	ASV102	229617	0	1	1
3	343322	ASV103	227212	0	1	1
1	220463	ASV105	220463	0	0	0
2	218207	ASV109	209181	0	1	1
3	310027	ASV111	192865	0	1	1
2	211285	ASV114	177200	0	1	1
2	331738	ASV117	170367	0	1	1
1	169323	ASV119	169323	0	0	0
2	172034	ASV121	167890	0	1	1
4	213088	ASV122	167521	0	2	2
3	255883	ASV124	158801	0	1	1
1	156113	ASV125	156113	0	0	0
1	155585	ASV126	155585	0	0	0
1	151021	ASV129	151021	0	0	0
1	144180	ASV130	144180	0	0	0
2	151253	ASV131	142963	0	1	1
5	337663	ASV132	136245	0	2	2
2	215487	ASV133	135329	0	1	1
1	122307	ASV136	122307	0	0	0
2	215715	ASV137	121674	0	1	1
1	119636	ASV138	119636	0	0	0
1	118291	ASV139	118291	0	0	0
2	121497	ASV142	116339	0	1	1
1	114978	ASV143	114978	0	0	0
1	108904	ASV145	108904	0	0	0
1	101979	ASV148	101979	0	0	0
4	148607	ASV149	97297	0	2	2
2	97882	ASV150	95738	0	1	1
1	95327	ASV153	95327	0	0	0
1	91320	ASV156	91320	0	0	0
3	190757	ASV157	91215	0	2	2
3	145817	ASV158	90951	0	2	2
1	87086	ASV160	87086	0	0	0
2	87138	ASV161	86381	0	1	1
1	85973	ASV162	85973	0	0	0
1	84080	ASV164	84080	0	0	0
3	114733	ASV168	80732	0	1	1
3	162568	ASV172	80017	0	2	2
1	73849	ASV177	73849	0	0	0
1	71615	ASV181	71615	0	0	0
3	71373	ASV182	70551	0	2	2
1	70277	ASV183	70277	0	0	0
1	69865	ASV184	69865	0	0	0
1	67232	ASV189	67232	0	0	0
1	65023	ASV191	65023	0	0	0
2	63774	ASV193	63769	0	1	1
3	119014	ASV195	62642	0	2	2
1	60631	ASV197	60631	0	0	0
1	59701	ASV198	59701	0	0	0
1	57785	ASV202	57785	0	0	0
2	64975	ASV203	57206	0	1	1
1	55510	ASV208	55510	0	0	0
1	53947	ASV211	53947	0	0	0
1	50918	ASV217	50918	0	0	0
2	83881	ASV218	50375	0	1	1
2	91127	ASV221	47686	0	1	1
1	43879	ASV228	43879	0	0	0
2	66729	ASV231	41666	0	1	1
1	40268	ASV234	40268	0	0	0
2	43390	ASV236	39423	0	1	1
1	38892	ASV237	38892	0	0	0
2	37916	ASV240	37885	0	1	1
