seed_asv,motu,asv,asv_reads
ASV9,motu8,ASV975,694
ASV9,motu8,ASV989,670
ASV9,motu8,ASV1129,429
ASV9,motu8,ASV1166,374
ASV9,motu8,ASV73,399401
ASV9,motu8,ASV281,23804
ASV9,motu8,ASV302,19082
ASV9,motu8,ASV463,6281
ASV9,motu8,ASV603,2970
ASV9,motu8,ASV702,1993
ASV9,motu8,ASV716,1879
ASV9,motu8,ASV730,1785
ASV9,motu8,ASV783,1459
ASV9,motu8,ASV213,51726
ASV9,motu8,ASV9,7600716
ASV10,motu9,ASV10,4635097
ASV10,motu9,ASV34,889005
ASV10,motu9,ASV151,95508
ASV10,motu9,ASV174,75322
ASV10,motu9,ASV311,17453
ASV10,motu9,ASV478,5685
ASV10,motu9,ASV594,3169
ASV10,motu9,ASV155,93519
ASV10,motu9,ASV410,8649
ASV10,motu9,ASV10,5823407
ASV11,motu10,ASV11,4036102
ASV11,motu10,ASV120,169001
ASV11,motu10,ASV200,59293
ASV11,motu10,ASV380,10435
ASV11,motu10,ASV443,7235
ASV11,motu10,ASV511,4668
ASV11,motu10,ASV563,3644
ASV11,motu10,ASV11,4290378
ASV12,motu11,ASV12,3165502
ASV12,motu11,ASV96,242799
ASV12,motu11,ASV185,69735
ASV12,motu11,ASV269,28119
ASV12,motu11,ASV707,1977
ASV12,motu11,ASV12,3508132
ASV13,motu12,ASV13,2979857
ASV13,motu12,ASV31,1025585
ASV13,motu12,ASV646,2549
ASV13,motu12,ASV648,2538
ASV13,motu12,ASV1433,144
ASV13,motu12,ASV13,4010673
ASV14,motu13,ASV14,2630476
ASV14,motu13,ASV710,1953
ASV14,motu13,ASV14,2632429
ASV15,motu14,ASV15,2609188
ASV15,motu14,ASV746,1678
ASV15,motu14,ASV762,1588
ASV15,motu14,ASV902,891
ASV15,motu14,ASV1236,298
ASV15,motu14,ASV1290,247
ASV15,motu14,ASV15,2613890
ASV16,motu15,ASV16,2105810
ASV16,motu15,ASV854,1086
ASV16,motu15,ASV16,2106896
ASV17,motu16,ASV17,1974942
ASV17,motu16,ASV159,88388
ASV17,motu16,ASV199,59526
ASV17,motu16,ASV206,56133
ASV17,motu16,ASV495,5117
ASV17,motu16,ASV17,2184106
ASV19,motu17,ASV19,1678967
ASV19,motu17,ASV108,210411
ASV19,motu17,ASV812,1273
ASV19,motu17,ASV1160,384
ASV19,motu17,ASV220,47704
ASV19,motu17,ASV364,11771
ASV19,motu17,ASV402,8865
ASV19,motu17,ASV724,1839
ASV19,motu17,ASV840,1161
ASV19,motu17,ASV962,751
ASV19,motu17,ASV19,1963126
ASV20,motu18,ASV20,1637511
ASV20,motu18,ASV40,800230
ASV20,motu18,ASV163,84632
ASV20,motu18,ASV225,45660
ASV20,motu18,ASV424,8133
ASV20,motu18,ASV458,6507
ASV20,motu18,ASV515,4592
ASV20,motu18,ASV757,1605
ASV20,motu18,ASV801,1372
ASV20,motu18,ASV808,1306
ASV20,motu18,ASV923,832
ASV20,motu18,ASV1046,551
ASV20,motu18,ASV1189,349
ASV20,motu18,ASV1232,302
ASV20,motu18,ASV270,27721
ASV20,motu18,ASV301,19274
ASV20,motu18,ASV396,9143
ASV20,motu18,ASV437,7574
ASV20,motu18,ASV464,6264
ASV20,motu18,ASV599,3042
ASV20,motu18,ASV676,2236
ASV20,motu18,ASV713,1913
ASV20,motu18,ASV729,1803
ASV20,motu18,ASV889,921
ASV20,motu18,ASV20,2673473
ASV21,motu19,ASV21,1476930
ASV21,motu19,ASV68,444781
ASV21,motu19,ASV827,1221
ASV21,motu19,ASV859,1061
ASV21,motu19,ASV1145,406
ASV21,motu19,ASV2010,9
ASV21,motu19,ASV394,9162
ASV21,motu19,ASV756,1607
ASV21,motu19,ASV21,1935177
ASV23,motu20,ASV23,1341453
ASV23,motu20,ASV374,10784
ASV23,motu20,ASV23,1352237
ASV24,motu21,ASV24,1340853
ASV24,motu21,ASV1313,228
ASV24,motu21,ASV24,1341081
ASV25,motu22,ASV25,1256142
ASV25,motu22,ASV112,186088
ASV25,motu22,ASV517,4524
ASV25,motu22,ASV401,9022
ASV25,motu22,ASV25,1455776
ASV26,motu23,ASV26,1222759
ASV27,motu24,ASV27,1208948
ASV27,motu24,ASV76,338708
ASV27,motu24,ASV770,1534
ASV27,motu24,ASV27,1549190
ASV28,motu25,ASV28,1185337
ASV28,motu25,ASV38,854649
ASV28,motu25,ASV362,11835
ASV28,motu25,ASV481,5666
ASV28,motu25,ASV28,2057487
ASV29,motu26,ASV29,1121529
ASV29,motu26,ASV45,683494
ASV29,motu26,ASV53,550705
ASV29,motu26,ASV763,1584
ASV29,motu26,ASV838,1165
ASV29,motu26,ASV1123,436
ASV29,motu26,ASV1179,363
ASV29,motu26,ASV1252,281
ASV29,motu26,ASV51,635123
ASV29,motu26,ASV146,108712
ASV29,motu26,ASV493,5193
ASV29,motu26,ASV506,4783
ASV29,motu26,ASV29,3113368
ASV30,motu27,ASV30,1031781
ASV30,motu27,ASV104,226896
ASV30,motu27,ASV165,84004
ASV30,motu27,ASV178,73202
ASV30,motu27,ASV407,8755
ASV30,motu27,ASV30,1424638
ASV32,motu28,ASV32,1002003
ASV32,motu28,ASV169,80697
ASV32,motu28,ASV32,1082700
ASV33,motu29,ASV33,964003
ASV33,motu29,ASV92,255049
ASV33,motu29,ASV245,36863
ASV33,motu29,ASV1215,320
ASV33,motu29,ASV243,37167
ASV33,motu29,ASV33,1293402
ASV35,motu30,ASV35,877846
ASV35,motu30,ASV115,173995
ASV35,motu30,ASV128,152370
ASV35,motu30,ASV392,9364
ASV35,motu30,ASV35,1213575
ASV36,motu31,ASV36,873718
ASV36,motu31,ASV83,283294
ASV36,motu31,ASV379,10445
ASV36,motu31,ASV615,2835
ASV36,motu31,ASV719,1866
ASV36,motu31,ASV473,5846
ASV36,motu31,ASV823,1239
ASV36,motu31,ASV1510,109
ASV36,motu31,ASV1977,11
ASV36,motu31,ASV36,1179363
ASV37,motu32,ASV37,861192
ASV37,motu32,ASV80,297503
ASV37,motu32,ASV453,6719
ASV37,motu32,ASV37,1165414
ASV39,motu33,ASV39,814599
ASV39,motu33,ASV106,214359
ASV39,motu33,ASV352,12379
ASV39,motu33,ASV355,12142
ASV39,motu33,ASV468,5998
ASV39,motu33,ASV479,5683
ASV39,motu33,ASV575,3447
ASV39,motu33,ASV404,8791
ASV39,motu33,ASV698,2003
ASV39,motu33,ASV39,1079401
